"주산지시군",2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"전국",28594,26986,28416,26323,22414,24035,28278,29352,25062,20638
"충남 서산",587,656,735,693,620,725,790,866,679,551
"충남 태안",756,864,903,796,636,763,922,970,868,742
"전남 고흥",2645,2608,2831,2580,2167,2069,2396,2352,2095,1597
"전남 해남",1954,1788,1854,1492,1447,1412,1692,1919,1651,1056
"전남 무안",1604,1140,1298,861,593,661,896,808,599,460
"전남 함평",513,465,433,400,270,295,349,317,279,228
"전남 신안",3098,3009,2544,2549,1785,1774,2319,1912,1348,1043
"경북 영천",866,796,922,864,803,919,1011,1148,949,841
"경북 군위",299,293,303,266,229,288,461,413,326,279
"경북 의성",1678,1546,1442,1483,1268,1495,1750,1698,1449,1398
"경남 창녕",1577,1581,1823,1861,1539,2066,2409,3025,2663,2498
"경남 남해",1874,1720,1774,1696,1397,1356,1341,1205,1017,872
"경남 합천",389,423,514,544,528,470,669,941,711,634
"제주 북제주",1987,-,-,-,-,-,-,-,-,-
"제주 제주",-,1622,1775,1570,1372,1217,1171,1471,1317,822
"제주 남제주",1777,-,-,-,-,-,-,-,-,-
"제주 서귀포",-,1820,1950,1878,1602,1589,1845,1923,1663,1302
