"주산지시군",2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015
"주산지시군",합계,성과수,합계,성과수,합계,성과수,합계,성과수,합계,성과수,합계,성과수,합계,성과수,합계,성과수,합계,성과수,합계,성과수
"전국",28312,17888,29358,18796,30006,18534,30451,19179,30992,20582,31167,21395,30734,21629,30449,21602,30702,21399,31620,21965
"충북 충주",1471,937,1479,849,1470,827,1473,935,1439,877,1390,954,1356,1015,1381,1022,1391,1040,1396,1069
"충북 제천",674,447,705,530,748,547,771,516,804,538,720,484,707,490,649,447,625,416,623,480
"충북 영동",401,208,381,233,430,321,424,296,447,299,461,242,444,247,446,258,421,280,451,258
"충북 괴산",492,220,585,318,558,380,557,383,561,417,573,421,537,437,491,380,508,359,517,321
"충남 예산",751,572,782,594,680,556,678,565,708,565,750,621,730,595,720,561,728,550,724,524
"경북 포항",865,563,887,639,945,652,995,750,1013,810,1037,854,1041,828,1038,788,1037,743,1079,752
"경북 경주",267,198,274,197,221,161,172,158,181,165,172,154,175,158,163,138,172,150,157,141
"경북 안동",2729,1667,2834,1720,2848,1526,2908,1657,2967,1886,2918,1911,2914,1962,2993,2182,2927,2185,2985,2300
"경북 영주",2961,2359,3012,2333,2829,2122,2632,1957,2878,2094,2696,2081,2631,2012,2607,1896,2583,1938,2604,2001
"경북 영천",775,480,796,492,807,483,840,504,815,601,806,564,719,454,645,364,621,313,621,355
"경북 상주",1091,613,942,590,990,601,967,592,959,661,916,665,859,640,841,605,785,511,774,519
"경북 문경",1348,792,1367,807,1339,831,1368,859,1456,937,1511,1062,1461,1024,1439,1054,1480,1001,1390,964
"경북 군위",615,406,628,397,556,370,564,351,430,286,415,267,379,226,370,269,358,272,327,248
"경북 의성",2311,1741,2343,1751,2331,1586,2144,1448,2276,1655,2370,1877,2314,1772,2289,1734,2281,1766,2287,1811
"경북 청송",1980,946,2129,1231,2265,1248,2410,1265,2415,1247,2481,1349,2514,1576,2603,1778,2590,1702,2831,1799
"경북 예천",965,619,1053,597,957,556,941,613,972,683,988,737,957,740,805,625,914,631,815,568
"경북 봉화",1127,678,1219,756,1393,642,1534,944,1386,869,1431,829,1415,936,1421,1010,1393,952,1560,1173
"경남 밀양",684,470,692,493,758,482,798,522,811,535,800,539,886,543,866,574,977,708,982,721
"경남 함양",561,397,555,439,552,455,602,495,575,455,605,430,664,441,615,443,678,447,694,476
"경남 거창",1074,697,1140,767,1209,819,1237,867,1353,968,1490,1115,1456,1180,1534,1201,1541,1169,1587,1196
