지역 아이디,지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,작물 명,작물별 특성아이디,작물별 특성 이름,특보 코드,특보 발효 여부,연월일
4725000000,상주,59,4,1,8,37,1,0,3,오이,PA280201,다다기계통,,0,2004-01-01 00:00:00
4315000000,제천,68,2,2,5,50,-2,0,3,들깨,PA100101,-,,0,2004-01-01 00:00:00
4315000000,제천,68,2,2,5,50,-2,0,3,건고추,PA030101,-,,0,2004-01-01 00:00:00
4281000000,인제,71,0,2,4,50,-5,0,1,감자,PA020201,고랭지,,0,2004-01-01 00:00:00
4223000000,삼척,0,6,2,8,0,3,0,0,배추,PA170301,고랭지,,0,2004-01-01 00:00:00
4219000000,태백,54,0,2,2,40,-1,0,7,배추,PA170301,고랭지,,0,2004-01-01 00:00:00
4211000000,춘천,77,0,0,5,48,-5,0,0,호박,PA360201,쥬키니,,0,2004-01-01 00:00:00
4211000000,춘천,77,0,0,5,48,-5,0,0,호박,PA360101,애호박,,0,2004-01-01 00:00:00
4211000000,춘천,77,0,0,5,48,-5,0,0,풋고추,PA350301,청양고추,,0,2004-01-01 00:00:00
4211000000,춘천,77,0,0,5,48,-5,0,0,풋고추,PA350201,꽈리고추,,0,2004-01-01 00:00:00
4211000000,춘천,77,0,0,5,48,-5,0,0,풋고추,PA350101,풋고추,,0,2004-01-01 00:00:00
4211000000,춘천,77,0,0,5,48,-5,0,0,오이,PA280201,다다기계통,,0,2004-01-01 00:00:00
4211000000,춘천,77,0,0,5,48,-5,0,0,붉은고추,PA190101,붉은고추,,0,2004-01-01 00:00:00
4211000000,춘천,77,0,0,5,48,-5,0,0,배추,PA170401,가을,,0,2004-01-01 00:00:00
4211000000,춘천,77,0,0,5,48,-5,0,0,방울토마토,PA150101,-,,0,2004-01-01 00:00:00
4211000000,춘천,77,0,0,5,48,-5,0,0,들깨,PA100101,-,,0,2004-01-01 00:00:00
4211000000,춘천,77,0,0,5,48,-5,0,0,감자,PA020101,봄,,0,2004-01-01 00:00:00
4719000000,구미,52,5,2,9,36,0,0,4,당근,PA080101,봄,,0,2004-01-01 00:00:00
4719000000,구미,52,5,2,9,36,0,0,4,당근,PA080301,가을,,0,2004-01-01 00:00:00
4719000000,구미,52,5,2,9,36,0,0,4,양배추,PA240101,봄,,0,2004-01-01 00:00:00
4723000000,영천,56,4,1,8,40,0,0,2,마늘,PA120201,난지형 대서,,0,2004-01-01 00:00:00
4723000000,영천,56,4,1,8,40,0,0,2,복숭아,PA180201,유명,,0,2004-01-01 00:00:00
4723000000,영천,56,4,1,8,40,0,0,2,포도,PA340101,캠벨얼리,,0,2004-01-01 00:00:00
4725000000,상주,59,4,1,8,37,1,0,3,배,PA160101,-,,0,2004-01-01 00:00:00
4725000000,상주,59,4,1,8,37,1,0,3,생강,PA210101,-,,0,2004-01-01 00:00:00
4725000000,상주,59,4,1,8,37,1,0,3,쌀,PA230101,일반계,,0,2004-01-01 00:00:00
4427000000,당진,0,3,1,8,0,-1,0,0,감자,PA020101,봄,,0,2004-01-01 00:00:00
4725000000,상주,59,4,1,8,37,1,0,3,포도,PA340101,캠벨얼리,,0,2004-01-01 00:00:00
4315000000,제천,68,2,2,5,50,-2,0,3,배추,PA170401,가을,,0,2004-01-01 00:00:00
4315000000,제천,68,2,2,5,50,-2,0,3,콩,PA320101,백태,,0,2004-01-01 00:00:00
4315000000,제천,68,2,2,5,50,-2,0,3,팥,PA330101,적두,,0,2004-01-01 00:00:00
4427000000,당진,0,3,1,8,0,-1,0,0,고구마,PA040101,밤,,0,2004-01-01 00:00:00
