지역 아이디,지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,작물 명,작물별 특성아이디,작물별 특성 이름,특보 코드,특보 발효 여부,연월일
4281000000,인제,67,-6,1,-1,40,-13,0,2,감자,PA020201,고랭지,,0,2001-01-01 00:00:00
4281000000,인제,47,-3,3,-1,31,-7,0,0,감자,PA020201,고랭지,,0,2001-01-02 00:00:00
4281000000,인제,38,-8,2,-3,29,-10,0,5,감자,PA020201,고랭지,,0,2001-01-03 00:00:00
4281000000,인제,48,-10,2,-4,27,-14,0,5,감자,PA020201,고랭지,,0,2001-01-04 00:00:00
4281000000,인제,61,-9,1,-1,34,-15,0,2,감자,PA020201,고랭지,,0,2001-01-05 00:00:00
4281000000,인제,61,-6,1,1,24,-14,0,6,감자,PA020201,고랭지,,0,2001-01-06 00:00:00
4281000000,인제,79,0,3,1,57,-1,7,0,감자,PA020201,고랭지,,0,2001-01-07 00:00:00
4281000000,인제,74,0,2,2,62,-1,3,0,감자,PA020201,고랭지,,0,2001-01-08 00:00:00
4281000000,인제,77,0,1,2,58,-2,3,0,감자,PA020201,고랭지,,0,2001-01-09 00:00:00
4281000000,인제,72,-6,1,-1,41,-11,0,6,감자,PA020201,고랭지,,0,2001-01-10 00:00:00
4281000000,인제,47,-6,2,-2,30,-12,0,6,감자,PA020201,고랭지,,0,2001-01-11 00:00:00
4281000000,인제,61,-14,1,-7,33,-21,0,6,감자,PA020201,고랭지,,0,2001-01-12 00:00:00
4281000000,인제,63,-13,1,-4,29,-20,0,6,감자,PA020201,고랭지,,0,2001-01-13 00:00:00
4281000000,인제,59,-15,2,-9,29,-21,0,5,감자,PA020201,고랭지,,0,2001-01-14 00:00:00
4281000000,인제,68,-17,1,-11,38,-23,0,5,감자,PA020201,고랭지,,0,2001-01-15 00:00:00
4281000000,인제,72,-17,1,-9,38,-24,0,6,감자,PA020201,고랭지,,0,2001-01-16 00:00:00
4281000000,인제,68,-11,1,-4,30,-23,0,4,감자,PA020201,고랭지,,0,2001-01-17 00:00:00
4281000000,인제,76,-3,1,1,55,-8,0,0,감자,PA020201,고랭지,,0,2001-01-18 00:00:00
4281000000,인제,77,-4,0,3,53,-12,0,0,감자,PA020201,고랭지,,0,2001-01-19 00:00:00
4281000000,인제,80,-1,0,5,50,-6,0,3,감자,PA020201,고랭지,,0,2001-01-20 00:00:00
4281000000,인제,75,-4,0,2,47,-10,0,5,감자,PA020201,고랭지,,0,2001-01-21 00:00:00
4281000000,인제,75,-5,0,2,38,-11,0,5,감자,PA020201,고랭지,,0,2001-01-22 00:00:00
4281000000,인제,71,-6,0,2,32,-14,0,3,감자,PA020201,고랭지,,0,2001-01-23 00:00:00
4281000000,인제,71,-5,0,3,38,-12,0,2,감자,PA020201,고랭지,,0,2001-01-24 00:00:00
4281000000,인제,0,0,0,4,37,-6,0,6,감자,PA020201,고랭지,,0,2001-01-25 00:00:00
4281000000,인제,62,0,3,0,49,-2,0,0,감자,PA020201,고랭지,,0,2001-01-26 00:00:00
4281000000,인제,76,0,2,3,58,-2,1,0,감자,PA020201,고랭지,,0,2001-01-27 00:00:00
4281000000,인제,48,-2,3,0,30,-7,0,3,감자,PA020201,고랭지,,0,2001-01-28 00:00:00
4281000000,인제,70,-6,1,0,47,-15,0,3,감자,PA020201,고랭지,,0,2001-01-29 00:00:00
4281000000,인제,68,-3,1,3,27,-8,0,6,감자,PA020201,고랭지,,0,2001-01-30 00:00:00
4281000000,인제,79,-2,1,1,58,-8,3,0,감자,PA020201,고랭지,,0,2001-01-31 00:00:00
4281000000,인제,50,-5,2,1,23,-14,0,7,감자,PA020201,고랭지,,0,2001-02-01 00:00:00
4281000000,인제,73,-9,2,-3,35,-18,0,3,감자,PA020201,고랭지,,0,2001-02-02 00:00:00
4281000000,인제,73,-3,0,3,46,-10,0,1,감자,PA020201,고랭지,,0,2001-02-03 00:00:00
4281000000,인제,71,0,0,7,38,-4,0,4,감자,PA020201,고랭지,,0,2001-02-04 00:00:00
4281000000,인제,72,0,1,7,35,-7,0,6,감자,PA020201,고랭지,,0,2001-02-05 00:00:00
4281000000,인제,72,1,2,3,63,0,0,0,감자,PA020201,고랭지,,0,2001-02-06 00:00:00
4281000000,인제,57,0,1,5,25,-6,0,4,감자,PA020201,고랭지,,0,2001-02-07 00:00:00
4281000000,인제,51,-6,1,0,23,-21,0,7,감자,PA020201,고랭지,,0,2001-02-08 00:00:00
4281000000,인제,68,-2,3,1,45,-6,0,0,감자,PA020201,고랭지,,0,2001-02-09 00:00:00
4281000000,인제,52,-4,1,2,25,-12,0,7,감자,PA020201,고랭지,,0,2001-02-10 00:00:00
4281000000,인제,44,-4,1,3,15,-11,0,6,감자,PA020201,고랭지,,0,2001-02-11 00:00:00
