지역 아이디,지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,작물 명,작물별 특성아이디,작물별 특성 이름,특보 코드,특보 발효 여부,연월일
4211000000,춘천,72,-7,0,-3,45,-13,0,3,감자,PA020101,봄,,0,2001-01-01 00:00:00
4427000000,당진,0,-3,2,1,0,-10,5,0,감자,PA020101,봄,,0,2001-01-01 00:00:00
4211000000,춘천,53,-5,2,-1,31,-9,0,1,감자,PA020101,봄,,0,2001-01-02 00:00:00
4427000000,당진,0,-2,3,2,0,-6,0,0,감자,PA020101,봄,,0,2001-01-02 00:00:00
4427000000,당진,0,-7,1,-2,0,-11,0,0,감자,PA020101,봄,,0,2001-01-03 00:00:00
4211000000,춘천,41,-8,2,-4,28,-12,0,8,감자,PA020101,봄,,0,2001-01-03 00:00:00
4427000000,당진,0,-7,3,-4,0,-11,0,0,감자,PA020101,봄,,0,2001-01-04 00:00:00
4211000000,춘천,46,-10,1,-4,22,-16,0,8,감자,PA020101,봄,,0,2001-01-04 00:00:00
4427000000,당진,0,-8,0,-2,0,-13,0,0,감자,PA020101,봄,,0,2001-01-05 00:00:00
4211000000,춘천,66,-9,0,-2,29,-16,0,7,감자,PA020101,봄,,0,2001-01-05 00:00:00
4211000000,춘천,64,-6,0,0,36,-14,0,6,감자,PA020101,봄,,0,2001-01-06 00:00:00
4427000000,당진,0,-4,2,0,0,-11,0,0,감자,PA020101,봄,,0,2001-01-06 00:00:00
4427000000,당진,0,0,3,1,0,-1,12,0,감자,PA020101,봄,,0,2001-01-07 00:00:00
4211000000,춘천,83,0,2,1,55,-2,16,0,감자,PA020101,봄,,0,2001-01-07 00:00:00
4427000000,당진,0,0,1,6,0,-3,23,0,감자,PA020101,봄,,0,2001-01-08 00:00:00
4211000000,춘천,79,0,1,3,59,-5,2,2,감자,PA020101,봄,,0,2001-01-08 00:00:00
4427000000,당진,0,0,3,1,0,-4,11,0,감자,PA020101,봄,,0,2001-01-09 00:00:00
4211000000,춘천,83,0,1,1,62,-3,5,0,감자,PA020101,봄,,0,2001-01-09 00:00:00
4427000000,당진,0,-5,1,0,0,-11,0,0,감자,PA020101,봄,,0,2001-01-10 00:00:00
4211000000,춘천,72,-7,0,-1,39,-13,0,7,감자,PA020101,봄,,0,2001-01-10 00:00:00
4427000000,당진,0,-6,3,0,0,-11,0,0,감자,PA020101,봄,,0,2001-01-11 00:00:00
4211000000,춘천,54,-8,2,-3,28,-16,1,8,감자,PA020101,봄,,0,2001-01-11 00:00:00
4427000000,당진,0,-11,1,-7,0,-16,0,0,감자,PA020101,봄,,0,2001-01-12 00:00:00
4211000000,춘천,60,-15,0,-8,26,-22,0,7,감자,PA020101,봄,,0,2001-01-12 00:00:00
4427000000,당진,0,-8,3,-5,0,-12,0,0,감자,PA020101,봄,,0,2001-01-13 00:00:00
4211000000,춘천,58,-12,1,-5,25,-18,0,6,감자,PA020101,봄,,0,2001-01-13 00:00:00
4427000000,당진,0,-11,5,-8,0,-13,0,0,감자,PA020101,봄,,0,2001-01-14 00:00:00
4211000000,춘천,55,-16,1,-9,24,-23,0,7,감자,PA020101,봄,,0,2001-01-14 00:00:00
4427000000,당진,0,-13,2,-9,0,-18,0,0,감자,PA020101,봄,,0,2001-01-15 00:00:00
4211000000,춘천,58,-18,1,-10,26,-24,0,8,감자,PA020101,봄,,0,2001-01-15 00:00:00
4427000000,당진,0,-14,1,-7,0,-19,0,0,감자,PA020101,봄,,0,2001-01-16 00:00:00
4211000000,춘천,63,-17,0,-8,28,-24,0,8,감자,PA020101,봄,,0,2001-01-16 00:00:00
4427000000,당진,0,-10,1,-3,0,-19,0,0,감자,PA020101,봄,,0,2001-01-17 00:00:00
4211000000,춘천,65,-13,0,-6,35,-22,0,6,감자,PA020101,봄,,0,2001-01-17 00:00:00
4427000000,당진,0,0,1,7,0,-6,0,0,감자,PA020101,봄,,0,2001-01-18 00:00:00
4211000000,춘천,81,-4,0,1,58,-9,0,3,감자,PA020101,봄,,0,2001-01-18 00:00:00
4211000000,춘천,81,-4,0,0,60,-10,0,0,감자,PA020101,봄,,0,2001-01-19 00:00:00
4427000000,당진,0,-2,0,3,0,-8,0,0,감자,PA020101,봄,,0,2001-01-19 00:00:00
4427000000,당진,0,0,1,1,0,-3,2,0,감자,PA020101,봄,,0,2001-01-20 00:00:00
4211000000,춘천,84,-1,0,4,61,-6,0,2,감자,PA020101,봄,,0,2001-01-20 00:00:00
4427000000,당진,0,-2,0,4,0,-7,0,0,감자,PA020101,봄,,0,2001-01-21 00:00:00
4211000000,춘천,81,-5,0,2,44,-10,0,6,감자,PA020101,봄,,0,2001-01-21 00:00:00
4211000000,춘천,80,-6,0,0,53,-10,0,2,감자,PA020101,봄,,0,2001-01-22 00:00:00
4427000000,당진,0,-3,0,1,0,-7,0,0,감자,PA020101,봄,,0,2001-01-22 00:00:00
4211000000,춘천,72,-6,0,3,26,-11,0,6,감자,PA020101,봄,,0,2001-01-23 00:00:00
4427000000,당진,0,-6,0,-1,0,-11,0,0,감자,PA020101,봄,,0,2001-01-23 00:00:00
4211000000,춘천,73,-5,0,0,45,-12,0,2,감자,PA020101,봄,,0,2001-01-24 00:00:00
4427000000,당진,0,-2,1,4,0,-10,0,0,감자,PA020101,봄,,0,2001-01-24 00:00:00
4427000000,당진,0,0,1,4,0,-4,0,0,감자,PA020101,봄,,0,2001-01-25 00:00:00
4211000000,춘천,63,0,1,7,31,-6,0,7,감자,PA020101,봄,,0,2001-01-25 00:00:00
4427000000,당진,0,1,4,3,0,0,0,0,감자,PA020101,봄,,0,2001-01-26 00:00:00
4211000000,춘천,57,0,1,1,40,-3,0,0,감자,PA020101,봄,,0,2001-01-26 00:00:00
4211000000,춘천,80,0,1,3,58,-3,1,1,감자,PA020101,봄,,0,2001-01-27 00:00:00
4427000000,당진,0,0,2,1,0,-2,3,0,감자,PA020101,봄,,0,2001-01-27 00:00:00
4427000000,당진,0,-3,4,0,0,-6,0,0,감자,PA020101,봄,,0,2001-01-28 00:00:00
4211000000,춘천,48,-2,2,0,29,-7,0,6,감자,PA020101,봄,,0,2001-01-28 00:00:00
4211000000,춘천,75,-8,0,0,45,-14,0,6,감자,PA020101,봄,,0,2001-01-29 00:00:00
4427000000,당진,0,-3,2,3,0,-10,0,0,감자,PA020101,봄,,0,2001-01-29 00:00:00
4211000000,춘천,69,-3,0,3,27,-10,0,8,감자,PA020101,봄,,0,2001-01-30 00:00:00
4427000000,당진,0,-4,0,3,0,-9,2,0,감자,PA020101,봄,,0,2001-01-30 00:00:00
4211000000,춘천,84,-4,0,-1,67,-8,4,0,감자,PA020101,봄,,0,2001-01-31 00:00:00
4427000000,당진,0,-1,2,3,0,-9,2,0,감자,PA020101,봄,,0,2001-01-31 00:00:00
4211000000,춘천,54,-6,2,0,18,-15,0,8,감자,PA020101,봄,,0,2001-02-01 00:00:00
4427000000,당진,0,-4,5,1,0,-7,0,0,감자,PA020101,봄,,0,2001-02-01 00:00:00
4211000000,춘천,73,-9,0,-2,26,-18,0,4,감자,PA020101,봄,,0,2001-02-02 00:00:00
4427000000,당진,0,-5,2,-1,0,-14,0,0,감자,PA020101,봄,,0,2001-02-02 00:00:00
4211000000,춘천,76,-3,0,2,50,-11,0,4,감자,PA020101,봄,,0,2001-02-03 00:00:00
4427000000,당진,0,-1,1,3,0,-6,0,0,감자,PA020101,봄,,0,2001-02-03 00:00:00
4211000000,춘천,78,-2,0,6,45,-7,0,6,감자,PA020101,봄,,0,2001-02-04 00:00:00
4427000000,당진,0,0,0,5,0,-3,0,0,감자,PA020101,봄,,0,2001-02-04 00:00:00
4211000000,춘천,77,-1,0,6,37,-8,0,6,감자,PA020101,봄,,0,2001-02-05 00:00:00
4427000000,당진,0,-1,1,3,0,-7,0,0,감자,PA020101,봄,,0,2001-02-05 00:00:00
4211000000,춘천,75,0,1,4,58,-4,0,1,감자,PA020101,봄,,0,2001-02-06 00:00:00
4427000000,당진,0,0,1,4,0,-2,0,0,감자,PA020101,봄,,0,2001-02-06 00:00:00
4427000000,당진,0,-3,4,0,0,-6,0,0,감자,PA020101,봄,,0,2001-02-07 00:00:00
4211000000,춘천,54,0,1,4,22,-6,0,6,감자,PA020101,봄,,0,2001-02-07 00:00:00
4211000000,춘천,52,-5,1,0,18,-12,0,8,감자,PA020101,봄,,0,2001-02-08 00:00:00
4427000000,당진,0,-5,1,0,0,-12,0,0,감자,PA020101,봄,,0,2001-02-08 00:00:00
4211000000,춘천,68,-2,1,2,37,-5,0,2,감자,PA020101,봄,,0,2001-02-09 00:00:00
4427000000,당진,0,-1,2,3,0,-8,0,0,감자,PA020101,봄,,0,2001-02-09 00:00:00
4427000000,당진,0,-4,0,2,0,-9,0,0,감자,PA020101,봄,,0,2001-02-10 00:00:00
4211000000,춘천,53,-4,1,2,21,-10,0,7,감자,PA020101,봄,,0,2001-02-10 00:00:00
4427000000,당진,0,-3,2,-1,0,-7,0,0,감자,PA020101,봄,,0,2001-02-11 00:00:00
4211000000,춘천,46,-4,1,2,14,-11,0,7,감자,PA020101,봄,,0,2001-02-11 00:00:00
4211000000,춘천,41,-3,1,2,15,-7,0,8,감자,PA020101,봄,,0,2001-02-12 00:00:00
4427000000,당진,0,-5,2,-2,0,-6,0,0,감자,PA020101,봄,,0,2001-02-12 00:00:00
4211000000,춘천,48,-4,1,2,17,-7,0,4,감자,PA020101,봄,,0,2001-02-13 00:00:00
4427000000,당진,0,-4,3,-2,0,-8,0,0,감자,PA020101,봄,,0,2001-02-13 00:00:00
4427000000,당진,0,-4,1,0,0,-9,0,0,감자,PA020101,봄,,0,2001-02-14 00:00:00
4211000000,춘천,51,-5,1,1,22,-11,0,9,감자,PA020101,봄,,0,2001-02-14 00:00:00
4211000000,춘천,86,-6,0,-4,71,-8,10,0,감자,PA020101,봄,,0,2001-02-15 00:00:00
4427000000,당진,0,-1,0,3,0,-8,14,0,감자,PA020101,봄,,0,2001-02-15 00:00:00
4211000000,춘천,62,-7,1,0,27,-15,11,9,감자,PA020101,봄,,0,2001-02-16 00:00:00
4427000000,당진,0,-5,0,-2,0,-7,0,0,감자,PA020101,봄,,0,2001-02-16 00:00:00
4427000000,당진,0,-1,2,1,0,-8,0,0,감자,PA020101,봄,,0,2001-02-17 00:00:00
4211000000,춘천,76,-8,0,0,55,-17,0,2,감자,PA020101,봄,,0,2001-02-17 00:00:00
