지역 아이디,지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,작물 명,작물별 특성아이디,작물별 특성 이름,특보 코드,특보 발효 여부,연월일
4427000000,당진,0,-3,2,1,0,-10,5,0,고구마,PA040101,밤,,0,2001-01-01 00:00:00
4427000000,당진,0,-2,3,2,0,-6,0,0,고구마,PA040101,밤,,0,2001-01-02 00:00:00
4427000000,당진,0,-7,1,-2,0,-11,0,0,고구마,PA040101,밤,,0,2001-01-03 00:00:00
4427000000,당진,0,-7,3,-4,0,-11,0,0,고구마,PA040101,밤,,0,2001-01-04 00:00:00
4427000000,당진,0,-8,0,-2,0,-13,0,0,고구마,PA040101,밤,,0,2001-01-05 00:00:00
4427000000,당진,0,-4,2,0,0,-11,0,0,고구마,PA040101,밤,,0,2001-01-06 00:00:00
4427000000,당진,0,0,3,1,0,-1,12,0,고구마,PA040101,밤,,0,2001-01-07 00:00:00
4427000000,당진,0,0,1,6,0,-3,23,0,고구마,PA040101,밤,,0,2001-01-08 00:00:00
4427000000,당진,0,0,3,1,0,-4,11,0,고구마,PA040101,밤,,0,2001-01-09 00:00:00
4427000000,당진,0,-5,1,0,0,-11,0,0,고구마,PA040101,밤,,0,2001-01-10 00:00:00
4427000000,당진,0,-6,3,0,0,-11,0,0,고구마,PA040101,밤,,0,2001-01-11 00:00:00
4427000000,당진,0,-11,1,-7,0,-16,0,0,고구마,PA040101,밤,,0,2001-01-12 00:00:00
4427000000,당진,0,-8,3,-5,0,-12,0,0,고구마,PA040101,밤,,0,2001-01-13 00:00:00
4427000000,당진,0,-11,5,-8,0,-13,0,0,고구마,PA040101,밤,,0,2001-01-14 00:00:00
4427000000,당진,0,-13,2,-9,0,-18,0,0,고구마,PA040101,밤,,0,2001-01-15 00:00:00
4427000000,당진,0,-14,1,-7,0,-19,0,0,고구마,PA040101,밤,,0,2001-01-16 00:00:00
4427000000,당진,0,-10,1,-3,0,-19,0,0,고구마,PA040101,밤,,0,2001-01-17 00:00:00
4427000000,당진,0,0,1,7,0,-6,0,0,고구마,PA040101,밤,,0,2001-01-18 00:00:00
4427000000,당진,0,-2,0,3,0,-8,0,0,고구마,PA040101,밤,,0,2001-01-19 00:00:00
4427000000,당진,0,0,1,1,0,-3,2,0,고구마,PA040101,밤,,0,2001-01-20 00:00:00
4427000000,당진,0,-2,0,4,0,-7,0,0,고구마,PA040101,밤,,0,2001-01-21 00:00:00
4427000000,당진,0,-3,0,1,0,-7,0,0,고구마,PA040101,밤,,0,2001-01-22 00:00:00
4427000000,당진,0,-6,0,-1,0,-11,0,0,고구마,PA040101,밤,,0,2001-01-23 00:00:00
4427000000,당진,0,-2,1,4,0,-10,0,0,고구마,PA040101,밤,,0,2001-01-24 00:00:00
4427000000,당진,0,0,1,4,0,-4,0,0,고구마,PA040101,밤,,0,2001-01-25 00:00:00
4427000000,당진,0,1,4,3,0,0,0,0,고구마,PA040101,밤,,0,2001-01-26 00:00:00
4427000000,당진,0,0,2,1,0,-2,3,0,고구마,PA040101,밤,,0,2001-01-27 00:00:00
4427000000,당진,0,-3,4,0,0,-6,0,0,고구마,PA040101,밤,,0,2001-01-28 00:00:00
4427000000,당진,0,-3,2,3,0,-10,0,0,고구마,PA040101,밤,,0,2001-01-29 00:00:00
4427000000,당진,0,-4,0,3,0,-9,2,0,고구마,PA040101,밤,,0,2001-01-30 00:00:00
4427000000,당진,0,-1,2,3,0,-9,2,0,고구마,PA040101,밤,,0,2001-01-31 00:00:00
4427000000,당진,0,-4,5,1,0,-7,0,0,고구마,PA040101,밤,,0,2001-02-01 00:00:00
4427000000,당진,0,-5,2,-1,0,-14,0,0,고구마,PA040101,밤,,0,2001-02-02 00:00:00
4427000000,당진,0,-1,1,3,0,-6,0,0,고구마,PA040101,밤,,0,2001-02-03 00:00:00
4427000000,당진,0,0,0,5,0,-3,0,0,고구마,PA040101,밤,,0,2001-02-04 00:00:00
4427000000,당진,0,-1,1,3,0,-7,0,0,고구마,PA040101,밤,,0,2001-02-05 00:00:00
4427000000,당진,0,0,1,4,0,-2,0,0,고구마,PA040101,밤,,0,2001-02-06 00:00:00
4427000000,당진,0,-3,4,0,0,-6,0,0,고구마,PA040101,밤,,0,2001-02-07 00:00:00
4427000000,당진,0,-5,1,0,0,-12,0,0,고구마,PA040101,밤,,0,2001-02-08 00:00:00
4427000000,당진,0,-1,2,3,0,-8,0,0,고구마,PA040101,밤,,0,2001-02-09 00:00:00
4427000000,당진,0,-4,0,2,0,-9,0,0,고구마,PA040101,밤,,0,2001-02-10 00:00:00
4427000000,당진,0,-3,2,-1,0,-7,0,0,고구마,PA040101,밤,,0,2001-02-11 00:00:00
4427000000,당진,0,-5,2,-2,0,-6,0,0,고구마,PA040101,밤,,0,2001-02-12 00:00:00
4427000000,당진,0,-4,3,-2,0,-8,0,0,고구마,PA040101,밤,,0,2001-02-13 00:00:00
4427000000,당진,0,-4,1,0,0,-9,0,0,고구마,PA040101,밤,,0,2001-02-14 00:00:00
4427000000,당진,0,-1,0,3,0,-8,14,0,고구마,PA040101,밤,,0,2001-02-15 00:00:00
4427000000,당진,0,-5,0,-2,0,-7,0,0,고구마,PA040101,밤,,0,2001-02-16 00:00:00
4427000000,당진,0,-1,2,1,0,-8,0,0,고구마,PA040101,밤,,0,2001-02-17 00:00:00
4427000000,당진,0,2,1,10,0,-1,0,0,고구마,PA040101,밤,,0,2001-02-18 00:00:00
4427000000,당진,0,1,1,6,0,-3,0,0,고구마,PA040101,밤,,0,2001-02-19 00:00:00
4427000000,당진,0,0,1,9,0,-6,0,0,고구마,PA040101,밤,,0,2001-02-20 00:00:00
4427000000,당진,0,2,1,9,0,-1,0,0,고구마,PA040101,밤,,0,2001-02-21 00:00:00
4427000000,당진,0,1,0,12,0,-2,0,0,고구마,PA040101,밤,,0,2001-02-22 00:00:00
