지역 아이디,지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,작물 명,작물별 특성아이디,작물별 특성 이름,특보 코드,특보 발효 여부,연월일
4824000000,사천,83,5,1,14,49,0,0,0,녹두,PA060101,-,,0,2019-12-16 00:00:00
4677000000,고흥,79,7,0,14,47,1,0,5,녹두,PA060101,-,,0,2019-12-16 00:00:00
4691000000,신안,71,10,1,16,51,6,0,0,녹두,PA060101,-,,0,2019-12-16 00:00:00
4682000000,해남,67,10,2,15,48,6,0,7,녹두,PA060101,-,,0,2019-12-16 00:00:00
4888000000,거창,77,5,0,14,47,-2,0,7,녹두,PA060101,-,,0,2019-12-16 00:00:00
4684000000,무안,67,10,3,15,52,6,0,0,녹두,PA060101,-,,0,2019-12-16 00:00:00
4887000000,함양,78,4,0,14,45,-1,0,6,녹두,PA060101,-,,0,2019-12-16 00:00:00
4824000000,사천,86,8,1,13,70,1,0,0,녹두,PA060101,-,,0,2019-12-17 00:00:00
4677000000,고흥,88,8,1,12,72,2,0,0,녹두,PA060101,-,,0,2019-12-17 00:00:00
4691000000,신안,86,9,1,11,75,7,2,0,녹두,PA060101,-,,0,2019-12-17 00:00:00
4682000000,해남,86,10,1,14,75,7,2,0,녹두,PA060101,-,,0,2019-12-17 00:00:00
4888000000,거창,88,5,0,10,74,0,0,0,녹두,PA060101,-,,0,2019-12-17 00:00:00
4887000000,함양,87,5,1,12,73,-1,0,0,녹두,PA060101,-,,0,2019-12-17 00:00:00
4684000000,무안,87,8,3,11,74,7,1,0,녹두,PA060101,-,,0,2019-12-17 00:00:00
4677000000,고흥,65,5,3,9,45,0,0,7,녹두,PA060101,-,,0,2019-12-18 00:00:00
4887000000,함양,61,5,3,10,42,1,0,8,녹두,PA060101,-,,0,2019-12-18 00:00:00
4888000000,거창,68,5,1,11,31,1,0,8,녹두,PA060101,-,,0,2019-12-18 00:00:00
4684000000,무안,69,5,4,8,58,2,0,0,녹두,PA060101,-,,0,2019-12-18 00:00:00
4682000000,해남,67,4,2,7,55,2,0,3,녹두,PA060101,-,,0,2019-12-18 00:00:00
4691000000,신안,68,5,3,8,54,4,0,0,녹두,PA060101,-,,0,2019-12-18 00:00:00
4824000000,사천,61,7,1,14,29,2,0,0,녹두,PA060101,-,,0,2019-12-18 00:00:00
4888000000,거창,54,1,1,8,18,-3,0,8,녹두,PA060101,-,,0,2019-12-19 00:00:00
4682000000,해남,64,2,2,6,50,-1,0,6,녹두,PA060101,-,,0,2019-12-19 00:00:00
