지역 아이디,지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,작물 명,작물별 특성아이디,작물별 특성 이름,특보 코드,특보 발효 여부,연월일
4686000000,함평,71,9,2,16,52,4,0,0,대파,PA090401,겨울대파,,0,2019-12-16 00:00:00
4687000000,영광,76,10,1,15,60,4,0,0,대파,PA090401,겨울대파,,0,2019-12-16 00:00:00
4690000000,진도,65,12,2,15,53,9,0,7,대파,PA090401,겨울대파,,0,2019-12-16 00:00:00
4691000000,신안,71,10,1,16,51,6,0,0,대파,PA090401,겨울대파,,0,2019-12-16 00:00:00
4687000000,영광,91,10,3,13,71,8,1,0,대파,PA090401,겨울대파,,0,2019-12-17 00:00:00
4686000000,함평,86,9,3,10,75,6,3,0,대파,PA090401,겨울대파,,0,2019-12-17 00:00:00
4690000000,진도,86,11,3,14,72,8,2,0,대파,PA090401,겨울대파,,0,2019-12-17 00:00:00
4691000000,신안,86,9,1,11,75,7,2,0,대파,PA090401,겨울대파,,0,2019-12-17 00:00:00
4686000000,함평,71,5,4,7,60,2,0,0,대파,PA090401,겨울대파,,0,2019-12-18 00:00:00
4687000000,영광,76,5,4,8,66,4,0,0,대파,PA090401,겨울대파,,0,2019-12-18 00:00:00
4690000000,진도,66,6,5,8,58,5,0,1,대파,PA090401,겨울대파,,0,2019-12-18 00:00:00
4691000000,신안,68,5,3,8,54,4,0,0,대파,PA090401,겨울대파,,0,2019-12-18 00:00:00
4690000000,진도,63,5,4,7,53,2,0,5,대파,PA090401,겨울대파,,0,2019-12-19 00:00:00
4687000000,영광,71,3,2,6,55,1,0,0,대파,PA090401,겨울대파,,0,2019-12-19 00:00:00
4691000000,신안,62,5,2,8,47,3,0,0,대파,PA090401,겨울대파,,0,2019-12-19 00:00:00
4686000000,함평,70,2,2,6,46,-2,0,0,대파,PA090401,겨울대파,,0,2019-12-19 00:00:00
4691000000,신안,75,4,1,7,53,1,0,0,대파,PA090401,겨울대파,,0,2019-12-20 00:00:00
4690000000,진도,73,3,2,8,54,-1,0,2,대파,PA090401,겨울대파,,0,2019-12-20 00:00:00
4686000000,함평,83,0,1,6,54,-3,0,0,대파,PA090401,겨울대파,,0,2019-12-20 00:00:00
4687000000,영광,85,2,1,7,61,-1,0,0,대파,PA090401,겨울대파,,0,2019-12-20 00:00:00
4690000000,진도,72,1,1,5,49,-1,0,0,대파,PA090401,겨울대파,,0,2019-12-21 00:00:00
4687000000,영광,85,1,0,5,55,-2,0,0,대파,PA090401,겨울대파,,0,2019-12-21 00:00:00
