지역 아이디,지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,작물 명,작물별 특성아이디,작물별 특성 이름,특보 코드,특보 발효 여부,연월일
4482500000,태안,0,-1,1,4,0,-8,1,0,마늘,PA120201,난지형 대서,,0,2001-01-01 00:00:00
4723000000,영천,49,-2,1,4,22,-9,0,6,마늘,PA120201,난지형 대서,,0,2001-01-01 00:00:00
4482500000,태안,0,-1,2,3,0,-5,0,0,마늘,PA120201,난지형 대서,,0,2001-01-02 00:00:00
4723000000,영천,49,1,3,6,34,-4,0,2,마늘,PA120201,난지형 대서,,0,2001-01-02 00:00:00
4723000000,영천,46,-3,4,0,35,-7,0,6,마늘,PA120201,난지형 대서,,0,2001-01-03 00:00:00
4482500000,태안,0,-5,1,-2,0,-8,0,0,마늘,PA120201,난지형 대서,,0,2001-01-03 00:00:00
4723000000,영천,42,-5,4,-1,23,-7,0,6,마늘,PA120201,난지형 대서,,0,2001-01-04 00:00:00
4482500000,태안,0,-6,2,-4,0,-8,0,0,마늘,PA120201,난지형 대서,,0,2001-01-04 00:00:00
4723000000,영천,43,-4,2,1,26,-8,0,7,마늘,PA120201,난지형 대서,,0,2001-01-05 00:00:00
4482500000,태안,0,-5,1,-1,0,-9,0,0,마늘,PA120201,난지형 대서,,0,2001-01-05 00:00:00
4482500000,태안,0,-2,2,1,0,-7,0,0,마늘,PA120201,난지형 대서,,0,2001-01-06 00:00:00
4723000000,영천,63,-2,0,4,30,-11,0,5,마늘,PA120201,난지형 대서,,0,2001-01-06 00:00:00
4723000000,영천,84,4,3,6,61,1,21,0,마늘,PA120201,난지형 대서,,0,2001-01-07 00:00:00
4482500000,태안,0,0,4,1,0,-1,26,0,마늘,PA120201,난지형 대서,,0,2001-01-07 00:00:00
4723000000,영천,75,3,1,9,48,-1,0,4,마늘,PA120201,난지형 대서,,0,2001-01-08 00:00:00
4482500000,태안,0,2,3,4,0,0,5,0,마늘,PA120201,난지형 대서,,0,2001-01-08 00:00:00
4723000000,영천,82,2,1,5,60,0,2,0,마늘,PA120201,난지형 대서,,0,2001-01-09 00:00:00
4482500000,태안,0,0,3,3,0,-3,9,0,마늘,PA120201,난지형 대서,,0,2001-01-09 00:00:00
4723000000,영천,50,-2,2,3,25,-6,0,6,마늘,PA120201,난지형 대서,,0,2001-01-10 00:00:00
4482500000,태안,0,-3,1,1,0,-7,1,0,마늘,PA120201,난지형 대서,,0,2001-01-10 00:00:00
4723000000,영천,51,-2,3,3,27,-7,0,6,마늘,PA120201,난지형 대서,,0,2001-01-11 00:00:00
4482500000,태안,0,-5,2,2,0,-8,1,0,마늘,PA120201,난지형 대서,,0,2001-01-11 00:00:00
4723000000,영천,48,-5,4,-1,36,-8,0,6,마늘,PA120201,난지형 대서,,0,2001-01-12 00:00:00
4482500000,태안,0,-9,2,-7,0,-13,0,0,마늘,PA120201,난지형 대서,,0,2001-01-12 00:00:00
4723000000,영천,53,-5,2,0,38,-8,0,0,마늘,PA120201,난지형 대서,,0,2001-01-13 00:00:00
4482500000,태안,0,-7,3,-4,0,-9,0,0,마늘,PA120201,난지형 대서,,0,2001-01-13 00:00:00
4723000000,영천,51,-9,4,-5,33,-12,0,6,마늘,PA120201,난지형 대서,,0,2001-01-14 00:00:00
4482500000,태안,0,-10,2,-7,0,-11,0,0,마늘,PA120201,난지형 대서,,0,2001-01-14 00:00:00
4723000000,영천,50,-10,4,-6,31,-14,0,7,마늘,PA120201,난지형 대서,,0,2001-01-15 00:00:00
4482500000,태안,0,-10,2,-8,0,-12,0,0,마늘,PA120201,난지형 대서,,0,2001-01-15 00:00:00
4723000000,영천,46,-8,4,-4,29,-12,0,7,마늘,PA120201,난지형 대서,,0,2001-01-16 00:00:00
4482500000,태안,0,-9,1,-6,0,-12,0,0,마늘,PA120201,난지형 대서,,0,2001-01-16 00:00:00
4723000000,영천,41,-6,1,0,19,-11,0,6,마늘,PA120201,난지형 대서,,0,2001-01-17 00:00:00
4482500000,태안,0,-6,1,0,0,-14,0,0,마늘,PA120201,난지형 대서,,0,2001-01-17 00:00:00
4723000000,영천,71,-2,1,3,50,-11,0,0,마늘,PA120201,난지형 대서,,0,2001-01-18 00:00:00
4482500000,태안,0,0,0,5,0,-3,0,0,마늘,PA120201,난지형 대서,,0,2001-01-18 00:00:00
4482500000,태안,0,0,0,4,0,-4,0,0,마늘,PA120201,난지형 대서,,0,2001-01-19 00:00:00
4723000000,영천,80,0,0,7,55,-7,0,3,마늘,PA120201,난지형 대서,,0,2001-01-19 00:00:00
4723000000,영천,85,1,1,4,72,0,10,0,마늘,PA120201,난지형 대서,,0,2001-01-20 00:00:00
4482500000,태안,0,0,1,2,0,-2,2,0,마늘,PA120201,난지형 대서,,0,2001-01-20 00:00:00
4723000000,영천,69,0,2,4,42,-4,0,7,마늘,PA120201,난지형 대서,,0,2001-01-21 00:00:00
4482500000,태안,0,-1,0,3,0,-4,0,0,마늘,PA120201,난지형 대서,,0,2001-01-21 00:00:00
4482500000,태안,0,0,1,2,0,-3,0,0,마늘,PA120201,난지형 대서,,0,2001-01-22 00:00:00
4723000000,영천,78,-1,0,3,52,-5,0,0,마늘,PA120201,난지형 대서,,0,2001-01-22 00:00:00
4482500000,태안,0,-2,2,0,0,-4,0,0,마늘,PA120201,난지형 대서,,0,2001-01-23 00:00:00
4723000000,영천,70,-1,1,6,23,-8,0,7,마늘,PA120201,난지형 대서,,0,2001-01-23 00:00:00
4482500000,태안,0,0,0,6,0,-6,0,0,마늘,PA120201,난지형 대서,,0,2001-01-24 00:00:00
4723000000,영천,76,0,0,5,53,-7,0,0,마늘,PA120201,난지형 대서,,0,2001-01-24 00:00:00
4723000000,영천,70,3,1,7,44,0,0,0,마늘,PA120201,난지형 대서,,0,2001-01-25 00:00:00
4482500000,태안,0,1,3,4,0,0,0,0,마늘,PA120201,난지형 대서,,0,2001-01-25 00:00:00
4723000000,영천,58,4,4,5,49,2,0,0,마늘,PA120201,난지형 대서,,0,2001-01-26 00:00:00
4482500000,태안,0,1,4,4,0,0,0,0,마늘,PA120201,난지형 대서,,0,2001-01-26 00:00:00
4482500000,태안,0,0,1,1,0,-1,3,0,마늘,PA120201,난지형 대서,,0,2001-01-27 00:00:00
4723000000,영천,76,1,2,5,60,0,0,0,마늘,PA120201,난지형 대서,,0,2001-01-27 00:00:00
4723000000,영천,59,0,3,4,34,-4,0,2,마늘,PA120201,난지형 대서,,0,2001-01-28 00:00:00
4482500000,태안,0,-1,3,1,0,-4,0,0,마늘,PA120201,난지형 대서,,0,2001-01-28 00:00:00
4482500000,태안,0,-2,1,2,0,-5,0,0,마늘,PA120201,난지형 대서,,0,2001-01-29 00:00:00
4723000000,영천,58,-1,2,4,31,-8,0,7,마늘,PA120201,난지형 대서,,0,2001-01-29 00:00:00
4482500000,태안,0,-1,0,2,0,-5,0,0,마늘,PA120201,난지형 대서,,0,2001-01-30 00:00:00
