지역 아이디,지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,작물 명,작물별 특성아이디,작물별 특성 이름,특보 코드,특보 발효 여부,연월일
4482500000,태안,0,-1,1,4,0,-8,1,0,마늘,PA120101,한지형,,0,2001-01-01 00:00:00
4773000000,의성,56,-6,0,2,19,-14,0,6,마늘,PA120101,한지형,,0,2001-01-01 00:00:00
4482500000,태안,0,-1,2,3,0,-5,0,0,마늘,PA120101,한지형,,0,2001-01-02 00:00:00
4773000000,의성,49,0,2,5,31,-4,0,4,마늘,PA120101,한지형,,0,2001-01-02 00:00:00
4773000000,의성,41,-5,2,0,29,-11,0,6,마늘,PA120101,한지형,,0,2001-01-03 00:00:00
4482500000,태안,0,-5,1,-2,0,-8,0,0,마늘,PA120101,한지형,,0,2001-01-03 00:00:00
4773000000,의성,40,-6,2,-1,19,-13,0,7,마늘,PA120101,한지형,,0,2001-01-04 00:00:00
4482500000,태안,0,-6,2,-4,0,-8,0,0,마늘,PA120101,한지형,,0,2001-01-04 00:00:00
4773000000,의성,57,-8,0,1,24,-16,0,7,마늘,PA120101,한지형,,0,2001-01-05 00:00:00
4482500000,태안,0,-5,1,-1,0,-9,0,0,마늘,PA120101,한지형,,0,2001-01-05 00:00:00
4482500000,태안,0,-2,2,1,0,-7,0,0,마늘,PA120101,한지형,,0,2001-01-06 00:00:00
4773000000,의성,54,-4,0,3,22,-14,0,6,마늘,PA120101,한지형,,0,2001-01-06 00:00:00
4773000000,의성,81,1,1,4,50,0,22,0,마늘,PA120101,한지형,,0,2001-01-07 00:00:00
4482500000,태안,0,0,4,1,0,-1,26,0,마늘,PA120101,한지형,,0,2001-01-07 00:00:00
4773000000,의성,69,3,0,9,42,-1,0,4,마늘,PA120101,한지형,,0,2001-01-08 00:00:00
4482500000,태안,0,2,3,4,0,0,5,0,마늘,PA120101,한지형,,0,2001-01-08 00:00:00
4773000000,의성,76,1,1,3,52,-1,0,0,마늘,PA120101,한지형,,0,2001-01-09 00:00:00
4482500000,태안,0,0,3,3,0,-3,9,0,마늘,PA120101,한지형,,0,2001-01-09 00:00:00
4773000000,의성,51,-3,1,2,24,-8,0,7,마늘,PA120101,한지형,,0,2001-01-10 00:00:00
4482500000,태안,0,-3,1,1,0,-7,1,0,마늘,PA120101,한지형,,0,2001-01-10 00:00:00
4773000000,의성,49,-3,1,2,22,-9,0,7,마늘,PA120101,한지형,,0,2001-01-11 00:00:00
4482500000,태안,0,-5,2,2,0,-8,1,0,마늘,PA120101,한지형,,0,2001-01-11 00:00:00
4773000000,의성,44,-7,1,-2,27,-12,0,7,마늘,PA120101,한지형,,0,2001-01-12 00:00:00
4482500000,태안,0,-9,2,-7,0,-13,0,0,마늘,PA120101,한지형,,0,2001-01-12 00:00:00
4773000000,의성,53,-6,1,0,32,-9,0,3,마늘,PA120101,한지형,,0,2001-01-13 00:00:00
4482500000,태안,0,-7,3,-4,0,-9,0,0,마늘,PA120101,한지형,,0,2001-01-13 00:00:00
4773000000,의성,42,-10,2,-5,26,-14,0,7,마늘,PA120101,한지형,,0,2001-01-14 00:00:00
4482500000,태안,0,-10,2,-7,0,-11,0,0,마늘,PA120101,한지형,,0,2001-01-14 00:00:00
4773000000,의성,43,-11,1,-6,23,-16,0,7,마늘,PA120101,한지형,,0,2001-01-15 00:00:00
4482500000,태안,0,-10,2,-8,0,-12,0,0,마늘,PA120101,한지형,,0,2001-01-15 00:00:00
4773000000,의성,55,-11,1,-3,22,-18,0,7,마늘,PA120101,한지형,,0,2001-01-16 00:00:00
4482500000,태안,0,-9,1,-6,0,-12,0,0,마늘,PA120101,한지형,,0,2001-01-16 00:00:00
4773000000,의성,55,-9,0,0,17,-18,0,7,마늘,PA120101,한지형,,0,2001-01-17 00:00:00
4482500000,태안,0,-6,1,0,0,-14,0,0,마늘,PA120101,한지형,,0,2001-01-17 00:00:00
4773000000,의성,68,-4,0,2,56,-11,0,0,마늘,PA120101,한지형,,0,2001-01-18 00:00:00
4482500000,태안,0,0,0,5,0,-3,0,0,마늘,PA120101,한지형,,0,2001-01-18 00:00:00
4482500000,태안,0,0,0,4,0,-4,0,0,마늘,PA120101,한지형,,0,2001-01-19 00:00:00
4773000000,의성,71,-2,0,7,48,-10,0,3,마늘,PA120101,한지형,,0,2001-01-19 00:00:00
4773000000,의성,82,0,0,3,74,-4,4,0,마늘,PA120101,한지형,,0,2001-01-20 00:00:00
4482500000,태안,0,0,1,2,0,-2,2,0,마늘,PA120101,한지형,,0,2001-01-20 00:00:00
4773000000,의성,74,-3,0,4,44,-9,0,6,마늘,PA120101,한지형,,0,2001-01-21 00:00:00
4482500000,태안,0,-1,0,3,0,-4,0,0,마늘,PA120101,한지형,,0,2001-01-21 00:00:00
4482500000,태안,0,0,1,2,0,-3,0,0,마늘,PA120101,한지형,,0,2001-01-22 00:00:00
4773000000,의성,76,-3,0,3,49,-7,0,0,마늘,PA120101,한지형,,0,2001-01-22 00:00:00
4482500000,태안,0,-2,2,0,0,-4,0,0,마늘,PA120101,한지형,,0,2001-01-23 00:00:00
4773000000,의성,63,-3,0,5,19,-9,0,7,마늘,PA120101,한지형,,0,2001-01-23 00:00:00
4482500000,태안,0,0,0,6,0,-6,0,0,마늘,PA120101,한지형,,0,2001-01-24 00:00:00
4773000000,의성,69,-2,0,5,44,-9,0,0,마늘,PA120101,한지형,,0,2001-01-24 00:00:00
4773000000,의성,61,2,1,8,33,-2,0,1,마늘,PA120101,한지형,,0,2001-01-25 00:00:00
4482500000,태안,0,1,3,4,0,0,0,0,마늘,PA120101,한지형,,0,2001-01-25 00:00:00
4773000000,의성,55,2,2,4,42,0,0,0,마늘,PA120101,한지형,,0,2001-01-26 00:00:00
4482500000,태안,0,1,4,4,0,0,0,0,마늘,PA120101,한지형,,0,2001-01-26 00:00:00
4482500000,태안,0,0,1,1,0,-1,3,0,마늘,PA120101,한지형,,0,2001-01-27 00:00:00
4773000000,의성,78,0,0,4,60,-3,1,0,마늘,PA120101,한지형,,0,2001-01-27 00:00:00
4773000000,의성,52,0,2,3,29,-4,0,3,마늘,PA120101,한지형,,0,2001-01-28 00:00:00
4482500000,태안,0,-1,3,1,0,-4,0,0,마늘,PA120101,한지형,,0,2001-01-28 00:00:00
4482500000,태안,0,-2,1,2,0,-5,0,0,마늘,PA120101,한지형,,0,2001-01-29 00:00:00
4773000000,의성,64,-3,0,5,32,-12,0,6,마늘,PA120101,한지형,,0,2001-01-29 00:00:00
4482500000,태안,0,-1,0,2,0,-5,0,0,마늘,PA120101,한지형,,0,2001-01-30 00:00:00
4773000000,의성,65,-2,0,5,33,-9,0,8,마늘,PA120101,한지형,,0,2001-01-30 00:00:00
4482500000,태안,0,0,1,4,0,-4,3,0,마늘,PA120101,한지형,,0,2001-01-31 00:00:00
4773000000,의성,70,-2,0,3,47,-8,0,0,마늘,PA120101,한지형,,0,2001-01-31 00:00:00
4482500000,태안,0,-3,3,1,0,-6,0,0,마늘,PA120101,한지형,,0,2001-02-01 00:00:00
4773000000,의성,40,-1,2,1,21,-7,0,8,마늘,PA120101,한지형,,0,2001-02-01 00:00:00
4482500000,태안,0,-3,1,0,0,-9,0,0,마늘,PA120101,한지형,,0,2001-02-02 00:00:00
4773000000,의성,53,-6,0,2,20,-15,0,8,마늘,PA120101,한지형,,0,2001-02-02 00:00:00
4482500000,태안,0,1,0,5,0,-2,0,0,마늘,PA120101,한지형,,0,2001-02-03 00:00:00
4773000000,의성,69,-1,0,5,51,-8,0,3,마늘,PA120101,한지형,,0,2001-02-03 00:00:00
4482500000,태안,0,1,1,6,0,-1,0,0,마늘,PA120101,한지형,,0,2001-02-04 00:00:00
4773000000,의성,64,0,0,8,29,-4,0,1,마늘,PA120101,한지형,,0,2001-02-04 00:00:00
4482500000,태안,0,1,2,4,0,-2,0,0,마늘,PA120101,한지형,,0,2001-02-05 00:00:00
4773000000,의성,60,0,0,11,22,-7,0,8,마늘,PA120101,한지형,,0,2001-02-05 00:00:00
4482500000,태안,0,0,2,3,0,-1,0,0,마늘,PA120101,한지형,,0,2001-02-06 00:00:00
4773000000,의성,63,3,0,8,47,0,0,0,마늘,PA120101,한지형,,0,2001-02-06 00:00:00
4773000000,의성,52,1,1,6,29,-4,0,3,마늘,PA120101,한지형,,0,2001-02-07 00:00:00
4482500000,태안,0,-2,3,0,0,-5,0,0,마늘,PA120101,한지형,,0,2001-02-07 00:00:00
4482500000,태안,0,-3,1,0,0,-8,0,0,마늘,PA120101,한지형,,0,2001-02-08 00:00:00
4773000000,의성,46,-4,1,1,19,-11,0,8,마늘,PA120101,한지형,,0,2001-02-08 00:00:00
4482500000,태안,0,0,1,4,0,-4,0,0,마늘,PA120101,한지형,,0,2001-02-09 00:00:00
4773000000,의성,62,-4,0,5,38,-12,0,6,마늘,PA120101,한지형,,0,2001-02-09 00:00:00
4773000000,의성,56,-3,0,6,23,-10,0,8,마늘,PA120101,한지형,,0,2001-02-10 00:00:00
4482500000,태안,0,0,1,3,0,-5,0,0,마늘,PA120101,한지형,,0,2001-02-10 00:00:00
4773000000,의성,50,-3,0,5,18,-10,0,6,마늘,PA120101,한지형,,0,2001-02-11 00:00:00
4482500000,태안,0,-3,2,0,0,-4,0,0,마늘,PA120101,한지형,,0,2001-02-11 00:00:00
4482500000,태안,0,-4,2,-2,0,-5,0,0,마늘,PA120101,한지형,,0,2001-02-12 00:00:00
4773000000,의성,42,-2,0,2,19,-6,0,0,마늘,PA120101,한지형,,0,2001-02-12 00:00:00
4482500000,태안,0,-3,2,-1,0,-4,0,0,마늘,PA120101,한지형,,0,2001-02-13 00:00:00
4773000000,의성,40,-2,0,3,21,-8,0,6,마늘,PA120101,한지형,,0,2001-02-13 00:00:00
4773000000,의성,47,-4,1,3,20,-12,0,8,마늘,PA120101,한지형,,0,2001-02-14 00:00:00
4482500000,태안,0,-2,1,1,0,-6,0,0,마늘,PA120101,한지형,,0,2001-02-14 00:00:00
4482500000,태안,0,0,3,3,0,-3,10,0,마늘,PA120101,한지형,,0,2001-02-15 00:00:00
4773000000,의성,65,-2,1,7,30,-11,3,4,마늘,PA120101,한지형,,0,2001-02-15 00:00:00
4482500000,태안,0,-4,2,-2,0,-5,0,0,마늘,PA120101,한지형,,0,2001-02-16 00:00:00
4773000000,의성,52,-3,1,1,27,-9,0,9,마늘,PA120101,한지형,,0,2001-02-16 00:00:00
4773000000,의성,60,-3,0,3,38,-13,0,4,마늘,PA120101,한지형,,0,2001-02-17 00:00:00
4482500000,태안,0,-1,1,1,0,-5,0,0,마늘,PA120101,한지형,,0,2001-02-17 00:00:00
4773000000,의성,61,1,0,10,34,-6,0,8,마늘,PA120101,한지형,,0,2001-02-18 00:00:00
4482500000,태안,0,2,1,7,0,-1,0,0,마늘,PA120101,한지형,,0,2001-02-18 00:00:00
4482500000,태안,0,1,1,6,0,-2,0,0,마늘,PA120101,한지형,,0,2001-02-19 00:00:00
4773000000,의성,58,1,0,13,22,-6,0,8,마늘,PA120101,한지형,,0,2001-02-19 00:00:00
4482500000,태안,0,2,0,10,0,-5,0,0,마늘,PA120101,한지형,,0,2001-02-20 00:00:00
4773000000,의성,62,2,0,14,29,-5,0,8,마늘,PA120101,한지형,,0,2001-02-20 00:00:00
4482500000,태안,0,4,0,9,0,1,0,0,마늘,PA120101,한지형,,0,2001-02-21 00:00:00
4773000000,의성,77,1,0,8,65,-3,1,0,마늘,PA120101,한지형,,0,2001-02-21 00:00:00
4482500000,태안,0,2,0,11,0,-2,0,0,마늘,PA120101,한지형,,0,2001-02-22 00:00:00
4773000000,의성,68,3,0,16,25,-2,0,5,마늘,PA120101,한지형,,0,2001-02-22 00:00:00
4482500000,태안,0,2,3,7,0,-1,9,0,마늘,PA120101,한지형,,0,2001-02-23 00:00:00
4773000000,의성,75,2,1,5,67,-3,14,0,마늘,PA120101,한지형,,0,2001-02-23 00:00:00
4482500000,태안,0,0,3,1,0,-2,2,0,마늘,PA120101,한지형,,0,2001-02-24 00:00:00
4773000000,의성,76,1,1,3,60,0,5,0,마늘,PA120101,한지형,,0,2001-02-24 00:00:00
4773000000,의성,53,-1,1,4,25,-6,0,0,마늘,PA120101,한지형,,0,2001-02-25 00:00:00
4482500000,태안,0,0,1,4,0,-3,0,0,마늘,PA120101,한지형,,0,2001-02-25 00:00:00
4773000000,의성,58,-1,0,9,22,-9,0,10,마늘,PA120101,한지형,,0,2001-02-26 00:00:00
4482500000,태안,0,0,1,7,0,-4,0,0,마늘,PA120101,한지형,,0,2001-02-26 00:00:00
4482500000,태안,0,2,1,6,0,-3,11,0,마늘,PA120101,한지형,,0,2001-02-27 00:00:00
4773000000,의성,62,1,0,8,28,-7,8,9,마늘,PA120101,한지형,,0,2001-02-27 00:00:00
4773000000,의성,70,5,0,12,43,1,19,9,마늘,PA120101,한지형,,0,2001-02-28 00:00:00
4482500000,태안,0,1,2,6,0,0,3,0,마늘,PA120101,한지형,,0,2001-02-28 00:00:00
4773000000,의성,68,3,0,9,42,-2,0,8,마늘,PA120101,한지형,,0,2001-03-01 00:00:00
4482500000,태안,0,3,1,9,0,0,0,0,마늘,PA120101,한지형,,0,2001-03-01 00:00:00
4482500000,태안,0,2,1,4,0,-1,0,0,마늘,PA120101,한지형,,0,2001-03-02 00:00:00
4773000000,의성,62,2,0,12,25,-5,0,10,마늘,PA120101,한지형,,0,2001-03-02 00:00:00
4482500000,태안,0,3,2,8,0,0,2,0,마늘,PA120101,한지형,,0,2001-03-03 00:00:00
4773000000,의성,60,4,1,13,36,-1,2,8,마늘,PA120101,한지형,,0,2001-03-03 00:00:00
4482500000,태안,0,0,5,1,0,-3,0,0,마늘,PA120101,한지형,,0,2001-03-04 00:00:00
4773000000,의성,54,-1,3,2,42,-3,0,6,마늘,PA120101,한지형,,0,2001-03-04 00:00:00
4482500000,태안,0,2,2,6,0,0,0,0,마늘,PA120101,한지형,,0,2001-03-05 00:00:00
4773000000,의성,43,2,2,9,22,-3,0,10,마늘,PA120101,한지형,,0,2001-03-05 00:00:00
4773000000,의성,51,4,1,15,24,-5,0,3,마늘,PA120101,한지형,,0,2001-03-06 00:00:00
4482500000,태안,0,4,3,8,0,1,0,0,마늘,PA120101,한지형,,0,2001-03-06 00:00:00
4773000000,의성,40,0,3,17,6,-20,17,7,마늘,PA120101,한지형,,0,2001-03-07 00:00:00
4482500000,태안,0,-1,4,1,0,-3,0,0,마늘,PA120101,한지형,,0,2001-03-07 00:00:00
4773000000,의성,46,-3,3,0,27,-6,0,4,마늘,PA120101,한지형,,0,2001-03-08 00:00:00
4482500000,태안,0,-3,3,-1,0,-5,0,0,마늘,PA120101,한지형,,0,2001-03-08 00:00:00
4773000000,의성,47,-2,1,4,21,-10,0,8,마늘,PA120101,한지형,,0,2001-03-09 00:00:00
4482500000,태안,0,0,2,3,0,-6,0,0,마늘,PA120101,한지형,,0,2001-03-09 00:00:00
4482500000,태안,0,0,2,4,0,-2,0,0,마늘,PA120101,한지형,,0,2001-03-10 00:00:00
4773000000,의성,49,0,1,9,18,-6,0,7,마늘,PA120101,한지형,,0,2001-03-10 00:00:00
4773000000,의성,49,-1,0,8,15,-9,0,9,마늘,PA120101,한지형,,0,2001-03-11 00:00:00
4482500000,태안,0,0,1,3,0,-5,0,0,마늘,PA120101,한지형,,0,2001-03-11 00:00:00
4482500000,태안,0,0,1,4,0,-3,0,0,마늘,PA120101,한지형,,0,2001-03-12 00:00:00
4773000000,의성,47,0,1,8,20,-8,0,9,마늘,PA120101,한지형,,0,2001-03-12 00:00:00
4482500000,태안,0,2,1,8,0,-3,0,0,마늘,PA120101,한지형,,0,2001-03-13 00:00:00
4773000000,의성,52,1,0,13,19,-8,0,9,마늘,PA120101,한지형,,0,2001-03-13 00:00:00
4482500000,태안,0,7,3,12,0,2,0,0,마늘,PA120101,한지형,,0,2001-03-14 00:00:00
4773000000,의성,54,7,1,18,28,-5,0,7,마늘,PA120101,한지형,,0,2001-03-14 00:00:00
4773000000,의성,46,6,2,13,19,-3,0,8,마늘,PA120101,한지형,,0,2001-03-15 00:00:00
4482500000,태안,0,2,3,6,0,0,0,0,마늘,PA120101,한지형,,0,2001-03-15 00:00:00
4773000000,의성,44,3,0,13,13,-8,0,8,마늘,PA120101,한지형,,0,2001-03-16 00:00:00
4482500000,태안,0,3,1,10,0,-2,0,0,마늘,PA120101,한지형,,0,2001-03-16 00:00:00
4773000000,의성,46,5,0,12,30,1,0,3,마늘,PA120101,한지형,,0,2001-03-17 00:00:00
