지역 아이디,지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,작물 명,작물별 특성아이디,작물별 특성 이름,특보 코드,특보 발효 여부,연월일
4888000000,거창,48,-1,1,6,18,-11,0,7,사과,PA200101,-,,0,2001-01-01 00:00:00
4773000000,의성,56,-6,0,2,19,-14,0,6,사과,PA200101,-,,0,2001-01-01 00:00:00
4888000000,거창,45,2,3,5,33,-3,0,4,사과,PA200101,-,,0,2001-01-02 00:00:00
4773000000,의성,49,0,2,5,31,-4,0,4,사과,PA200101,-,,0,2001-01-02 00:00:00
4773000000,의성,41,-5,2,0,29,-11,0,6,사과,PA200101,-,,0,2001-01-03 00:00:00
4888000000,거창,54,-3,1,0,35,-7,0,4,사과,PA200101,-,,0,2001-01-03 00:00:00
4773000000,의성,40,-6,2,-1,19,-13,0,7,사과,PA200101,-,,0,2001-01-04 00:00:00
4888000000,거창,43,-4,2,0,22,-9,0,8,사과,PA200101,-,,0,2001-01-04 00:00:00
4773000000,의성,57,-8,0,1,24,-16,0,7,사과,PA200101,-,,0,2001-01-05 00:00:00
4888000000,거창,51,-5,1,2,32,-11,0,8,사과,PA200101,-,,0,2001-01-05 00:00:00
4888000000,거창,50,-3,0,4,24,-11,0,7,사과,PA200101,-,,0,2001-01-06 00:00:00
4773000000,의성,54,-4,0,3,22,-14,0,6,사과,PA200101,-,,0,2001-01-06 00:00:00
4773000000,의성,81,1,1,4,50,0,22,0,사과,PA200101,-,,0,2001-01-07 00:00:00
4888000000,거창,81,0,0,2,41,-3,0,0,사과,PA200101,-,,0,2001-01-07 00:00:00
4773000000,의성,69,3,0,9,42,-1,0,4,사과,PA200101,-,,0,2001-01-08 00:00:00
4888000000,거창,76,1,0,9,49,-3,0,4,사과,PA200101,-,,0,2001-01-08 00:00:00
4773000000,의성,76,1,1,3,52,-1,0,0,사과,PA200101,-,,0,2001-01-09 00:00:00
4888000000,거창,78,0,0,4,47,-2,4,0,사과,PA200101,-,,0,2001-01-09 00:00:00
4773000000,의성,51,-3,1,2,24,-8,0,7,사과,PA200101,-,,0,2001-01-10 00:00:00
4888000000,거창,53,-4,0,3,23,-9,0,9,사과,PA200101,-,,0,2001-01-10 00:00:00
4773000000,의성,49,-3,1,2,22,-9,0,7,사과,PA200101,-,,0,2001-01-11 00:00:00
4888000000,거창,48,-3,1,3,25,-10,0,7,사과,PA200101,-,,0,2001-01-11 00:00:00
4773000000,의성,44,-7,1,-2,27,-12,0,7,사과,PA200101,-,,0,2001-01-12 00:00:00
4888000000,거창,52,-5,2,1,33,-9,0,8,사과,PA200101,-,,0,2001-01-12 00:00:00
4773000000,의성,53,-6,1,0,32,-9,0,3,사과,PA200101,-,,0,2001-01-13 00:00:00
4888000000,거창,63,-5,1,1,41,-7,3,4,사과,PA200101,-,,0,2001-01-13 00:00:00
4773000000,의성,42,-10,2,-5,26,-14,0,7,사과,PA200101,-,,0,2001-01-14 00:00:00
4888000000,거창,54,-9,2,-5,36,-14,0,8,사과,PA200101,-,,0,2001-01-14 00:00:00
4773000000,의성,43,-11,1,-6,23,-16,0,7,사과,PA200101,-,,0,2001-01-15 00:00:00
4888000000,거창,44,-9,2,-5,22,-12,0,8,사과,PA200101,-,,0,2001-01-15 00:00:00
4773000000,의성,55,-11,1,-3,22,-18,0,7,사과,PA200101,-,,0,2001-01-16 00:00:00
4888000000,거창,40,-9,2,-4,16,-15,0,8,사과,PA200101,-,,0,2001-01-16 00:00:00
4773000000,의성,55,-9,0,0,17,-18,0,7,사과,PA200101,-,,0,2001-01-17 00:00:00
4888000000,거창,54,-7,0,1,27,-15,0,8,사과,PA200101,-,,0,2001-01-17 00:00:00
4773000000,의성,68,-4,0,2,56,-11,0,0,사과,PA200101,-,,0,2001-01-18 00:00:00
4888000000,거창,69,-5,0,4,49,-14,0,1,사과,PA200101,-,,0,2001-01-18 00:00:00
4888000000,거창,75,-2,0,4,50,-10,0,2,사과,PA200101,-,,0,2001-01-19 00:00:00
4773000000,의성,71,-2,0,7,48,-10,0,3,사과,PA200101,-,,0,2001-01-19 00:00:00
4773000000,의성,82,0,0,3,74,-4,4,0,사과,PA200101,-,,0,2001-01-20 00:00:00
4888000000,거창,79,1,0,6,56,-2,0,2,사과,PA200101,-,,0,2001-01-20 00:00:00
4773000000,의성,74,-3,0,4,44,-9,0,6,사과,PA200101,-,,0,2001-01-21 00:00:00
4888000000,거창,69,-3,0,5,42,-10,0,8,사과,PA200101,-,,0,2001-01-21 00:00:00
4888000000,거창,70,-3,0,4,47,-8,0,0,사과,PA200101,-,,0,2001-01-22 00:00:00
4773000000,의성,76,-3,0,3,49,-7,0,0,사과,PA200101,-,,0,2001-01-22 00:00:00
4888000000,거창,55,-4,0,5,18,-13,0,7,사과,PA200101,-,,0,2001-01-23 00:00:00
4773000000,의성,63,-3,0,5,19,-9,0,7,사과,PA200101,-,,0,2001-01-23 00:00:00
4888000000,거창,69,-4,0,1,51,-12,0,0,사과,PA200101,-,,0,2001-01-24 00:00:00
4773000000,의성,69,-2,0,5,44,-9,0,0,사과,PA200101,-,,0,2001-01-24 00:00:00
4773000000,의성,61,2,1,8,33,-2,0,1,사과,PA200101,-,,0,2001-01-25 00:00:00
4888000000,거창,72,0,0,4,57,-1,0,0,사과,PA200101,-,,0,2001-01-25 00:00:00
4773000000,의성,55,2,2,4,42,0,0,0,사과,PA200101,-,,0,2001-01-26 00:00:00
4888000000,거창,61,1,2,3,51,0,0,0,사과,PA200101,-,,0,2001-01-26 00:00:00
4888000000,거창,72,1,1,5,51,-1,1,5,사과,PA200101,-,,0,2001-01-27 00:00:00
4773000000,의성,78,0,0,4,60,-3,1,0,사과,PA200101,-,,0,2001-01-27 00:00:00
4773000000,의성,52,0,2,3,29,-4,0,3,사과,PA200101,-,,0,2001-01-28 00:00:00
4888000000,거창,58,-1,2,2,33,-5,1,0,사과,PA200101,-,,0,2001-01-28 00:00:00
4888000000,거창,62,-3,1,3,39,-11,0,8,사과,PA200101,-,,0,2001-01-29 00:00:00
4773000000,의성,64,-3,0,5,32,-12,0,6,사과,PA200101,-,,0,2001-01-29 00:00:00
4888000000,거창,63,-2,0,4,36,-8,0,7,사과,PA200101,-,,0,2001-01-30 00:00:00
4773000000,의성,65,-2,0,5,33,-9,0,8,사과,PA200101,-,,0,2001-01-30 00:00:00
4888000000,거창,68,-2,0,3,48,-10,0,0,사과,PA200101,-,,0,2001-01-31 00:00:00
4773000000,의성,70,-2,0,3,47,-8,0,0,사과,PA200101,-,,0,2001-01-31 00:00:00
4888000000,거창,38,-2,3,4,27,-10,0,8,사과,PA200101,-,,0,2001-02-01 00:00:00
4773000000,의성,40,-1,2,1,21,-7,0,8,사과,PA200101,-,,0,2001-02-01 00:00:00
