지역 아이디,지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,작물 명,작물별 특성아이디,작물별 특성 이름,특보 코드,특보 발효 여부,연월일
4887000000,함양,0,0,0,0,0,0,0,0,팥,PA330101,적두,,0,2001-01-01 00:00:00
4315000000,제천,64,-7,0,-1,28,-15,0,4,팥,PA330101,적두,,0,2001-01-01 00:00:00
4887000000,함양,0,0,0,0,0,0,0,0,팥,PA330101,적두,,0,2001-01-02 00:00:00
4315000000,제천,62,-4,3,-1,42,-9,0,0,팥,PA330101,적두,,0,2001-01-02 00:00:00
4315000000,제천,52,-9,3,-4,34,-15,0,6,팥,PA330101,적두,,0,2001-01-03 00:00:00
4887000000,함양,0,0,0,0,0,0,0,0,팥,PA330101,적두,,0,2001-01-03 00:00:00
4315000000,제천,50,-11,2,-5,26,-14,0,6,팥,PA330101,적두,,0,2001-01-04 00:00:00
4887000000,함양,0,0,0,0,0,0,0,0,팥,PA330101,적두,,0,2001-01-04 00:00:00
4315000000,제천,65,-10,1,-2,37,-17,0,6,팥,PA330101,적두,,0,2001-01-05 00:00:00
4887000000,함양,0,0,0,0,0,0,0,0,팥,PA330101,적두,,0,2001-01-05 00:00:00
4887000000,함양,0,0,0,0,0,0,0,0,팥,PA330101,적두,,0,2001-01-06 00:00:00
4315000000,제천,57,-6,1,1,23,-16,0,5,팥,PA330101,적두,,0,2001-01-06 00:00:00
4315000000,제천,78,0,3,2,45,-2,14,0,팥,PA330101,적두,,0,2001-01-07 00:00:00
4887000000,함양,0,0,0,0,0,0,0,0,팥,PA330101,적두,,0,2001-01-07 00:00:00
4315000000,제천,68,0,2,3,58,-3,8,6,팥,PA330101,적두,,0,2001-01-08 00:00:00
4887000000,함양,0,0,0,0,0,0,0,0,팥,PA330101,적두,,0,2001-01-08 00:00:00
4315000000,제천,77,0,2,2,61,-3,3,0,팥,PA330101,적두,,0,2001-01-09 00:00:00
4887000000,함양,0,0,0,0,0,0,0,0,팥,PA330101,적두,,0,2001-01-09 00:00:00
4315000000,제천,70,-7,1,0,34,-13,0,7,팥,PA330101,적두,,0,2001-01-10 00:00:00
