코드,코드 설명
CR001,옥수수
CR002,수수
CR003,조
CR004,메밀
CR005,사과
CR006,배
CR007,포도
CR008,감귤
CR009,참다래
CR010,메실
CR011,유자
CR012,단감
CR013,복숭아
CR014,수박
CR015,참외
CR016,딸기
CR017,오이
CR018,토마토
CR019,메론
CR020,호박
CR021,가지
CR022,고추
CR023,피망
CR024,마
CR025,우엉
CR026,도라지
CR027,생강
CR028,무
CR029,당근
CR030,콩
CR031,논콩
CR032,감자
CR033,고구마
CR034,참깨
CR035,들깨
CR036,땅콩
CR037,유채
CR038,배추
CR039,양배추
CR040,시금치
CR041,쑥갓
CR042,부추
CR043,케일
CR044,상추
CR045,양상추
CR046,신선초
CR047,샐러리
CR048,양파
CR049,마늘
CR050,구기자
CR051,산수유
CR052,오미자
CR053,황기
CR054,당귀
CR055,강활
CR056,인삼
CR057,보리
CR058,밀
CR059,곰취
CR060,참취
CR061,곤달비
CR062,복분자
CR063,맥문동
CR064,팥
