파일명	테이블명
감귤_-_dataset.csv	gamgul
감자_가을_dataset.csv	potato_fall
감자_고랭지_dataset.csv	potato_highland
감자_봄_dataset.csv	potato_spring
고추_-_dataset.csv	chili
단감_-_dataset.csv	dangam
당근_-_dataset.csv	carrot
대파_-_dataset.csv	largeonion
땅콩_-_dataset.csv	peanut
마늘_-_dataset.csv	garlic
무_가을_dataset.csv	daikon_fall
무_겨울_dataset.csv	daikon_winter
무_고랭지_dataset.csv	daikon_highland
무_봄_dataset.csv	daikon_spring
배_-_dataset.csv	pear
배추_가을_dataset.csv	napacabbage_fall
배추_겨울_dataset.csv	napacabbage_winter
배추_고랭지_dataset.csv	napacabbage_highland
배추_봄_dataset.csv	napacabbage_spring
복숭아_-_dataset.csv	peach
사과_-_dataset.csv	apple
생강_-_dataset.csv	ginger
시금치_-_dataset.csv	spinach
양배추_-_dataset.csv	cabbage
양파_-_dataset.csv	onion
쪽파_-_dataset.csv	chives
참깨_-_dataset.csv	sesame
포도_-_dataset.csv	grape
