지역 이름,년도,생산량,면적,일 평균기온,일 최저기온,일 최고기온,일 평균풍속,일 평균상대습도,일 최저상대습도,일 강수량,일 누적일조시간
경상남도,2001,43588,2236,13.036184210526315,7.434210526315789,19.88486842105263,0.8519736842105263,63.8453947368421,39.67434210526316,3.2960526315789473,6.980263157894737
경상북도,2001,242561,16854,12.789473684210526,6.401315789473684,20.44407894736842,0.4473684210526316,58.88815789473684,34.17434210526316,1.9967105263157894,7.421052631578948
경상남도,2002,41094,2366,13.710526315789474,8.177631578947368,20.20394736842105,0.9177631578947368,70.14473684210526,42.05921052631579,5.5230263157894735,7.947368421052632
경상북도,2002,274900,16663,12.532894736842104,5.6118421052631575,19.89144736842105,0.3717105263157895,61.82236842105263,37.098684210526315,4.509868421052632,5.677631578947368
경상남도,2003,28061,2390,12.707236842105264,7.6019736842105265,19.05592105263158,0.75,74.89473684210526,45.12171052631579,6.118421052631579,7.0855263157894735
경상북도,2003,230935,16778,11.970394736842104,6.506578947368421,18.707236842105264,0.4375,72.5032894736842,46.20723684210526,5.3125,4.618421052631579
경상남도,2004,33898,2505,13.481967213114753,7.508196721311475,20.56393442622951,0.9016393442622951,67.47213114754098,36.79344262295082,4.770491803278689,6.0426229508196725
경상북도,2004,219048,16775,13.259016393442623,6.901639344262295,20.675409836065572,0.7081967213114754,65.19344262295083,38.98360655737705,4.593442622950819,5.4557377049180324
경상북도,2005,219723,16774,13.046052631578947,6.769736842105263,20.05263157894737,0.7532894736842105,65.58881578947368,44.85197368421053,2.6710526315789473,5.233552631578948
경상남도,2005,38952,2506,13.851973684210526,8.194078947368421,20.50986842105263,0.9671052631578947,67.67434210526316,38.766447368421055,3.911184210526316,5.901315789473684
경상북도,2006,253441,18439,13.417763157894736,7.365131578947368,20.48355263157895,0.6447368421052632,66.98026315789474,44.9703947368421,4.322368421052632,5.046052631578948
경상남도,2006,43731,2408,13.983552631578947,8.414473684210526,20.68421052631579,0.8388157894736842,68.65131578947368,40.13157894736842,4.302631578947368,5.496710526315789
경상북도,2007,271418,19050,14.213815789473685,8.259868421052632,21.30263157894737,0.6447368421052632,71.0592105263158,39.6875,4.121710526315789,4.776315789473684
경상남도,2007,49847,2493,14.601973684210526,9.19078947368421,21.223684210526315,0.875,69.09539473684211,39.69736842105263,5.516447368421052,4.953947368421052
