지역 이름,년도,생산량,면적,일 평균기온,일 최저기온,일 최고기온,일 평균풍속,일 평균상대습도,일 최저상대습도,일 강수량,일 누적일조시간
경상남도,2001,230375,3811,,,,,,,,
전라남도,2001,518530,9353,,,,,,,,
경상남도,2002,190281,3094,,,,,,,,
전라남도,2002,446844,7435,,,,,,,,
경상남도,2003,127140,2161,,,,,,,,
전라남도,2003,408110,6658,,,,,,,,
경상남도,2004,146649,2243,,,,,,,,
전라남도,2004,524744,9010,,,,,,,,
전라남도,2005,521677,8653,,,,,,,,
경상남도,2005,193610,3042,,,,,,,,
전라남도,2006,479252,8571,,,,,,,,
경상남도,2006,167712,2706,,,,,,,,
전라남도,2007,678843,9731,,,,,,,,
경상남도,2007,205558,2913,,,,,,,,
경상남도,2008,196688,2812,,,,,,,,
전라남도,2008,535704,8165,,,,,,,,
전라남도,2009,750714,10152,,,,,,,,
경상남도,2009,271633,3239,,,,,,,,
경상남도,2010,306291,4282,,,,,,,,
전라남도,2010,751059,11754,,,,,,,,
경상남도,2011,357453,4842,,,,,,,,
전라남도,2011,780648,12166,,,,,,,,
전라남도,2012,582994,10715,,,,,,,,
경상남도,2012,282022,4493,,,,,,,,
전라남도,2013,580151,10124,,,,,,,,
경상남도,2013,379299,4609,,,,,,,,
경상남도,2014,383139,5294,,,,,,,,
전라남도,2014,763335,12080,,,,,,,,
전라남도,2015,543208,9171,,,,,,,,
경상남도,2015,247845,3766,,,,,,,,
전라남도,2016,569472,9521,,,,,,,,
경상남도,2016,353063,4749,,,,,,,,
전라남도,2017,514896,9230,,,,,,,,
경상남도,2017,239459,3938,,,,,,,,
전라남도,2018,558659,11327,,,,,,,,
경상남도,2018,361120,5471,,,,,,,,
경상남도,2019,353752,4330,,,,,,,,
전라남도,2019,581958,8467,,,,,,,,
