지역 이름,년도,생산량,면적,일 평균기온,일 최저기온,일 최고기온,일 평균풍속,일 평균상대습도,일 최저상대습도,일 강수량,일 누적일조시간
제주도,2001,765,301,0.7717187917669074,0.7844827586206896,0.7277611194402801,0.1925287356321839,0.6975862068965517,0.540694299314989,0.01211001642036125,0.43280282935455355
전라북도,2001,1719,792,0.7540764501470194,0.7200888192267502,0.765367316341829,0.05459770114942529,0.7135057471264368,0.49535585742482297,0.010632183908045979,0.4403183023872679
충청남도,2001,2385,928,0.7403100775193797,0.7336729362591431,0.7296351824087955,0.11206896551724138,0.0,0.0,0.00908593322386426,0.0
제주도,2002,487,314,0.7530072173215716,0.769984326018809,0.699400299850075,0.19348659003831417,0.7516091954022989,0.6043190525949147,0.01784345922276957,0.4067197170645447
전라북도,2002,2495,1124,0.7384389200748463,0.7122518286311389,0.7431284357821089,0.053639846743295014,0.7391379310344827,0.5353535353535355,0.011425834701696771,0.40274093722369586
충청남도,2002,3006,1105,0.7195936915263298,0.7044148380355276,0.7075212393803099,0.10392720306513412,0.0,0.0,0.013081554460864809,0.0
제주도,2003,305,285,0.7578187650360865,0.7703761755485894,0.7200149925037483,0.1882183908045977,0.7712643678160919,0.6190061534889122,0.02027914614121511,0.39832007073386394
전라북도,2003,1287,711,0.7289494787489975,0.7070271682340646,0.7257621189405298,0.026819923371647507,0.6824712643678161,0.5099849065366308,0.020347564313081552,0.361184792219275
충청남도,2003,1465,718,0.7306869820903501,0.7186520376175549,0.7115192403798101,0.10009578544061304,0.0,0.0,0.01390257252326218,0.0
제주도,2004,441,264,0.7747928361400694,0.7826541274817139,0.7368815592203899,0.16379310344827583,0.7251149425287358,0.5726227795193313,0.013752052545155996,0.4664014146772768
전라북도,2004,1434,618,0.7497995188452282,0.7228317659352141,0.7539980009995003,0.03400383141762452,0.6444827586206896,0.472077092766748,0.014107827038861523,0.4266136162687888
충청남도,2004,1012,482,0.7404437316225607,0.7314524555903867,0.7233883058470766,0.13170498084291185,0.0,0.0,0.014121510673234812,0.0
제주도,2005,225,147,0.7931034482758621,0.8057732497387669,0.7478760619690156,0.21264367816091953,0.6771839080459771,0.5148612562405667,0.005815544608648057,0.4389920424403183
전라북도,2005,1739,753,0.7544774124565622,0.7322361546499478,0.769240379810095,0.07950191570881225,0.6849999999999999,0.45535817949611057,0.01772030651340996,0.36472148541114063
충청남도,2005,1097,494,0.7428495054798182,0.7369383490073147,0.7202648675662169,0.13457854406130268,0.0,0.0,0.014025725232621782,0.0
전라북도,2006,1383,562,0.7455225875434376,0.7181295715778475,0.753623188405797,0.058908045977011485,0.6832758620689656,0.4530941599907117,0.013095238095238094,0.350132625994695
충청남도,2006,818,303,0.7431168136861802,0.7351097178683386,0.7222638680659671,0.11829501915708812,0.0,0.0,0.009154351395730707,0.0
제주도,2006,180,149,0.7604918470997061,0.7723354231974924,0.7146426786606697,0.1973180076628353,0.6905172413793104,0.5296644606989435,0.014915161466885608,0.3961096374889479
충청남도,2007,954,388,0.7214648489708635,0.7225705329153607,0.6965267366316841,0.14319923371647508,0.0,0.0,0.013820470717022443,0.0
제주도,2007,116,184,0.7755947607591552,0.7889237199582028,0.7266366816591704,0.21216475095785442,0.679022988505747,0.5080111459421804,0.022468527640941437,0.3965517241379311
전라북도,2007,1534,664,0.7620956963378774,0.7394200626959249,0.7622438780609695,0.062260536398467424,0.7048850574712645,0.49152443980030197,0.017391899288451015,0.3443854995579133
충청남도,2008,1447,550,0.7321571772253407,0.7223092998955069,0.7180159920039982,0.11398467432950193,0.0,0.0,0.009482758620689655,0.0
제주도,2008,102,68,0.7647687784014968,0.7791274817136886,0.7141429285357322,0.2064176245210728,0.6985632183908046,0.5029606408916754,0.010727969348659005,0.3846153846153846
전라북도,2008,1400,560,0.76797647687784,0.7366771159874609,0.7804847576211896,0.08189655172413791,0.6997701149425288,0.4493207941483804,0.008429118773946361,0.38770999115826704
충청남도,2009,1810,678,0.7276129377171878,0.7097701149425288,0.7191404297851075,0.12452107279693485,0.0,0.0,0.010495347564313083,0.0
제주도,2009,169,112,0.7646351242983159,0.7746865203761757,0.7172663668165917,0.23371647509578547,0.6637931034482759,0.49181469871125044,0.01195949644225506,0.43589743589743596
전라북도,2009,2397,807,0.7571504945201816,0.7242685475444095,0.7638680659670165,0.09722222222222221,0.6700574712643679,0.42511320097527,0.015325670498084292,0.4447391688770999
충청남도,2010,1827,771,0.7365677626303125,0.7301462904911181,0.7236381809095453,0.13409961685823757,0.0,0.0,0.0259168035030104,0.0
전라북도,2010,3374,1121,0.7765303394814221,0.7547021943573667,0.7748625687156422,0.09243295019157087,0.6991379310344827,0.46702658771624284,0.01839080459770115,0.3726790450928382
제주도,2010,316,204,0.772921678695536,0.7839602925809824,0.7250124937531234,0.1843869731800766,0.7051149425287356,0.5408104028793684,0.013191023535851124,0.42484526967285596
전라북도,2011,1522,590,0.759288960171077,0.7348484848484849,0.7604947526236883,0.09386973180076627,0.6991954022988507,0.4555323348426797,0.018609742747673786,0.365605658709107
충청남도,2011,1198,537,0.722667735899492,0.7148641588296761,0.7063968015992005,0.14367816091954022,0.7362643678160921,0.5699523975386045,0.018609742747673783,0.0
제주도,2011,211,118,0.76797647687784,0.7814785788923722,0.7205147426286859,0.20354406130268202,0.7404597701149426,0.5723905723905724,0.013711001642036128,0.40804597701149425
전라북도,2012,1349,525,0.776396685378241,0.7486938349007315,0.7813593203398302,0.08716475095785439,0.6761494252873562,0.4265064437478231,0.01566776135741653,0.39080459770114945
충청남도,2012,1485,505,0.7528735632183906,0.7390282131661442,0.7423788105947028,0.13218390804597702,0.7156321839080461,0.48984093811680024,0.02287903667214012,0.0
제주도,2012,133,133,0.7753274525527931,0.7917972831765937,0.7227636181909047,0.19444444444444445,0.7671264367816093,0.6047254150702427,0.022126436781609197,0.42086648983200714
전라북도,2013,1695,614,0.7808072707832131,0.7520898641588297,0.785857071464268,0.08668582375478927,0.6962068965517242,0.4525136421688146,0.010755336617405582,0.4951370468611848
충청남도,2013,1832,623,0.7452552793370757,0.7298850574712645,0.7308845577211396,0.12452107279693485,0.7559195402298853,0.522059677232091,0.01081007115489874,0.0
제주도,2013,377,226,0.7955092221331195,0.8068181818181818,0.74800099950025,0.19731800766283522,0.7548850574712646,0.6000232207128758,0.006746031746031747,0.4787798408488064
전라북도,2014,2940,833,0.7540764501470193,0.727533960292581,0.7601199400299851,0.0900383141762452,0.7136206896551726,0.45535817949611057,0.011548987411056377,0.46507515473032707
충청남도,2014,1669,625,0.7356321839080459,0.7206112852664578,0.7297601199400302,0.11829501915708814,0.7494252873563217,0.49390456287008017,0.009428024083196498,0.0
제주도,2014,232,161,0.7645014701951349,0.785135841170324,0.7113943028485759,0.19827586206896552,0.7545977011494254,0.6007778938813423,0.013519430760810072,0.3788682581786031
충청남도,2015,1704,602,0.7431168136861801,0.7196969696969696,0.7428785607196401,0.12691570881226058,0.6550000000000001,0.44276094276094274,0.005473453749315818,0.0
제주도,2015,195,118,0.7722534081796312,0.7861807732497389,0.7280109945027488,0.18342911877394635,0.7456896551724138,0.5859746894229654,0.015079365079365081,0.4606542882404952
전라북도,2015,2823,763,0.760358192996525,0.7250522466039708,0.7743628185907048,0.08908045977011493,0.7356896551724137,0.456287008011146,0.007936507936507936,0.45667550839964627
제주도,2016,2,1,0.7939053728949477,0.8085161964472309,0.7476261869065467,0.19300766283524906,0.7708045977011494,0.6137234413096482,0.011288998357963875,0.42705570291777195
전라북도,2016,4249,1121,0.7836140069500133,0.7550940438871473,0.789480259870065,0.08764367816091954,0.7266666666666667,0.4908858701962151,0.011507936507936509,0.5296198054818746
충청남도,2016,2273,750,0.7626303127506013,0.7420323928944619,0.759495252373813,0.12595785440613025,0.6682758620689655,0.42952513642168816,0.008839627805145049,0.0
제주도,2017,2,1,0.8037957765303395,0.8151776384535006,0.7619940029985007,0.1877394636015326,0.7156896551724138,0.5322767908974807,0.00666392993979201,0.47966401414677273
전라북도,2017,4199,1088,0.7543437583533814,0.7211337513061651,0.7641179410294853,0.09003831417624522,0.7654597701149425,0.5260071984209916,0.008593322386425834,0.5128205128205128
충청남도,2017,1908,640,0.7444533547179898,0.728448275862069,0.7401299350324838,0.12404214559386975,0.7732183908045979,0.5414489724834552,0.008251231527093597,0.0
제주도,2018,3,1,0.7944399893076718,0.8096917450365727,0.7478760619690156,0.19731800766283528,0.771896551724138,0.607105538140021,0.01817186644772852,0.4389920424403183
전라북도,2018,2116,730,0.7611601176156108,0.7283176593521421,0.7692403798100949,0.09770114942528736,0.8108620689655173,0.576744456054801,0.012465790914066778,0.502210433244916
충청남도,2018,1524,473,0.7469927826784283,0.7291013584117033,0.740254872563718,0.11494252873563218,0.7850574712643678,0.5635086497155464,0.009469074986316365,0.0
제주도,2019,5,3,0.7829457364341086,0.7988505747126436,0.7345077461269367,0.19827586206896552,0.7605172413793104,0.5992685475444096,0.023713738368910785,0.42086648983200703
전라북도,2019,2347,671,0.7436514300989039,0.7178683385579936,0.7467516241879061,0.07519157088122605,0.7706896551724137,0.5432485777313363,0.013656267104542966,0.3452696728558798
충청남도,2019,1247,403,0.7369687249398555,0.7229623824451411,0.7293853073463267,0.10440613026819924,0.7949999999999999,0.5783118541739233,0.007936507936507938,0.0
