지역 이름,년도,생산량,면적,일 평균기온,일 최저기온,일 최고기온,일 평균풍속,일 평균상대습도,일 최저상대습도,일 강수량,일 누적일조시간
강원도,2001,67685,2895,0.37678307919331033,0.37642782969885774,0.4363010329562223,-0.2803738317757009,-0.044452432302899594,0.0605607476635514,4.542056074766355,1.0062305295950156
충청남도,2001,22982,1260,0.3064436792916871,0.39615784008307364,0.3300541072306935,0.9906542056074766,-0.8333333333333333,-0.6399999999999999,2.4953271028037385,0.0
강원도,2002,76259,2626,0.3507132316773241,0.37383177570093457,0.36645351696999506,-0.3644859813084112,-0.01965013179966451,0.06074766355140187,4.02803738317757,1.0950155763239875
충청남도,2002,32856,1369,0.28775209050664036,0.3515057113187954,0.2828332513526808,1.0186915887850467,-0.8333333333333333,-0.6399999999999999,5.224299065420561,0.0
강원도,2003,45822,1994,0.3000491883915396,0.3660436137071651,0.33202164289227737,-0.2897196261682243,0.030673376467768985,0.1646728971962617,4.747663551401869,0.9190031152647976
충청남도,2003,31142,1328,0.2616822429906542,0.3478712357217029,0.23757993113625178,0.5887850467289719,-0.8333333333333333,-0.6399999999999999,6.579439252336448,0.0
강원도,2004,60110,2214,0.34136743728480073,0.3987538940809969,0.32267584849975406,-0.14953271028037382,0.03798226695422957,0.20654205607476633,7.514018691588785,0.7990654205607478
충청남도,2004,37637,1616,0.30201672405312346,0.3847352024922119,0.26414166256763405,1.0934579439252337,-0.8333333333333333,-0.6399999999999999,6.672897196261682,0.0
충청남도,2005,59868,1970,0.31136251844564683,0.39667705088265826,0.28824397442203636,1.074766355140187,-0.8333333333333333,-0.6399999999999999,4.261682242990654,0.0
강원도,2005,72816,2573,0.3615346778160354,0.3997923156801661,0.36301032956222334,0.037383177570093455,-0.018931224538701177,0.0947663551401869,4.345794392523365,0.9610591900311525
충청남도,2006,49426,1641,0.27102803738317754,0.39096573208722746,0.23807181505164782,1.0934579439252337,-0.8333333333333333,-0.6399999999999999,6.4485981308411215,0.0
강원도,2006,61864,2210,0.29955730447614365,0.3805815160955347,0.2764387604525332,0.08411214953271028,0.011143062544931701,0.17009345794392522,9.869158878504672,0.7461059190031152
충청남도,2007,48039,1611,0.29906542056074764,0.3213914849428868,0.18494835218888347,0.8785046728971962,-0.8333333333333333,-0.6399999999999999,3.2242990654205608,0.0
강원도,2007,57100,1872,0.3152975897688145,0.35565939771547245,0.31529758976881456,-0.3644859813084112,0.06290438533429188,0.12728971962616822,3.8317757009345796,0.9252336448598132
강원도,2008,61062,1787,0.3167732415150024,0.3634475597092419,0.32021642892277424,-0.3177570093457944,0.03283009825065899,0.1616822429906542,5.018691588785047,0.9548286604361371
충청남도,2008,45497,1495,0.30152484013772746,0.3878504672897196,0.27201180521396945,0.794392523364486,-0.8333333333333333,-0.6399999999999999,5.878504672897196,0.0
충청남도,2009,53361,2104,0.29316281357599605,0.35410176531671855,0.2680767338908017,0.8598130841121495,-0.8333333333333333,-0.6399999999999999,6.850467289719626,0.0
강원도,2009,55699,1678,0.32956222331529755,0.36188992731048797,0.34727004426955244,-0.4205607476635514,0.04529115744069015,0.1441121495327103,8.345794392523365,0.9890965732087227
강원도,2010,47907,1793,0.3133300541072307,0.35773624091381095,0.3064436792916872,-0.2803738317757009,-0.0011981787682722276,0.10373831775700934,3.5794392523364484,0.9314641744548285
충청남도,2010,65721,2490,0.2592228234136744,0.3566978193146418,0.2282341367437285,0.8504672897196262,-0.8333333333333333,-0.6399999999999999,3.532710280373832,0.0
강원도,2011,53841,2071,0.2892277422528284,0.35721703011422634,0.2700442695523856,-0.2523364485981308,0.029954469206805657,0.12467289719626168,9.69158878504673,0.881619937694704
충청남도,2011,62642,2870,0.17658632562715199,0.3426791277258567,0.18593212001967535,0.29906542056074764,0.10256410256410255,0.3429906542056074,8.700934579439252,0.0
충청남도,2012,64976,3070,0.3251352680767338,0.4106957424714433,0.3246433841613379,0.2336448598130841,0.1599568655643422,0.14598130841121496,3.953271028037383,0.0
강원도,2012,63322,1947,0.3625184456468273,0.4106957424714433,0.3649778652238072,0.08411214953271028,-0.0153366882338845,0.08242990654205608,4.813084112149533,1.0077881619937696
충청남도,2013,73608,2772,0.2749631087063453,0.3769470404984423,0.24348253812100343,0.5514018691588785,0.17145938173975558,0.44000000000000006,3.6261682242990654,0.0
강원도,2013,73465,2548,0.33398917855386134,0.4003115264797508,0.30841121495327095,0.0,0.0022765396597172315,0.10728971962616823,8.897196261682243,0.9003115264797508
강원도,2014,51919,1802,0.4038366945400885,0.4517133956386292,0.41564190850959165,0.09345794392523364,0.018212317277737842,0.10168224299065418,1.7757009345794392,1.160436137071651
충청남도,2014,71589,2329,0.32808657156910964,0.43042575285565937,0.32070831283817025,0.2616822429906542,0.08926431823628087,0.27196261682242995,2.4018691588785046,0.0
충청남도,2015,56127,2135,0.2975897688145598,0.37642782969885774,0.30398425971470733,0.2523364485981308,0.06877546129882578,0.2583177570093458,1.9065420560747663,0.0
강원도,2015,45629,1781,0.37875061485489425,0.397196261682243,0.3935071323167732,0.16822429906542055,-0.0238437574886173,0.0469158878504673,1.794392523364486,1.238317757009346
충청남도,2016,50221,1820,0.3152975897688145,0.40186915887850466,0.3138219380226266,0.1308411214953271,0.14473999520728492,0.3592523364485981,3.6448598130841123,0.0
강원도,2016,43835,1586,0.4013772749631086,0.44807892004153693,0.40432857845548453,0.1588785046728972,0.041217349628564576,0.12130841121495327,6.91588785046729,1.1869158878504675
충청남도,2017,41684,2133,0.3266109198229218,0.42159916926272056,0.33939990162321687,0.2336448598130841,0.09237958303378867,0.3142056074766355,3.149532710280374,0.0
강원도,2017,39125,1639,0.41859321200196753,0.4480789200415369,0.42449581898671906,0.1588785046728972,0.0008387251377905557,0.1085981308411215,5.336448598130841,1.2507788161993771
충청남도,2018,51762,2210,0.30939498278406297,0.3992731048805815,0.2926709296606001,0.16822429906542055,0.16043613707165114,0.4357009345794393,4.850467289719626,0.0
강원도,2018,47731,1666,0.35169699950811617,0.39563862928348903,0.3477619281849484,0.2803738317757009,0.05415768032590464,0.19476635514018692,5.841121495327103,1.207165109034268
강원도,2019,59973,2103,0.3600590260698475,0.37331256490134995,0.3846532218396459,0.18691588785046728,-0.02396357536544452,0.06822429906542055,1.8598130841121496,1.2507788161993771
충청남도,2019,64224,2596,0.29955730447614365,0.35773624091381107,0.30595179537629125,0.09345794392523364,0.09321830817157918,0.27719626168224304,1.5420560747663552,0.0
