지역 이름,년도,생산량,면적,일 평균기온,일 최저기온,일 최고기온,일 평균풍속,일 평균상대습도,일 최저상대습도,일 강수량,일 누적일조시간
강원도,2001,5019,5230,0.35023170502265755,0.2607367165361851,0.43247668224863434,-0.39255801561356446,0.3304443467172744,0.20131258425019438,0.022393652858211342,0.584529558064444
전라남도,2001,9567,10716,0.5292020886481754,0.5353190169585411,0.5433652792781583,-0.1300558548784609,-1.7870363817983501,-1.3956968212921057,0.13768500476641357,-0.8292792868267062
충청남도,2001,7793,8250,0.3318757682405532,0.31986706340931614,0.3468845464164704,0.9358620099246866,-1.7870363817983501,-1.3956968212921057,-0.013901772742518956,-0.8292792868267062
강원도,2002,4795,5124,0.3622336636878797,0.297438311147094,0.3936656732883008,-0.40051262654493125,0.3132129645310802,0.1804306229816862,0.017856724658120025,0.5404652240393218
전라남도,2002,11069,12153,0.5136701421402409,0.514589412594972,0.5069799583778457,-0.24539771338327918,-1.7870363817983501,-1.3956968212921057,0.20600580589720002,-0.8292792868267062
충청남도,2002,7881,8245,0.3103428424000077,0.292680697030865,0.29351940909601193,0.9597258427187869,-1.7870363817983501,-1.3956968212921057,0.09151508837724923,-0.8292792868267062
강원도,2003,3736,4211,0.2884569177751909,0.2920010378714038,0.3139644941733304,-0.42835376480471493,0.4717882519472721,0.38326202618535693,0.20093512143827452,0.4167100731602557
전라남도,2003,8863,9880,0.4713102880276923,0.5173080492328173,0.45534745538597365,-0.28517076804011304,-1.7870363817983501,-1.3956968212921057,0.33864423621751605,-0.8292792868267062
충청남도,2003,6099,6643,0.2845739311482073,0.31205098307551143,0.23946121804411896,0.641541405464116,-1.7870363817983501,-1.3956968212921057,0.12193919513080262,-0.8292792868267062
강원도,2004,3639,4348,0.35472148882990306,0.29677477528886087,0.3841488314469782,-0.15714217604256753,0.3199322347646147,0.1731484985000347,0.0806441876384732,0.5364002738279657
전라남도,2004,9918,11181,0.5347972482105476,0.4582818836906985,0.6151292225929771,-0.0422212732257231,-1.78703638179835,-1.3956968212921055,0.2803381829942733,-0.8292792868267062
충청남도,2004,6572,7250,0.3529629364922015,0.3316494758452326,0.33443107909268244,1.0673598574196712,-1.78703638179835,-1.3956968212921055,0.04315170648645215,-0.8292792868267062
강원도,2005,3873,4695,0.32446279377085724,0.2981179703065553,0.33129083745919347,0.021081752817507755,0.2877151760258336,0.16891483551743539,0.06883044737679281,0.541402763061133
전라남도,2005,9852,10755,0.44448238042307825,0.4289523585028512,0.503514689720673,0.12051438945959243,-1.7870363817983501,-1.3956968212921057,-0.03311699806055272,-0.8292792868267062
충청남도,2005,6254,6844,0.3131668326741775,0.3338000761782724,0.2578271419271338,1.1466591996059061,-1.7870363817983501,-1.3956968212921057,0.041342000046827906,-0.8292792868267062
전라남도,2006,8833,9666,0.4942552090053227,0.46735310101241334,0.5305437852466196,-0.09823741115299385,-1.7870363817983501,-1.3956968212921057,0.04534517198808492,-0.8292792868267062
충청남도,2006,5380,6088,0.32446279377085724,0.3470534297877672,0.30114300014179163,0.9477939263217366,-1.7870363817983501,-1.3956968212921057,0.06162473788253015,-0.8292792868267062
강원도,2006,3346,3982,0.3099898436157364,0.31205098307551143,0.3260929344734346,-0.014713996373642709,0.32613650117072573,0.23754892880437015,0.1422219329665049,0.44483624381458897
충청남도,2007,5754,6471,0.37070563451038935,0.361326272136454,0.2477778628213332,0.8443839842139687,-1.7870363817983501,-1.3956968212921057,0.015988577752200105,-0.8292792868267062
강원도,2007,3522,4417,0.3276397828292983,0.3310814395404272,0.3167367090990685,-0.46017220853018204,0.5376866459836631,0.4090573901052787,0.06616166608262146,0.3520198806552892
전라남도,2007,9284,9988,0.5447340351561099,0.5247842999868912,0.5475236016667655,-0.20562465872644528,-1.7870363817983501,-1.3956968212921057,0.07790430377697538,-0.8292792868267062
충청남도,2008,5316,5999,0.3139230745952258,0.3235233320262721,0.26468812092901756,0.6274901949138184,-1.78703638179835,-1.3956968212921055,0.007254650064304297,-0.8292792868267062
강원도,2008,3378,4170,0.29563413028312907,0.2574984134972189,0.31578692195982155,-0.458314197217746,0.439647678925435,0.27411757807710085,0.09393939372075016,0.591513197274358
전라남도,2008,8305,9049,0.46726883844280587,0.3973358050484955,0.5267421072964514,0.10440194760956119,-1.78703638179835,-1.3956968212921055,-0.04353303716999372,-0.8292792868267062
