지역 이름,년도,생산량,면적,일 평균기온,일 최저기온,일 최고기온,일 평균풍속,일 평균상대습도,일 최저상대습도,일 강수량,일 누적일조시간
제주도,2001,64729,2642,19.267857142857142,16.75,22.008928571428573,2.6607142857142856,65.33035714285714,50.625,3.5625,5.098214285714286
제주도,2002,47103,2428,18.133928571428573,15.366071428571429,20.946428571428573,2.794642857142857,70.86607142857143,56.330357142857146,4.535714285714286,4.8125
제주도,2003,32640,1983,19.508928571428573,16.776785714285715,22.883928571428573,2.3125,73.3125,59.17857142857143,6.035714285714286,5.0625
제주도,2004,54370,2892,19.357142857142858,16.901785714285715,22.955357142857142,2.1607142857142856,69.30357142857143,55.276785714285715,6.9375,4.883928571428571
제주도,2005,88470,4183,20.330357142857142,17.758928571428573,23.276785714285715,2.732142857142857,63.044642857142854,48.142857142857146,1.9464285714285714,4.6875
제주도,2006,58078,2719,19.910714285714285,17.544642857142858,23.098214285714285,2.5535714285714284,63.00892857142857,48.580357142857146,3.7232142857142856,4.651785714285714
제주도,2007,30141,1657,19.303571428571427,16.875,22.178571428571427,2.6607142857142856,62.75,47.080357142857146,10.5625,4.392857142857143
제주도,2008,35607,1761,19.723214285714285,17.214285714285715,22.419642857142858,2.6964285714285716,65.99107142857143,48.901785714285715,2.6517857142857144,4.026785714285714
제주도,2009,27113,1389,19.160714285714285,16.589285714285715,22.116071428571427,2.7589285714285716,64.00892857142857,48.17857142857143,4.732142857142857,4.455357142857143
제주도,2010,28235,1744,19.455357142857142,16.571428571428573,22.482142857142858,2.5,64.88392857142857,49.401785714285715,4.071428571428571,4.803571428571429
제주도,2011,29001,1577,19.598214285714285,17.25,22.383928571428573,2.517857142857143,70.00892857142857,54.455357142857146,3.705357142857143,4.401785714285714
제주도,2012,30157,1775,18.973214285714285,16.419642857142858,21.857142857142858,2.607142857142857,72.83928571428571,57.107142857142854,10.625,4.8125
제주도,2013,15382,962,20.142857142857142,17.366071428571427,23.044642857142858,2.7767857142857144,70.61607142857143,56.098214285714285,2.8839285714285716,5.258928571428571
제주도,2014,20545,1101,19.517857142857142,17.133928571428573,22.089285714285715,2.419642857142857,73.35714285714286,59.57142857142857,5.303571428571429,4.258928571428571
제주도,2015,11672,710,19.910714285714285,17.357142857142858,22.767857142857142,2.4464285714285716,72.60714285714286,58.410714285714285,5.410714285714286,4.741071428571429
제주도,2016,11722,1171,20.508928571428573,18.151785714285715,23.276785714285715,2.5,74.36607142857143,60.0625,5.125,4.071428571428571
제주도,2017,14622,959,19.892857142857142,17.285714285714285,23.071428571428573,2.517857142857143,69.36607142857143,53.651785714285715,3.017857142857143,4.839285714285714
제주도,2018,24588,1429,19.991071428571427,17.357142857142858,23.098214285714285,2.5357142857142856,69.75,53.848214285714285,8.267857142857142,5.017857142857143
제주도,2019,12582,947,20.410714285714285,17.821428571428573,23.383928571428573,2.4642857142857144,73.5625,58.776785714285715,9.410714285714286,4.339285714285714
