지역 이름,년도,생산량,면적,일 평균기온,일 최저기온,일 최고기온,일 평균풍속,일 평균상대습도,일 최저상대습도,일 강수량,일 누적일조시간
강원도,2001,5019,5230,15.234432234432234,9.564102564102564,21.974358974358974,0.5934065934065934,66.61904761904762,38.0989010989011,3.934065934065934,5.523809523809524
전라남도,2001,9567,10716,17.09157509157509,12.523809523809524,23.146520146520146,0.8351648351648352,0.0,0.0,5.516483516483516,0.0
충청남도,2001,7793,8250,15.043956043956044,10.2014652014652,21.06959706959707,1.8168498168498168,0.0,0.0,3.4358974358974357,0.0
강원도,2002,4795,5124,15.35897435897436,9.95970695970696,21.564102564102566,0.5860805860805861,66.07692307692308,37.6007326007326,3.871794871794872,5.351648351648351
전라남도,2002,11069,12153,16.93040293040293,12.300366300366301,22.761904761904763,0.7289377289377289,0.0,0.0,6.454212454212454,0.0
충청남도,2002,7881,8245,14.820512820512821,9.908424908424909,20.505494505494507,1.8388278388278387,0.0,0.0,4.882783882783883,0.0
강원도,2003,3736,4211,14.593406593406593,9.901098901098901,20.721611721611723,0.5604395604395604,71.06593406593407,42.43956043956044,6.384615384615385,4.868131868131868
전라남도,2003,8863,9880,16.49084249084249,12.32967032967033,22.216117216117215,0.6923076923076923,0.0,0.0,8.274725274725276,0.0
충청남도,2003,6099,6643,14.553113553113553,10.117216117216117,19.934065934065934,1.5457875457875458,0.0,0.0,5.3003663003663,0.0
강원도,2004,3639,4348,15.281021897810218,9.952554744525548,21.463503649635037,0.8102189781021898,66.28832116788321,37.42700729927007,4.733576642335766,5.335766423357664
전라남도,2004,9918,11181,17.14963503649635,11.693430656934307,23.905109489051096,0.916058394160584,0.0,0.0,7.474452554744525,0.0
충청남도,2004,6572,7250,15.262773722627736,10.328467153284672,20.937956204379564,1.937956204379562,0.0,0.0,4.218978102189781,0.0
강원도,2005,3873,4695,14.967032967032967,9.967032967032967,20.904761904761905,0.9743589743589743,65.27472527472527,37.32600732600733,4.571428571428571,5.355311355311355
전라남도,2005,9852,10755,16.21245421245421,11.377289377289378,22.725274725274726,1.065934065934066,0.0,0.0,3.172161172161172,0.0
충청남도,2005,6254,6844,14.84981684981685,10.351648351648352,20.128205128205128,2.010989010989011,0.0,0.0,4.194139194139194,0.0
전라남도,2006,8833,9666,16.72893772893773,11.791208791208792,23.01098901098901,0.8644688644688645,0.0,0.0,4.249084249084249,0.0
충청남도,2006,5380,6088,14.967032967032967,10.494505494505495,20.586080586080588,1.8278388278388278,0.0,0.0,4.472527472527473,0.0
강원도,2006,3346,3982,14.816849816849818,10.117216117216117,20.84981684981685,0.9413919413919414,66.48351648351648,38.96336996336996,5.5787545787545785,4.978021978021978
충청남도,2007,5754,6471,15.446886446886447,10.648351648351648,20.021978021978022,1.7326007326007327,0.0,0.0,3.8461538461538463,0.0
강원도,2007,3522,4417,15.0,10.322344322344323,20.750915750915752,0.5311355311355311,73.13919413919415,43.05494505494506,4.534798534798535,4.615384615384615
전라남도,2007,9284,9988,17.252747252747252,12.41025641025641,23.19047619047619,0.7655677655677655,0.0,0.0,4.695970695970696,0.0
충청남도,2008,5316,5999,14.857664233576642,10.24087591240876,20.2007299270073,1.532846715328467,0.0,0.0,3.7262773722627736,0.0
강원도,2008,3378,4170,14.667883211678832,9.52919708029197,20.740875912408757,0.5328467153284672,70.05474452554745,39.83576642335766,4.916058394160584,5.5510948905109485
전라남도,2008,8305,9049,16.44890510948905,11.036496350364963,22.970802919708028,1.051094890510949,0.0,0.0,3.0291970802919708,0.0
충청남도,2009,4873,5565,15.12087912087912,10.219780219780219,20.564102564102566,1.5677655677655677,0.0,0.0,3.9963369963369964,0.0
강원도,2009,2959,3828,15.183150183150182,9.882783882783883,21.454212454212453,0.5714285714285714,69.32234432234432,39.05860805860806,4.9633699633699635,5.6923076923076925
전라남도,2009,7464,8326,16.406593406593405,10.868131868131869,23.227106227106226,1.0183150183150182,0.0,0.0,5.384615384615385,0.0
충청남도,2010,4761,5229,15.018315018315018,10.835164835164836,19.783882783882785,1.7362637362637363,0.0,0.0,5.622710622710622,0.0
전라남도,2010,7650,8431,16.512820512820515,11.945054945054945,22.44322344322344,0.8974358974358975,0.0,0.0,5.3699633699633695,0.0
강원도,2010,3325,4080,14.978021978021978,10.454212454212454,20.35164835164835,0.6227106227106227,69.88644688644689,42.62637362637363,5.326007326007326,4.761904761904762
전라남도,2011,7265,7837,16.326007326007325,11.304029304029305,22.655677655677657,1.1684981684981686,73.78754578754578,43.41025641025641,3.7765567765567765,0.0
충청남도,2011,4428,4915,13.84981684981685,10.271062271062272,19.296703296703296,1.2344322344322345,75.85714285714286,48.37362637362637,5.087912087912088,0.0
강원도,2011,3016,3719,14.322344322344323,9.556776556776557,20.23076923076923,0.673992673992674,68.67765567765568,38.52014652014652,6.373626373626373,5.106227106227106
전라남도,2012,8110,8813,16.302919708029197,11.405109489051094,22.259124087591243,0.7883211678832117,74.38321167883211,44.84306569343066,5.726277372262774,0.0
충청남도,2012,4711,5305,14.883211678832117,10.704379562043796,20.284671532846716,1.2080291970802919,77.24452554744525,41.52919708029197,5.854014598540146,0.0
강원도,2012,2994,3896,14.824817518248175,9.715328467153284,20.675182481751825,0.9452554744525548,67.06569343065694,37.90875912408759,4.321167883211679,5.529197080291971
전라남도,2013,8859,9396,16.007326007326007,10.626373626373626,22.476190476190474,1.7655677655677655,77.51282051282051,49.6996336996337,4.157509157509158,0.0
충청남도,2013,4604,5111,14.545787545787546,10.571428571428571,20.102564102564102,1.3076923076923077,79.01831501831502,54.8058608058608,2.5164835164835164,0.0
강원도,2013,3063,3917,15.087912087912088,10.197802197802197,20.65934065934066,0.9010989010989011,70.0952380952381,40.37362637362637,5.7765567765567765,5.747252747252747
전라남도,2014,6792,7412,15.80952380952381,10.575091575091575,22.347985347985347,1.4945054945054945,80.27106227106228,50.86813186813187,4.619047619047619,0.0
충청남도,2014,3792,4244,15.347985347985349,11.245421245421245,21.025641025641026,1.0695970695970696,72.71062271062272,47.35897435897436,2.9853479853479854,0.0
강원도,2014,2674,3515,15.985347985347985,10.941391941391942,21.86080586080586,0.9816849816849816,70.67399267399267,40.7032967032967,2.15018315018315,6.197802197802198
충청남도,2015,3623,4186,15.117216117216117,10.923076923076923,21.036630036630036,1.1904761904761905,70.2051282051282,45.743589743589745,1.956043956043956,0.0
강원도,2015,2780,3677,15.857142857142858,10.344322344322345,22.047619047619047,1.0256410256410255,66.0,36.91208791208791,1.9816849816849818,6.8791208791208796
전라남도,2015,6194,6891,16.208791208791208,10.7985347985348,23.036630036630036,1.5457875457875458,79.35164835164835,49.0,2.9633699633699635,0.0
강원도,2016,2076,3092,16.233576642335766,11.193430656934307,22.072992700729927,0.9781021897810219,70.67883211678833,40.61678832116788,4.383211678832117,6.437956204379562
전라남도,2016,5367,5924,16.846715328467152,11.945255474452555,23.18978102189781,1.5693430656934306,80.74087591240875,52.43795620437956,5.102189781021898,0.0
충청남도,2016,3304,3577,15.397810218978103,11.281021897810218,21.153284671532848,1.0182481751824817,74.86496350364963,50.85036496350365,2.697080291970803,0.0
강원도,2017,2064,2938,15.743589743589743,10.523809523809524,21.692307692307693,0.9706959706959707,70.7948717948718,41.02930402930403,4.091575091575091,6.457875457875458
전라남도,2017,4421,4872,16.531135531135533,10.816849816849818,23.336996336996336,1.619047619047619,79.95238095238095,47.76190476190476,3.128205128205128,0.0
충청남도,2017,3065,3366,15.23076923076923,10.761904761904763,20.86080586080586,1.0732600732600732,73.43223443223444,49.03663003663004,2.5238095238095237,0.0
강원도,2018,2113,3069,15.531135531135531,10.293040293040294,21.49084249084249,1.1611721611721613,69.54212454212454,41.34798534798535,4.714285714285714,6.857142857142857
전라남도,2018,4456,4882,16.71062271062271,11.10989010989011,23.318681318681318,1.5238095238095237,83.28205128205128,52.798534798534796,5.9010989010989015,0.0
충청남도,2018,2938,3136,15.435897435897436,10.87912087912088,20.94139194139194,1.098901098901099,77.0915750915751,51.772893772893774,3.6849816849816848,0.0
강원도,2019,2557,3516,15.864468864468865,10.67032967032967,21.78754578754579,0.9706959706959707,67.76923076923077,39.494505494505496,2.9743589743589745,6.34065934065934
전라남도,2019,4914,5301,16.263736263736263,10.985347985347985,22.406593406593405,1.424908424908425,81.01465201465201,51.27106227106227,4.241758241758242,0.0
충청남도,2019,3120,3264,14.989010989010989,10.472527472527473,20.487179487179485,0.978021978021978,74.67032967032966,49.84615384615385,2.6996336996337,0.0
