지역 이름,년도,생산량,면적,일 평균기온,일 최저기온,일 최고기온,일 평균풍속,일 평균상대습도,일 최저상대습도,일 강수량,일 누적일조시간
경기도,2001,210816,3661,0.6302274394717535,0.6362191244803129,0.6114238798967861,0.11379310344827584,0.0,0.0,0.008456058429118774,0.0
충청남도,2001,194741,3737,0.634690633406701,0.6496087062851554,0.6108960825709594,0.12758620689655173,0.0,0.0,0.00897240181992337,0.0
전라남도,2001,331259,4582,0.6688676938126682,0.6847640009782343,0.6541168191414496,0.06839080459770114,0.0,0.0,0.013185464559386972,0.0
경기도,2002,178507,3440,0.6010026901442896,0.6230129616043043,0.5741262022050199,0.1252873563218391,0.0,0.0,0.011404454022988507,0.0
충청남도,2002,141248,2576,0.607728050868183,0.6318782098312548,0.571780436312456,0.1471264367816092,0.0,0.0,0.011374521072796934,0.0
전라남도,2002,257074,3619,0.6461237466373198,0.6623868916605528,0.6272577996715928,0.06781609195402298,0.0,0.0,0.018004669540229886,0.0
경기도,2003,137252,3119,0.6254585473220836,0.6393983859134265,0.5957072484166079,0.12701149425287356,0.0,0.0,0.010671096743295019,0.0
충청남도,2003,155008,2663,0.6315725116165323,0.6540719002201029,0.5957658925639221,0.14367816091954022,0.0,0.0,0.01114254070881226,0.0
전라남도,2003,214078,3190,0.6628760088041086,0.6839080459770116,0.6434435843302839,0.06436781609195402,0.0,0.0,0.0194264846743295,0.0
경기도,2004,196075,3379,0.6488138909268769,0.6504035216434336,0.6278442411447338,0.1206896551724138,0.0,0.0,0.011763649425287357,0.0
충청남도,2004,222458,3541,0.6483247737833212,0.6659329909513331,0.6195167722261319,0.15028735632183907,0.0,0.0,0.00963092672413793,0.0
전라남도,2004,241334,3200,0.6704573245292249,0.6700904866715579,0.6778090546563453,0.06954022988505745,0.0,0.0,0.018663194444444444,0.0
경기도,2005,155055,2526,0.6293714844705306,0.6381755930545365,0.6012197982641333,0.13563218390804596,0.0,0.0,0.011135057471264366,0.0
충청남도,2005,143244,2310,0.631939349474199,0.6546221570066031,0.5961764015951206,0.15287356321839082,0.0,0.0,0.011254789272030653,0.0
전라남도,2005,168043,2317,0.6438004402054293,0.648936170212766,0.6382828993666432,0.07068965517241378,0.0,0.0,0.006615181992337164,0.0
충청남도,2006,151410,2421,0.6557838102225484,0.6757764734653949,0.6270232230823364,0.14051724137931035,0.0,0.0,0.0093540469348659,0.0
전라남도,2006,218548,2702,0.6755930545365615,0.6861090731230131,0.6800375322542809,0.045402298850574715,0.0,0.0,0.006944444444444444,0.0
경기도,2006,162592,2897,0.6577402787967718,0.6640988016629983,0.6345296739385409,0.12356321839080461,0.0,0.0,0.01141942049808429,0.0
전라남도,2007,144772,2036,0.6614086573734409,0.6744925409635608,0.6491907107670655,0.06781609195402298,0.0,0.0,0.012886135057471262,0.0
경기도,2007,118625,2163,0.6435558816336513,0.665566153093666,0.6162326999765424,0.12643678160919541,0.0,0.0,0.012990900383141761,0.0
충청남도,2007,133113,2109,0.6337735387625337,0.6650770359501101,0.5960591133004925,0.14626436781609198,0.0,0.0,0.010880627394636013,0.0
전라남도,2008,193735,2547,0.6640988016629984,0.665443873807777,0.6697161623269996,0.08160919540229886,0.0,0.0,0.004549808429118773,0.0
경기도,2008,182253,2639,0.653093665932991,0.6603081438004403,0.6330049261083743,0.08965517241379309,0.0,0.0,0.012242576628352491,0.0
충청남도,2008,162144,2139,0.6389092687698704,0.6595744680851064,0.6087262491203377,0.11752873563218393,0.0,0.0,0.00957106082375479,0.0
전라남도,2009,135954,1510,0.6435558816336513,0.652482269503546,0.6368754398311047,0.07413793103448275,0.0,0.0,0.012437140804597702,0.0
경기도,2009,188691,2617,0.6384201516263145,0.6464905844949866,0.6169364297443114,0.10574712643678161,0.0,0.0,0.008800287356321839,0.0
충청남도,2009,158654,2003,0.632306187331866,0.6513206162876009,0.5991672531081398,0.1396551724137931,0.0,0.0,0.009892840038314175,0.0
전라남도,2010,128785,1824,0.6552946930789925,0.6683785766691124,0.6514191883650011,0.07988505747126436,0.21362068965517242,0.1275397654708,0.013095665708812258,0.0
충청남도,2010,108772,1956,0.6397366919377191,0.6668011738811446,0.6039682539682539,0.15865900383141765,0.09558812260536395,0.06726266496381438,0.021409542624521074,0.0
