지역 이름,년도,생산량,면적,일 평균기온,일 최저기온,일 최고기온,일 평균풍속,일 평균상대습도,일 최저상대습도,일 강수량,일 누적일조시간
경기도,2001,68668,4345,0.6262435552973641,0.6596827202629251,0.6092150170648464,0.12002275312855519,0.0,0.0,0.008614465739039116,0.0
전라남도,2001,102577,4412,0.646285672790647,0.6823410441157881,0.6378073413665807,0.0963215775502465,0.0,0.0,0.016867944342347074,0.0
경상북도,2001,57020,4359,0.3459443758623193,0.4974718746049803,0.24308699589050634,0.007963594994311719,0.06696245733788396,0.0447478194918468,0.0009188763454975057,0.0
경기도,2002,61648,4314,0.6255900079878004,0.6623372519276955,0.6098070627568433,0.11452408039438756,0.0,0.0,0.01327448149120504,0.0
전라남도,2002,78243,4453,0.6547817878149734,0.6907470610542282,0.6416382252559727,0.08191126279863481,0.0,0.0,0.0201605845803798,0.0
경상북도,2002,61632,4258,0.6268971026069275,0.6583870559979774,0.6229017204151285,0.1596511186954873,0.6805119453924915,0.4365153238873376,0.012733000787608296,0.4334470989761093
경기도,2003,56572,4096,0.6053663495751943,0.6513715080267981,0.5823291774047502,0.10599165718619644,0.0,0.0,0.014784064058808086,0.0
전라남도,2003,72755,4284,0.6357562994699005,0.6822778409809126,0.6206728425158459,0.07811907470610542,0.0,0.0,0.02559726962457337,0.0
경상북도,2003,34684,3858,0.6083799288359596,0.6492226014410315,0.5911402103503518,0.13462267728479332,0.7220819112627986,0.48867514737821904,0.019263586243108425,0.3780519821475454
경기도,2004,70845,4044,0.6190838037342596,0.6507306626354247,0.6040191586838818,0.13284202569916856,0.0,0.0,0.014019710448281875,0.0
전라남도,2004,105417,4061,0.6485019539730786,0.672461577223482,0.6531306400111064,0.10090702947845806,0.0,0.0,0.023853130995988136,0.0
경상북도,2004,48945,3772,0.6258503401360545,0.653628117913832,0.6221713175065945,0.11753590325018896,0.651904761904762,0.4210815639387069,0.013071254142682714,0.4419152276295134
경기도,2005,75220,3982,0.6123012126933411,0.650992289217545,0.5929859998606951,0.13234736442927567,0.0,0.0,0.01321431696858318,0.0
전라남도,2005,88502,3999,0.630310071890204,0.6653394008342814,0.6304938357595599,0.11907470610542284,0.0,0.0,0.009560689594819287,0.0
경상북도,2005,54400,3515,0.6170212765957447,0.6527619769940589,0.608344361635439,0.161547212741752,0.6827303754266212,0.4614403419864171,0.011507832326944955,0.43055920189026
전라남도,2006,102638,4460,0.6414929925205142,0.6727973707495891,0.6382949084070488,0.0944254835039818,0.0,0.0,0.012634549750590706,0.0
경상북도,2006,54836,3018,0.6178200566407668,0.652129945645304,0.6148916904645817,0.12893439514599925,0.6804778156996587,0.4440307511979867,0.01149689332283189,0.39800472564977685
경기도,2006,73701,3530,0.6229032023818168,0.6604411578814309,0.6029811241902905,0.1355707243079257,0.0,0.0,0.012169642075785421,0.0
경상북도,2007,61945,2793,0.6193450003630818,0.6573758058399696,0.610364282231664,0.13196814562002276,0.6892491467576791,0.43010307856724245,0.012678305767042968,0.38724074560252036
경기도,2007,75124,3380,0.6322707138188948,0.6707432688661358,0.6109215017064846,0.13139931740614336,0.0,0.0,0.01573028791458826,0.0
전라남도,2007,117358,4536,0.6541282405054099,0.6862596384780685,0.6460263286201853,0.08229048160788775,0.0,0.0,0.013761267174236457,0.0
경상북도,2008,55511,2432,0.6201331596468375,0.6543209876543209,0.6091211995002082,0.13151927437641725,0.6308843537414967,0.37851302137016424,0.008154543868829583,0.41313448456305596
