지역 이름,년도,생산량,면적,일 평균기온,일 최저기온,일 최고기온,일 평균풍속,일 평균상대습도,일 최저상대습도,일 강수량,일 누적일조시간
강원도,2001,290571,7277,0.5384485094850948,0.5608161963972579,0.49081300813008133,0.1111111111111111,0.3309756097560975,0.23790753059045744,0.008231285632358398,0.3558474046278925
강원도,2002,215921,5645,0.5164295392953928,0.5421648334130399,0.4686991869918699,0.0907859078590786,0.34739837398373985,0.25605649995893903,0.019211955605033228,0.27485928705440904
강원도,2003,238289,6284,0.6720020325203252,0.6788617886178862,0.6398373983739839,0.14363143631436315,0.37032520325203255,0.22686211710601956,0.027173363019937252,0.25515947467166983
강원도,2004,231642,5964,0.759400406504065,0.7381635581061692,0.7386178861788616,0.20528455284552843,0.3677642276422764,0.24981522542498152,0.03481429005161421,0.28642901813633526
강원도,2005,196058,5107,0.7645663956639566,0.7423083054359956,0.7423577235772358,0.21680216802168017,0.3665040650406504,0.2565081711423175,0.026414330533346825,0.26579111944965605
강원도,2006,214406,5428,0.7423780487804879,0.7234975290929382,0.7221138211382114,0.19579945799457993,0.36569105691056913,0.2506775067750678,0.04054920217251965,0.19387116948092556
강원도,2007,208119,5190,0.7449186991869917,0.72891758329348,0.7244715447154472,0.2350948509485095,0.7246747967479674,0.5193807998686047,0.028725162770299902,0.1622889305816135
강원도,2008,197399,5177,0.7463584010840105,0.721664275466284,0.7248780487804879,0.21951219512195122,0.7499186991869919,0.5432783115709946,0.021522787841986305,0.17792370231394625
강원도,2009,180776,4813,0.7454268292682927,0.7202295552367286,0.7271544715447155,0.2486449864498645,0.7033333333333333,0.49490843393282424,0.0215902573963499,0.17854909318323958
강원도,2010,117534,4447,0.7757452574525745,0.7503586800573889,0.7623577235772359,0.2222222222222222,0.35382113821138206,0.24090498480742387,0.02093242924130486,0.17135709818636646
강원도,2011,123344,4153,0.7488143631436314,0.7335140018066848,0.7246341463414634,0.22809394760614268,0.7697018970189702,0.5701322164736798,0.035117903046250384,0.14123410464873884
강원도,2012,175221,4794,0.7476287262872628,0.7355332376853179,0.7352845528455284,0.21341463414634146,0.7809349593495934,0.5257863184692453,0.024204702627939143,0.16291432145090687
강원도,2013,185655,5099,0.7829437669376693,0.7610393750996334,0.7657723577235773,0.22154471544715446,0.7796341463414636,0.5726779995072679,0.013797523867354857,0.15071919949968732
강원도,2014,161410,4579,0.7575372628726288,0.738535522610128,0.7427371273712737,0.1998644986449865,0.7843224932249324,0.5608661137116422,0.01934689471376042,0.16604127579737335
강원도,2015,136675,4368,0.7526592140921406,0.7268770923003347,0.7432520325203252,0.22913279132791325,0.7505528455284552,0.5326599326599327,0.017926660594406774,0.18511569731081923
강원도,2016,120879,3940,0.7643123306233063,0.7343376374940219,0.7492682926829268,0.17953929539295396,0.7264227642276422,0.49675617968300895,0.020662551023850485,0.21357098186366483
강원도,2017,227851,4733,0.7573678861788616,0.7301131834847759,0.7408943089430895,0.17411924119241187,0.7404878048780488,0.5278804303194546,0.021809533448031576,0.2032520325203252
강원도,2018,244705,4986,0.7777439024390244,0.7477283596365376,0.7610569105691057,0.18495934959349597,0.7508211382113821,0.5388272973638828,0.02536855244071113,0.20913070669168232
강원도,2019,218631,4597,0.772781165311653,0.7507040756682076,0.754932249322493,0.19263775971093045,0.7269241192411924,0.5297144890640826,0.020848092298350367,0.21002710027100274
