지역 이름,년도,생산량,면적,일 평균기온,일 최저기온,일 최고기온,일 평균풍속,일 평균상대습도,일 최저상대습도,일 강수량,일 누적일조시간
강원도,2001,60499,821,-0.06661759293338242,-0.0256410256410256,-0.08974358974358976,-0.6363636363636364,0.049220010758472287,0.12027972027972028,1.8181818181818181,0.9090909090909091
충청북도,2001,95298,1118,-0.14059624585940372,-0.16083916083916083,-0.11926961926961928,-0.2517482517482518,0.011834319526627219,0.1413986013986014,1.2027972027972027,1.424242424242424
충청남도,2001,313150,2852,-0.017298490982701503,0.0244755244755245,-0.07187257187257187,0.2937062937062937,-0.8461538461538458,-0.6400000000000001,1.3706293706293706,0.0
전라남도,2001,199653,1957,0.11115200588884802,0.20357420357420358,0.048174048174048224,-0.3146853146853147,-0.8461538461538458,-0.6400000000000001,4.573426573426573,0.0
강원도,2002,50735,722,-0.10894368789105625,-0.03108003108003107,-0.1853146853146853,-0.5314685314685315,0.06777837547068316,0.19678321678321675,1.937062937062937,0.7074592074592075
전라남도,2002,162564,1576,0.054839896945160095,0.15034965034965034,-0.024864024864024826,-0.2937062937062937,-0.8461538461538458,-0.6400000000000001,5.755244755244755,0.0
충청남도,2002,236937,2209,-0.07361059992638933,0.008935508935508941,-0.17676767676767682,0.5524475524475524,-0.8461538461538458,-0.6400000000000001,2.5454545454545454,0.0
충청북도,2002,61545,776,-0.15789473684210528,-0.09673659673659678,-0.20979020979020982,-0.11888111888111888,0.022234176080329928,0.2244755244755245,2.335664335664336,1.0268065268065267
전라남도,2003,213027,1998,0.11704085388295916,0.22649572649572647,0.04156954156954156,-0.3006993006993007,-0.8461538461538458,-0.6400000000000001,6.706293706293707,0.0
충청남도,2003,220787,2205,0.003312476996687493,0.08313908313908316,-0.1002331002331002,0.5594405594405595,-0.8461538461538458,-0.6400000000000001,3.3286713286713288,0.0
강원도,2003,53747,782,-0.0588884799411115,0.02292152292152295,-0.1332556332556333,-0.46153846153846156,0.11296395911780527,0.2458741258741259,6.426573426573427,0.6969696969696969
충청북도,2003,90587,1113,-0.1001104158998896,-0.053224553224553245,-0.15773115773115778,-0.0979020979020979,0.03442711135018828,0.2620979020979021,4.895104895104895,0.9463869463869462
강원도,2004,59235,745,-0.023923444976076538,0.03690753690753694,-0.05244755244755245,-0.5174825174825175,0.07486103639949793,0.15454545454545457,3.1538461538461537,0.8461538461538461
전라남도,2004,203590,1802,0.10783952889216047,0.15656565656565655,0.10722610722610725,-0.38461538461538464,-0.8461538461538458,-0.6400000000000001,7.258741258741258,0.0
충청남도,2004,284465,2541,0.023187338976812626,0.07770007770007772,-0.033799533799533814,0.32867132867132864,-0.8461538461538458,-0.6400000000000001,3.2587412587412588,0.0
충청북도,2004,140616,1597,-0.08906882591093117,-0.07031857031857033,-0.08741258741258741,-0.11188811188811189,-0.017482517482517484,0.15748251748251751,3.0839160839160837,1.0804195804195804
전라남도,2005,171753,1472,0.04085388295914606,0.09984459984459987,-0.005439005439005469,-0.3986013986013986,-0.8461538461538458,-0.6400000000000001,2.090909090909091,0.0
충청남도,2005,185136,1712,-0.02870813397129184,0.04623154623154625,-0.12237762237762238,0.5524475524475524,-0.8461538461538458,-0.6400000000000001,2.9160839160839163,0.0
강원도,2005,49925,633,-0.10305483989694521,-0.03030303030303032,-0.16200466200466204,-0.3076923076923077,0.039627039627039624,0.10965034965034964,3.4615384615384617,0.801864801864802
충청북도,2005,105586,1180,-0.13286713286713286,-0.08702408702408701,-0.16278166278166284,-0.14685314685314685,0.03792361484669177,0.2467132867132867,4.06993006993007,1.0582750582750582
충청북도,2006,133054,1531,-0.03938167096061833,0.023310023310023326,-0.0784770784770785,-0.20279720279720279,0.10561233638156715,0.23160839160839164,1.2097902097902098,0.8904428904428905
충청남도,2006,237657,2302,0.05336768494663229,0.12160062160062166,-0.0023310023310023228,0.24475524475524477,-0.8461538461538458,-0.6400000000000001,1.034965034965035,0.0
강원도,2006,72896,867,-0.03312476996687525,0.05944055944055944,-0.07653457653457653,-0.36363636363636365,0.09566074950690334,0.22769230769230772,2.041958041958042,0.7878787878787878
전라남도,2006,226152,2070,0.13875598086124405,0.2183372183372184,0.14102564102564105,-0.6573426573426573,-0.8461538461538458,-0.6400000000000001,1.881118881118881,0.0
충청북도,2007,90298,1090,-0.07397865292602131,-0.005050505050505094,-0.13170163170163166,-0.16083916083916083,0.17132867132867133,0.31552447552447555,4.174825174825175,0.6561771561771561
충청남도,2007,185217,2008,0.010305483989694436,0.12043512043512046,-0.09751359751359757,0.27972027972027974,-0.8461538461538458,-0.6400000000000001,3.055944055944056,0.0
강원도,2007,56853,714,-0.03827751196172241,0.06721056721056719,-0.1328671328671328,-0.6783216783216783,0.16164604626143086,0.32797202797202796,2.9160839160839163,0.627039627039627
전라남도,2007,169657,1677,0.09606183290393815,0.18142968142968144,0.04156954156954156,-0.32867132867132864,-0.8461538461538458,-0.6400000000000001,5.083916083916084,0.0
충청북도,2008,181551,2005,-0.10783952889216047,-0.08158508158508164,-0.12393162393162392,-0.2097902097902098,0.11377084454007529,0.18195804195804197,2.174825174825175,0.8286713286713286
충청남도,2008,229901,2143,0.005888847994111146,0.09129759129759131,-0.08935508935508936,0.1958041958041958,-0.8461538461538458,-0.6400000000000001,2.1888111888111887,0.0
강원도,2008,75771,817,-0.05410379094589621,0.027972027972027948,-0.12198912198912203,-0.6503496503496503,0.12022592791823562,0.2186013986013986,2.5174825174825175,0.7773892773892773
전라남도,2008,244800,2184,0.09753404490246599,0.1499611499611499,0.09634809634809631,-0.2937062937062937,-0.8461538461538458,-0.6400000000000001,1.2377622377622377,0.0
충청북도,2009,144612,1629,-0.12661023187338968,-0.0979020979020979,-0.15462315462315465,-0.09090909090909091,0.06804733727810651,0.18783216783216783,2.167832167832168,0.858974358974359
충청남도,2009,236990,2114,0.004048582995951433,0.08430458430458429,-0.10295260295260295,0.3146853146853147,-0.8461538461538458,-0.6400000000000001,2.2867132867132867,0.0
강원도,2009,85480,918,-0.06293706293706289,0.015928515928515935,-0.14568764568764567,-0.5104895104895105,0.08920566612874305,0.23846153846153847,2.797202797202797,0.8088578088578088
전라남도,2009,300038,2353,0.0658814869341185,0.1320901320901321,0.03108003108003107,-0.36363636363636365,-0.8461538461538458,-0.6400000000000001,1.902097902097902,0.0
충청남도,2010,182698,2058,0.01324990798675007,0.11888111888111888,-0.10606060606060612,0.3776223776223776,-0.5450062757755065,-0.31272727272727274,5.972027972027972,0.0
전라남도,2010,269796,2552,0.07986750092013248,0.16006216006216012,0.052836052836052826,-0.2517482517482518,-0.5129101667563205,-0.3327272727272727,3.4685314685314683,0.0
강원도,2010,56284,800,-0.07397865292602131,0.023310023310023326,-0.158896658896659,-0.5314685314685315,0.09709521247982789,0.2626573426573427,6.216783216783217,0.7342657342657343
충청북도,2010,98836,1401,-0.11409642988590353,-0.06721056721056719,-0.1452991452991453,-0.0979020979020979,0.08624708624708624,0.23636363636363633,5.5174825174825175,0.7668997668997668
충청남도,2011,249951,2401,0.015458225984541767,0.12587412587412591,-0.10722610722610722,0.04895104895104895,0.17581136811906042,0.3748251748251749,1.3846153846153846,0.0
전라남도,2011,468140,3605,0.104158998895841,0.18414918414918416,0.05516705516705517,-0.36363636363636365,0.13474986551909626,0.2793006993006993,1.6223776223776223,0.0
강원도,2011,109193,1150,-0.049319101950680934,0.045843045843045854,-0.13519813519813526,-0.45454545454545453,0.08355746817285278,0.21020979020979016,1.6293706293706294,0.7237762237762237
충청북도,2011,176995,2075,-0.10195068089804933,-0.058275058275058314,-0.14335664335664333,-0.14685314685314685,0.017572171418325264,0.17762237762237762,4.111888111888112,0.7703962703962705
충청남도,2012,173226,1767,-0.05962458594037532,0.07653457653457654,-0.19425019425019427,0.055944055944055944,0.19266630805092344,0.3314685314685314,8.3006993006993,0.0
전라남도,2012,310311,2937,0.030916451969083557,0.11072261072261079,-0.045843045843045854,0.2867132867132867,0.1441635287789134,0.3198601398601399,6.391608391608392,0.0
충청북도,2012,119030,1580,-0.18329039381670964,-0.14102564102564108,-0.23698523698523707,-0.14685314685314685,0.11592253899946207,0.2779020979020979,4.426573426573427,0.7657342657342657
강원도,2012,82057,991,-0.13029076186970925,-0.047785547785547854,-0.22999222999222996,-0.3706293706293706,0.13214990138067062,0.24923076923076923,4.5874125874125875,0.726107226107226
충청북도,2013,171820,1950,-0.10526315789473682,-0.0734265734265734,-0.1468531468531469,-0.1888111888111888,0.10839160839160839,0.246993006993007,2.3916083916083917,0.8461538461538461
충청남도,2013,173849,1763,-0.018402649981597376,0.12043512043512046,-0.10139860139860145,-0.04195804195804196,0.131163708086785,0.4358041958041958,1.6223776223776223,0.0
전라남도,2013,375894,3564,0.05336768494663224,0.10372960372960377,0.03341103341103344,0.42657342657342656,0.18558364712210867,0.38237762237762235,3.4405594405594404,0.0
강원도,2013,116102,1186,-0.04232609495767384,0.052059052059052,-0.13519813519813523,-0.23076923076923078,0.14344629729245112,0.31048951048951046,2.93006993006993,0.9172494172494172
강원도,2014,112985,1170,-0.0739786529260213,-0.004273504273504246,-0.15734265734265734,-0.23076923076923078,0.1148466917697687,0.2535664335664336,2.237762237762238,0.8951048951048951
충청북도,2014,168720,1703,-0.15053367684946622,-0.13636363636363633,-0.17404817404817408,-0.23776223776223776,0.09359870898332436,0.213986013986014,3.0839160839160837,0.8764568764568765
전라남도,2014,488223,4003,0.02318733897681265,0.08896658896658893,-0.020590520590520606,0.2937062937062937,0.23489331181638876,0.44265734265734263,4.335664335664336,0.0
충청남도,2014,204312,1868,-0.024291497975708523,0.09207459207459211,-0.12237762237762236,-0.15384615384615385,0.1147570378339609,0.3855944055944056,3.1538461538461537,0.0
전라남도,2015,410740,3349,0.10268678689731321,0.17094017094017092,0.0707070707070707,0.3076923076923077,0.24358974358974356,0.46251748251748254,3.2447552447552446,0.0
