,감귤_-,감자_가을,감자_고랭지,감자_봄,고추_-,단감_-,당근_-,대파_-,땅콩_-,마늘_-,무_가을,무_겨울,무_고랭지,무_봄,배_-,배추_가을,배추_겨울,배추_고랭지,배추_봄,복숭아_-,사과_-,생강_-,시금치_-,양배추_-,양파_-,쪽파_-,참깨_-,포도_-
생산량,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
면적,0.9908700489384656,0.9792505247556793,0.9832340989564402,0.9550222670418678,0.9892686530888744,0.9681972166064384,0.9893743830883905,0.9829661903870871,0.9198110058097104,0.9841090731826937,0.9599241019161011,0.38494858771022133,0.9930429060432147,0.9735286922804239,0.9214218010400304,0.9741384804927976,0.9968315377152833,0.9869550624542822,0.9826289296596582,0.9768103575139475,0.9888051690199615,0.9729726664151713,0.8988118485604243,0.9838877648724653,0.9904352994010323,0.985703946066075,0.9067635104687198,0.9909171910409905
평균 기온,0.9186091445428163,0.6507783039751218,-0.4904442206926067,-0.26866414674404754,-0.44284403190040117,0.25200694209685903,0.6578514251184591,0.10313130894374625,-0.07202273046670213,0.5098270755298233,0.03942700639736208,-0.31983097716601977,-0.44977134368058047,0.06806640318917472,-0.09027215765381237,-0.15069117397676726,-0.9667862604542705,-0.42792682558951034,-0.4150428661558335,-0.1469614595611207,0.014534504505614538,-0.03291989744211122,0.24906729241805275,0.5641551280016034,0.356814315246344,0.3134311370591744,-0.123158776526247,-0.2369199577075681
최저 기온,0.9332730298724322,0.6509019682604898,-0.4856559063574526,-0.2858207548821735,-0.40773678384551604,0.1655841135234859,0.7350499510520442,0.11022454686247876,-0.2496324005841985,0.4943940556622652,-0.00045137849727301926,-0.4649863343560607,-0.43340305844988586,0.30448033986231826,-0.0844997952432219,-0.1855169491956543,-0.9697240622694564,-0.40663415506611306,-0.06132633919695873,-0.21772660097120874,-0.037742150372402035,-0.11943824196288197,0.19113389214861096,0.7581922704605507,0.3509459213289203,0.280505929418258,-0.047242961177591046,-0.26667985713642667
최고 기온,0.3895787059153022,0.5396690309191092,-0.4441341799749226,-0.053378438946294834,-0.30428638601331554,0.46041548358814527,0.084198104659563,0.06098753968103859,0.27874013536488934,0.4660807878051828,0.12676646433040398,-0.1967691371833412,-0.4445119078884849,-0.3688794927035201,-0.02623712728318543,-0.06820584255341663,-0.9438257735937842,-0.4252283369373395,-0.40670793571652647,-0.0423869670465472,0.036935385222722654,0.11101419477027669,0.29385055098773144,-0.2964596477651308,0.3316342504530543,0.23584092012230873,-0.12983875765205619,-0.13953931717144058
1시간 최다강수량,0.4354606398077911,0.14080286028868083,0.0924736578825134,-0.2601905052344839,-0.28584422955532424,0.041428027335431626,0.19323704815355605,0.06822643911383859,-0.22390285486275935,0.24997701926962249,0.16997098159149313,-0.46291600585407633,-0.22522029863918797,0.17538459554455182,0.07374813420431194,-0.08101951670434239,-0.11129627554835846,-0.18992523421759075,0.09655787411203091,-0.3200316033116244,-0.449867145935383,-0.2173791113417431,0.0622974707496345,0.10245385617716403,0.19518084998253848,-0.038520556937535595,-0.19555925111006742,-0.2837115768137311
일 강수량 평균,0.37575564680202256,0.13066275638708344,0.21380599709529766,-0.22200810850231215,-0.29183383637805566,0.17731043847605513,0.22574833302453445,0.014448750284053423,-0.32639580490795433,0.2997001333255101,-0.049766783239331126,-0.6408187040583708,-0.09153358184383682,0.15616290251406525,-0.028818799303282315,-0.25409808798057115,-0.7487010650580694,-0.012346080374924538,0.13341717027608008,-0.2614604986924393,-0.3563677861464788,-0.29867651273741547,0.18043685186571085,0.1466538878122353,0.22758190632519948,-0.08424639622721591,-0.17186902042375615,-0.22284641743455355
강수량 합계,0.48448087538323714,0.10018807533494731,0.21795536866349235,-0.13441286990064705,-0.11896842828403256,0.08976020906971713,0.19877956712111555,0.0031327602544978577,-0.2926880053384593,0.2995777158693445,-0.18760994558774693,-0.8094803997260058,0.07201728159547517,0.14363925029477925,-0.15495873135818378,-0.30218613644045983,-0.741953193464137,0.15890409546519774,0.13087191986356367,-0.01706274368552249,-0.031538920655539475,-0.2515348956096423,0.1282799279461082,0.16113781028012922,0.19991071404878294,-0.11773901787157771,-0.16663110111574775,0.003695075190256924
최대 순간풍속,0.6752307335775768,0.5420868768391489,-0.513100556267591,0.0549000052916123,0.03246422678712046,-0.014376395219049045,0.5773863893454688,0.14937556518696352,-0.28504833297844934,0.4896710405008045,-0.08806407342109591,0.06985534363902197,-0.1194260137684811,0.4553155797317018,0.015079196521251415,-0.13271006825283216,-0.8303210037278647,-0.07332107467405094,0.43840812930065187,0.1556325040704842,0.1605999720825994,-0.16041087288308506,0.016833598769020564,0.8057342420188589,0.3915824114753004,0.3854499075277109,0.28456849203894735,0.06890270613330877
최대 풍속,0.6239059885201981,0.5365062112017128,-0.24146517102893403,0.006068291278047938,-0.02567818807430004,-0.02121129015608209,0.5697816672574233,0.216627675792791,-0.3078374823383075,0.5121223382775252,-0.0339046389975709,0.05933539034958711,0.004952604441687716,0.45629499336974083,0.06517410329645226,-0.08183298392467132,-0.7321421324538759,0.0714111327769442,0.4763019780425424,0.01157974753934808,0.01630326931178612,-0.14983166357304684,0.03648231368775589,0.8386179512920625,0.4310611866842931,0.4516926328350208,0.3006903490069323,-0.072426470096494
