지역,년도,생산량,면적,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일 강수량 평균,강수량 합계,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,평균 일조 시간,1시간 최다 일사량 평균,평균 일 합계 일사,일 최심신적설,일 최심적설,지면온도,최저 초상온도,5cm 지중온도,10cm 지중온도,20cm 지중온도,30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도,평균 일교차,일교차 15이상인 날,태풍 수,영향을 준 태풍 수,한파일 수,폭염일 수
경기도,2001,15,1,15.31674107142857,10.001562499999997,21.799776785714283,2.0965277777777778,4.415340909090909,194.275,5.8140625,3.4191964285714285,1.3089285714285717,1130.9419642857142,8.930357142857142,40.484375,68.44151785714287,12.906696428571427,1009.1872767857142,11.695089285714284,6.986830357142858,2.1375892857142857,13.624553571428567,0.0,0.0,18.156473214285715,7.591294642857142,18.428571428571427,19.35357142857143,19.33660714285714,19.791071428571428,20.12857142857143,20.779464285714287,20.663392857142856,19.61875,17.433928571428574,11.798214285714286,25,15,1,11,0
경상남도,2001,11308,631,16.861941964285716,12.076339285714289,23.13426339285714,2.7378214285714284,6.198138528138528,272.7180952380952,6.296205357142857,3.4986607142857133,1.3300223214285711,1149.1674107142858,9.800223214285714,40.84486607142857,65.13113839285714,13.52734375,1009.4465401785714,11.717745535714286,6.0960937500000005,2.2188392857142856,13.815089285714285,0.0,0.0,19.01685267857143,9.885156249999998,18.6625,19.014285714285712,19.48214285714286,19.720535714285717,20.584821428571427,20.77053571428572,,,,11.057924107142854,11,15,1,0,0
경상북도,2001,3636,215,15.328482142857144,10.561607142857143,21.360624999999995,2.09285650281618,5.719821679726744,451.8659126984127,7.807410714285714,4.315892857142857,1.8149107142857144,1568.1776785714285,9.263303571428567,45.41964285714285,68.97205357142857,13.228303571428572,1001.6791964285716,11.707589285714286,6.698571428571428,1.9426785714285717,11.678794642857143,0.0,0.0,17.704285714285714,8.472232142857141,18.70565476190476,18.86220238095238,19.39166666666667,19.59107142857143,20.129166666666663,20.45267857142857,20.43035714285714,18.129910714285717,15.88526785714286,10.799017857142855,6,15,1,3,0
충청남도,2001,249,15,16.037321428571428,10.499821428571428,22.66803571428571,2.4219791666666666,4.702209302325581,202.195,6.740178571428572,3.921071428571428,1.4835714285714283,1281.7357142857145,10.126785714285717,43.19107142857143,69.84392857142858,13.724642857142856,1010.9976785714288,11.709464285714288,8.805178571428572,2.2328571428571427,14.228035714285712,0.0030357142857142,0.0030357142857142,19.491071428571427,8.663035714285714,18.769642857142856,19.066071428571423,19.31607142857143,19.385714285714283,20.120535714285715,20.35357142857143,,,,12.168214285714289,23,15,1,3,0
충청북도,2001,42,2,14.90375,9.374642857142858,21.48875,2.3205974842767296,4.803025641025641,312.19666666666666,7.530892857142857,4.612678571428572,1.9167857142857143,1656.4107142857142,8.399464285714286,41.40178571428572,67.20107142857144,12.405535714285715,996.6576785714286,11.709642857142857,6.919464285714286,2.2675000000000005,13.934821428571428,0.0,0.0,17.790535714285713,7.822499999999999,,,,,,,,,,12.114107142857144,22,15,1,3,0
제주도,2001,64729,2642,19.805803571428573,16.951785714285716,23.15334821428571,2.5845,6.391798941798941,402.6833333333333,11.624107142857143,7.483482142857143,4.355357142857143,3762.928571428572,12.98794642857143,49.93080357142857,65.27879464285714,16.251116071428573,1010.7912946428572,11.763616071428572,6.393526785714286,2.316160714285714,13.948973214285711,0.0,0.0,20.996875,14.678794642857143,21.371875,21.88214285714286,22.15714285714285,22.553125,22.912946428571427,23.301339285714285,22.822321428571424,22.38482142857143,19.354464285714283,6.2015625,0,15,1,0,0
전라남도,2001,3702,213,17.597704081632653,13.513137755102042,22.4936224489796,2.0564741641337387,4.31909604519774,254.82666666666665,9.607525510204082,6.424234693877551,2.984566326530612,2578.292091836735,11.279209183673473,46.29719387755102,67.97168367346939,14.763520408163265,1010.5720663265304,11.74923469387755,7.7637755102040815,2.326026785714286,14.8940625,0.0,0.0,19.610841836734693,10.859183673469389,19.287946428571427,19.466517857142858,20.110267857142865,20.51428571428572,21.16830357142857,21.741071428571427,21.66428571428571,20.425892857142856,18.416517857142857,8.980484693877552,0,15,1,0,0
전라북도,2001,18258,1056,16.050510204081633,10.921428571428567,22.422321428571426,2.6382142857142856,4.165341991341991,229.0938095238095,6.891581632653062,4.174617346938776,1.4646683673469387,1265.4744897959183,10.315433673469387,43.85586734693878,70.82780612244899,13.883928571428571,1002.2354591836736,11.71339285714286,6.876020408163265,2.140625,13.294910714285717,0.0026785714285714,0.0026785714285714,18.320535714285715,8.42640306122449,19.335714285714285,19.486607142857142,20.25357142857143,20.776785714285715,21.550000000000004,22.02053571428572,,,,11.500892857142857,17,15,1,3,0
강원도,2001,765,51,14.570357142857144,9.574375,20.68553571428572,2.3654808201058204,5.864822530864198,422.26722222222224,6.598303571428572,3.7724107142857135,1.705267857142857,1473.4232142857145,8.453482142857142,42.87232142857143,69.34169642857144,12.596160714285714,995.0251785714288,11.708392857142856,6.086607142857142,1.994017857142857,12.070758928571433,0.0002678571428571,0.0005357142857142,16.457410714285714,7.440982142857144,17.291964285714286,17.541071428571428,18.07410714285714,18.448809523809523,19.155952380952385,20.01607142857143,20.380357142857143,19.42767857142857,17.383482142857144,11.111160714285717,10,15,1,8,0
충청북도,2002,477,19,13.175714285714283,8.423035714285716,18.93321428571429,2.8652884615384617,6.299130434782609,434.64,8.38125,4.869642857142857,1.952142857142857,1686.696428571429,7.543392857142857,46.11607142857143,70.65160714285715,12.427321428571428,996.26375,11.702678571428573,5.818571428571429,1.7664285714285712,10.325089285714284,0.0051785714285714,0.0091071428571428,14.800357142857145,6.753214285714286,,,,,,,,,,10.51017857142857,13,14,1,1,0
전라남도,2002,7900,462,16.175127551020406,12.173852040816326,20.898086734693877,3.241456043956044,7.073661616161616,466.8616666666667,10.435969387755105,6.798086734693877,3.08813775510204,2668.127551020408,10.585714285714284,50.3469387755102,71.06454081632653,14.579846938775509,1010.6239795918368,11.73533163265306,6.178571428571429,2.143839285714286,13.086607142857142,0.0,0.0,17.309183673469388,10.197448979591838,17.802232142857143,18.114732142857143,18.543750000000006,18.977678571428573,20.09732142857143,20.879017857142856,21.04553571428572,20.32857142857143,18.561607142857145,8.72423469387755,1,14,1,0,0
경기도,2002,32,2,13.348660714285716,8.659375,19.1265625,2.4891304347826084,4.2875,248.675,5.993973214285715,3.451339285714286,1.244642857142857,1075.3482142857142,7.516964285714287,44.86607142857143,69.86205357142856,12.5828125,1008.95,11.691517857142856,5.725223214285714,1.9220535714285716,11.746339285714289,0.0138392857142857,0.0138392857142857,14.706473214285714,6.59375,15.963392857142855,16.85625,17.055357142857144,17.699107142857144,17.65892857142857,19.03125,19.46607142857143,18.97410714285714,17.251785714285713,10.4671875,14,14,1,1,0
경상남도,2002,9548,569,15.508370535714286,10.786272321428571,21.43984375,4.334681729834791,10.14412320483749,639.0797619047619,7.044308035714286,3.981808035714286,1.4208705357142857,1227.6205357142858,8.862165178571429,43.7109375,67.16439732142857,13.382366071428573,1009.3861607142856,11.723883928571428,6.626116071428571,2.141517857142857,13.104196428571427,0.0,0.0,16.74966517857143,8.631808035714284,17.071428571428573,17.636607142857144,18.17142857142857,18.636607142857144,18.971428571428568,20.07767857142857,,,,10.653571428571428,15,14,1,0,0
경상북도,2002,3517,225,13.588839285714284,9.074821428571427,19.09642857142857,2.7250899943310665,6.256506390434962,481.7509920634921,8.327589285714286,4.7558928571428565,2.00625,1733.4107142857142,7.396160714285715,46.22946428571429,68.36937499999999,12.265535714285717,1001.295,11.705625,5.853660714285715,1.9259821428571429,11.656964285714285,0.0077678571428571,0.0095535714285714,15.560982142857142,7.149464285714286,17.024107142857144,17.257738095238096,17.869642857142857,18.222619047619048,19.20267857142857,20.066964285714285,20.38928571428572,18.50803571428572,16.24375,10.021607142857144,5,14,1,0,0
제주도,2002,47103,2428,18.85,15.758482142857144,22.21026785714286,3.955434782608696,8.464682539682538,533.275,11.799553571428572,7.534151785714286,4.194642857142857,3624.145089285714,13.368973214285717,55.96205357142857,71.53973214285715,16.97254464285714,1011.1236607142856,11.748883928571429,5.790625,2.1837053571428573,13.020892857142858,0.0,0.0,19.61584821428572,12.789508928571433,20.170089285714287,20.377232142857142,20.657589285714284,21.391964285714284,22.090178571428567,22.941071428571423,22.275892857142857,22.070535714285715,19.38214285714286,6.451785714285713,0,14,1,0,0
