지역,년도,생산량,면적,영향을 준 태풍 수,1분기 강수량 합계,2분기 강수량 합계,3분기 강수량 합계,1분기 평균 기온,1분기 일 강수량 평균,1분기 최대 순간풍속,1분기 평균 풍속,1분기 평균 이슬점온도,1분기 최소 상대습도,1분기 평균 상대습도,1분기 평균 현지기압,1분기 가조시간,1분기 평균 일조 시간,1분기 1시간 최다 일사량 평균,1분기 일 최심적설,1분기 지면온도,1분기 최저 초상온도,1분기 30cm 지중온도,1분기 3.0m 지중온도,2분기 평균 기온,2분기 일 강수량 평균,2분기 최대 순간풍속,2분기 평균 풍속,2분기 평균 이슬점온도,2분기 최소 상대습도,2분기 평균 상대습도,2분기 평균 현지기압,2분기 가조시간,2분기 평균 일조 시간,2분기 1시간 최다 일사량 평균,2분기 일 최심적설,2분기 지면온도,2분기 최저 초상온도,2분기 30cm 지중온도,2분기 3.0m 지중온도,3분기 평균 기온,3분기 일 강수량 평균,3분기 최대 순간풍속,3분기 평균 풍속,3분기 평균 이슬점온도,3분기 최소 상대습도,3분기 평균 상대습도,3분기 평균 현지기압,3분기 가조시간,3분기 평균 일조 시간,3분기 1시간 최다 일사량 평균,3분기 일 최심적설,3분기 지면온도,3분기 최저 초상온도,3분기 30cm 지중온도,3분기 3.0m 지중온도,1분기 평균 일교차,2분기 평균 일교차,3분기 평균 일교차,1분기 일교차 15이상인 날,2분기 일교차 15이상인 날,3분기 일교차 15이상인 날,1분기 한파일 수,2분기 한파일 수,3분기 한파일 수,1분기 폭염일 수,2분기 폭염일 수,3분기 폭염일 수
강원도,2001,765,51,1,6.076606458675425,7.98241746031746,2.5825110229276893,21.944324324324327,6.076606458675425,6.247567567567567,1.686756756756757,16.40027027027027,49.4972972972973,72.74567567567566,990.3021621621622,13.147567567567569,7.018378378378379,2.365405405405405,0.0,25.894324324324327,15.710810810810807,25.57027027027027,19.304054054054053,15.228648648648647,7.98241746031746,6.493783783783782,1.6078378378378375,9.586216216216211,43.621621621621614,71.43432432432431,996.182162162162,11.697567567567567,5.378648648648649,1.9757432432432431,0.0,17.03324324324324,7.979999999999999,19.11441441441441,20.22972972972973,6.749473684210527,2.5825110229276893,7.041578947368422,1.8181578947368415,-0.387105263157895,35.6921052631579,63.98973684210525,998.4973684210528,10.31763157894737,5.868684210526316,1.6501973684210527,0.001578947368421,6.708157894736844,-1.1360526315789472,10.866666666666667,18.76710526315789,10.46918918918919,11.394594594594595,11.460263157894737,2,4,4,0,0,0,0,0,0
경기도,2001,15,1,1,5.864583333333333,5.404166666666666,1.1645833333333333,23.72297297297297,5.864583333333333,6.1067567567567576,1.5310810810810809,16.79594594594595,42.060810810810814,67.11486486486487,1003.3202702702704,13.11891891891892,8.545945945945945,2.6354054054054057,0.0,28.385135135135137,16.919594594594596,26.670270270270272,18.82702702702703,15.78986486486487,5.404166666666666,5.742567567567567,1.2445945945945944,9.696621621621622,41.12162162162162,70.08513513513513,1010.2162162162164,11.68175675675676,6.524324324324325,2.1621621621621623,0.0,18.88378378378378,7.762837837837838,20.683783783783785,20.245945945945945,6.671052631578949,1.1645833333333333,5.598684210526317,1.1552631578947368,0.5256578947368422,38.328947368421055,68.13289473684209,1013.8980263157893,10.321710526315789,5.919078947368422,1.6289473684210525,0.0,7.4888157894736835,-1.6585526315789474,12.223684210526317,19.77894736842105,11.067567567567568,12.255405405405403,12.064473684210524,3,12,10,0,0,0,1,0,0
경상남도,2001,11308,631,1,5.167539682539683,7.779150793650794,5.9390625,23.67601351351351,5.167539682539683,6.374324324324324,1.3864864864864863,17.174999999999997,47.36824324324324,68.29020270270273,1003.6587837837836,13.030743243243242,6.0574324324324325,2.546486486486486,0.0,27.19358108108108,17.93243243243243,26.31081081081081,,17.71452702702703,7.779150793650794,6.478040540540541,1.372297297297297,10.867229729729733,41.51351351351352,66.1222972972973,1010.5233108108108,11.70168918918919,6.136824324324324,2.2562162162162163,0.0,20.21081081081081,10.948310810810812,20.710810810810813,,9.397039473684211,5.9390625,6.043092105263159,1.2338815789473687,1.5805921052631575,33.8421052631579,61.09013157894736,1014.033552631579,10.454934210526316,6.094078947368421,1.863421052631579,0.0,9.892763157894738,1.0144736842105262,12.339473684210526,,9.566216216216215,11.12162162162162,12.448355263157897,0,1,10,0,0,0,0,0,0
경상북도,2001,3636,215,1,5.766464285714286,5.555426587301587,5.821669841269841,22.30594594594595,5.766464285714286,7.634864864864865,1.8759459459459455,16.754324324324323,51.05945945945946,72.33216216216218,996.618918918919,13.09,7.457567567567568,2.186891891891892,0.0,26.80189189189189,16.045405405405408,26.141441441441444,17.63243243243243,16.004594594594597,5.555426587301587,7.677567567567566,1.6808108108108109,10.539189189189193,47.59189189189189,71.47891891891891,1002.89,11.692702702702706,6.236756756756757,1.936081081081081,0.0,18.35486486486486,9.268918918918915,20.19369369369369,18.52027027027027,7.876315789473683,5.821669841269841,8.101842105263158,1.886052631578948,0.7271052631578945,37.81315789473685,63.259473684210526,1005.4273684210528,10.376052631578949,6.409210526315789,1.7113157894736843,0.0,8.212631578947368,0.3226315789473684,12.62631578947368,18.23421052631579,9.95837837837838,10.736486486486488,11.67842105263158,0,2,4,0,0,0,0,0,0
전라남도,2001,3702,213,1,4.8145734126984125,3.841165413533835,4.143422619047619,23.94555984555984,4.8145734126984125,8.432818532818533,2.623166023166024,18.51621621621622,52.18532818532818,72.77374517374518,1004.2814671814672,13.026254826254824,8.41235521235521,2.698783783783784,0.0,27.37606177606177,18.55057915057915,26.105405405405406,20.48108108108108,18.59652509652509,3.841165413533835,10.16177606177606,3.307722007722007,11.84131274131274,45.02702702702703,66.26911196911196,1011.5648648648648,11.73667953667954,7.941312741312741,2.411081081081081,0.0,20.903474903474905,11.695366795366796,21.48378378378379,21.00810810810811,10.44436090225564,4.143422619047619,10.211654135338344,3.021804511278195,3.6853383458646616,41.80075187969925,64.95375939849625,1015.7304511278196,10.518045112781955,6.959398496240602,1.8802631578947369,0.0,10.791353383458649,2.5560150375939847,14.126315789473686,19.805263157894736,8.068339768339769,9.157142857142857,9.696616541353384,0,0,0,0,0,0,0,0,0
전라북도,2001,18258,1056,1,5.184708994708995,3.815476190476191,3.5310776942355884,23.563706563706564,5.184708994708995,6.762934362934363,1.4845559845559844,17.525482625482628,45.98841698841699,70.61428571428571,996.1258687258684,13.044015444015445,7.745559845559845,2.575405405405405,0.0,27.83861003861004,16.753667953667957,28.054054054054053,,16.679150579150576,3.815476190476191,7.083011583011584,1.5432432432432432,10.808494208494206,43.683397683397686,70.56023166023166,1003.2652509652506,11.6969111969112,6.916602316602317,2.155675675675676,0.0,19.25212355212356,8.965637065637063,21.802702702702707,,8.122932330827068,3.5310776942355884,6.830451127819548,1.368796992481203,2.8150375939849623,41.94736842105263,71.29624060150378,1007.1815789473684,10.433834586466164,5.989849624060151,1.7026315789473685,0.0078947368421052,8.145864661654137,-0.206766917293233,12.692105263157895,,10.994594594594592,11.811969111969114,11.690977443609023,2,8,7,0,0,0,1,0,0
제주도,2001,64729,2642,1,6.702777777777777,5.684722222222223,6.632407407407407,25.36081081081081,6.702777777777777,11.354729729729728,4.183108108108109,19.497972972972967,56.19594594594594,70.39797297297295,1004.306756756757,12.988513513513514,6.5283783783783775,2.671351351351352,0.0,28.05608108108108,21.064864864864862,27.633783783783784,24.14864864864865,20.710810810810813,5.684722222222223,11.550675675675674,4.322297297297298,13.688513513513517,49.53378378378378,64.75337837837839,1011.7054054054056,11.747297297297298,6.677027027027027,2.4305405405405405,0.0,22.127027027027022,15.363513513513512,23.164864864864864,22.5027027027027,13.515789473684208,6.632407407407407,11.957894736842109,4.555263157894737,5.967105263157896,44.2171052631579,60.80592105263159,1016.2151315789474,10.586842105263155,5.986184210526315,1.858947368421053,0.0,13.023026315789474,7.794078947368423,17.010526315789473,20.552631578947366,5.541216216216216,6.325000000000001,6.724342105263157,0,0,0,0,0,0,0,0,0
충청남도,2001,249,15,1,7.669487179487179,4.361999999999999,2.470777777777778,24.098918918918915,7.669487179487179,6.652972972972973,1.5799999999999998,17.529729729729727,46.08648648648648,68.01675675675675,1004.7437837837836,13.080000000000002,10.516216216216216,2.635135135135135,0.0,29.12972972972973,17.731891891891895,26.48918918918919,,16.531891891891895,4.361999999999999,6.949189189189189,1.5054054054054056,10.50756756756757,41.24324324324324,69.64594594594595,1012.0502702702704,11.693513513513516,8.578378378378378,2.2870270270270274,0.0,20.16054054054054,8.87891891891892,19.99459459459459,,7.706315789473682,2.470777777777778,6.6215789473684215,1.368421052631579,2.547894736842105,42.26842105263158,71.8157894736842,1016.0621052631576,10.390526315789472,7.3599999999999985,1.7884210526315787,0.0089473684210526,9.45421052631579,-0.3773684210526313,11.876315789473685,,11.038918918918917,12.738918918918918,12.712105263157897,1,12,10,0,0,0,1,0,0
충청북도,2001,42,2,1,4.521388888888889,6.098133333333334,3.201875,22.608648648648646,4.521388888888889,7.374594594594593,1.9227027027027028,15.69945945945946,44.38378378378379,66.96162162162163,991.4232432432432,13.093513513513512,8.296216216216218,2.5286486486486486,0.0,27.776216216216216,16.303783783783786,,,15.52864864864865,6.098133333333334,7.464864864864865,1.836216216216216,9.544864864864865,43.02162162162163,69.41297297297298,997.7708108108108,11.695675675675677,6.4762162162162165,2.305945945945946,0.0,18.424324324324324,8.30864864864865,,,6.793157894736842,3.201875,7.74736842105263,1.989473684210526,0.1763157894736843,36.92105263157894,65.28052631578947,1000.6705263157894,10.375789473684211,6.010526315789473,1.9757894736842108,0.0,7.450526315789477,-0.9089473684210526,,,11.362702702702704,12.312432432432434,12.65263157894737,4,10,8,0,0,0,0,0,0
강원도,2002,448,28,1,15.001264367816091,7.382151675485009,1.2868776106934,20.78216216216216,15.001264367816091,6.994864864864863,1.676756756756757,16.859189189189184,60.9945945945946,79.49324324324324,990.336216216216,13.126216216216216,3.812162162162163,1.8478378378378373,0.0,22.89513513513513,16.137027027027024,23.71441441441442,20.02027027027028,14.150000000000002,7.382151675485009,7.306756756756756,1.831891891891892,8.755135135135134,42.95405405405405,72.50540540540543,995.12,11.671351351351351,5.567837837837839,2.0766891891891888,0.0,15.7445945945946,7.088918918918921,18.421621621621625,19.972972972972972,3.214736842105263,1.2868776106934,9.668947368421051,2.4826315789473687,-5.626315789473685,30.51052631578948,55.44447368421052,997.8528947368422,10.306052631578948,6.020526315789473,1.8032894736842104,0.0642105263157894,3.226578947368421,-4.60842105263158,7.948245614035089,18.34210526315789,7.733783783783783,11.104594594594596,10.686315789473683,1,1,5,0,0,0,0,0,0
