지역,년도,생산량,면적,영향을 준 태풍 수,1분기 강수량 합계,2분기 강수량 합계,3분기 강수량 합계,1분기 평균 기온,1분기 일 강수량 평균,1분기 최대 순간풍속,1분기 평균 풍속,1분기 평균 이슬점온도,1분기 최소 상대습도,1분기 평균 상대습도,1분기 평균 현지기압,1분기 가조시간,1분기 평균 일조 시간,1분기 1시간 최다 일사량 평균,1분기 일 최심적설,1분기 지면온도,1분기 최저 초상온도,1분기 30cm 지중온도,1분기 3.0m 지중온도,2분기 평균 기온,2분기 일 강수량 평균,2분기 최대 순간풍속,2분기 평균 풍속,2분기 평균 이슬점온도,2분기 최소 상대습도,2분기 평균 상대습도,2분기 평균 현지기압,2분기 가조시간,2분기 평균 일조 시간,2분기 1시간 최다 일사량 평균,2분기 일 최심적설,2분기 지면온도,2분기 최저 초상온도,2분기 30cm 지중온도,2분기 3.0m 지중온도,3분기 평균 기온,3분기 일 강수량 평균,3분기 최대 순간풍속,3분기 평균 풍속,3분기 평균 이슬점온도,3분기 최소 상대습도,3분기 평균 상대습도,3분기 평균 현지기압,3분기 가조시간,3분기 평균 일조 시간,3분기 1시간 최다 일사량 평균,3분기 일 최심적설,3분기 지면온도,3분기 최저 초상온도,3분기 30cm 지중온도,3분기 3.0m 지중온도,1분기 평균 일교차,2분기 평균 일교차,3분기 평균 일교차,1분기 일교차 15이상인 날,2분기 일교차 15이상인 날,3분기 일교차 15이상인 날,1분기 한파일 수,2분기 한파일 수,3분기 한파일 수,1분기 폭염일 수,2분기 폭염일 수,3분기 폭염일 수
강원도,2001,20912,713,1,3.225199257007767,8.972783925776884,5.987779466396488,16.155185185185186,3.225199257007767,8.810123456790123,2.3969135802469133,6.46962962962963,33.3641975308642,58.07654320987656,989.618271604938,13.924691358024692,7.322592592592591,2.5758333333333336,0.0071604938271604,19.784814814814816,7.588518518518519,16.496296296296293,11.72962962962963,23.52074074074074,8.972783925776884,6.474814814814815,1.6682716049382715,18.80012345679012,54.57777777777778,76.33197530864197,987.7006172839506,14.003456790123456,5.927160493827161,2.3587962962962963,0.0,26.659012345679013,18.41987654320988,25.49506172839506,17.038271604938274,11.626707317073173,5.987779466396488,6.796585365853658,1.7428048780487808,5.227926829268292,40.10853658536586,67.76085365853659,996.9579268292686,11.135,5.749512195121952,1.8371341463414637,0.0007317073170731,12.67439024390244,4.060243902439025,15.645934959349596,19.55243902439024,12.66888888888889,9.05185185185185,11.443658536585367,24,0,10,0,0,0,0,0,0
경기도,2001,433,19,1,4.1339080459770114,13.43813559322034,3.4893678160919546,16.94691358024691,4.1339080459770114,7.52283950617284,1.7342592592592596,7.319753086419754,31.00925925925926,57.09444444444444,1003.9756172839506,13.9141975308642,8.176234567901236,2.6724691358024693,0.0,21.424074074074078,7.977777777777779,17.54320987654321,12.57283950617284,24.54969135802469,13.43813559322034,6.104320987654321,1.4333333333333331,19.508333333333333,52.91666666666666,74.98395061728395,1001.2385802469136,13.976851851851851,6.437962962962963,2.374691358024692,0.0,27.562962962962963,19.139197530864195,25.718518518518515,17.085185185185182,12.028963414634148,3.4893678160919546,5.801524390243902,1.2624999999999995,5.701524390243901,39.45121951219512,68.3280487804878,1011.5350609756096,11.12621951219512,6.51920731707317,1.9603658536585369,0.0,14.232317073170732,3.820426829268293,17.2219512195122,19.979268292682928,13.351543209876542,8.933024691358025,12.232621951219512,31,0,25,0,0,0,0,3,0
경상남도,2001,9335,461,1,9.940999149659865,11.64501488095238,7.35992673992674,17.088425925925925,9.940999149659865,6.996450617283949,1.6143518518518518,8.445679012345678,36.05401234567901,60.24305555555556,1005.0325617283952,13.779166666666663,7.39212962962963,2.6386419753086416,0.0,21.600771604938267,8.942746913580248,18.520987654320987,,24.95185185185185,11.64501488095238,6.863580246913581,1.4245370370370372,19.48981481481481,53.16820987654321,72.76790123456792,1002.3922839506172,13.827314814814812,6.05570987654321,2.436543209876543,0.0,28.407098765432096,19.94012345679012,26.637037037037043,,14.14283536585366,7.35992673992674,6.340548780487804,1.3339939024390244,6.913414634146343,38.797256097560975,64.06021341463415,1011.7303353658538,11.19298780487805,5.949085365853658,2.083414634146341,0.0,15.65716463414634,6.741158536585366,17.097560975609756,,12.4304012345679,8.809104938271606,11.509451219512195,26,0,11,0,0,0,0,5,0
경상북도,2001,3646,196,1,3.868012896825397,7.054465452847807,6.008811021263852,16.61172839506173,3.868012896825397,9.432592592592592,2.237777777777778,6.908395061728395,34.04567901234568,57.29518518518518,996.6734567901232,13.86246913580247,9.47345679012346,2.3926543209876545,0.0,21.358641975308643,8.314320987654318,18.00411522633745,12.550617283950617,23.96629629629629,7.054465452847807,7.471358024691359,1.7171604938271603,18.81506172839506,54.0395061728395,74.22012345679012,994.5533333333332,13.92320987654321,7.947901234567901,2.2908024691358024,0.0,28.64407407407408,18.465555555555557,26.46707818930041,16.289506172839506,12.520365853658534,6.008811021263852,7.964268292682927,1.82780487804878,6.30609756097561,43.50365853658536,67.84890243902439,1003.7056097560976,11.155365853658536,6.300365853658537,1.820243902439024,0.0,13.911219512195125,5.498536585365853,16.945121951219512,18.35975609756097,12.95543209876543,9.405802469135802,11.024756097560976,24,0,6,0,0,0,0,0,0
전라남도,2001,2066,85,1,6.780599343185551,9.665751231527093,4.151874236874237,16.401234567901234,6.780599343185551,10.052380952380952,3.10952380952381,9.638977072310404,43.87125220458554,66.91869488536156,1006.5954144620812,13.715520282186947,7.941975308641976,2.7135185185185184,0.0,20.177777777777777,9.244268077601411,17.787037037037038,13.922222222222226,24.604761904761904,9.665751231527093,8.962962962962962,2.71358024691358,20.481128747795417,59.96649029982364,78.6201058201058,1003.3188712522046,13.786596119929454,7.721340388007055,2.509567901234568,0.0,27.88447971781305,20.076014109347444,25.8962962962963,18.83148148148148,15.145121951219512,4.151874236874237,10.054703832752612,3.149651567944251,8.445644599303137,44.19512195121951,65.95261324041812,1013.0102787456444,11.239198606271776,7.440766550522649,2.1817073170731707,0.0,16.604006968641116,7.910801393728223,18.335975609756098,20.44939024390244,9.957848324514991,7.280246913580246,9.245470383275263,4,0,0,0,0,0,0,1,0
전라북도,2001,965,40,1,7.430833333333333,10.54793103448276,4.583211233211234,16.409700176366844,7.430833333333333,8.265079365079366,1.8,8.971957671957671,38.47795414462081,64.95220458553791,997.8319223985892,13.8015873015873,7.840564373897709,2.722469135802469,0.0,20.965079365079365,7.856437389770724,19.63703703703704,,24.775308641975307,10.54793103448276,7.254673721340388,1.5181657848324517,19.82627865961199,54.089947089947096,75.11463844797179,994.83721340388,13.853439153439156,6.423809523809524,2.4051851851851853,0.0,28.05432098765432,19.248500881834214,27.577777777777776,,13.118466898954704,4.583211233211234,6.972125435540071,1.4787456445993032,7.46533101045296,43.01045296167247,70.77160278745644,1004.6162020905924,11.181184668989546,6.5703832752613245,1.9735365853658535,0.0036585365853658,14.574216027874565,5.148083623693379,17.903658536585365,,12.944444444444445,9.096825396825396,11.738153310104533,29,2,15,0,0,0,0,10,0
제주도,2001,104035,2330,1,7.597549019607843,12.297272727272723,6.501388888888889,17.49537037037037,7.597549019607843,10.191666666666666,3.4762345679012343,11.35462962962963,50.351851851851855,68.97839506172839,1007.2990740740742,13.64351851851852,6.113271604938272,2.674320987654321,0.0,20.84197530864197,12.05,19.54753086419753,15.377777777777776,25.8787037037037,12.297272727272723,10.24783950617284,3.598456790123457,21.20277777777778,62.31481481481482,75.98765432098766,1003.9870370370372,13.71327160493827,6.185493827160493,2.643456790123457,0.0,28.973456790123457,21.983950617283952,27.65,22.28641975308642,17.610670731707316,6.501388888888889,11.785670731707317,4.458536585365853,10.505182926829267,48.05792682926829,63.64420731707318,1013.2704268292684,11.27560975609756,6.181707317073171,2.137378048780488,0.0,18.16371951219512,12.236585365853658,20.502439024390245,21.708536585365856,6.97962962962963,5.628395061728395,6.343902439024389,0,0,0,0,0,0,0,0,0
충청남도,2001,4510,196,1,4.491975308641975,11.333942307692308,3.8179292929292927,16.70814814814815,4.491975308641975,8.059012345679012,1.8992592592592592,8.45530864197531,37.4,60.790370370370375,1006.4896296296296,13.853086419753083,10.252098765432098,2.5769135802469134,0.0,20.781728395061727,8.700493827160495,16.796296296296298,,25.16024691358025,11.333942307692308,7.208888888888889,1.68320987654321,19.884444444444444,54.87654320987653,73.33481481481482,1003.214320987654,13.908148148148149,9.682469135802467,2.2762962962962967,0.0,28.805185185185188,20.019259259259258,25.476543209876542,,12.879268292682926,3.8179292929292927,6.86317073170732,1.4870731707317073,7.140731707317074,41.8,70.19804878048781,1013.4256097560976,11.161707317073173,8.185609756097561,2.109878048780488,0.0041463414634146,15.726341463414636,5.093902439024391,16.736585365853657,,12.980000000000002,8.962222222222223,12.655365853658536,28,0,23,0,0,0,0,5,0
충청북도,2001,450,39,1,3.532747747747748,7.263897849462365,5.13262962962963,16.711604938271606,3.532747747747748,8.93604938271605,2.222716049382716,6.32469135802469,31.8320987654321,54.2362962962963,992.4782716049384,13.866666666666667,8.648641975308642,2.8377777777777777,0.0,20.85753086419753,7.652839506172841,,,24.09456790123457,7.263897849462365,7.238518518518519,1.6479012345679012,18.21432098765432,50.846913580246905,71.04,989.4429629629628,13.92666666666667,7.623456790123456,2.610740740740741,0.0,28.245432098765438,18.80469135802469,,,11.83,5.13262962962963,7.6485365853658545,1.949512195121951,5.486341463414634,40.23170731707317,67.30292682926829,998.751219512195,11.15731707317073,6.356097560975609,2.148170731707317,0.0,13.712439024390244,4.425609756097561,,,13.678765432098766,9.701975308641977,12.421463414634148,35,2,20,0,0,0,0,3,0
강원도,2002,11461,397,4,6.601783008658009,15.19938605442177,4.529554988662132,15.772716049382716,6.601783008658009,8.942345679012346,2.2376543209876543,7.431728395061729,34.80864197530864,60.86703703703704,989.9661728395062,13.95111111111111,7.385555555555555,2.7294444444444443,0.0,19.25456790123457,7.34753086419753,17.23168724279836,12.640123456790125,21.887407407407405,15.19938605442177,7.394197530864195,1.8766666666666665,17.514567901234567,60.08024691358025,77.65407407407407,987.1029629629628,14.009135802469135,4.28,2.0095061728395063,0.0,24.47135802469136,17.111975308641973,24.08271604938272,17.77530864197531,9.38109756097561,4.529554988662132,8.287926829268294,2.0920731707317075,2.52109756097561,38.53780487804878,65.21829268292683,996.2787804878049,11.113170731707315,5.591219512195122,1.9088414634146345,0.0297560975609756,10.32621951219512,2.138780487804878,13.908130081300811,19.240243902439023,12.248271604938273,7.675061728395061,10.673902439024388,18,3,6,0,0,0,0,0,0
