지역,년도,생산량,면적,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일 강수량 평균,강수량 합계,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,평균 일조 시간,1시간 최다 일사량 평균,평균 일 합계 일사,일 최심신적설,일 최심적설,지면온도,최저 초상온도,5cm 지중온도,10cm 지중온도,20cm 지중온도,30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도,평균 일교차,일교차 15이상인 날,태풍 수,영향을 준 태풍 수,한파일 수,폭염일 수
강원도,2001,206,106,20.2567816091954,15.45,25.961666666666662,2.839477366255143,7.402245149911817,999.3030952380952,7.296781609195403,4.192701149425287,1.9158620689655173,1655.222988505747,13.75287356321839,46.30229885057472,69.64137931034483,16.958965517241378,989.3005747126437,13.74442528735632,6.306436781609197,2.3641522988505743,15.77104885057471,0.0,0.0,23.62425287356322,13.677068965517243,23.29731800766284,22.95363984674329,22.7183908045977,22.23218390804597,21.25344827586207,19.56666666666667,18.010632183908047,15.871264367816092,14.73390804597701,10.511666666666668,18,22,1,8,0
경기도,2001,986,636,21.313649425287355,16.34080459770115,27.229166666666668,4.136700336700336,9.965151515151517,986.5500000000002,6.594683908045977,3.965948275862068,1.5471264367816095,1336.7327586206898,14.41005747126437,43.53879310344828,67.6235632183908,17.61465517241379,1003.0511494252872,13.722701149425289,7.179885057471264,2.467126436781609,17.028908045977012,0.0,0.0,25.21307471264368,14.317959770114944,24.05172413793104,24.372988505747124,23.45804597701149,23.02931034482759,21.63448275862069,19.88448275862069,18.52988505747126,16.091954022988507,14.66264367816092,10.888362068965517,28,22,1,11,3
경상남도,2001,446,248,21.58297413793104,17.14353448275862,27.129454022988504,4.634927035330261,11.391441511387162,1048.012619047619,6.83469827586207,3.903951149425287,1.489080459770115,1286.584051724138,15.04051724137931,46.8778735632184,68.29475574712644,18.14066091954023,1004.034841954023,13.594396551724136,6.243462643678161,2.4404022988505747,16.570660919540234,0.0,0.0,25.236278735632187,15.527011494252871,24.054022988505743,23.98793103448276,23.81666666666667,23.54827586206896,23.00862068965517,20.559770114942527,,,,9.985919540229885,13,22,1,0,5
경상북도,2001,1865,1151,20.669885057471262,15.836896551724138,26.402758620689657,2.680233831824741,6.417076177465521,782.8832936507936,8.197126436781609,4.540574712643678,1.9105747126436776,1650.6258620689655,14.07126436781609,47.13563218390806,68.65482758620689,17.25948275862069,996.1454022988504,13.67574712643678,8.124885057471264,2.24132183908046,15.085172413793105,0.0,0.0,25.10235632183908,14.231149425287358,24.60134099616858,24.1176245210728,23.63199233716475,23.19712643678161,22.18850574712644,19.899042145593864,18.73333333333333,15.4316091954023,14.42873563218391,10.565862068965515,15,22,1,3,0
전라남도,2001,327,161,21.379392446633823,17.749917898193758,25.916995073891627,3.4977994227994227,8.388379028379028,830.4495238095237,9.429967159277505,6.281034482758619,2.9197044334975373,2522.5139573070605,16.041297208538587,53.22577996715928,73.17077175697865,19.309277504105093,1005.1040229885056,13.555418719211824,7.64031198686371,2.5516666666666667,17.50804597701149,0.0,0.0,24.73793103448276,15.873645320197044,23.82097701149425,23.46408045977012,23.279597701149427,23.031321839080466,22.373563218390807,21.328160919540228,20.04942528735632,17.637931034482758,16.256896551724136,8.167077175697868,3,22,1,0,1
전라북도,2001,1719,792,21.273645320197044,16.506486042692938,27.11346469622332,4.461058763931105,9.422218949435443,913.9552380952382,7.539162561576354,4.588423645320196,1.63128078817734,1409.508210180624,15.362397372742198,47.70607553366175,71.10788177339901,18.52512315270936,996.5806239737274,13.61568144499179,6.938177339901478,2.488390804597701,16.674885057471265,0.0,0.0,25.050000000000004,14.574055829228245,25.2816091954023,24.83390804597701,24.85,24.77931034482759,24.42758620689656,22.431034482758623,,,,10.606978653530378,22,22,1,3,10
제주도,2001,765,301,22.570114942528736,19.87270114942529,25.851580459770112,3.525480769230769,9.739102564102565,1012.8666666666666,10.419683908045975,6.94698275862069,3.6446839080459768,3148.8635057471265,17.20617816091954,57.23419540229885,72.73879310344827,20.62255747126437,1005.6599137931036,13.491666666666667,5.842672413793103,2.5805172413793103,17.11916666666667,0.0,0.0,25.48433908045977,18.148850574712643,25.386494252873565,25.382183908045977,24.9882183908046,24.588505747126437,24.028735632183903,22.719827586206897,21.3132183908046,20.09195402298851,17.33045977011494,5.978879310344826,0,22,1,0,0
충청남도,2001,2385,928,21.602873563218388,16.703333333333333,27.41218390804598,4.353869731800767,8.939829545454545,786.705,7.454252873563218,4.451839080459769,1.7520689655172417,1513.7597701149425,15.08896551724138,46.76551724137932,68.08839080459771,18.24908045977012,1005.11,13.664367816091954,9.773563218390803,2.4136206896551724,16.64091954022988,0.0,0.0,25.595172413793104,15.240804597701151,24.132183908045977,23.587356321839074,23.15344827586207,22.57528735632184,21.47816091954023,19.642528735632183,,,,10.708850574712644,24,22,1,3,5
충청북도,2001,745,340,20.79264367816092,15.55310344827586,26.81781609195402,2.985146198830409,6.512616959064327,742.4383333333333,7.877701149425286,4.8182758620689645,1.8849425287356325,1628.786206896552,13.387011494252874,43.51839080459769,65.19850574712645,16.537816091954024,991.284827586207,13.679770114942528,7.750459770114942,2.6231609195402297,17.675919540229884,0.0,0.0,24.89482758620689,14.079540229885058,,,,,,,,,,11.26471264367816,32,22,1,3,3
강원도,2002,337,162,19.057758620689658,14.544195402298849,24.326609195402305,3.7149666005291,11.724647486772486,1406.9576984126984,7.430229885057471,4.554712643678161,1.8606896551724137,1607.5896551724136,13.47103448275862,49.783908045977,72.36126436781609,16.293505747126435,989.3655172413792,13.750517241379312,5.627758620689655,2.295876436781609,15.415488505747128,0.0,0.0,22.081609195402297,12.706494252873563,22.10421455938697,21.981609195402296,21.743678160919536,21.54597701149425,20.97854406130268,19.57624521072797,18.363505747126435,16.502586206896552,15.275862068965514,9.78241379310345,15,21,4,1,0
