지역,년도,생산량,면적,영향을 준 태풍 수,1분기 강수량 합계,2분기 강수량 합계,3분기 강수량 합계,1분기 평균 기온,1분기 일 강수량 평균,1분기 최대 순간풍속,1분기 평균 풍속,1분기 평균 이슬점온도,1분기 최소 상대습도,1분기 평균 상대습도,1분기 평균 현지기압,1분기 가조시간,1분기 평균 일조 시간,1분기 1시간 최다 일사량 평균,1분기 일 최심적설,1분기 지면온도,1분기 최저 초상온도,1분기 30cm 지중온도,1분기 3.0m 지중온도,2분기 평균 기온,2분기 일 강수량 평균,2분기 최대 순간풍속,2분기 평균 풍속,2분기 평균 이슬점온도,2분기 최소 상대습도,2분기 평균 상대습도,2분기 평균 현지기압,2분기 가조시간,2분기 평균 일조 시간,2분기 1시간 최다 일사량 평균,2분기 일 최심적설,2분기 지면온도,2분기 최저 초상온도,2분기 30cm 지중온도,2분기 3.0m 지중온도,3분기 평균 기온,3분기 일 강수량 평균,3분기 최대 순간풍속,3분기 평균 풍속,3분기 평균 이슬점온도,3분기 최소 상대습도,3분기 평균 상대습도,3분기 평균 현지기압,3분기 가조시간,3분기 평균 일조 시간,3분기 1시간 최다 일사량 평균,3분기 일 최심적설,3분기 지면온도,3분기 최저 초상온도,3분기 30cm 지중온도,3분기 3.0m 지중온도,1분기 평균 일교차,2분기 평균 일교차,3분기 평균 일교차,1분기 일교차 15이상인 날,2분기 일교차 15이상인 날,3분기 일교차 15이상인 날,1분기 한파일 수,2분기 한파일 수,3분기 한파일 수,1분기 폭염일 수,2분기 폭염일 수,3분기 폭염일 수
강원도,2001,175829,6254,0,1.4274883286647992,1.17379917184265,6.540940709617181,8.11825,1.4274883286647992,9.8585,2.60375,-2.6990000000000003,24.99,51.96775,991.696,12.52225,7.388499999999999,2.5493125,1.49225,9.65375,-1.52775,7.193333333333333,10.55375,16.22475,1.17379917184265,9.13125,2.54125,5.77225,31.3625,55.5105,990.0215,13.976499999999998,7.798750000000001,2.6746875,0.0,20.283,7.322999999999999,16.744166666666665,11.48375,21.602380952380955,6.540940709617181,7.192857142857142,1.9109523809523807,15.668571428571427,49.81666666666667,71.89261904761904,986.050238095238,14.693333333333332,5.576190476190476,2.313571428571429,0.0,25.052857142857142,15.750238095238094,22.663492063492065,13.871428571428572,13.88275,12.79675,9.513333333333332,16,11,2,0,0,0,0,0,0
경기도,2001,165892,4890,0,1.5446969696969697,0.9601190476190476,9.57202380952381,8.076875000000001,1.5446969696969697,8.439375000000002,1.8325,-2.19625,25.85625,53.0925,1007.21125,12.526875,7.723124999999999,2.598,0.065625,10.52625,-2.038125,9.1225,11.330000000000002,17.09,0.9601190476190476,7.73875,1.79375,6.926249999999999,28.4125,55.36625,1004.305,13.968125000000004,8.440000000000001,2.77325,0.0,22.023125,8.02875,17.814999999999998,12.18,22.442857142857143,9.57202380952381,6.220833333333334,1.5089285714285714,16.316071428571426,49.63690476190476,70.61250000000001,1000.0065476190476,14.669642857142858,6.048809523809524,2.2219047619047623,0.0,25.93452380952381,16.291666666666668,22.84761904761905,14.597619047619048,14.341250000000002,13.489375,9.48988095238095,19,14,4,0,0,0,0,0,0
경상남도,2001,63309,2265,0,1.1323051948051948,6.837738095238096,20.68603002070393,10.636875,1.1323051948051948,7.7421875,1.7956249999999998,-0.7846875000000001,23.546875,48.948125,1007.8240625,12.499375,8.672812500000001,2.83175,0.031875,14.690729166666667,0.415625,11.17,,16.9171875,6.837738095238096,6.753125,1.6125,8.682187500000001,37.728125,61.799062500000005,1005.378125,13.829375,6.996562499999999,2.631,0.0,21.2659375,9.2915625,18.4,,22.400892857142857,20.68603002070393,7.076488095238096,1.5202380952380952,16.276488095238093,50.410714285714285,70.17380952380952,1001.3455357142856,14.472321428571428,5.915476190476191,2.260952380952381,0.0,26.075892857142858,16.822321428571428,23.86190476190476,,14.621249999999998,11.822500000000002,9.241666666666664,21,9,3,0,0,0,0,0,0
경상북도,2001,131632,4114,0,1.265409356725146,2.278935574229692,8.319638888888887,9.48475,1.265409356725146,10.671,2.472,-1.7945,25.085,49.6245,998.8947499999998,12.51725,8.8465,2.406375,0.33325,12.633875,-0.3747499999999998,10.275,11.72,16.553,2.278935574229692,9.63,2.335,6.6185,33.1575,56.623250000000006,997.073,13.9135,9.6575,2.390625,0.0,21.46275,8.280750000000001,18.116666666666667,12.41125,21.84452380952381,8.319638888888887,7.847380952380952,1.8138095238095235,15.424047619047618,48.897619047619045,69.5047619047619,993.0709523809523,14.594761904761905,8.475476190476192,2.201547619047619,0.0,26.52309523809524,15.934761904761904,23.45952380952381,14.098809523809525,14.25225,12.909,10.044047619047618,19,11,2,0,0,0,0,0,0
전라남도,2001,142890,4076,0,1.395091575091575,4.753920634920636,17.271536796536797,9.719642857142857,1.395091575091575,11.659642857142856,3.696071428571429,1.2675,33.04642857142857,58.59464285714286,1010.065,12.4725,8.843571428571428,2.8138750000000003,0.0,12.691785714285716,0.7110714285714284,11.05125,12.37875,16.450357142857143,4.753920634920636,10.038928571428572,3.170357142857143,9.685357142857145,44.70357142857143,67.15464285714286,1006.7342857142858,13.762857142857143,7.340357142857142,2.72375,0.0,20.20107142857143,9.638928571428572,17.79125,13.767500000000002,21.419727891156462,17.271536796536797,9.524829931972787,2.8044217687074826,16.97959183673469,58.86734693877551,77.04863945578231,1002.7489795918368,14.39625850340136,6.734013605442176,2.288214285714286,0.0,24.439795918367345,16.70374149659864,22.58452380952381,16.145238095238096,11.696071428571427,9.576071428571428,7.279931972789114,2,3,0,0,0,0,0,0,0
전라북도,2001,128372,4056,0,1.889021164021164,4.599897959183673,13.746584564860424,8.385714285714284,1.889021164021164,9.244642857142855,1.9485714285714288,0.3032142857142857,31.589285714285715,60.90714285714287,1001.1603571428572,12.503928571428572,8.337857142857143,2.6740000000000004,0.0882142857142857,11.9875,-2.0339285714285715,10.77,,16.471785714285716,4.599897959183673,8.36,1.8753571428571427,8.92607142857143,37.9,64.62285714285716,998.0425,13.852142857142857,7.8125,2.84025,0.0,21.175,8.140714285714285,19.8725,,22.20578231292517,13.746584564860424,7.377891156462583,1.610544217687075,17.043537414965986,54.20408163265307,74.24183673469386,993.979931972789,14.506802721088434,5.790136054421768,2.2247619047619045,0.0,25.642857142857142,16.446598639455786,24.90714285714285,,14.666785714285714,12.939642857142854,8.899999999999999,22,12,4,0,0,0,0,0,0
제주도,2001,15626,831,0,3.122916666666667,7.759126984126984,18.362878787878785,12.29625,3.122916666666667,11.76875,4.213125,4.35375,39.55,59.65,1010.865,12.45375,7.8043749999999985,2.6475,0.0,15.225208333333333,5.343125,14.22875,14.565,17.4025,7.759126984126984,10.109375,3.35875,11.53625,51.0875,70.2125,1007.313125,13.689375000000002,5.49125,2.6535,0.0,20.928125,12.3125,19.58375,14.8875,22.027380952380952,18.362878787878785,9.991071428571429,3.3220238095238104,17.798809523809524,64.0297619047619,78.31904761904761,1003.6738095238096,14.294047619047625,4.624999999999999,2.310833333333333,0.0,24.71130952380953,18.06666666666667,23.61190476190476,18.195238095238093,8.275,6.70125,5.691071428571429,0,0,0,0,0,0,0,0,0
충청남도,2001,97204,3051,0,1.8153333333333328,2.5062222222222226,8.77474358974359,8.145499999999998,1.8153333333333328,9.161,2.06,-0.4049999999999999,31.85,58.38250000000001,1010.021,12.514,9.938,2.598,0.1139999999999999,10.2805,-1.6195,8.2875,,16.823500000000003,2.5062222222222226,8.241000000000001,1.973,8.236500000000001,36.125,59.54,1006.7705,13.9075,10.32,2.6285,0.0,20.7775,8.973,16.777499999999996,,22.554285714285715,8.77474358974359,7.3409523809523805,1.785714285714286,16.50714285714286,52.13809523809523,69.78619047619047,1002.35,14.575238095238095,9.317142857142857,2.1592857142857143,0.0,26.363333333333333,17.07333333333333,22.604761904761904,,14.979500000000002,13.007,8.979523809523808,21,12,3,0,0,0,0,0,0
충청북도,2001,151943,4031,0,0.8876470588235295,1.359375,8.252888888888888,8.772499999999999,0.8876470588235295,9.9675,2.5800000000000005,-2.652,24.725,48.623000000000005,995.4060000000002,12.5185,8.861500000000001,2.86825,0.0744999999999999,11.439333333333334,-2.015,,,16.731,1.359375,9.0375,2.3145,5.8885000000000005,30.295,52.634,993.115,13.919999999999998,8.9185,2.8965,0.0,21.318,7.601000000000001,,,22.06380952380952,8.252888888888888,7.520476190476191,1.6933333333333331,15.229523809523812,47.33333333333333,67.43523809523809,988.0300000000002,14.598571428571423,7.166190476190475,2.556666666666666,0.0,25.700952380952376,16.004761904761903,,,15.4015,13.613499999999998,10.095238095238097,24,16,5,0,0,0,0,0,0
강원도,2002,142248,4569,3,3.445208333333333,8.406447368421052,7.07497311827957,10.055,3.445208333333333,11.88825,2.95875,-1.17575,24.1875,49.5495,991.198,12.5425,6.944,2.4838125,0.0,11.2335,0.7792499999999999,9.869166666666668,11.31,14.96225,8.406447368421052,7.904249999999999,1.97575,7.236250000000001,37.48,63.21199999999999,992.20275,14.004,7.312,2.65975,0.0,18.68125,6.6755,16.793333333333333,12.48125,20.355238095238096,7.07497311827957,7.639761904761904,1.9590476190476191,14.088333333333336,45.66428571428571,69.32690476190476,986.0321428571428,14.72142857142857,6.633095238095239,2.6035119047619046,0.0,24.616666666666667,13.218095238095238,22.813492063492067,14.64642857142857,12.938999999999998,12.261,10.343571428571428,14,11,2,0,0,0,0,0,0
