지역,년도,생산량,면적,영향을 준 태풍 수,1분기 강수량 합계,2분기 강수량 합계,3분기 강수량 합계,1분기 평균 기온,1분기 일 강수량 평균,1분기 최대 순간풍속,1분기 평균 풍속,1분기 평균 이슬점온도,1분기 최소 상대습도,1분기 평균 상대습도,1분기 평균 현지기압,1분기 가조시간,1분기 평균 일조 시간,1분기 1시간 최다 일사량 평균,1분기 일 최심적설,1분기 지면온도,1분기 최저 초상온도,1분기 30cm 지중온도,1분기 3.0m 지중온도,2분기 평균 기온,2분기 일 강수량 평균,2분기 최대 순간풍속,2분기 평균 풍속,2분기 평균 이슬점온도,2분기 최소 상대습도,2분기 평균 상대습도,2분기 평균 현지기압,2분기 가조시간,2분기 평균 일조 시간,2분기 1시간 최다 일사량 평균,2분기 일 최심적설,2분기 지면온도,2분기 최저 초상온도,2분기 30cm 지중온도,2분기 3.0m 지중온도,3분기 평균 기온,3분기 일 강수량 평균,3분기 최대 순간풍속,3분기 평균 풍속,3분기 평균 이슬점온도,3분기 최소 상대습도,3분기 평균 상대습도,3분기 평균 현지기압,3분기 가조시간,3분기 평균 일조 시간,3분기 1시간 최다 일사량 평균,3분기 일 최심적설,3분기 지면온도,3분기 최저 초상온도,3분기 30cm 지중온도,3분기 3.0m 지중온도,1분기 평균 일교차,2분기 평균 일교차,3분기 평균 일교차,1분기 일교차 15이상인 날,2분기 일교차 15이상인 날,3분기 일교차 15이상인 날,1분기 한파일 수,2분기 한파일 수,3분기 한파일 수,1분기 폭염일 수,2분기 폭염일 수,3분기 폭염일 수
강원도,2001,5986,644,1,2.262137652875358,4.257177579365079,9.379074404761903,-0.3026804123711341,2.262137652875358,9.197938144329898,2.5098969072164947,-8.379175257731958,33.85257731958763,59.34731958762888,996.7594845360824,11.004948453608248,5.6497938144329884,1.9489432989690725,7.388659793814433,0.9803350515463916,-8.147525773195875,1.98213058419244,12.263402061855668,18.39474226804124,4.257177579365079,8.28020618556701,2.2556701030927835,9.916494845360823,38.91958762886598,62.61432989690723,988.1422680412372,14.194948453608246,6.866494845360825,2.5330670103092783,0.0059793814432989,21.938247422680416,10.75484536082474,18.886254295532645,12.514948453608248,20.465252525252524,9.379074404761903,6.480505050505051,1.6263636363636362,15.386565656565656,50.35555555555556,74.48777777777777,991.5178787878788,12.972323232323232,5.956666666666667,2.211060606060606,0.0,23.281414141414142,14.438888888888892,23.61750841750842,18.93282828282829,11.060412371134024,11.628247422680412,10.141010101010105,11,22,5,8,0,0,0,0,0
경기도,2001,68668,4345,1,2.300396825396825,6.3076241134751765,12.558779761904765,-0.3371134020618557,2.300396825396825,7.48479381443299,1.6458762886597935,-8.106701030927836,33.88917525773196,59.38427835051547,1012.7963917525776,11.021649484536082,5.645618556701031,1.99659793814433,4.249484536082474,1.4827319587628869,-8.543814432989691,3.282474226804124,11.743298969072164,19.09613402061856,6.3076241134751765,7.0739690721649495,1.663917525773196,10.791494845360823,37.92010309278351,62.37938144329896,1002.401030927835,14.18041237113402,7.408247422680414,2.5396907216494844,0.0,23.11494845360825,11.24742268041237,19.573195876288658,13.3340206185567,21.61868686868687,12.558779761904765,6.177525252525253,1.4186868686868686,15.74671717171717,46.40151515151515,71.3919191919192,1005.009090909091,12.947474747474748,7.105555555555556,2.404141414141414,0.0,25.108585858585855,14.931565656565656,24.61717171717171,18.73939393939394,11.352061855670105,11.874999999999998,10.67020202020202,12,27,14,10,0,0,0,0,3
경상남도,2001,31939,1653,1,3.8942982456140354,15.113931277056276,6.994221938775511,3.779639175257732,3.8942982456140354,7.875,1.818170103092784,-5.885824742268042,29.61082474226804,52.83994845360825,1012.7463917525772,11.108376288659793,6.432860824742267,2.0829896907216496,0.9617268041237113,5.56151202749141,-4.588015463917525,5.164948453608247,,19.15463917525773,15.113931277056276,7.022293814432991,1.575257731958763,11.625386597938144,42.52319587628866,64.71920103092785,1003.581056701031,14.023067010309278,6.605283505154638,2.4618556701030925,0.0,23.17667525773196,12.16894329896907,20.51855670103093,,22.52020202020202,6.994221938775511,6.751262626262626,1.428787878787879,16.242929292929293,47.11363636363637,69.01540404040405,1005.7059343434344,12.87348484848485,6.344444444444445,2.4842424242424244,0.0,25.78775252525253,16.64103535353535,24.96262626262626,,11.538917525773195,10.994201030927837,9.933712121212125,20,20,1,0,0,0,0,0,5
경상북도,2001,57020,4359,1,2.5455930335097,5.9322832157554375,6.232871572871572,1.9979381443298967,2.5455930335097,10.196288659793812,2.4425773195876284,-6.801134020618557,33.49484536082474,55.779587628865976,1003.8007216494844,11.05484536082474,6.337731958762888,1.788556701030928,1.104742268041237,3.9341237113402063,-5.737010309278352,4.628178694158076,13.07577319587629,18.711134020618555,5.9322832157554375,8.906288659793814,2.1070103092783503,10.215670103092783,39.70721649484536,61.88577319587628,995.1969072164948,14.120103092783504,9.084536082474225,2.3098453608247422,0.0,23.31298969072165,11.332061855670103,20.151202749140893,13.147938144329895,21.085151515151512,6.232871572871572,7.699090909090907,1.751010101010101,15.7479797979798,51.144444444444446,72.90919191919193,998.1869696969698,12.923434343434344,7.285858585858586,2.19939393939394,0.0,24.99828282828283,15.023434343434346,24.574410774410776,17.537373737373734,10.838865979381442,11.827319587628867,10.036767676767676,12,21,2,3,0,0,0,0,0
전라남도,2001,102577,4412,1,2.6901831501831497,11.584994588744587,5.228518518518518,4.199410898379971,2.6901831501831497,12.76480117820324,4.08041237113402,-3.3132547864506634,38.47128129602356,60.35846833578792,1014.8148748159058,11.127393225331373,6.146244477172313,2.0669072164948457,0.1695139911634757,5.343114874815906,-3.418703976435935,6.469587628865979,13.472164948453608,18.397201767304857,11.584994588744587,9.968041237113402,3.0334315169366715,12.61075110456554,50.35787923416789,71.30279823269514,1005.0525773195876,13.955375552282767,7.186745213549339,2.5238659793814437,0.0,21.7540500736377,12.32061855670103,19.61494845360825,14.77319587628866,22.84805194805195,5.228518518518518,9.21024531024531,2.929292929292929,17.355988455988456,52.15440115440117,72.32337662337662,1006.5417027417028,12.869696969696973,8.402020202020202,2.61959595959596,0.0,26.09437229437229,17.17590187590188,24.945454545454545,20.15757575757576,9.309720176730483,8.770692194403534,8.286147186147186,1,4,0,0,0,0,0,0,1
전라북도,2001,22805,1372,1,3.7581632653061225,12.08987103174603,6.085178571428571,1.8002945508100148,3.7581632653061225,8.808394698085419,1.9640648011782031,-4.327540500736377,40.17231222385862,66.61664212076585,1005.9858615611192,11.094256259204712,5.90500736377025,1.9611340206185568,1.1212076583210604,4.11818851251841,-6.482768777614138,4.874226804123711,,18.66966126656849,12.08987103174603,8.002945508100145,1.7480117820324008,12.130044182621504,44.90427098674521,68.75036818851251,996.3,14.049484536082476,6.920176730486009,2.519381443298969,0.0,22.686008836524294,11.293961708394695,21.594845360824745,,22.086147186147187,6.085178571428571,7.25930735930736,1.551082251082251,16.363347763347765,47.12409812409814,71.64285714285714,998.2103896103896,12.885281385281388,7.267821067821068,2.455757575757576,0.0,25.462626262626262,15.390909090909089,26.11919191919192,,11.221060382916054,11.340353460972018,10.758297258297256,15,25,10,3,0,0,0,0,10
제주도,2001,334,33,1,4.338301282051282,12.711999999999998,6.673633879781423,7.783505154639175,4.338301282051282,13.452061855670102,4.8739690721649485,0.8791237113402063,43.97938144329897,62.78453608247423,1015.1963917525773,11.166494845360823,5.029639175257732,1.8445876288659795,0.3167525773195876,8.863745704467354,1.8806701030927837,10.41855670103093,15.99484536082474,19.34020618556701,12.711999999999998,10.232989690721649,3.460309278350516,14.055154639175257,56.16237113402062,73.09768041237113,1005.8621134020618,13.872422680412374,5.328092783505154,2.5090721649484538,0.0,22.352061855670105,14.53376288659794,21.16030927835052,16.426804123711342,24.46010101010101,6.673633879781423,10.86439393939394,3.971717171717172,18.47222222222222,55.1540404040404,69.76136363636363,1006.8558080808082,12.836616161616162,6.861363636363636,2.688787878787878,0.0,27.10606060606061,19.960858585858585,26.67020202020202,23.12929292929293,7.283247422680414,6.411855670103093,5.930555555555555,0,0,0,0,0,0,0,0,0
충청남도,2001,65013,4595,1,2.8484042553191498,6.223297101449275,10.806950354609928,1.108041237113402,2.8484042553191498,8.621237113402062,2.0509278350515463,-5.324329896907217,41.20824742268041,64.74742268041237,1015.3272164948452,11.063505154639175,6.78762886597938,2.042061855670103,1.1296907216494845,2.4387628865979383,-7.0719587628866,2.8536082474226805,,19.02164948453608,6.223297101449275,7.838762886597938,1.8797938144329895,11.602474226804125,43.11340206185567,64.31463917525774,1004.8515463917524,14.107628865979382,9.862268041237115,2.4394845360824746,0.0,22.838144329896902,12.074432989690724,18.9680412371134,,22.2939393939394,10.806950354609928,7.170303030303031,1.630707070707071,16.400202020202023,47.72727272727273,70.63535353535352,1006.7620202020204,12.915555555555557,9.666464646464648,2.3874747474747475,0.0,26.25515151515152,15.935959595959597,24.252525252525253,,11.398762886597936,11.421855670103094,10.873131313131314,16,23,13,3,0,0,0,0,5
충청북도,2001,25123,2141,1,2.258625730994152,5.639935897435897,6.511643192488263,0.8078350515463918,2.258625730994152,9.301443298969074,2.595876288659794,-7.665979381443299,34.18556701030927,56.7340206185567,1000.402474226804,11.05319587628866,6.277319587628866,2.169381443298969,1.6791752577319587,2.707422680412371,-7.518556701030928,,,18.829484536082475,5.639935897435897,8.428453608247423,2.051134020618557,9.708659793814434,37.717525773195874,59.01670103092784,990.7977319587628,14.124742268041238,8.17958762886598,2.721134020618557,0.0,22.774845360824745,10.924536082474228,,,21.05191919191919,6.511643192488263,7.477171717171717,1.7824242424242422,14.896565656565654,46.6,69.58767676767678,993.0189898989898,12.926868686868689,7.469494949494949,2.541616161616161,0.0,25.000606060606057,14.905454545454544,,,11.617525773195874,12.282886597938145,11.046464646464644,18,30,14,3,0,0,0,0,3
강원도,2002,5906,614,4,2.288575680272109,7.197586206896552,14.62476726726727,2.8888659793814435,2.288575680272109,9.296082474226804,2.4391752577319585,-6.103298969072164,31.68453608247423,56.51680412371133,996.1430927835052,11.018865979381443,6.074536082474226,1.9451546391752577,1.834536082474227,3.5879381443298968,-5.384536082474226,3.894158075601375,12.484536082474229,17.140618556701032,7.197586206896552,8.452371134020618,2.1449484536082477,9.613917525773196,39.94329896907217,64.21371134020617,988.9831958762888,14.221340206185564,6.962783505154639,2.63319587628866,0.0,20.84144329896907,9.404123711340208,19.047079037800685,13.414948453608249,19.50232323232323,14.62476726726727,7.26969696969697,1.80979797979798,15.098181818181818,56.023232323232335,77.39747474747475,990.5357575757578,12.958181818181815,4.405858585858586,1.9527525252525253,0.0,21.446161616161618,14.222525252525251,22.361952861952854,19.25454545454545,11.44783505154639,11.294123711340204,8.604747474747473,17,16,2,1,0,0,0,0,0
경기도,2002,61648,4314,4,2.80990990990991,9.570528455284553,12.949615384615385,2.733505154639175,2.80990990990991,7.671649484536084,1.7286082474226805,-5.31701030927835,33.396907216494846,59.16881443298969,1012.0809278350516,11.026288659793812,6.296391752577319,1.911340206185567,0.379381443298969,3.650515463917525,-5.935309278350516,5.181443298969072,13.8659793814433,18.124226804123712,9.570528455284553,6.710567010309278,1.595103092783505,10.185309278350514,37.0,62.4680412371134,1002.9546391752576,14.193814432989692,8.034278350515464,2.671752577319588,0.0,21.519845360824743,10.412113402061856,19.416494845360823,13.724742268041236,20.755050505050505,12.949615384615385,5.9416666666666655,1.2992424242424243,16.064646464646465,53.76262626262626,76.15101010101009,1004.1080808080808,12.94722222222222,5.337373737373738,2.035151515151515,0.0,22.443939393939395,15.336363636363634,23.19292929292929,18.49090909090909,11.983247422680412,12.0819587628866,9.297727272727274,23,24,7,1,0,0,0,0,1
경상남도,2002,21444,1672,4,5.445986842105263,9.253450328407226,17.77866743471582,5.968943298969072,5.445986842105263,8.662371134020619,1.8287371134020616,-3.4668814432989694,29.952319587628867,54.478608247422684,1012.4886597938143,11.108762886597937,7.0125,2.088556701030928,0.0592783505154639,6.7375,-2.601030927835052,6.791752577319588,,18.67087628865979,9.253450328407226,7.579252577319588,1.605541237113402,11.549871134020616,43.80927835051546,65.81121134020619,1004.1844072164948,14.027835051546392,6.829510309278351,2.382680412371134,0.0,22.114561855670104,11.552061855670102,20.167010309278357,,21.98080808080808,17.77866743471582,6.729797979797978,1.3962121212121212,16.77777777777778,53.410353535353536,74.05530303030304,1004.8412878787876,12.880176767676767,6.181691919191919,2.1924242424242424,0.0,24.316414141414143,16.18244949494949,24.03232323232323,,12.302448453608246,10.560567010309278,9.142550505050504,26,15,5,0,0,0,0,0,3
경상북도,2002,61632,4258,4,3.7048395191409895,6.625375124007936,11.660107250107249,4.233092783505155,3.7048395191409895,10.376288659793817,2.523917525773196,-4.853505154639175,32.8680412371134,55.36164948453607,1003.37206185567,11.06123711340206,6.624226804123712,1.9642268041237116,0.640721649484536,4.810309278350516,-3.6477319587628863,6.079381443298969,13.08814432989691,17.195979381443298,6.625375124007936,8.258762886597937,1.9778350515463916,9.756907216494843,42.514432989690725,64.55319587628865,996.1188659793816,14.13701030927835,7.273505154639175,2.3494329896907216,0.0,21.6139175257732,10.35958762886598,19.511340206185565,13.324742268041238,20.179090909090903,11.660107250107249,7.50080808080808,1.8142424242424244,15.35989898989899,55.83030303030304,75.43838383838383,997.2330303030302,12.924242424242424,5.510707070707069,1.9909090909090903,0.0,23.075252525252527,14.796161616161616,23.523905723905724,17.854545454545452,11.258762886597935,11.020824742268042,8.814242424242424,15,15,1,0,0,0,0,0,0
전라남도,2002,78243,4453,4,4.381856060606061,7.074211553473848,13.40592395167022,6.099116347569956,4.381856060606061,12.037260677466865,3.901325478645066,-0.8306332842415315,40.87039764359353,63.54756995581737,1014.739027982327,11.13858615611193,6.100883652430044,2.0617010309278347,0.0493372606774668,6.840648011782032,-1.5494845360824747,7.771134020618557,13.787628865979382,17.86494845360825,7.074211553473848,9.758468335787922,3.150073637702503,12.560972017673048,52.706921944035344,73.59705449189985,1005.3116347569955,13.988070692194404,6.222385861561119,2.515412371134021,0.0,20.848895434462445,12.011487481590574,19.41185567010309,15.017010309278351,21.92929292929293,13.40592395167022,9.634343434343435,2.883405483405483,17.651370851370853,58.88023088023088,78.01197691197692,1005.6878787878788,12.865223665223663,6.037662337662337,2.313686868686869,0.0,23.84227994227994,17.067532467532466,23.91767676767677,20.11969696969697,9.49734904270987,8.481737849779087,7.79062049062049,4,0,1,0,0,0,0,0,0
전라북도,2002,19541,1321,4,4.4167131242741,6.64396551724138,10.88813025210084,4.229013254786451,4.4167131242741,8.536671575846833,1.9589101620029457,-1.993519882179676,40.83063328424153,66.9677466863034,1005.80147275405,11.096907216494843,6.419145802650959,1.837835051546392,0.5717231222385862,4.5047128129602365,-4.253166421207658,6.590721649484536,,18.168335787923414,6.64396551724138,7.729160530191458,1.8989690721649484,11.426509572901326,43.92047128129603,66.95508100147275,996.620913107511,14.063770250368188,7.041678939617085,2.510103092783505,0.0,21.3,11.104565537555228,21.201030927835053,,21.351803751803757,10.88813025210084,6.8901875901875895,1.5311688311688312,16.606060606060602,54.93362193362193,75.74531024531024,997.3502164502164,12.893217893217894,5.45050505050505,2.11020202020202,0.0,23.42669552669553,15.932467532467538,24.672727272727272,,11.771870397643593,11.031811487481592,9.24098124098124,26,19,6,0,0,0,0,0,0
제주도,2002,510,16,4,3.7519607843137255,9.27309941520468,13.308055555555551,9.449226804123713,3.7519607843137255,13.646134020618556,5.205670103092784,1.5175257731958762,41.131443298969074,59.373711340206185,1015.5025773195875,11.176030927835052,5.489432989690722,1.9971649484536085,0.0012886597938144,9.114690721649486,2.897164948453608,10.927835051546392,15.907216494845358,19.058247422680413,9.27309941520468,10.308247422680411,3.5917525773195877,14.26855670103093,58.69845360824742,75.75025773195877,1006.0533505154638,13.898711340206184,5.097422680412372,2.579896907216495,0.0,20.93530927835052,13.53118556701031,20.6340206185567,16.78556701030928,23.556565656565656,13.308055555555551,10.74949494949495,3.684343434343434,19.4989898989899,64.55555555555556,79.06767676767676,1006.2449494949497,12.825252525252523,5.993939393939394,2.4996464646464647,0.0,25.36010101010101,18.46616161616162,25.59747474747475,22.718181818181822,7.078092783505154,6.04201030927835,5.848484848484849,0,0,0,0,0,0,0,0,0
충청남도,2002,78849,4591,4,3.148564814814814,10.770325203252032,11.302573529411765,3.6028865979381446,3.148564814814814,8.63979381443299,1.9977319587628863,-2.60618556701031,40.34020618556701,67.41319587628865,1014.6474226804122,11.069278350515464,7.052164948453608,2.047938144329897,0.1754639175257732,5.661443298969072,-4.956701030927835,5.021649484536082,,18.07917525773196,10.770325203252032,7.042886597938145,1.7358762886597938,11.503298969072164,44.94020618556701,67.98329896907217,1005.0480412371136,14.12041237113402,8.551546391752577,2.566494845360825,0.0,22.13257731958763,11.040206185567012,18.742268041237114,,21.10989898989899,11.302573529411765,7.116969696969697,1.638989898989899,16.863434343434342,58.133333333333326,77.94646464646465,1005.7838383838384,12.9179797979798,6.555353535353536,2.062424242424242,0.0,23.98545454545454,15.912727272727272,22.619191919191927,,12.261649484536084,11.137113402061855,9.28141414141414,24,18,7,0,0,0,0,0,1
충청북도,2002,28285,2064,4,3.348712121212121,8.316566666666667,12.59723880597015,3.366185567010309,3.348712121212121,10.600824742268044,2.74,-5.401649484536083,31.87628865979381,56.377113402061845,998.6294845360824,11.058969072164947,6.668453608247423,2.1336082474226803,0.4171134020618556,4.061237113402062,-4.936494845360825,,,17.43237113402062,8.316566666666667,8.667010309278352,2.1802061855670103,10.174432989690722,41.20618556701031,65.30494845360825,990.8432989690722,14.145567010309277,7.502268041237114,1.648,0.0,21.26268041237113,9.790927835051546,,,20.09838383838384,12.59723880597015,7.677171717171717,1.7529292929292928,15.454747474747473,54.488888888888894,76.309898989899,992.0292929292928,12.925858585858586,5.393939393939394,1.6697979797979798,0.0,22.525050505050505,14.833939393939394,,,12.168453608247422,11.718762886597936,9.134343434343434,26,25,5,1,0,0,0,0,0
강원도,2003,4801,562,4,2.711240740740741,8.725183051715309,15.641786273194723,0.5887628865979383,2.711240740740741,8.108453608247421,2.0270103092783507,-6.323298969072165,40.15670103092784,64.35443298969072,998.5638144329896,11.010103092783504,5.245876288659794,1.865515463917525,8.962680412371133,1.8019587628865976,-6.520000000000001,2.811683848797251,11.306701030927837,16.866907216494848,8.725183051715309,7.712268041237114,1.9142268041237116,10.967938144329896,47.61340206185567,71.17474226804123,989.2857731958763,14.217835051546391,5.610824742268041,2.355670103092784,0.0215463917525773,20.005876288659792,10.317113402061857,18.4,12.34896907216495,19.200707070707068,15.641786273194723,7.086969696969696,1.7015151515151516,15.328181818181818,56.87474747474747,79.39131313131313,991.2426262626263,12.966060606060603,4.145050505050505,1.992878787878788,0.0,21.46878787878789,14.189797979797977,22.162962962962965,18.73686868686869,10.341649484536084,10.358247422680414,8.586868686868689,6,11,1,6,0,0,0,0,0
경기도,2003,56572,4096,4,2.190719696969697,11.680492424242424,17.33277777777778,1.3652061855670103,2.190719696969697,4.893298969072166,1.0306701030927834,-5.804123711340206,38.18556701030928,63.09407216494845,1013.993556701031,11.021907216494846,5.737886597938145,1.8327835051546395,0.3502577319587629,2.524484536082474,-6.732474226804123,4.528865979381443,12.418556701030926,18.45618556701031,11.680492424242424,5.926288659793815,1.3100515463917526,11.926546391752575,44.74742268041237,68.19819587628865,1003.069587628866,14.195618556701028,6.151288659793814,2.293505154639176,0.0,20.54381443298969,11.288144329896904,18.762886597938145,13.06185567010309,20.5239898989899,17.33277777777778,6.021212121212121,1.192171717171717,16.223484848484848,54.27272727272727,77.49924242424242,1004.9060606060604,12.95782828282828,4.963383838383838,2.054141414141414,0.0,22.50328282828283,15.06338383838384,22.91919191919192,18.12929292929293,11.08041237113402,11.041494845360823,9.10050505050505,11,22,4,6,0,0,0,0,0
경상남도,2003,12993,1617,4,2.876965408805032,18.919834543987086,12.290765027322404,4.231829896907216,2.876965408805032,7.443041237113401,1.5677835051546392,-3.998840206185567,34.480670103092784,58.33118556701031,1014.0630154639176,11.105927835051546,6.661340206185566,2.020103092783505,0.3971649484536081,4.912113402061856,-3.642396907216495,5.5350515463917525,,18.41224226804124,18.919834543987086,7.107603092783504,1.4529639175257731,12.409664948453608,49.68170103092783,70.0930412371134,1004.1836340206186,14.02951030927835,5.78853092783505,2.167835051546392,0.0,20.90360824742268,12.606701030927834,19.367010309278356,,21.98497474747475,12.290765027322404,7.16729797979798,1.3741161616161617,16.81489898989899,53.45328282828283,73.7189393939394,1005.7784090909092,12.889898989898992,5.642171717171716,2.253838383838384,0.0,24.17954545454545,16.504166666666666,24.078787878787875,,11.212242268041235,9.53737113402062,9.025631313131312,8,11,2,0,0,0,0,0,0
경상북도,2003,34684,3858,4,3.205821123321123,15.064062169312171,9.826318832059572,2.375360824742268,3.205821123321123,9.220309278350516,2.3134020618556703,-5.075773195876289,38.29072164948455,61.37515463917524,1005.4671134020618,11.054123711340209,5.891443298969072,1.8942268041237116,0.9424742268041236,3.234845360824742,-5.0454639175257725,4.9786941580756015,12.708762886597937,16.964845360824743,15.064062169312171,7.884123711340207,1.8637113402061856,11.497319587628866,50.72886597938144,72.6981443298969,996.2772164948452,14.133298969072166,6.030309278350515,2.0779896907216493,0.0,20.324123711340206,10.906907216494846,18.71924398625429,12.758762886597944,19.882828282828285,9.826318832059572,7.59121212121212,1.638989898989899,15.36858585858586,56.42121212121211,76.13929292929294,998.058181818182,12.931818181818182,4.959292929292929,1.8215151515151515,0.0,22.492020202020203,15.080606060606064,23.209764309764317,17.632828282828285,10.23835051546392,9.87463917525773,8.643535353535354,5,12,0,2,0,0,0,0,0
