지역,년도,생산량,면적,영향을 준 태풍 수,1분기 강수량 합계,2분기 강수량 합계,3분기 강수량 합계,1분기 평균 기온,1분기 일 강수량 평균,1분기 최대 순간풍속,1분기 평균 풍속,1분기 평균 이슬점온도,1분기 최소 상대습도,1분기 평균 상대습도,1분기 평균 현지기압,1분기 가조시간,1분기 평균 일조 시간,1분기 1시간 최다 일사량 평균,1분기 일 최심적설,1분기 지면온도,1분기 최저 초상온도,1분기 30cm 지중온도,1분기 3.0m 지중온도,2분기 평균 기온,2분기 일 강수량 평균,2분기 최대 순간풍속,2분기 평균 풍속,2분기 평균 이슬점온도,2분기 최소 상대습도,2분기 평균 상대습도,2분기 평균 현지기압,2분기 가조시간,2분기 평균 일조 시간,2분기 1시간 최다 일사량 평균,2분기 일 최심적설,2분기 지면온도,2분기 최저 초상온도,2분기 30cm 지중온도,2분기 3.0m 지중온도,3분기 평균 기온,3분기 일 강수량 평균,3분기 최대 순간풍속,3분기 평균 풍속,3분기 평균 이슬점온도,3분기 최소 상대습도,3분기 평균 상대습도,3분기 평균 현지기압,3분기 가조시간,3분기 평균 일조 시간,3분기 1시간 최다 일사량 평균,3분기 일 최심적설,3분기 지면온도,3분기 최저 초상온도,3분기 30cm 지중온도,3분기 3.0m 지중온도,1분기 평균 일교차,2분기 평균 일교차,3분기 평균 일교차,1분기 일교차 15이상인 날,2분기 일교차 15이상인 날,3분기 일교차 15이상인 날,1분기 한파일 수,2분기 한파일 수,3분기 한파일 수,1분기 폭염일 수,2분기 폭염일 수,3분기 폭염일 수
강원도,2001,26,3,1,3.311600529100529,9.71267644557823,7.244341438703142,17.936875,3.311600529100529,8.364687499999999,2.2575000000000003,8.99640625,37.165625,61.1234375,988.6546875,14.26421875,6.99109375,2.528515625,0.0,21.94,9.94265625,18.781770833333333,12.2265625,24.09546875,9.71267644557823,6.56203125,1.66703125,19.58390625,55.7578125,77.27265625000001,986.896875,14.19,5.719843750000001,2.35421875,0.0,26.99046875,19.281875,25.6203125,16.653125,16.759848484848483,7.244341438703142,6.467575757575757,1.6565151515151513,11.091818181818184,45.05757575757576,71.51893939393939,994.9801515151516,11.959696969696973,5.976969696969697,2.066818181818182,0.0,19.115,9.647727272727275,20.58585858585859,19.975,11.879062499999998,8.708749999999998,11.29363636363636,13,0,6,0,0,0,0,0,0
경기도,2001,92,8,1,4.062797619047619,14.900816993464051,4.454807692307693,18.95859375,4.062797619047619,7.20703125,1.6828125,9.81875,33.73046875,59.14804687499999,1002.748828125,14.251171875,7.869140625,2.61984375,0.0,23.73671875,10.62578125,19.65,12.9125,24.951953125,14.900816993464051,6.161328125,1.43515625,20.3453125,55.3125,76.815234375,1000.535546875,14.162890625,6.120312499999999,2.34375,0.0,27.481640625,19.8421875,25.6078125,16.7578125,17.789772727272727,4.454807692307693,5.898106060606061,1.3454545454545457,11.30719696969697,40.871212121212125,68.53181818181815,1008.6901515151516,11.939772727272729,7.215151515151515,2.2656060606060606,0.0,21.3625,9.9844696969697,22.19242424242424,19.93636363636364,12.53515625,8.493359375,12.08409090909091,18,0,15,0,0,0,0,3,0
경상남도,2001,110,11,1,10.610750915750916,13.466759259259256,7.383880952380952,18.5931640625,10.610750915750916,6.7185546875,1.546875,10.8404296875,41.03515625,63.740820312500006,1003.8794921875,14.088671875,6.5162109375,2.4781250000000004,0.0,22.8447265625,11.4994140625,20.3203125,,25.6041015625,13.466759259259256,7.105859375,1.4625,20.4435546875,54.900390625,74.0986328125,1001.8447265625,14.00078125,6.1166015625000005,2.445625,0.0,28.9845703125,20.771875,26.989062500000003,,18.83409090909091,7.383880952380952,6.322159090909091,1.349431818181818,12.24810606060606,43.70643939393939,67.33333333333333,1009.040909090909,11.940719696969696,5.857575757575758,2.281212121212121,0.0,21.447348484848487,12.423484848484849,21.75757575757576,,11.0771484375,8.578906250000001,10.570643939393936,12,0,1,0,0,0,0,5,0
경상북도,2001,2058,157,1,4.185602040816327,7.023653788559448,6.730293819655521,18.17796875,4.185602040816327,8.887968749999999,2.11203125,9.32109375,38.003125,60.67890625,995.66359375,14.1871875,9.1821875,2.3021875,0.0,23.10609375,10.67890625,19.853125,12.8859375,24.65484375,7.023653788559448,7.44265625,1.691875,19.68296875,55.2890625,75.049375,993.846875,14.10484375,7.980625,2.2965625000000003,0.0,29.2578125,19.4615625,26.78020833333333,16.05859375,17.258030303030306,6.730293819655521,7.699848484848485,1.7695454545454543,11.84621212121212,48.89242424242424,72.04590909090908,1001.5622727272728,11.94469696969697,6.502121212121212,1.9594696969696968,0.0,20.086363636363632,10.64969696969697,21.38181818181818,18.32272727272727,12.03453125,9.1309375,10.53060606060606,13,0,2,0,0,0,0,0,0
전라남도,2001,875,78,1,7.703635531135531,10.915331262939958,4.721261261261262,17.98169642857143,7.703635531135531,9.6859375,2.978348214285714,11.785714285714285,48.20089285714285,69.54151785714285,1005.2544642857144,14.017633928571428,7.2622767857142865,2.5679687500000004,0.0,21.61227678571429,11.744419642857144,19.42578125,14.472656249999998,25.116964285714285,10.915331262939958,9.274330357142857,2.8470982142857144,21.328125,62.046875,80.16830357142857,1002.8129464285714,13.949776785714286,7.706696428571428,2.4940625,0.0,28.357142857142858,20.788839285714285,26.1015625,18.53984375,19.66017316017316,4.721261261261262,9.34069264069264,2.95974025974026,13.484415584415585,47.91991341991341,68.92770562770563,1009.9045454545454,11.970129870129869,7.822294372294371,2.432272727272728,0.0,22.191991341991343,13.254112554112554,22.34393939393939,20.881060606060604,8.908705357142857,7.058258928571428,8.723809523809525,3,0,0,0,0,0,0,1,0
전라북도,2001,4064,337,1,8.080426929392447,11.774285714285716,5.571927803379416,18.28995535714286,8.080426929392447,7.893303571428571,1.7520089285714286,11.353571428571428,42.21428571428572,67.09486607142857,996.5444196428572,14.116517857142858,7.135491071428572,2.6275000000000004,0.0,22.82589285714286,10.655357142857142,21.8078125,,25.335267857142856,11.774285714285716,7.486607142857142,1.563392857142857,20.68392857142857,56.45535714285714,76.3453125,994.3037946428572,14.029464285714289,6.249553571428571,2.383125,0.0,28.25424107142857,20.22142857142857,27.40625,,18.22554112554113,5.571927803379416,6.816017316017316,1.485281385281385,12.404545454545456,44.35714285714285,70.99761904761904,1001.6270562770565,11.938744588744589,7.0138528138528144,2.23,0.0,21.184199134199133,10.696969696969695,23.251515151515157,,11.744642857142855,8.563839285714288,11.673376623376624,16,0,10,0,0,0,0,10,0
제주도,2001,5,1,1,9.884895833333331,12.672619047619047,7.129914529914529,18.7078125,9.884895833333331,9.872265625,3.301171875,13.175,54.21875,72.06679687500001,1005.90078125,13.9328125,5.077343750000001,2.511015625,0.0,21.880078125,13.97890625,20.81171875,15.8265625,26.4328125,12.672619047619047,10.16015625,3.520703125,22.035546875,63.4140625,77.32890625,1003.654296875,13.870703125,6.3828125,2.690390625,0.0,29.680859375,22.640234375,27.965625,22.05625,21.54659090909091,7.129914529914529,11.41742424242424,4.282954545454546,15.0094696969697,52.25378787878788,66.89583333333331,1009.9609848484848,11.97462121212121,6.310227272727273,2.4047727272727277,0.0,23.07462121212121,16.547727272727276,23.953030303030303,22.86515151515152,6.265234375,5.7074218750000005,6.00909090909091,0,0,0,0,0,0,0,0,0
충청남도,2001,13190,1319,1,5.382948717948717,12.408295454545453,5.256733333333333,18.7028125,5.382948717948717,7.6746875,1.845,10.7353125,40.140625,62.02125,1005.175,14.1765625,10.1390625,2.47578125,0.0,22.849375,11.455,18.95625,,25.619375,12.408295454545453,7.4740625,1.7334375,20.789375000000003,57.434375,75.2159375,1002.6325,14.08875,9.503125,2.234375,0.0,28.7596875,20.8184375,25.3640625,,18.335454545454542,5.256733333333333,6.744545454545455,1.5178787878787878,12.145454545454546,42.48484848484848,69.14575757575759,1010.3224242424242,11.943636363636363,9.130909090909087,2.3771212121212124,0.0,22.413030303030308,11.010303030303032,21.62121212121212,,11.88375,8.4059375,12.420303030303032,15,0,15,0,0,0,0,5,0
충청북도,2001,122,11,1,3.799375,7.792019230769229,6.514541666666666,18.445625,3.799375,8.424375000000001,2.043125,8.7925,35.253125,57.118750000000006,991.248125,14.193125,8.2521875,2.7278125,0.0,22.781875,10.2459375,,,24.6996875,7.792019230769229,7.316875,1.6290625,19.1109375,52.734375,72.233125,988.7728125,14.1075,7.453124999999999,2.5982812500000003,0.0,28.511875,19.74625,,,17.106969696969696,6.514541666666666,7.420303030303031,1.8593939393939396,10.908484848484846,43.21818181818181,68.93666666666667,996.3954545454544,11.947878787878787,7.001515151515151,2.3596969696969703,0.0,20.49939393939394,10.01878787878788,,,12.6384375,9.2025,12.196969696969695,21,0,14,0,0,0,0,3,0
강원도,2002,50,5,4,6.940859073359074,12.015022577996715,15.237038548752835,17.091874999999998,6.940859073359074,7.90640625,1.99359375,9.808125,39.282812500000006,65.04515625,989.59671875,14.2925,7.211875,2.707109375,0.0,21.08921875,9.1025,19.140104166666667,13.12109375,22.12078125,12.015022577996715,6.979375000000001,1.78453125,17.74140625,59.978125000000006,77.67046875,986.45328125,14.20203125,4.199375,2.058515625,0.0,24.87171875,17.3821875,24.153645833333336,17.35546875,15.075454545454546,15.237038548752835,7.794848484848484,1.9283333333333328,9.661060606060609,46.43636363636363,72.45151515151515,994.1360606060606,11.93151515151515,5.372121212121211,2.001515151515152,0.0,16.66666666666667,8.56060606060606,19.1520202020202,20.00909090909091,11.674062499999998,7.67671875,10.23439393939394,10,2,5,0,0,0,0,0,0
