지역,년도,생산량,면적,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일 강수량 평균,강수량 합계,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,평균 일조 시간,1시간 최다 일사량 평균,평균 일 합계 일사,일 최심신적설,일 최심적설,지면온도,최저 초상온도,5cm 지중온도,10cm 지중온도,20cm 지중온도,30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도,평균 일교차,일교차 15이상인 날,태풍 수,영향을 준 태풍 수,한파일 수,폭염일 수
강원도,2001,2619,328,16.87134693877551,11.754122448979592,22.825714285714284,2.623408029878618,6.155819570602807,1064.9567857142856,7.765918367346938,4.4506530612244894,2.0480816326530613,1769.5657142857144,9.713102040816327,42.1130612244898,66.58085714285714,14.031102040816329,990.5744489795918,13.223469387755102,6.370326530612245,2.3380204081632656,15.325285714285712,0.071469387755102,0.5742040816326531,19.639918367346937,9.763061224489794,19.32884353741496,19.02489795918368,18.81061224489796,18.43931972789116,17.75360544217687,16.69360544217687,15.83938775510204,15.13918367346939,14.821224489795922,11.071591836734694,35,22,1,8,0
경기도,2001,5428,2678,17.66071428571428,12.386020408163269,23.86744897959184,3.83677370030581,8.303210382513662,1012.9916666666668,6.930816326530612,4.161836734693877,1.5912244897959185,1374.8285714285714,10.29469387755102,40.01734693877551,65.27183673469388,14.538673469387756,1004.7698979591836,13.208979591836734,7.114897959183674,2.4339183673469384,16.533591836734697,0.0238775510204081,0.0360204081632653,21.01336734693877,10.094897959183674,20.12775510204081,20.53183673469388,19.77183673469388,19.504489795918367,18.709387755102043,17.515102040816327,16.652244897959182,15.45632653061224,15.034285714285712,11.481428571428571,52,22,1,11,3
경상남도,2001,18655,2796,18.56321428571428,13.646632653061223,24.477857142857147,4.286539757412399,9.609387464387463,1124.2983333333334,7.06984693877551,4.012142857142857,1.5560204081632654,1344.420918367347,11.11311224489796,41.94795918367347,64.43392857142857,15.105051020408162,1005.6480612244897,13.121428571428572,6.566428571428571,2.463142857142857,16.547530612244895,0.0135204081632653,0.0163265306122449,21.986445578231294,11.710867346938777,20.75265306122449,20.67102040816327,20.515102040816323,20.33918367346939,20.00734693877552,18.05265306122449,,,,10.831224489795916,35,22,1,0,5
경상북도,2001,6225,945,17.50648979591837,12.356734693877552,23.478285714285715,2.416465201465201,5.376016986062717,881.6667857142855,8.691836734693878,4.823102040816327,2.0185306122448976,1743.964897959184,10.20787755102041,43.19061224489796,65.45085714285715,14.37934693877551,997.5053469387756,13.177551020408163,7.982571428571428,2.2069183673469386,14.70565306122449,0.0406530612244898,0.122,21.35759183673469,10.497632653061222,20.97156462585034,20.57931972789116,20.23210884353741,19.883809523809525,19.164761904761907,17.574013605442175,16.951020408163266,14.94877551020408,14.506122448979593,11.121551020408162,34,22,1,3,0
전라남도,2001,20074,3079,18.358950437317787,14.353760932944606,23.15632653061224,3.2284774436090227,7.042788318452381,901.4769047619048,10.10536443148688,6.714868804664722,3.159416909620992,2729.551020408164,12.391428571428571,48.82448979591837,70.0131195335277,16.217434402332362,1006.9955685131196,13.0932361516035,7.757317784256559,2.542469387755102,17.259163265306125,0.0068804664723032,0.0108454810495626,21.35750728862974,12.12536443148688,20.663469387755104,20.34142857142857,20.25326530612245,20.04551020408163,19.625714285714288,18.977346938775504,18.08877551020408,16.835714285714285,16.198979591836736,8.802565597667638,5,22,1,0,1
전라북도,2001,3200,550,17.8131195335277,12.6932361516035,23.95463556851312,4.262530612244897,8.049085714285715,1006.1357142857144,7.888104956268221,4.806180758017494,1.713877551020408,1480.8501457725947,11.655393586005832,44.85189504373178,69.62524781341108,15.492478134110788,998.38944606414,13.136151603498543,6.986938775510205,2.4398367346938774,16.196408163265307,0.0623323615160349,0.0933527696793003,21.24588921282799,10.43061224489796,21.480408163265302,21.116734693877557,21.17142857142857,21.152653061224488,20.94775510204082,19.548979591836734,,,,11.261399416909622,48,22,1,3,10
제주도,2001,600,95,19.95377551020408,16.97051020408163,23.43357142857143,3.4473163841807906,8.845770202020201,1167.6416666666669,10.976938775510206,7.378469387755102,3.900714285714285,3370.342857142857,13.926326530612243,52.79183673469388,69.32469387755101,17.593979591836735,1007.5862244897958,13.04877551020408,6.223469387755102,2.5340408163265304,16.754122448979594,0.0035714285714285,0.0039795918367346,22.58646258503401,14.985918367346938,22.51122448979592,22.59183673469388,22.303469387755104,22.017551020408163,21.60938775510204,20.739591836734693,19.62204081632653,19.10979591836735,17.404897959183675,6.463061224489796,0,22,1,0,0
충청남도,2001,1717,356,17.986775510204083,12.642122448979594,24.150122448979594,4.029319727891156,7.564684684684684,839.68,7.779755102040817,4.638612244897959,1.8129795918367344,1566.391020408163,11.275428571428574,43.95020408163265,66.79648979591835,15.212979591836731,1006.9997551020408,13.169877551020408,9.593714285714286,2.393265306122449,16.264857142857142,0.032734693877551,0.0381224489795918,21.384979591836736,10.974448979591838,20.105714285714285,19.694285714285712,19.36653061224489,18.94816326530612,18.194693877551025,16.966122448979593,,,,11.508,51,22,1,3,5
충청북도,2001,1002,288,17.40865306122449,11.79673469387755,23.7290612244898,2.7108838383838387,5.404022222222221,810.6033333333332,8.289877551020409,5.09738775510204,2.040571428571429,1763.1926530612247,9.504653061224491,40.1665306122449,62.76334693877551,13.751755102040816,992.9124897959184,13.180897959183673,7.729061224489795,2.601510204081633,17.2409387755102,0.0326530612244897,0.0458775510204081,20.95404081632653,9.979102040816327,,,,,,,,,,11.932326530612244,59,22,1,3,3
강원도,2002,1807,245,16.153877551020404,11.26057142857143,21.725591836734694,3.439365929705216,10.073901353276357,1571.528611111111,8.335673469387755,5.012489795918367,2.0946938775510207,1809.8620408163265,9.415142857142856,43.62285714285714,67.40644897959184,13.470979591836732,990.5969387755102,13.230448979591836,5.851632653061225,2.2885918367346942,15.05483673469388,0.0111836734693877,0.024734693877551,18.583102040816325,9.166204081632657,18.643537414965987,18.58272108843537,18.413197278911564,18.312789115646257,17.99904761904762,17.06027210884354,16.39204081632653,15.716938775510204,15.28918367346939,10.465020408163264,34,21,4,1,0
