지역,년도,생산량,면적,영향을 준 태풍 수,1분기 강수량 합계,2분기 강수량 합계,3분기 강수량 합계,1분기 평균 기온,1분기 일 강수량 평균,1분기 최대 순간풍속,1분기 평균 풍속,1분기 평균 이슬점온도,1분기 최소 상대습도,1분기 평균 상대습도,1분기 평균 현지기압,1분기 가조시간,1분기 평균 일조 시간,1분기 1시간 최다 일사량 평균,1분기 일 최심적설,1분기 지면온도,1분기 최저 초상온도,1분기 30cm 지중온도,1분기 3.0m 지중온도,2분기 평균 기온,2분기 일 강수량 평균,2분기 최대 순간풍속,2분기 평균 풍속,2분기 평균 이슬점온도,2분기 최소 상대습도,2분기 평균 상대습도,2분기 평균 현지기압,2분기 가조시간,2분기 평균 일조 시간,2분기 1시간 최다 일사량 평균,2분기 일 최심적설,2분기 지면온도,2분기 최저 초상온도,2분기 30cm 지중온도,2분기 3.0m 지중온도,3분기 평균 기온,3분기 일 강수량 평균,3분기 최대 순간풍속,3분기 평균 풍속,3분기 평균 이슬점온도,3분기 최소 상대습도,3분기 평균 상대습도,3분기 평균 현지기압,3분기 가조시간,3분기 평균 일조 시간,3분기 1시간 최다 일사량 평균,3분기 일 최심적설,3분기 지면온도,3분기 최저 초상온도,3분기 30cm 지중온도,3분기 3.0m 지중온도,1분기 평균 일교차,2분기 평균 일교차,3분기 평균 일교차,1분기 일교차 15이상인 날,2분기 일교차 15이상인 날,3분기 일교차 15이상인 날,1분기 한파일 수,2분기 한파일 수,3분기 한파일 수,1분기 폭염일 수,2분기 폭염일 수,3분기 폭염일 수
강원도,2001,10533,485,0,11.003434343434344,8.289765211640212,8.323604497354497,20.580625,11.003434343434344,6.758125,1.8556250000000003,14.7175,47.95,71.280625,991.88875,12.771875,6.83,2.23765625,0.0,24.043125,13.72,24.55625,19.83125,16.723750000000003,8.289765211640212,6.604375000000001,1.64625,10.78875,43.225,70.679375,995.598125,12.13125,5.737500000000001,2.0695312500000003,0.0,19.59625,8.76875,21.422916666666666,20.371875,14.113333333333332,8.323604497354497,6.7,1.6377777777777778,8.848888888888888,45.57222222222222,72.64333333333333,996.3444444444444,11.425,4.828333333333333,1.8759722222222224,0.0,15.133333333333336,7.678333333333334,17.520370370370372,20.18333333333333,11.0875,12.031875,10.430555555555555,2,3,0,0,0,0,0,0,0
경기도,2001,26995,1103,0,5.356666666666667,3.0842592592592597,9.784722222222223,22.53125,5.356666666666667,6.8359375,1.71875,14.8796875,39.546875,64.0625,1004.8328125,12.734375,8.756250000000001,2.63375,0.0,27.515625,14.9046875,26.56875,19.418750000000003,17.803125,3.0842592592592597,5.85,1.334375,10.853125,37.859375,66.953125,1009.3859375,12.10625,7.239062499999999,2.4475,0.0,22.675,9.0453125,23.675,20.08125,14.22222222222222,9.784722222222223,5.759722222222222,1.2208333333333334,8.91527777777778,45.5,72.96666666666665,1010.5361111111112,11.415277777777778,5.775,1.92,0.0,16.058333333333334,6.898611111111112,18.58888888888889,20.366666666666667,12.0734375,13.25,11.09722222222222,3,6,5,0,0,0,0,0,0
경상남도,2001,21366,1185,0,6.691203703703703,9.383166666666666,6.518303571428571,22.225,6.691203703703703,6.65703125,1.49296875,15.68828125,47.3359375,67.84218750000001,1004.96953125,12.6703125,5.6484375,2.480625,0.0,25.483593750000004,16.3328125,24.85625,,19.396875,9.383166666666666,6.540625,1.3937499999999998,12.46953125,39.953125,66.01953125,1009.5421875,12.0875,7.14609375,2.51875,0.0,23.0359375,12.44453125,22.79375,,16.580555555555556,6.518303571428571,6.772916666666666,1.4243055555555555,9.344444444444443,40.1875,64.23958333333333,1010.9583333333334,11.461805555555555,5.931944444444445,2.1638888888888888,0.0,18.33611111111111,9.68888888888889,19.361111111111114,,9.589843750000002,11.746875,11.025694444444444,0,1,0,0,0,0,0,0,0
경상북도,2001,19877,1071,0,10.98986111111111,5.071190476190475,6.299444444444444,20.793750000000003,10.98986111111111,8.339375,2.070625,15.259375,50.46875,72.263125,998.021875,12.716875000000002,7.06375,2.0703125,0.0,24.610625,14.390625,24.6625,18.021875,17.4775,5.071190476190475,7.9075,1.7487499999999998,11.8875,47.36875,71.13187500000001,1002.10375,12.103125,6.94375,2.1403125000000003,0.0,20.678125,10.469375,22.01875,18.44375,14.979444444444445,6.299444444444444,7.96222222222222,1.7194444444444443,9.29,46.3,70.26944444444445,1003.1916666666668,11.435555555555556,5.939444444444444,1.8805555555555555,0.0,16.75111111111111,8.348333333333331,18.98148148148148,18.59444444444445,10.06375,11.290625,10.549444444444443,0,2,0,0,0,0,0,0,0
전라남도,2001,184658,6610,0,3.332119047619048,4.06734693877551,3.0767857142857142,22.991964285714285,3.332119047619048,8.135714285714286,2.5535714285714284,17.121428571428574,50.94642857142857,70.74196428571429,1005.5,12.689285714285711,8.190178571428572,2.754375,0.0,26.43125,17.232142857142858,25.168750000000003,20.890625,20.20892857142857,4.06734693877551,10.0,3.1901785714285715,13.25,43.05357142857143,65.79821428571428,1010.45625,12.122321428571428,9.261607142857144,2.7634375,0.0,23.89017857142857,13.323214285714286,23.628125,21.090625000000003,17.46428571428571,3.0767857142857142,10.465873015873017,3.446031746031746,10.400793650793652,44.71428571428572,64.51507936507937,1012.152380952381,11.495238095238095,7.32936507936508,2.2519444444444443,0.0,18.8515873015873,10.315079365079365,20.047222222222224,20.98611111111111,8.180357142857144,9.832142857142856,8.915079365079366,0,0,0,0,0,0,0,0,0
전라북도,2001,16532,730,0,8.945238095238095,3.698809523809524,3.6071428571428577,22.364285714285717,8.945238095238095,6.9696428571428575,1.5598214285714285,15.78125,42.75892857142857,68.47678571428571,997.3330357142858,12.675892857142856,8.113392857142859,2.565,0.0,26.79553571428572,14.689285714285711,27.512500000000003,,18.56160714285714,3.698809523809524,7.337499999999999,1.5973214285714286,12.04375,40.33928571428572,68.3580357142857,1002.23125,12.0875,8.355357142857141,2.5125,0.0,22.5625,10.417857142857144,24.49375,,15.349206349206348,3.6071428571428577,7.246031746031747,1.5880952380952378,9.568253968253968,43.30158730158731,70.48015873015873,1003.7317460317458,11.453174603174602,6.378571428571429,1.9866666666666664,0.0,16.926190476190474,7.697619047619047,19.994444444444444,,12.069642857142856,12.645535714285716,11.637301587301588,2,3,5,0,0,0,0,0,0
제주도,2001,30342,1740,0,6.659722222222222,3.4440476190476192,3.618518518518519,24.153125,6.659722222222222,11.1625,4.292187500000001,18.509375,58.578125,71.02968750000001,1005.353125,12.6734375,5.759375,2.4215625,0.0,26.659375,20.1578125,26.262500000000003,23.99375,22.125,3.4440476190476192,11.2265625,4.207812499999999,15.196875,49.625,65.3609375,1010.5359375,12.115625,7.626562499999999,2.6859375,0.0,24.3453125,16.734375,24.85625,23.35625,19.697222222222223,3.618518518518519,12.01388888888889,4.443055555555556,12.116666666666667,46.958333333333336,62.08055555555556,1012.4055555555556,11.516666666666667,6.2250000000000005,2.363611111111111,0.0,20.64305555555556,14.325,22.0,21.89444444444445,5.015625000000002,6.546875,6.315277777777777,0,0,0,0,0,0,0,0,0
충청남도,2001,142677,6240,0,6.666666666666667,2.801666666666667,7.345555555555556,22.9825,6.666666666666667,7.24125,1.7887499999999998,15.6,42.0125,64.59625,1005.815,12.7075,10.61875,2.80875,0.0,28.50375,15.98125,26.3125,,18.43125,2.801666666666667,7.07625,1.5637500000000002,11.646250000000002,37.5625,67.08875,1011.075,12.0975,9.4925,2.565,0.0,23.61125,10.3,23.1375,,15.165555555555557,7.345555555555556,7.135555555555555,1.528888888888889,9.462222222222222,43.23333333333333,70.47,1012.4566666666668,11.441111111111113,8.006666666666668,2.0716666666666668,0.0,17.66888888888889,7.802222222222222,17.794444444444444,,12.09625,13.51625,12.15111111111111,1,7,5,0,0,0,0,0,0
충청북도,2001,7178,288,0,7.54388888888889,7.0405,5.920384615384616,21.13875,7.54388888888889,7.83375,2.1,14.05625,42.6,66.2175,992.7975,12.72375,8.11,2.503125,0.0,25.817500000000003,14.260000000000002,,,17.17875,7.0405,7.6475,1.88,10.65125,40.875,67.58,996.98625,12.10625,7.2475,2.685,0.0,21.09875,9.513749999999998,,,14.356666666666664,5.920384615384616,7.664444444444445,1.875555555555556,8.57888888888889,44.08888888888889,69.87777777777778,998.0655555555556,11.438888888888888,5.998888888888889,2.105555555555555,0.0,16.534444444444446,7.547777777777778,,,12.14875,13.185000000000002,11.56111111111111,3,6,4,0,0,0,0,0,0
강원도,2002,7543,376,0,9.53761904761905,4.957823129251701,9.632396825396826,19.385,9.53761904761905,7.511875,1.833125,15.0725,58.00625,77.67625000000001,992.3775,12.72375,4.654375,1.83328125,0.0,21.648125,14.0225,22.922916666666666,20.559375,16.6875,4.957823129251701,6.19875,1.5343749999999998,11.70125,45.15625,74.7475,994.440625,12.090625,6.1025,2.31046875,0.0,19.134375,9.633125,20.7375,20.15625,13.336666666666666,9.632396825396826,8.322777777777778,2.108888888888889,7.783333333333333,42.62777777777778,71.75444444444443,995.5655555555556,11.410555555555554,5.356111111111112,1.926805555555556,0.0,14.126666666666669,6.238333333333333,17.140740740740743,19.9,8.66875,11.359375,11.006111111111112,1,1,0,0,0,0,0,0,0
경기도,2002,18359,792,0,3.0407407407407407,3.8392857142857135,4.833333333333333,21.3703125,3.0407407407407407,6.0375,1.3578125,16.471875,55.296875,75.13125,1005.6046875,12.721875,5.171874999999999,1.9475,0.0,23.4453125,16.121875000000003,24.19375,18.925,17.895312500000003,3.8392857142857135,5.1875,0.95625,12.3109375,39.921875,72.6171875,1008.2640625,12.0859375,7.503125,2.475,0.0,20.771875,10.3125,22.0875,19.6,13.579166666666667,4.833333333333333,6.063888888888888,1.1819444444444445,8.294444444444444,43.25,72.96111111111111,1009.988888888889,11.415277777777776,6.054166666666666,2.035555555555556,0.0,14.330555555555556,6.188888888888889,18.11111111111111,19.633333333333333,8.971874999999999,12.6125,12.043055555555554,0,3,4,0,0,0,0,0,0
경상남도,2002,23261,912,0,13.545357142857146,0.8595238095238094,5.666666666666667,22.275,13.545357142857146,6.46015625,1.396875,17.01328125,53.0859375,73.5609375,1006.08515625,12.6671875,6.36875,2.3912500000000003,0.0,25.19140625,16.9765625,25.3125,,18.81875,0.8595238095238094,5.77890625,1.1078125,12.357812499999998,39.890625,68.63828124999999,1008.93046875,12.0890625,7.87421875,2.64,0.0,21.64453125,11.45625,21.80625,,16.118750000000002,5.666666666666667,6.627083333333333,1.2354166666666666,10.138194444444444,44.28472222222222,70.39652777777776,1010.4812500000002,11.469444444444443,6.670138888888888,2.0122222222222224,0.0,16.9,8.61875,19.43888888888889,,9.03125,12.25390625,11.70138888888889,0,1,4,0,0,0,0,0,0
경상북도,2002,16954,876,0,5.92638888888889,4.03152380952381,4.392592592592592,20.0925,5.92638888888889,7.740625,1.931875,15.366875,56.900000000000006,75.54687499999999,998.809375,12.701250000000002,5.249375000000001,1.9996875,0.0,23.22375,15.086875,24.360416666666666,18.85625,16.966874999999998,4.03152380952381,6.403124999999999,1.479375,11.666875,46.375,72.859375,1001.215625,12.094375,6.63125,2.1759375,0.0,20.121875,10.17,21.6,19.125,14.424444444444443,4.392592592592592,8.273333333333333,1.910555555555556,8.815555555555555,45.66111111111111,71.22222222222223,1002.3194444444443,11.438333333333333,6.102777777777778,1.887222222222222,0.0,16.120555555555555,7.328333333333333,19.18703703703704,19.09166666666667,8.6,11.460625,11.236666666666666,0,0,1,0,0,0,0,0,0
전라남도,2002,113604,4292,0,9.186688311688313,3.288571428571429,4.242301587301586,22.37767857142857,9.186688311688313,9.50625,2.7321428571428568,18.129464285714285,59.75892857142857,77.97678571428571,1007.0071428571428,12.657142857142858,6.824107142857143,2.4375000000000004,0.0,24.79732142857143,17.682142857142857,24.940625,20.790625,19.434821428571425,3.288571428571429,8.341964285714285,2.3723214285714285,13.52142857142857,45.20535714285714,70.35178571428571,1010.0044642857144,12.09017857142857,8.464285714285715,2.7103125,0.0,21.373214285714283,12.639285714285714,21.90625,21.09375,17.24920634920635,4.242301587301586,10.061904761904763,2.8071428571428574,11.36031746031746,45.507936507936506,70.25476190476189,1011.4309523809524,11.486507936507934,6.850793650793651,2.2375,0.0,18.04841269841269,10.288095238095238,20.00277777777778,20.95833333333333,7.907142857142857,10.122321428571428,10.219841269841272,0,0,1,0,0,0,0,0,0
전라북도,2002,16187,696,0,8.239455782312925,1.573611111111111,3.583008658008658,21.94017857142857,8.239455782312925,6.55625,1.5294642857142855,17.40625,56.36607142857143,76.51517857142858,998.6419642857144,12.679464285714284,5.758035714285715,2.280625,0.0,24.55982142857143,16.866964285714285,25.8375,,17.79732142857143,1.573611111111111,6.3,1.2776785714285714,12.424107142857142,43.25,73.12142857142857,1001.6080357142856,12.0875,7.123214285714287,2.32125,0.0,20.25267857142857,10.559821428571428,22.45,,15.003968253968257,3.583008658008658,8.061904761904763,1.5523809523809522,9.61746031746032,45.06349206349206,72.4531746031746,1003.154761904762,11.461111111111109,6.2,2.058888888888889,0.0,16.31111111111111,7.401587301587302,19.48888888888889,,9.133035714285716,12.204464285714286,12.547619047619046,0,0,6,0,0,0,0,0,0
제주도,2002,44331,1901,0,11.129545454545456,1.511904761904762,15.611904761904762,23.803125,11.129545454545456,10.5859375,3.51875,20.109375,67.0625,80.503125,1007.4515625,12.6265625,6.2203125,2.3915625,0.0,26.253125,19.115625,26.137500000000003,23.4875,21.5921875,1.511904761904762,9.865625,3.5546875,15.1046875,50.671875,67.7078125,1010.546875,12.08125,7.425,2.7681250000000004,0.0,22.9609375,14.821875,23.825,22.83125,19.944444444444446,15.611904761904762,11.218055555555557,4.065277777777777,14.051388888888887,52.75,70.2388888888889,1011.886111111111,11.516666666666667,6.577777777777778,2.313333333333333,0.0,20.88472222222222,13.086111111111109,22.03611111111111,22.18888888888889,5.629687499999999,6.965624999999999,7.076388888888889,0,0,0,0,0,0,0,0,0
