지역,년도,생산량,면적,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일 강수량 평균,강수량 합계,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,평균 일조 시간,1시간 최다 일사량 평균,평균 일 합계 일사,일 최심신적설,일 최심적설,지면온도,최저 초상온도,5cm 지중온도,10cm 지중온도,20cm 지중온도,30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도,평균 일교차,일교차 15이상인 날,태풍 수,영향을 준 태풍 수,한파일 수,폭염일 수
경기도,2001,1400,2916,22.69868421052631,18.081578947368424,28.35375939849624,4.695833333333334,10.972154471544716,899.7166666666667,6.5133458646616536,3.934210526315789,1.5357142857142858,1326.8515037593984,16.276315789473685,46.037593984962406,69.55075187969925,19.44022556390977,1001.4374060150376,14.115037593984963,7.055075187969925,2.480827067669173,17.23330827067669,0.0,0.0,26.5109022556391,16.20375939849624,25.10827067669173,25.30751879699248,24.253383458646613,23.677443609022557,21.98947368421053,19.83233082706767,18.29097744360902,15.506766917293234,14.051879699248117,10.272180451127818,14,19,1,11,0
경상남도,2001,3064,4197,22.806296992481204,18.546146616541357,28.15169172932331,4.874812271062272,11.54697433518862,889.1170238095237,6.851503759398496,3.918515037593985,1.4884398496240605,1285.9887218045112,16.510244360902252,48.82706766917293,69.54191729323307,19.682236842105265,1002.5730263157894,13.957894736842103,6.266353383458647,2.45218045112782,16.93244360902256,0.0,0.0,26.589003759398494,17.057424812030074,25.357142857142858,25.16992481203008,24.84360902255639,24.47518796992481,23.717293233082707,20.76992481203008,,,,9.605545112781954,8,19,1,0,0
경상북도,2001,7357,8864,22.04082706766917,17.325187969924805,27.698796992481203,2.841155753968254,6.5313827524136805,633.544126984127,8.088947368421053,4.4769172932330825,1.8868421052631577,1630.0827067669172,15.542030075187972,48.3187969924812,69.35909774436091,18.71744360902256,994.5806766917294,14.057293233082708,8.396240601503758,2.291390977443609,15.694135338345864,0.0,0.0,26.861954887218044,15.80721804511278,26.04436090225564,25.44812030075188,24.73759398496241,24.16691729323308,22.8125313283208,20.019799498746867,18.613533834586462,15.0406015037594,14.216165413533837,10.37360902255639,9,19,1,3,0
충청남도,2001,2935,4134,23.00496240601504,18.506616541353385,28.46360902255639,4.802731481481481,9.456506849315067,690.325,7.38,4.444812030075188,1.7593984962406015,1520.069172932331,16.812631578947368,49.721804511278194,69.45338345864661,20.018796992481207,1003.578195488722,14.043609022556392,9.901203007518795,2.369473684210526,16.541353383458645,0.0,0.0,26.926616541353383,17.130827067669173,25.2796992481203,24.587218045112785,24.007518796992485,23.304511278195488,21.82330827067669,19.678947368421053,,,,9.95699248120301,9,19,1,3,0
충청북도,2001,2640,3666,22.227518796992484,17.273984962406015,28.038345864661657,3.0672659176029966,6.478970037453183,576.6283333333333,7.72406015037594,4.732330827067668,1.8037593984962408,1558.696240601504,15.029172932330829,45.29473684210527,66.18511278195489,18.082406015037595,989.7273684210526,14.061203007518795,7.857293233082706,2.6423308270676693,18.088270676691728,0.0,0.0,26.49714285714285,15.887969924812031,,,,,,,,,,10.764360902255635,17,19,1,3,0
제주도,2001,1459,1758,23.371428571428574,20.7281954887218,26.64210526315789,4.069198312236287,10.859071729957805,857.8666666666666,10.030263157894735,6.759962406015038,3.4473684210526314,2978.3364661654136,18.375,59.349624060150376,74.61973684210525,22.039473684210527,1004.3949248120302,13.826127819548873,5.822556390977444,2.6230451127819547,17.657255639097745,0.0,0.0,26.579887218045112,19.158458646616545,26.54022556390978,26.38984962406015,25.820300751879703,25.252255639097744,24.526315789473685,22.90864661654136,21.32631578947369,19.884962406015035,16.918045112781954,5.913909774436092,0,19,1,0,0
전라남도,2001,8090,12075,22.348657357679915,18.907733619763697,26.747583243823847,3.940467032967032,9.136275946275946,712.6295238095238,9.16498388829216,6.101503759398496,2.7964554242749733,2416.0408163265306,17.52395273899033,55.88077336197637,75.556283566058,20.933404940923744,1003.6998925886144,13.904726100966704,7.587110633727175,2.547218045112782,17.671804511278197,0.0,0.0,25.783995703544573,17.22363050483351,24.836466165413533,24.391353383458647,24.003383458646613,23.65112781954887,22.761654135338347,21.46127819548872,19.94398496240601,17.231203007518797,15.90563909774436,7.83984962406015,1,19,1,0,0
전라북도,2001,2609,3675,22.60247046186896,18.14425349087003,28.13501611170784,4.65307466196355,9.61795005807201,788.6719047619048,7.4751879699248125,4.549087003222342,1.604296455424275,1386.2201933404942,16.95714285714286,49.99892588614394,72.3344790547798,20.193555316863588,995.129215896885,13.984962406015038,6.751664876476906,2.497744360902256,16.805939849624057,0.0,0.0,26.4203007518797,16.37046186895811,26.514285714285712,25.9624060150376,25.857142857142858,25.66315789473684,25.114285714285717,22.66390977443609,,,,9.99076262083781,12,19,1,3,0
강원도,2001,673,962,21.646616541353385,17.115864661654133,27.181503759398492,2.9375893784305,7.422958388963061,794.2565476190475,7.246240601503759,4.172857142857143,1.9049624060150372,1645.767669172932,15.514586466165412,48.51278195488722,71.2703007518797,18.628345864661654,987.6975187969924,14.13796992481203,6.304060150375939,2.412744360902256,16.25328947368421,0.0,0.0,25.152781954887217,15.47857142857143,24.68471177944862,24.244611528822052,23.84636591478697,23.20827067669173,21.911027568922304,19.73734335839599,17.803007518796996,15.277067669172933,14.201503759398497,10.06563909774436,9,19,1,8,0
충청북도,2002,2190,3422,20.86872180451128,16.3996992481203,26.0181954887218,3.665803921568627,11.679490196078431,992.7566666666668,7.959999999999999,4.775488721804512,1.926315789473684,1664.3639097744365,15.250827067669174,51.11127819548872,72.3618045112782,18.07774436090225,989.2515789473684,14.078045112781956,6.376842105263159,1.510375939849624,10.02375939849624,0.0,0.0,24.36842105263158,14.857293233082707,,,,,,,,,,9.618496240601502,15,19,4,1,0
전라남도,2002,7701,13751,21.527604726100964,18.25639097744361,25.737486573576795,3.8501621073961503,11.753031914893617,1104.785,9.384532760472611,6.361761546723953,2.9679914070891518,2564.3383458646617,17.31127819548872,60.112781954887225,78.57099892588613,20.48152524167562,1003.0930182599354,13.927497314715362,5.776584317937701,2.390714285714286,16.30545112781955,0.0,0.0,24.28378088077336,16.774113856068745,24.18345864661654,23.6703007518797,23.30827067669173,22.999999999999996,22.34774436090225,21.28533834586466,19.9203007518797,17.32067669172932,16.05,7.48109559613319,0,19,4,0,0
경기도,2002,1288,2684,21.597368421052632,17.086654135338343,27.00056390977444,3.888247863247864,13.199679487179488,1029.575,6.243609022556391,3.719924812030075,1.4781954887218045,1277.1466165413533,15.587593984962403,48.75,70.63421052631578,18.491541353383457,1001.2022556390976,14.126503759398496,6.556578947368421,2.374661654135338,16.502706766917292,0.0,0.0,24.383458646616543,15.598684210526317,23.90075187969925,24.09097744360902,23.098496240601506,22.82857142857143,21.906015037593985,20.5,18.83458646616541,15.809774436090228,14.280451127819548,9.91390977443609,15,19,4,1,0
경상남도,2002,1857,3951,22.199624060150377,18.072086466165413,27.20958646616541,4.87109911406423,15.825181339977853,1360.9655952380954,7.033176691729324,4.120394736842106,1.4902255639097743,1287.5563909774437,16.51447368421053,51.95488721804512,71.8782894736842,19.53308270676692,1002.2132518796992,13.965789473684213,6.378759398496241,2.2693984962406017,15.743909774436087,0.0,0.0,25.37453007518797,16.18092105263158,24.317293233082708,24.230075187969923,23.993984962406014,23.52781954887218,22.780451127819543,20.872180451127814,,,,9.1375,11,19,4,0,0
경상북도,2002,4963,9191,20.61872180451128,16.297744360902254,25.588045112781952,3.1181846201263674,10.036934042225305,1033.8042063492062,7.681879699248121,4.458195488721805,1.8694736842105264,1615.2443609022555,14.829398496240602,52.12556390977443,71.57285714285713,17.657067669172932,994.531954887218,14.0696992481203,6.414661654135339,2.199774436090225,15.402969924812028,0.0,0.0,24.696015037593988,14.909022556390978,24.40451127819549,23.86215538847118,23.327568922305765,22.962406015037597,21.719799498746863,19.63308270676692,18.37330827067669,15.173308270676694,14.242481203007518,9.290300751879698,9,19,4,0,0
