지역,년도,생산량,면적,영향을 준 태풍 수,1분기 강수량 합계,2분기 강수량 합계,3분기 강수량 합계,1분기 평균 기온,1분기 일 강수량 평균,1분기 최대 순간풍속,1분기 평균 풍속,1분기 평균 이슬점온도,1분기 최소 상대습도,1분기 평균 상대습도,1분기 평균 현지기압,1분기 가조시간,1분기 평균 일조 시간,1분기 1시간 최다 일사량 평균,1분기 일 최심적설,1분기 지면온도,1분기 최저 초상온도,1분기 30cm 지중온도,1분기 3.0m 지중온도,2분기 평균 기온,2분기 일 강수량 평균,2분기 최대 순간풍속,2분기 평균 풍속,2분기 평균 이슬점온도,2분기 최소 상대습도,2분기 평균 상대습도,2분기 평균 현지기압,2분기 가조시간,2분기 평균 일조 시간,2분기 1시간 최다 일사량 평균,2분기 일 최심적설,2분기 지면온도,2분기 최저 초상온도,2분기 30cm 지중온도,2분기 3.0m 지중온도,3분기 평균 기온,3분기 일 강수량 평균,3분기 최대 순간풍속,3분기 평균 풍속,3분기 평균 이슬점온도,3분기 최소 상대습도,3분기 평균 상대습도,3분기 평균 현지기압,3분기 가조시간,3분기 평균 일조 시간,3분기 1시간 최다 일사량 평균,3분기 일 최심적설,3분기 지면온도,3분기 최저 초상온도,3분기 30cm 지중온도,3분기 3.0m 지중온도,1분기 평균 일교차,2분기 평균 일교차,3분기 평균 일교차,1분기 일교차 15이상인 날,2분기 일교차 15이상인 날,3분기 일교차 15이상인 날,1분기 한파일 수,2분기 한파일 수,3분기 한파일 수,1분기 폭염일 수,2분기 폭염일 수,3분기 폭염일 수
강원도,2001,1918,159,1,2.4170692640692635,3.092586996336996,9.022458708708708,-1.1288372093023258,2.4170692640692635,9.182325581395348,2.5101162790697678,-9.031976744186046,34.53604651162791,59.77627906976745,997.136976744186,10.797558139534884,5.587209302325581,1.8915697674418608,8.263372093023255,0.0704941860465115,-8.913604651162792,1.3534883720930235,12.499418604651163,15.551511627906972,3.092586996336996,8.742209302325584,2.367674418604651,6.061976744186046,33.56395348837209,58.59465116279071,989.6918604651164,13.86732558139535,7.1810465116279065,2.558459302325582,0.0770930232558139,19.120930232558138,7.135465116279071,16.065116279069763,11.69593023255814,23.25372093023256,9.022458708708708,6.555813953488374,1.7030232558139533,18.432558139534883,54.0546511627907,75.8629069767442,988.0726744186044,13.897906976744183,6.000465116279068,2.338517441860465,0.0,26.378488372093024,18.002674418604656,25.385271317829456,17.293023255813956,10.968604651162794,12.479069767441864,9.18406976744186,9,24,1,8,0,0,0,0,0
경기도,2001,65239,3485,1,2.455701754385965,3.811616161616162,13.403389830508477,-1.1857558139534887,2.455701754385965,7.330523255813954,1.6331395348837208,-8.797383720930231,34.575581395348834,59.711337209302336,1013.2470930232556,10.81627906976744,5.463662790697675,1.924186046511628,4.763953488372093,0.4994186046511628,-9.23546511627907,2.61046511627907,11.80232558139535,16.346802325581393,3.811616161616162,7.619767441860464,1.7351744186046514,6.857267441860467,31.055232558139537,57.41715116279069,1004.093023255814,13.857558139534884,8.064825581395349,2.6680232558139534,0.0290697674418604,20.74360465116279,7.486337209302327,17.12906976744186,12.533720930232557,24.340697674418603,13.403389830508477,6.227325581395348,1.480813953488372,19.04970930232558,51.895348837209305,73.92063953488372,1001.568023255814,13.870058139534883,6.6875,2.400581395348837,0.0,27.502616279069777,18.727034883720933,25.78255813953488,17.29186046511628,11.11831395348837,13.184593023255813,9.190988372093024,8,31,2,10,0,0,0,0,3
경상남도,2001,12478,759,1,4.130238095238095,9.08945084485407,11.513206214689266,3.176308139534884,4.130238095238095,7.933720930232559,1.822093023255814,-6.4125000000000005,30.13081395348837,52.93095930232557,1013.1200581395346,10.918023255813956,6.131395348837208,1.9824418604651164,1.0699127906976744,4.565891472868218,-5.003779069767441,4.473255813953489,,16.568459302325582,9.08945084485407,7.017151162790699,1.631395348837209,7.907558139534882,36.00581395348837,60.00276162790698,1005.1135174418604,13.727034883720927,7.286046511627907,2.6188372093023258,0.0148255813953488,21.051162790697678,8.518168604651164,18.17674418604652,,24.728488372093025,11.513206214689266,6.93139534883721,1.4488372093023256,19.23299418604651,53.15116279069768,72.57049418604652,1002.6196220930232,13.728343023255814,5.90625,2.4267441860465118,0.0,28.072674418604645,19.69563953488372,26.4906976744186,,11.20828488372093,12.22892441860465,8.763953488372094,14,26,0,0,0,0,0,0,5
경상북도,2001,177299,11498,1,2.720067155067156,3.5810855379188715,7.314065504135925,1.29906976744186,2.720067155067156,10.18593023255814,2.4466279069767443,-7.396162790697674,33.97674418604651,55.8922093023256,1004.158023255814,10.855,6.094534883720929,1.7126162790697677,1.2339534883720933,3.022383720930233,-6.278604651162791,3.995348837209302,13.255232558139532,16.017441860465112,3.5810855379188715,9.402093023255814,2.227674418604651,6.509418604651163,34.504651162790694,57.80476744186048,996.7491860465116,13.807209302325589,9.237906976744188,2.362848837209302,0.0120930232558139,20.658546511627904,7.868488372093024,17.60891472868217,12.527325581395347,23.70802325581396,7.314065504135925,7.624651162790698,1.7740697674418606,18.546511627906977,53.9093023255814,74.1272093023256,994.8447674418608,13.819767441860463,7.795930232558138,2.256104651162791,0.0,28.21593023255814,18.19186046511628,26.297286821705427,16.445930232558137,10.570930232558135,12.705000000000002,9.375232558139537,9,24,0,3,0,0,0,0,0
전라남도,2001,9598,559,1,2.8081150793650798,6.304293154761905,9.407415514592934,3.6956810631229233,2.8081150793650798,12.896511627906971,4.122259136212625,-3.748172757475084,38.951827242524914,60.49617940199335,1015.162292358804,10.943189368770764,5.783554817275748,1.9540116279069768,0.1911960132890365,4.532267441860465,-3.746677740863788,5.958720930232559,13.617441860465116,15.920431893687708,6.304293154761905,10.246179401993354,3.18687707641196,9.136710963455153,43.83887043189368,66.65199335548174,1006.7204318936878,13.665448504983384,7.85531561461794,2.7005813953488373,0.0,19.61021594684385,8.82392026578073,17.450581395348838,13.872674418604651,24.501661129568102,9.407415514592934,8.982890365448505,2.7534883720930234,20.24401993355482,59.5531561461794,78.01843853820598,1003.4948504983386,13.692026578073088,7.683720930232558,2.518372093023256,0.0,27.762292358803982,19.920431893687702,25.852906976744183,19.011046511627907,9.071096345514947,9.790697674418604,7.254651162790699,1,4,0,0,0,0,0,0,1
전라북도,2001,27119,1573,1,3.8222049689441,7.68516369047619,10.596997578692497,1.1953488372093024,3.8222049689441,8.739534883720928,1.97358803986711,-4.841196013289036,40.63122923588039,66.8187707641196,1006.3443521594684,10.901328903654486,5.591694352159469,1.865581395348837,1.2235880398671095,3.373837209302326,-6.850996677740864,4.22906976744186,,15.829235880398668,7.68516369047619,8.346511627906976,1.814617940199336,8.545348837209305,39.07308970099667,65.40348837209302,997.950830564784,13.748837209302328,7.705647840531563,2.6889534883720927,0.0410299003322259,20.277242524916943,7.376578073089702,19.18139534883721,,24.570099667774087,10.596997578692497,7.283720930232556,1.5398671096345518,19.505481727574747,53.52990033222592,74.62225913621262,995.0539867109634,13.75249169435216,6.525083056478404,2.409186046511628,0.0,27.8624584717608,18.90813953488372,27.475581395348843,,10.932392026578071,12.681063122923586,9.263289036544853,11,29,2,3,0,0,0,0,10
충청남도,2001,56818,2967,1,2.8716666666666666,4.81752688172043,11.00675925925926,0.4446511627906977,2.8716666666666666,8.552093023255814,2.068604651162791,-5.878604651162791,41.91162790697674,65.01767441860466,1015.738139534884,10.865348837209302,6.365116279069767,1.950581395348837,1.221860465116279,1.5779069767441862,-7.600697674418606,2.3,,16.118604651162794,4.81752688172043,8.094651162790695,1.8955813953488367,7.993023255813953,37.65348837209303,61.14,1006.6281395348836,13.798139534883717,10.228139534883718,2.579767441860465,0.0523255813953488,20.08232558139535,8.188604651162791,16.359302325581393,,24.95116279069768,11.00675925925926,7.296976744186049,1.7213953488372091,19.519069767441863,54.048837209302334,72.67093023255815,1003.439069767442,13.805116279069768,9.741162790697674,2.3287209302325578,0.0,28.670465116279072,19.690465116279075,25.545348837209303,,11.067209302325582,12.804883720930231,9.14953488372093,11,28,0,3,0,0,0,0,5
충청북도,2001,81456,4116,1,2.43562091503268,3.30760162601626,7.340717948717948,0.0395348837209301,2.43562091503268,9.23906976744186,2.602093023255814,-8.257906976744184,34.88372093023256,57.1706976744186,1000.779534883721,10.853255813953488,6.04279069767442,2.091976744186047,1.8593023255813952,1.8,-8.072558139534886,,,16.081860465116282,3.30760162601626,8.92697674418605,2.223720930232558,5.903023255813954,32.2953488372093,54.76999999999999,992.576046511628,13.81139534883721,8.516511627906977,2.778953488372093,0.0346511627906976,20.13116279069768,7.157674418604652,,,23.835581395348843,7.340717948717948,7.349999999999998,1.7086046511627904,17.892325581395347,50.3860465116279,70.75279069767443,989.7386046511627,13.823255813953493,7.615116279069766,2.5938372093023254,0.0,27.9206976744186,18.442790697674425,,,11.342093023255812,13.43325581395349,9.82860465116279,13,35,3,3,0,0,0,0,3
강원도,2002,2309,208,4,2.069204761904762,6.393513171225937,14.79194227005871,1.751860465116279,2.069204761904762,9.249999999999998,2.4589534883720927,-7.237325581395348,32.11511627906977,56.37941860465114,996.8331395348836,10.810348837209302,5.969186046511628,1.870232558139535,2.069186046511628,2.306860465116279,-6.3147674418604645,2.9740310077519383,12.64709302325582,15.584302325581396,6.393513171225937,8.891511627906976,2.2176744186046515,7.323953488372091,35.033720930232555,61.15813953488374,989.916395348837,13.893720930232554,7.326511627906976,2.7138081395348834,0.0,19.00639534883721,7.142906976744186,16.962403100775195,12.596511627906976,21.624767441860463,14.79194227005871,7.262325581395349,1.832906976744186,17.303023255813958,60.08837209302326,77.86279069767441,987.6188372093025,13.899651162790695,4.220465116279069,1.985,0.0,24.212906976744183,16.852325581395345,23.99186046511628,17.984883720930235,11.119767441860462,12.219418604651164,7.72813953488372,12,19,3,1,0,0,0,0,0
경기도,2002,61964,3414,4,2.220052083333333,9.149019607843137,14.7225,1.5607558139534885,2.220052083333333,7.666279069767443,1.7444767441860465,-6.42151162790698,33.59011627906977,59.166279069767455,1012.928488372093,10.820348837209302,6.226162790697674,1.8620930232558135,0.427906976744186,2.3979651162790696,-6.9517441860465095,4.379069767441861,14.144186046511626,16.285755813953486,9.149019607843137,6.983139534883722,1.6043604651162795,7.841569767441859,33.59011627906977,60.30552325581395,1004.2000000000004,13.870348837209296,7.972383720930233,2.645581395348837,0.0,19.320930232558137,7.916569767441861,17.287209302325586,12.99186046511628,23.20116279069768,14.7225,6.104651162790698,1.4569767441860464,18.38924418604651,56.979651162790695,75.70872093023256,1000.8540697674418,13.87761627906977,5.425872093023256,2.105116279069767,0.0,25.42965116279069,18.375872093023258,24.62093023255814,17.289534883720933,11.697093023255814,12.890116279069767,8.318895348837207,18,25,4,1,0,0,0,0,1
경상남도,2002,11766,636,4,3.990277777777778,8.023467578520771,20.04919984387197,4.997529069767442,3.990277777777778,8.713808139534883,1.8524709302325584,-4.618023255813952,29.52761627906977,53.54622093023255,1013.254215116279,10.91860465116279,6.893313953488373,2.016976744186046,0.066860465116279,5.517877906976745,-3.445348837209302,5.937209302325581,,17.25494186046512,8.023467578520771,7.798837209302325,1.6140988372093017,9.464244186046512,38.86918604651163,63.03997093023257,1005.3895348837208,13.729796511627905,7.483575581395349,2.520813953488372,0.0,20.798837209302327,9.299418604651164,18.523255813953487,,23.77238372093024,20.04919984387197,6.997529069767442,1.524563953488372,19.002325581395347,58.72674418604651,75.86090116279071,1001.8226744186044,13.736627906976748,5.4906976744186045,2.110697674418604,0.0,26.45058139534883,18.772819767441863,25.234883720930235,,12.06656976744186,11.836773255813954,7.637645348837208,21,20,0,0,0,0,0,0,3
경상북도,2002,185878,11211,4,3.4741698668714798,6.444743650793651,12.074550622050625,3.189767441860465,3.4741698668714798,10.460581395348836,2.570348837209302,-5.909302325581395,33.01046511627907,55.06232558139536,1004.0498837209304,10.861627906976745,6.463372093023256,1.9029069767441855,0.7226744186046511,3.528953488372093,-4.465930232558141,5.278682170542635,13.24360465116279,15.731279069767442,6.444743650793651,8.568604651162788,2.009186046511628,7.602093023255812,37.924418604651166,61.63697674418604,997.1484883720932,13.821976744186047,7.806976744186048,2.453837209302325,0.0,19.98372093023256,8.111279069767443,17.700387596899226,12.78313953488372,22.120813953488376,12.074550622050625,7.581860465116279,1.8822093023255813,17.35953488372093,59.365116279069774,75.98162790697675,994.3433720930232,13.82720930232558,5.233720930232558,1.9948255813953488,0.0,25.53581395348837,17.381627906976746,24.68255813953488,16.543604651162795,10.889186046511629,12.041511627906978,7.809767441860464,10,18,2,0,0,0,0,0,0
