,지역,년도,생산량,면적,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일 강수량 평균,강수량 합계,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,평균 일조 시간,1시간 최다 일사량 평균,평균 일 합계 일사,일 최심신적설,일 최심적설,지면온도,최저 초상온도,5cm 지중온도,10cm 지중온도,20cm 지중온도,30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도,평균 일교차,일교차 15이상인 날,태풍 수,영향을 준 태풍 수,한파일 수,폭염일 수
0,경기도,2001,0.060594461308384584,0.17371134020618556,0.6792807717938967,0.32182114558181363,0.7647585816672962,0.3611701880197412,0.2608109969716912,0.1951471649418388,0.17892669598258126,0.19028557772732746,0.12317856819621686,0.12317912983723467,0.2274692888227845,0.12292891501870629,0.13904913156398768,0.23460276201250974,0.7681405828290124,0.8568601583113349,0.5154169933933609,0.6960109840233124,0.7024801295162466,0.0,0.0,0.6871592640292992,0.2632228107088439,0.6363421363815522,0.7269787496150291,0.5977923421869624,0.6135411336126748,0.2938150876301755,0.27593634079215024,0.2601670297748728,0.270663956639567,0.2360151933701653,0.8512856853614089,0.7999999999999999,0.75,0.0,0.55,0.0
1,경상남도,2001,0.360237499666183,0.41572164948453605,0.7049719421279166,0.40811896895893485,0.7029894379479433,0.6375169268194224,0.705566920737875,0.48982621208965066,0.17610895273876115,0.1199067989007051,0.09299484116209622,0.0929955815156931,0.3495909766980665,0.26471711078873006,0.23801020468339873,0.32299604491776623,0.8291937650849519,0.41721635883904895,0.37573569838394205,0.6471073970836474,0.6246102187252245,0.0,0.0,0.7158428217022461,0.4003301168105635,0.6423334647221131,0.7000307976593771,0.7161090031045192,0.7659966864097196,0.6378587757175511,0.41863108771090074,,,,0.7402645609772559,0.6571428571428571,0.75,0.0,0.0,0.0
2,경상북도,2001,0.2629142668933655,0.4146907216494845,0.5710228511282311,0.2240430966099778,0.6460109392682005,0.109632072809492,0.1819673639899319,0.19104319102385264,0.49994449899671234,0.3357509857808584,0.2903249162820166,0.29023575724943607,0.14771663085991316,0.18895930365732583,0.1298042333159568,0.1567633776215276,0.40481767272640923,0.6891820580474857,0.8394577688848025,0.521763029927566,0.5183144233395742,0.0,0.0,0.7387364797866396,0.27800914169629243,0.7702010248324793,0.7437634739759771,0.692077727952169,0.7029168714438434,0.46863093726187355,0.32906545411032706,0.3716412490922294,0.22959010840108451,0.26458908839778994,0.8420058041438886,0.6285714285714286,0.75,0.0,0.15000000000000002,0.0
3,충청남도,2001,0.12932515555872065,0.25231958762886597,0.6719439963627529,0.3541871878241625,0.7110618634477568,0.22699722069594275,0.1715611604157125,0.13086240989642678,0.3360713828288431,0.30501852073127045,0.21053489003529746,0.21053920592986164,0.35613948107750826,0.29218905092769343,0.23117405755290532,0.32509279950631553,0.890908010034849,0.6530343007915533,0.9999999999999999,0.6130908642123662,0.6076731713491943,0.0,0.0,0.6631486568116802,0.4032068490169054,0.5956641702798571,0.5548198336926382,0.5,0.512461430113138,0.15760731521463045,0.14795979418451655,,,,0.7877977998245252,0.7142857142857143,0.75,0.0,0.15000000000000002,0.0
4,충청북도,2001,0.11526923453537125,0.20773195876288658,0.6036833353055853,0.2009083063834236,0.708609958506222,0.12628877573073954,0.14798370917288495,0.14169352042128808,0.4197498185544124,0.4099772971681207,0.2704860168341029,0.27048393821245187,0.07180631300611462,0.12011911124685049,0.0,0.09179904816224216,0.17835851950491133,0.7026385224274421,0.6670902847254142,0.8485068694802802,0.80073019447424,0.0,0.0,0.6451255048116207,0.2202858593920045,,,,,,,,,,0.9047175541607614,0.9142857142857143,0.75,0.0,0.15000000000000002,0.0
5,제주도,2001,0.2937233502764005,0.37757731958762886,0.7932561456393525,0.8698123240265332,0.2814975480950581,0.37585780489231135,0.5191635632419748,0.44555288095674345,0.7419203347137424,0.8771059863783007,0.8172685310887863,0.8171954252241193,0.722979672781358,0.708330151943193,0.60103603720487,0.6870529494815383,0.9422402415970126,0.0,0.15777519400805795,0.716297487753804,0.6387775904914821,0.0,0.0,0.627360694787952,0.7942392802727998,0.8218368151359865,0.8831228826609179,0.8766816143497755,0.8862283337302217,0.8234061468122924,0.8722926887639102,0.8376906318082793,0.8472222222222228,0.7058011049723758,0.08115677937504207,0.0,0.75,0.0,0.0,0.0
6,전라남도,2001,0.33173397900958723,0.3458762886597938,0.5142611575306937,0.48646568696429693,0.3386794740529169,0.46987152190055637,0.48819608346716326,0.36398160953019293,0.7013192161550608,0.7589659116125839,0.6527934008248969,0.6526746001650313,0.5003580675370463,0.5251584332289838,0.5301623172132683,0.4640736679146795,0.9015352892319299,0.23087071240105672,0.49762245974018937,0.677498585181799,0.6334964722812584,0.0,0.0,0.49878671536087316,0.4369461344720722,0.57311785573512,0.5643671080997841,0.5656260779579179,0.6197731153321948,0.43754762509524925,0.577300466674644,0.570170660856935,0.5292174796747968,0.4995683701657452,0.41888178636508255,0.11428571428571428,0.75,0.0,0.0,0.0
7,전라북도,2001,0.15834497983745338,0.22525773195876286,0.5791052265850007,0.3020647968389847,0.6447634315891566,0.6489721244469219,0.5471252431844101,0.43356863568999765,0.35396832173504644,0.33624942389430423,0.15382128958018193,0.1538339173067329,0.4268558522400867,0.3460116275264782,0.4171406127999666,0.4043266809767352,0.45632688972719393,0.49170750094232574,0.41887327897116167,0.6874489995591127,0.6400586287534065,0.0,0.0,0.6278925753275817,0.28002404618525945,0.8335829720141912,0.8238373883584842,0.8751293549499839,0.926508215575903,0.8746507493014981,0.7593035778389368,,,,0.7807055602155825,0.7714285714285714,0.75,0.0,0.15000000000000002,0.0
8,강원도,2001,0.5272617214274905,0.6737113402061856,0.47568213949838345,0.1914416966675092,0.5661165597887585,0.07978522015931278,0.12466334047330896,0.1885829712876213,0.3862955214959656,0.2777273270402679,0.3443388541949499,0.3443729795752476,0.10039662865642063,0.16345728029319706,0.16244931272896324,0.12602032706566568,0.0463171911969269,0.9002638522427375,0.4059793238334729,0.6667961046015489,0.6191341599099252,0.1428571428571391,0.12831858407079527,0.4947248847908763,0.19007472973953488,0.5283931152279582,0.5240221743147515,0.4870645050017264,0.4959441452305069,0.15697231394462774,0.12372861074548247,0.018336964415396118,0.12042682926829329,0.19803176795580013,0.810069514746575,0.6285714285714286,0.75,0.0,0.4,0.0
9,충청북도,2002,0.14492108566189235,0.20128865979381444,0.28310735483710214,0.026987682947027913,0.3859015465861928,0.2224795976436127,0.3308816501282933,0.30275970450623807,0.4896981599282755,0.43626478671286895,0.3286994298126529,0.3286696570175127,0.15743954167355234,0.2322058486676335,0.2680793445979579,0.11667960093874719,0.14675116221003037,0.7601583113456485,0.5201038314901439,0.0,0.0,0.0,0.0,0.4225866870300927,0.08185445839077143,,,,,,,,,,0.8084227576432476,0.7428571428571429,0.875,1.0,0.05,0.0
10,전라남도,2002,0.3851536003275857,0.41855670103092785,0.39809702943340586,0.43336699737121664,0.2006722530581433,0.24983022915692366,0.27338402199058465,0.338350504018961,0.709833436000024,0.7931055084239452,0.7197677876472336,0.7197638506748046,0.5146217468974035,0.6108487221719261,0.6429481297311073,0.43528211183492527,0.8836261293012839,0.32133433848473913,0.28601944522773015,0.6714820555583065,0.6381851735877466,0.0,0.0,0.36177863023393453,0.41184274624019257,0.5088687426093816,0.5128580227902666,0.5220765781303887,0.6025211659379126,0.4859347218694432,0.6677635515137004,0.6512345679012346,0.5697831978319785,0.5325448895027622,0.3612260048785664,0.0,0.875,1.0,0.0,0.0
11,경기도,2002,0.1256843248439962,0.1541237113402062,0.4465343389739731,0.14421325151021236,0.5663428894756697,0.2691159213134431,0.4058730890003913,0.28045406769473913,0.1279938521965589,0.11680009559087112,0.10815458412526024,0.10814811245451106,0.16959318019060232,0.11949301366725207,0.16895727525989424,0.11398677899224863,0.7622908913645858,0.895778364116083,0.5954087012951897,0.7712176043169605,0.7756157684697231,0.0,0.0,0.4433680195428109,0.1773924399622726,0.5236105636578632,0.6393594086849395,0.5141428078647805,0.597885179536807,0.36563373126746246,0.48917075505564167,0.43554829339142964,0.33367208672086734,0.25414364640883935,0.8467975973543903,0.7142857142857143,0.875,1.0,0.05,0.0
12,경상남도,2002,0.34916367715000407,0.41365979381443296,0.6220439583709609,0.3835153723445992,0.5578319502074676,0.2546180083252948,0.4078448838441844,0.4394554721078073,0.28999274217649296,0.22087465647030713,0.11448999909494084,0.1144856729232181,0.3735023136671627,0.31866076200656623,0.3023983718741379,0.310987040794382,0.8258765619984061,0.431068601583128,0.4092871499517795,0.5518456780450249,0.5312969612983607,0.0,0.0,0.5660424668619437,0.3438837698614228,0.5420575482853764,0.6156452109639661,0.6636771300448441,0.716900830424231,0.5633731267462525,0.5710183080052653,,,,0.6554295741378141,0.45714285714285713,0.875,1.0,0.0,0.0
13,경상북도,2002,0.35568868671942466,0.4211340206185567,0.22630651278953184,0.05348721659010325,0.2815447001131641,0.1301655764126164,0.23399553340265983,0.3189488329285624,0.40827391879776287,0.2882423228581671,0.25108154584125275,0.2510798993532548,0.11038120420867092,0.2818660762006566,0.24894143511911393,0.06979364381819675,0.415114080873181,0.7361477572559352,0.4805541284734426,0.5245013222562065,0.550066956701333,0.0,0.0,0.47600268979587224,0.1660741493143727,0.583418736039941,0.5782773842521305,0.5507646314821213,0.6120718045893718,0.33972567945135834,0.3142874237166442,0.3821713870733481,0.25770663956639606,0.2810773480662978,0.7132212998582709,0.45714285714285713,0.875,1.0,0.0,0.0
14,제주도,2002,0.303817976267837,0.3938144329896907,0.7220682482047325,0.8492403176457257,0.1864390795926063,0.3565975756390275,0.33529324985375686,0.3679836794428663,0.8037826068394309,0.82130481539013,0.8819802697076659,0.8819652932143062,0.7704580510108527,0.8030846758799721,0.7410614663512014,0.7102995764415474,0.9230266208520064,0.06926121372031702,0.07778348610622887,0.7302589218801119,0.5376565820769235,0.0,0.0,0.39192757306708925,0.6418776753972288,0.7515963736696891,0.7864182322143516,0.7305105208692657,0.8086325613444862,0.7960693421386829,0.8385485221969611,0.8634713144517057,0.9039634146341458,0.7729627071823204,0.029054464466491292,0.0,0.875,1.0,0.0,0.0
15,충청남도,2002,0.21722139633424428,0.2804123711340206,0.4512677424779392,0.22454867981764215,0.4949547340626168,0.48560338590564667,0.4655093242960009,0.3142542853101257,0.19969260982794723,0.18768072649062006,0.16651280658883183,0.16651610159371322,0.36010576764171187,0.3656104451401083,0.39977425145604295,0.2893007078007681,0.8684984602946173,0.6899736147757167,0.7214215540473549,0.6928484492212204,0.7253261557526138,0.0,0.0,0.5718475630373425,0.2744685482115652,0.4230193141505709,0.45210963966738493,0.40893411521214285,0.49178949075082645,0.23342646685293333,0.29280842407562524,,,,0.7335088074509005,0.5428571428571428,0.875,1.0,0.0,0.0
16,강원도,2002,0.6035856396378754,0.6043814432989691,0.1820865590024967,0.008716951856275745,0.2707751791776678,0.18866593360752526,0.25637674940537414,0.3054113573426492,0.4450582760534516,0.39155215676902866,0.3175128970947597,0.3175427863896437,0.08433867680273233,0.21039932809040285,0.24700948049527938,0.047549812530972346,0.05171032137634057,0.9728232189973625,0.3852851310061377,0.7260164971455985,0.6978623157025121,0.0,0.0,0.32595159127259965,0.02121453965029385,0.4339508605965041,0.4876296068165469,0.46372312291594886,0.5283200502611862,0.3279781559563122,0.31919349048701706,0.24645969498910691,0.2807418699186983,0.32026933701657345,0.740176823918472,0.4857142857142857,0.875,1.0,0.05,0.0
17,전라북도,2002,0.20892493123369862,0.2399484536082474,0.48575396800681947,0.2637849254015716,0.5240273212264901,0.15461703085391199,0.20890658516048716,0.2503543860005144,0.3167155604076577,0.29821791304644696,0.22632946743726023,0.22632004575613895,0.3453069543798353,0.32057504990237695,0.34184391976844974,0.27074748516343217,0.4413391784954186,0.5331699962306757,0.4434405511927618,0.6697850856645018,0.6527171096024573,0.0,0.0,0.4399976336743343,0.28342367927363976,0.7467087110760735,0.7790267939636584,0.8985857192135245,0.8917003176790681,0.9018923037846074,0.833433050137609,,,,0.7239367907519355,0.5714285714285714,0.875,1.0,0.0,0.0
18,경상남도,2003,0.27408600906201874,0.3458762886597938,0.4825019774415935,0.3919054385062637,0.41439551112787587,0.7600854254764496,0.976858475172788,1.0,0.2081714554070786,0.15757557653244125,0.04941623676350815,0.049408878450827975,0.4308103343799925,0.47060395510422226,0.45411150727844474,0.3403345924769283,0.8515521894729474,0.4366754617414301,0.24110176747875156,0.42534428596134966,0.38753712599185897,0.0,0.0,0.33847357883419305,0.43885583690052954,0.36736302719747727,0.4896827841084077,0.500517419799932,0.56657327138507,0.4462153924307839,0.5234533923656821,,,,0.5462812985084703,0.37142857142857144,0.625,0.6666666666666666,0.0,0.0
19,충청북도,2003,0.11951538673811835,0.15644329896907216,0.16955549604200293,0.05543981380590912,0.22641456054319065,0.4384805066526868,0.6577591819974061,0.658498429958106,0.3662297741536098,0.3191659696498984,0.23529731197393444,0.23528188002421901,0.26934941882884367,0.43170191646942047,0.47840645588939523,0.192471318641247,0.17679860178106566,0.7506596306068616,0.30768190790363137,0.450181754407047,0.3804787570704278,0.0,0.0,0.20238814362294288,0.1480229267938762,,,,,,,,,,0.6722548424107438,0.6,0.625,0.6666666666666666,0.15000000000000002,0.0
20,경상북도,2003,0.251252926462341,0.3036082474226804,0.10430926563735898,0.07217636136995598,0.12843266691814303,0.5118761834237749,0.7212020201487024,0.7626714606512663,0.3459249455663236,0.2629346397419049,0.21158475880170136,0.21159008868394524,0.2903790007161353,0.507994197144384,0.5559901208474187,0.21579508372993228,0.44873316133021035,0.7271767810026333,0.27831706459724714,0.3312395918503215,0.3342449216173542,0.0,0.0,0.24755239973102094,0.19143872886889635,0.3848114571015637,0.4292680422954511,0.3771990341497067,0.46660823128252105,0.2752730505461005,0.24913246380280052,0.22730573710965807,0.1643800813008136,0.19103936464088322,0.5891745967469796,0.39999999999999997,0.625,0.6666666666666666,0.1,0.0
21,경기도,2003,0.08629391918958135,0.1368556701030928,0.4948025983893958,0.249296106137606,0.5396548472274603,0.35820796055488136,0.5426395160543775,0.39438043777339943,0.0,0.0,0.0,0.0,0.36525643144383846,0.32694510193174,0.37700360678708256,0.29017727744481103,0.7926926415161546,0.9003957783641141,0.2864379129149429,0.5061817609026253,0.5094231063912007,0.0,0.0,0.28604535421344357,0.2532830298193427,0.3322033898305081,0.5149368647982757,0.38565022421524686,0.48114952196140237,0.2488569977139954,0.36980974033744074,0.4397240377632534,0.2146002710027104,0.11187845303867361,0.7463386650469052,0.6857142857142857,0.625,0.6666666666666666,0.35000000000000003,0.0
22,전라북도,2003,0.11587455602339389,0.13298969072164946,0.38019551091841386,0.26625057749806125,0.3636565716441229,0.7938933662662032,0.7959813604367851,0.8218150173716285,0.3009801111239867,0.2759247563286281,0.17104327476306846,0.17103676503378595,0.4208355958479906,0.4333162447234369,0.5011181275844914,0.3245638523382528,0.45149630827398823,0.526762156049756,0.22856705075562378,0.4052891872163764,0.3934309146751771,0.0,0.0,0.2957820245001548,0.36364672837138934,0.567599527000394,0.6248845087773343,0.6636771300448427,0.7412207590857749,0.7432054864109734,0.7244824697858085,,,,0.6072561440044734,0.4857142857142857,0.625,0.6666666666666666,0.2,0.0
23,충청남도,2003,0.20196373412143817,0.26984536082474225,0.35390910619639904,0.21666855533956886,0.3617597133157302,0.522977407448298,0.6259907239344061,0.5626428511316179,0.227084489604235,0.18844545345919494,0.11872567653181287,0.11871853479792094,0.4568666336142786,0.5061617164236083,0.5666984334419229,0.3717122794550778,0.8867323766155124,0.681002638522429,0.3423284572190829,0.512969640477847,0.5558240337914817,0.0,0.0,0.34952149747166805,0.3160269897700072,0.308868742609381,0.3293809670465051,0.2606071058985866,0.3711018447679231,0.10102870205740366,0.1524470503769293,,,,0.6442869676722681,0.5428571428571428,0.625,0.6666666666666666,0.2,0.0
24,강원도,2003,0.33264196124162126,0.4414948453608248,0.08171349206843548,0.02472127546439662,0.15957185967559262,0.14688088949668565,0.34125755127467394,0.4092661419465891,0.3166033385988132,0.29995220456446436,0.23084442030953056,0.23087973719550914,0.22056960282047022,0.41487363518362974,0.4976640805051864,0.1652485717758596,0.09145493240752955,0.9638522427440606,0.17403491694382078,0.5488759807308659,0.5004254582036949,0.5566502463054195,0.5685840707964592,0.19471386726541295,0.1057824856707541,0.342819603205887,0.39415871060466046,0.33005634126710426,0.42323769183610427,0.17894335788671611,0.1821826014119896,0.07815904139433538,0.08883807588075898,0.1770545580110494,0.6482013902949312,0.37142857142857144,0.625,0.6666666666666666,0.35000000000000003,0.0
25,전라남도,2003,0.3458700161122338,0.37371134020618557,0.33001431587638663,0.43859716848498165,0.07414318047098156,0.7528496410995681,0.7910010401309941,0.8169088229729267,0.632083239306908,0.7086441459126366,0.6375884048976642,0.6381079381573816,0.5331546930456201,0.7020364532771954,0.6685129139018176,0.43385956452687946,0.8981178736609294,0.3141726347531204,0.1575691791466608,0.5370357589718147,0.4921113679820388,0.0,0.0,0.21658609761961722,0.5045449363087036,0.33543555380370416,0.378503233754234,0.3693515005174208,0.48107352218433386,0.3757302514605021,0.5862749790594708,0.5905954974582426,0.5096544715447155,0.5135531767955799,0.2666242443525294,0.02857142857142857,0.625,0.6666666666666666,0.0,0.0
26,제주도,2003,0.21788012854179836,0.3036082474226804,0.7606828557370724,0.8715557143977897,0.22967748019615009,0.9999999999999999,0.905219617161843,0.8776190990627497,0.9246467147675352,0.9016011470904527,0.9306724590460677,0.9306691835336564,0.9082107640610368,0.9114300984958383,0.8669378047428431,0.8678366728688829,0.938471233072157,0.0659630606860162,0.036277929499138994,0.573366341698285,0.39037768909438597,0.0,0.0,0.4175338219036,0.7073931654937242,0.5965313362238867,0.6655374191561441,0.5986547085201814,0.6989648830363429,0.7225361950723892,0.8547923896134981,0.7679738562091507,0.8341802168021681,0.652279005524862,0.04272119862320334,0.0,0.625,0.6666666666666666,0.0,0.0
27,전라남도,2004,0.4692398764432022,0.4958762886597938,0.4795969845016632,0.44118734846513163,0.2721547125074091,0.6130500899324538,0.5327678926704408,0.4571272023411261,0.8301547319179554,0.8776692897256883,0.7565907709812137,0.7565740779261053,0.5522778604087479,0.6085363060242797,0.6397517945475948,0.5349806386636335,0.8905424892441545,0.35978137957030754,0.23673038963848236,0.6095426544344087,0.6053035037342518,0.0,0.0,0.3734800021058122,0.5162570868875735,0.4651162790697678,0.5378041268863551,0.5141428078647805,0.5875492098556516,0.48698247396494754,0.6270192652865862,0.6136528685548295,0.5607215447154474,0.5183011049723745,0.4063286379544734,0.19999999999999998,1.0,0.6666666666666666,0.0,0.0
28,경상남도,2004,0.34555845358163384,0.3806701030927835,0.801259334458555,0.4558442803720397,0.7760986420218803,0.5411579556754832,0.570778025694098,0.5262982166401162,0.32589762199547456,0.24065001792328855,0.12761335867499346,0.12761123204270586,0.50152867294662,0.3194242956402229,0.38787085154615397,0.48961440285738345,0.8135529741876368,0.4779023746701938,0.31469413874843355,0.553156972962966,0.5740016122907192,0.0,0.0,0.5347754894250762,0.4089639410868464,0.5705951911706735,0.6490606713889742,0.6657468092445664,0.7310367889587526,0.5772796545593089,0.6124805552231667,,,,0.7556354187757305,0.8571428571428571,1.0,0.6666666666666666,0.0,0.0
29,충청북도,2004,0.1644961143701541,0.21417525773195872,0.4656174288899546,0.18364874170800016,0.5286401357978106,0.5691811528047379,0.650722854687604,0.6248352515439288,0.5541817871323058,0.44395985183414977,0.287066702869038,0.28706928158252565,0.16727262711397572,0.24613270214552974,0.1853272882103596,0.17513627736065995,0.15809861248171586,0.7817941952506544,0.35152187040892635,0.606940439880272,0.5193686598389646,0.0,0.0,0.38113039811258487,0.2593774940143656,,,,,,,,,,0.7892825808193292,0.8857142857142857,1.0,0.6666666666666666,0.2,0.0
30,강원도,2004,0.45983068801908544,0.49819587628865974,0.34675917564041026,0.18077214759542892,0.36270275367785754,0.36156202951373007,0.5652919580311226,0.6189504842429787,0.5283097809845023,0.4422153184370893,0.3292424653814823,0.32925543616033914,0.20217044014763452,0.30190119874780463,0.3674263958313193,0.23883834653252434,0.02802620471542383,0.999736147757254,0.1968021343139642,0.5605619324995716,0.5375553142301313,0.5467980295566492,0.4336283185840686,0.30803481538046684,0.2446492055430607,0.4574431743529095,0.47171748280463976,0.4193400022996441,0.4708642187982912,0.23387096774193505,0.28024410673686706,0.2531771968046481,0.2843834688346889,0.31828383977900465,0.6727542687453599,0.5714285714285714,1.0,0.6666666666666666,0.30000000000000004,0.0
31,충청남도,2004,0.2597808380141895,0.3440721649484536,0.47737619969980294,0.23717082610552787,0.47975292342512077,0.7323141322931447,0.6537299065500218,0.5870709243520928,0.31212910387226245,0.28006930338152747,0.20995565209521228,0.21009086280910028,0.38701592023357034,0.3764831640833777,0.444349563482048,0.37967854438013626,0.860061588215018,0.7100263852242676,0.3660871211096989,0.5294765294448633,0.5405629692798657,0.0,0.0,0.3111045259234779,0.3034027425088879,0.34797004335829795,0.3615645210963958,0.3233873749568823,0.40697373954369676,0.08674117348234711,0.139882733038172,,,,0.7128568536140917,0.7428571428571429,1.0,0.6666666666666666,0.15000000000000002,0.0
32,제주도,2004,0.3045123156217453,0.42242268041237113,0.8438288251817037,0.8618363130780424,0.33897585816672926,0.4477548755557742,0.43274542171997876,0.3413780198909773,0.8048072407462754,0.8198112080296333,0.8836093764141552,0.8836109638748578,0.7916666666666667,0.7321524013132776,0.6722046220658,0.8021991379229738,0.929387565838752,0.10554089709762593,0.27034943983271564,0.6688208982248391,0.6101846139496461,0.0,0.0,0.6842719125284469,0.7034390190814777,0.879858100118251,0.8872805666769321,0.8971196964470507,0.9195162360857077,0.8733172466344925,0.9442682780902234,0.8494916485112562,0.8558604336043354,0.7296270718232045,0.1284673010730919,0.0,1.0,0.6666666666666666,0.0,0.0
33,전라북도,2004,0.16711323962719318,0.19278350515463916,0.5262548190407381,0.2642083202060199,0.549920515169477,0.538936529911425,0.4961512703604918,0.4594654635547943,0.3044931416617367,0.25748937405049277,0.15588999650905722,0.15589485904876454,0.4026961305097152,0.34234666608492637,0.43165386166827435,0.3973341597019724,0.43130434191820655,0.5663399924613657,0.306646683225111,0.4591294138471116,0.472176792340953,0.0,0.0,0.4261253208243718,0.29783066095915256,0.6320851399290497,0.6971050200184785,0.6993790962400834,0.7945726025870328,0.8114046228092464,0.7731243269115713,,,,0.7421398200908219,0.7999999999999999,1.0,0.6666666666666666,0.15000000000000002,0.0
34,경기도,2004,0.1381557278545804,0.1631443298969072,0.4637240674883687,0.2512574203052682,0.4721803093172383,0.5087921585300622,0.606371946491686,0.5453658845205984,0.28450668146693414,0.2250567570796992,0.13956014118924798,0.13960755311504203,0.28262546135625,0.31633198442391364,0.3402840846097055,0.2924212957335599,0.7482373643097517,0.9360158311345543,0.2338912473298541,0.514820880361998,0.5133016649233495,0.0,0.0,0.2770793679739536,0.3251106435463975,0.3916436736302722,0.5418848167539259,0.46740255260434704,0.5106374354635235,0.2578105156210304,0.3773483307406962,0.35820624546114743,0.2393292682926833,0.16419198895027654,0.6965310116757776,0.7714285714285714,1.0,0.6666666666666666,0.35000000000000003,0.0
