,지역,년도,생산량,면적,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일 강수량 평균,강수량 합계,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,평균 일조 시간,1시간 최다 일사량 평균,평균 일 합계 일사,일 최심신적설,일 최심적설,지면온도,최저 초상온도,5cm 지중온도,10cm 지중온도,20cm 지중온도,30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도,평균 일교차,일교차 15이상인 날,태풍 수,영향을 준 태풍 수,한파일 수,폭염일 수
0,경기도,2002,0.020480844317186872,0.04093693693693694,0.22051813672298892,0.1338412616719359,0.47056169191016783,0.2664032331752205,0.27977152548752626,0.16351496581528818,0.17502844481705493,0.15550913838120106,0.10619579615605707,0.10620941314238896,0.2033875894654139,0.14464252604808325,0.1651580741706078,0.09340738524218706,0.8238795862108717,0.08290553921284527,0.7465352193170447,0.6508801308813652,0.6431380113994494,0.157952548330404,0.04250247988537417,0.2811837162352102,0.12413615215806409,0.32647862535315597,0.40762919652961127,0.33734760630389515,0.36371170313497925,0.17648652309359358,0.20347464828628037,0.17617288801571673,0.29850746268656714,0.33809311319351476,0.9076161712206668,0.8860759493670886,0.0,0.0,0.05,0.0
1,전라북도,2002,0.030046853924607778,0.031783783783783784,0.37865737870097615,0.3017425189324314,0.6251752427283832,0.24376512702017727,0.24285294419753334,0.29381713493025313,0.325374487779422,0.3045604873803306,0.17860445520339047,0.17861883018600938,0.4644072115685568,0.42493311635213593,0.5182400611423561,0.3000627457195164,0.480577167859245,0.4355232546960792,0.6235924860014013,0.5543396896197805,0.5315189620713707,0.36241526487572173,0.08528706313342044,0.366917715950452,0.26903680917796213,0.5168357185864476,0.5344681252357604,0.5660124888492419,0.5493521414640958,0.2745742676665066,0.26190700999500893,,,,0.7931600899818582,0.7721518987341772,0.0,0.0,0.0,0.0
2,전라남도,2002,1.0,0.9933693693693694,0.5749170948025775,0.5585828773094413,0.6370608109618257,0.25152826976075604,0.2510131925061613,0.34812351574979333,0.7673171190747095,0.818468233246301,0.6891354877408715,0.689104050800645,0.576035309925493,0.5254080752475645,0.43122409709366005,0.438127392834327,0.9383282584190482,0.7972928803523018,0.5823923447869725,0.7172545781468243,0.6653110847421879,0.0607582224453929,0.007098507870027741,0.5866996206880184,0.47775320358033346,0.5853133249965263,0.5811486231610714,0.5899742293587074,0.5766619758859788,0.28935022718037784,0.2958981345347125,0.270522593320236,0.35764395687179285,0.5000743715603146,0.442279768351295,0.05063291139240506,0.0,0.0,0.0,0.0
3,충청남도,2002,0.16607704867602166,0.18623423423423424,0.31916078902495726,0.217469303727667,0.585238604193874,0.5392562460069082,0.34375039482852,0.234318859137646,0.2894688304688904,0.2530234986945169,0.1690984979130739,0.16911609171993386,0.4237933707665533,0.4074721819052962,0.5366773567132541,0.2752761215438295,0.9419181915045627,0.323331602930125,1.0,0.7335761635399698,0.7264333989067113,0.25079086115992977,0.04792608104632793,0.5128465922158905,0.22798557408479025,0.336251215784354,0.3556205205582801,0.3022598870056501,0.3058177014065737,0.1466390848755743,0.1293416242901655,,,,0.88008661510004,0.810126582278481,0.0,0.0,0.0,0.0
4,경상북도,2002,0.2528041363969805,0.2717837837837838,0.31028135172841376,0.24682376295860595,0.4890294934776418,0.10891248333879167,0.24811003779557717,0.5557014625909966,0.4943816995029642,0.3638955613577023,0.2894753942665767,0.2895089192729426,0.2324976544475759,0.2370887133208952,0.07321015457504476,0.11305767310992243,0.40296172715840584,0.2999673146064197,0.6880930079958509,0.528919688539391,0.5198537048211009,0.31142355008787326,0.10220801645909106,0.3731414990672359,0.2719353693885477,0.4812962191036383,0.45599144976738404,0.4412891928502991,0.42573421154401725,0.20242654090683365,0.19710805670582832,0.20487229862475442,0.17213616460285364,0.14870593485051353,0.7636273130841277,0.45569620253164556,0.0,0.0,0.0,0.0
5,충청북도,2002,0.017392744740765284,0.03610810810810811,0.2289809719423348,0.12900522020439661,0.4606970466997904,0.17715615554205544,0.2576530529252743,0.29493212600705804,0.4999532906162045,0.46683028720626607,0.3434705455999601,0.343489960610787,0.1993569650832685,0.18250170254064946,0.13056082112172973,0.09399377073807802,0.1429003372485198,0.3444348310933947,0.7210183465362774,0.4319182009041156,0.3112506440040561,0.29613356766256577,0.065689408134024,0.2880222841225626,0.1707729738665386,,,,,,,,,,0.9066778979596269,0.8607594936708861,0.0,0.0,0.05,0.0
6,경상남도,2002,0.41544996332142264,0.4051171171171172,0.5499607618973801,0.4206905742224837,0.8768977914063951,0.3158027198143689,0.5411237347296102,0.4592459872843106,0.3063716390203006,0.22179286335944293,0.13511284396790885,0.13511416970224344,0.3749745185005408,0.1569737221656946,0.014141238013630986,0.25791401186114715,0.8514474794534692,0.4003960700621292,0.6622374624946419,0.6854216988339519,0.6626462783556257,0.0369068541300525,0.005855284911275192,0.5911297947918526,0.38326905340038403,0.49312213422259266,0.5011788004526594,0.49236792546337593,0.48937015934548533,0.22586285446911236,0.21653155644280164,,,,0.8233520148926422,0.6582278481012658,0.0,0.0,0.0,0.0
7,강원도,2002,0.013707139307603115,0.0190990990990991,0.17802956905906053,0.1279391221233733,0.3312083449299186,0.23895025371577672,0.22477610958545724,0.34619754288196886,0.3836301574944605,0.33095561357702363,0.2827572417585164,0.28280777740234847,0.12912750634983292,0.14040389206225212,0.09141624830909834,0.040823903273708995,0.03169345309343896,0.19445117379018484,0.5649008059352392,0.6333199570931369,0.5753385403231412,0.36054481546572925,0.19799588522723094,0.191260126242621,0.12710081668298348,0.2490852670094017,0.25696278134037476,0.21186440677966112,0.22531973015087559,0.10462610665780114,0.09120502133437625,0.08389783889980351,0.18084655586421228,0.27904209430313864,0.8068342812202659,0.5189873417721519,0.0,0.0,0.05,0.0
8,제주도,2002,0.3032608438439149,0.2474234234234234,0.9297831731514492,0.9476233365193735,0.8507375427975745,0.4236042211281701,0.4281818372729832,0.5751339568136951,0.95761422839691,0.9803829416884245,1.0,1.0,0.8081217478550276,0.6618657882736918,0.35922574326544465,0.7201387527525431,0.969099662995724,0.8987714137393823,0.23550983473829556,0.6606962333022075,0.4410972362727703,0.004393673110720499,0.0004592380322568725,0.8083233242186496,0.8182154964501576,0.9043814552359775,0.9399754809505851,0.8946625037169196,0.9171925958884688,0.46930910075973076,0.46927984677016843,0.44147740667976465,0.5836903809030556,0.7516733601070951,0.06393065005382204,0.0,0.0,0.0,0.0,0.0
9,전라북도,2003,0.027396530916491163,0.029477477477477483,0.23485353876475412,0.2171058850714758,0.3548185604017191,0.7141515668589521,0.5296513899346463,0.6763596847972491,0.32031002711881795,0.2920576899166978,0.16099501208596217,0.16101204389480434,0.3968613232298569,0.5199711610819007,0.596917745958367,0.262421167458444,0.4775714516310572,0.39353213743248716,0.3726269285634909,0.4096910860220859,0.3991198063753476,0.6653276424805424,0.20255021439855564,0.26275477608180564,0.27127523802885467,0.39868463711731694,0.4306393813655225,0.4416691446129446,0.4263985689409002,0.20160565426717436,0.19009401513414348,,,,0.7002680912259797,0.569620253164557,0.0,0.0,0.2,0.0
