,지역,년도,생산량,면적,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일 강수량 평균,강수량 합계,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,평균 일조 시간,1시간 최다 일사량 평균,평균 일 합계 일사,일 최심신적설,일 최심적설,지면온도,최저 초상온도,5cm 지중온도,10cm 지중온도,20cm 지중온도,30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도,평균 일교차,일교차 15이상인 날,태풍 수,영향을 준 태풍 수,한파일 수,폭염일 수
0,경기도,2001,0.47329185928330214,0.5491127218195452,0.2085268988369824,0.08182496765978442,0.44584738537067503,0.015659216885344995,0.03249305671487762,0.007234547725871454,0.03416790175735773,0.03362243533412301,0.04236082893132864,0.04238103777217933,0.10417019057284604,0.0,0.21186044627779888,0.07944511516701036,0.8953133086698983,0.1764450239026587,0.617723345571447,0.7652515460471332,0.8236787140099933,0.08670925521969446,0.02981702931127492,0.36772454103893937,0.030515158829928335,0.7062846918259567,0.7472334397695969,0.7430650295588906,0.7449365476927987,0.5014911559029205,0.4498834498834501,0.25003323142363243,0.38932345272402946,0.34648999154214755,0.971098106332468,1.0,0.6363636363636365,0.16666666666666666,0.55,0.0
1,전라남도,2001,0.40868742008458736,0.48862784303924023,0.565405803020318,0.5105300514307141,0.6539183946114657,0.01011460789016344,0.036959554329149547,0.09946861497893378,0.6897968905961701,0.7645447052851628,0.5905192430487024,0.5904939406525376,0.43637134319221593,0.30817197984681766,0.2197874096143697,0.3312670569257461,0.9729757409298898,0.7972931023778358,0.7050275422788985,0.9132124352331605,0.962165877904978,0.028669367404175628,0.009260924294191654,0.6250220513001441,0.40680220500214287,0.7880924666429378,0.7910797019784621,0.8141390025769291,0.8097000885557804,0.593402920608803,0.5489886457628399,0.42383357703043956,0.49663784822286106,0.4785452495066256,0.48187174168513547,0.0,0.6363636363636365,0.16666666666666666,0.0,0.0
2,충청남도,2001,0.641255614570014,0.71232191952012,0.3186521343642388,0.16783811991042707,0.5942423304387496,0.06071134911901682,0.046619147813493245,0.025007863638832506,0.17840885030700815,0.14832843006151364,0.09484965461194633,0.09484970794100622,0.29466198691926015,0.20654752490906225,0.42004241363051964,0.19820561986601337,1.0,0.3650586701434122,1.0000000000000002,0.8869296339628951,0.9379742484731513,0.19348706762231216,0.11064556734400283,0.5556762986745694,0.15772957688196138,0.7282181027599545,0.7397985537190084,0.7438608458390177,0.7253250529244313,0.4918757712875361,0.38386344837957753,,,,0.981361453099983,0.9259259259259258,0.6363636363636365,0.16666666666666666,0.15000000000000002,0.0
3,경상북도,2001,0.22544752631061274,0.3374156460884779,0.27084010135793646,0.19226469326614215,0.4530865605500254,0.015151003460290136,0.14774688142447012,0.34988360222899595,0.3745871268261697,0.26238490046995,0.2123425436814299,0.2123974118899024,0.1638968764095623,0.1820022141388582,0.1915571535095104,0.1276613876855337,0.45999348271961793,0.3350717079530625,0.5328145834474949,0.6179174327260577,0.5640152817068975,0.1774540355250856,0.15460798417550795,0.36230344941137704,0.16993689437566806,0.7394798190172935,0.7390550651139496,0.7592845232681522,0.7463174604381169,0.5076614561908679,0.4339424016843372,0.24823873454738576,0.1054617812542884,0.09343106850859861,0.7979351846739904,0.2222222222222222,0.6363636363636365,0.16666666666666666,0.15000000000000002,0.0
4,충청북도,2001,0.19485221796006688,0.2789302674331417,0.19091514521473574,0.05495979005035967,0.43108120584130294,0.046677115076577624,0.07983326170939048,0.14307716273942322,0.31029536311666306,0.31708248958850715,0.24255383990247859,0.2426680698825004,0.07455880694632372,0.03839949391111808,0.14599469518059083,0.03183486021352655,0.1901474055473571,0.3441981747066478,0.5949732405428607,0.9453451445762997,0.9171535837982179,0.17014646307260817,0.0977432116525804,0.345352761998847,0.08483678120562149,,,,,,,,,,1.0,0.8518518518518519,0.6363636363636365,0.16666666666666666,0.15000000000000002,0.0
5,경상남도,2001,0.268759630831776,0.3031742064483879,0.4657287538171657,0.3503923045485713,0.7542862108104287,0.10443329296106124,0.17733716405765698,0.110908881465269,0.14400275248782568,0.07950941810262468,0.06625863470134075,0.0662555009098365,0.24819223612990515,0.002174600664241577,0.0,0.171436687735246,0.9004121221415105,0.5382442416340751,0.4020722596671966,0.8830854086578637,0.8942310234513384,0.004090059208476126,0.00196682251393631,0.5356363711204406,0.2990353899350761,0.7426094987061213,0.7499726083145503,0.7617856601485524,0.7503335094313808,0.521236116824352,0.42897962252800936,,,,0.845663335725721,0.4074074074074074,0.6363636363636365,0.16666666666666666,0.0,0.0
6,강원도,2001,0.12354512966787974,0.2046988252936766,0.14560457410174754,0.06103941284354086,0.3106925821535049,0.05289030097743985,0.14901580150300742,0.24414747312087887,0.1633548591996613,0.12517479845642454,0.16992076391710675,0.16996392990584147,0.03830486017140272,0.04833148821761801,0.19807082370095408,0.041114504178207056,0.09335812455672965,0.21077792264233608,0.41967596397976137,0.639290489720876,0.5938152711313218,0.1904331567466499,0.11838698075885626,0.1975796492961226,0.03261554473665251,0.6471927478651802,0.656280000417397,0.6771891263705726,0.6760556064424015,0.4179350061703002,0.3384464997368226,0.16728698657450414,0.29978043090434925,0.3094446010713279,0.8676751504444316,0.37037037037037035,0.6363636363636365,0.16666666666666666,0.4,0.0
7,제주도,2001,0.04443092029769516,0.05773556610847289,0.851658436748749,0.8618405720249538,0.8130468075400383,0.08320905637741055,0.2211621030004316,0.3169431424592928,0.9994971416472577,1.0,1.0,1.0,0.6585158716734324,0.4931994306500078,0.12801979025815768,0.5398054115474751,0.9849354980927458,1.0,0.28692896414415414,0.8319404980778875,0.7349298046162389,0.004090059208476126,0.0011800935083617953,0.82141681073516,0.7804783237039516,0.9215207164914241,0.9447861883295768,0.9409959072305593,0.9444911083155019,0.756581653640477,0.7779156327543426,0.7135451282732959,0.8535748593385479,0.609360022554271,0.06939767018163756,0.0,0.6363636363636365,0.16666666666666666,0.0,0.0
8,전라북도,2001,0.34678781023572997,0.35816045988502876,0.3478273480791185,0.23849105692312222,0.5789897118527425,0.09064470786164319,0.0468767016322828,0.07504603287627737,0.20325685853422437,0.20187106669359378,0.08265368317176514,0.08266867462036964,0.34102451027772396,0.26596778202028926,0.4823578702743472,0.22801410884643603,0.5125490507498967,0.481281430433981,0.5232302357076319,0.7513789069028911,0.7298997964201679,0.1872857588033654,0.1176946592339507,0.43531030589563513,0.1710753124939821,0.7595790324287407,0.7647249874780868,0.7933151432469305,0.7958656232540637,0.579031262854792,0.537183246860667,,,,0.8503679283229881,0.6666666666666666,0.6363636363636365,0.16666666666666666,0.15000000000000002,0.0
9,전라남도,2002,0.3326878626930264,0.3934016495876031,0.46185502659253563,0.42884115151915814,0.49994918379870823,0.17415127255619095,0.20641711693707554,0.29518184254458407,0.7593047699706598,0.8011582273990097,0.5870653625123352,0.5871336138925087,0.43380392583285,0.5239375522468994,0.44962928872751107,0.3433332995153888,0.9528269388224544,0.7109952194698081,0.33485722635813064,0.7389687447768678,0.6901885096369933,0.021969460891243246,0.0071929509081100134,0.43404015100730287,0.38982893722712336,0.7350674837182904,0.7424790257951416,0.7528232529937853,0.7474639980844588,0.5325740436034552,0.4690202270847441,0.3056626345872653,0.45848771785371145,0.4918522695235401,0.4588732638751962,0.037037037037037035,0.36363636363636376,0.16666666666666666,0.0,0.0
