"주산지시군",2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"전국",7601,7548,8082,6557,5197,4591,4750,7540,7974,8258
"전북 군산",333,358,547,284,273,73,107,155,400,632
"전북 익산",-,-,-,-,-,-,-,616,665,504
"전북 김제",576,328,407,128,69,601,865,675,1151,1224
"전북 부안",322,544,398,93,293,276,674,1226,996,1057
"경북 경주",306,372,251,165,86,95,33,55,49,30
"경남 밀양",1630,1634,1879,2071,1773,1587,1138,1983,1796,1971
"경남 함안",212,202,161,113,137,182,61,153,140,158
"경남 창녕",298,283,299,340,331,225,144,221,228,339
"경남 합천",286,-,-,-,-,-,-,51,67,136
