"시도별","종류별","항목","단위","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"계","합계","합계","","279877","251349","244801","255353","239547","233828","222475","222740","216036","211218","232701","216111","223131","213351","198647","196587","208308.116","218602.6187","204026.351","",
"계","합계","과채류","","15280","13467","13203","12371","12092","12517","12633","11929","11350","9150","9882","11358","10420","10398","10891","9624","10266.6299","10063.7668","10660.2991","10709.1542",
"계","합계","수박","","7951","6133","5764","4245","4055","3718","3271","3516","3497","2293","2722","2446","2586","2855","2613","2273","2725.7912","2366.9759","2647.5987","2622.9639",
"계","합계","참외","","600","478","372","367","422","275","212","199","128","118","133","219","135","127","133","192","127.2938","145.2281","159.1162","186.1787",
"계","합계","딸기","","348","365","331","271","260","333","309","288","219","208","135","145","101","50","97","134","123.9399","92.567","40.9069","49.3954",
"계","합계","오이","","1557","1392","1297","1279","1356","1244","1094","1262","931","807","1062","966","793","862","799","875","1113.0717","1159.6905","999.0119","1069.3589",
"계","합계","호박","","4694","4921","5308","5950","5743","6672","7524","6528","6338","5724","5830","7582","6805","6504","7249","6150","6176.5333","6299.3053","6813.6654","6781.2573",
"계","합계","토마토","","130","178","131","259","256","275","223","136","237","","","","","","","","","","","",
"계","합계","근채류","","36846","29680","32657","31747","25768","28630","23437","26150","22404","23440","30220","22903","24616","22307","22189","20620","24084.0034","24559.5027","20986.5999","",
"계","합계","무  계","","32548","25920","29317","29581","22731","25364","21347","23592","19778","20729","27371","20689","22067","19910","19075","18390","21877.115","22405.5742","18917.3536","",
"계","합계","봄무","","18859","11338","14019","14906","11136","12529","11153","11499","9541","10782","8505","1093","1376","1438","877","975","1091.4243","919.2048","769.6468","864.0136",
"계","합계","고랭지무","","","2741","2926","2234","2072","2442","2596","2546","2042","2161","2713","2552","2195","2608","1981","2607","2954.1915","2900.0867","2344.9098","2525.9244",
"계","합계","가을무","","13689","9879","9593","10358","7706","8421","6028","7712","6511","6260","8340","5915","6706","4977","5134","4769","5210.2536","5045.1782","4462.1482","4632.7478",
"계","합계","총각무","","","1962","2779","2083","1817","1972","1570","1835","1684","1526","1859","1317","1061","809","808","879","1265.1987","1367.5644","1119.3884","927.6596",
"계","합계","일반총각무","","","","","","","","","","","","","459","305","314","188","253","487.1503","338.5448","273.4176","434.3679",
"계","합계","가을총각무","","","","","","","","","","","","","858","756","495","620","626","778.0484","1029.0196","845.9708","493.2917",
"계","합계","겨울무","","","","","","","","","","","","5954","5749","6049","5955","5477","5100","6274.6774","7563.5072","5880.8774","",
"계","합계","기타무","","","","","","","","","","","","","4063","4680","4123","4798","4060","5081.3695","4610.0329","4340.383","3726.3614",
"계","합계","당근","","4298","3760","3340","2166","3037","3266","2090","2558","2626","2711","2849","2214","2549","2397","3114","2230","2206.8884","2153.9285","2069.2463","2688.0668",
"계","합계","엽채류","","56325","45681","53432","50901","44112","49245","41371","44632","41774","37985","47131","36697","39945","41075","36025","33503","40022.6371","40853.3504","34563.3875","",
"계","합계","배추계","","44419","35481","43009","40129","34147","38134","31380","34204","31386","29801","35804","26628","29243","29509","25286","23093","30018.0494","29437.3818","24203.2935","",
"계","합계","봄배추","","30250","16170","21617","18336","16644","16715","12891","13110","11371","6101","8713","2171","2417","2100","1333","1801","2882.555","2774.954","2265.2337","2815.3375",
"계","합계","고랭지배추","","","8018","8796","7935","6502","7051","6311","6401","5553","4929","4691","5495","5498","5140","4721","4370","5384.5018","5727.4139","4979.9016","5055.8482",
"계","합계","가을배추","","14169","11293","12596","13858","11001","14368","12178","14693","14462","13540","17326","13408","15095","15233","12724","11429","13673.566","13313.0866","10968.112","13854.0851",
"계","합계","겨울배추","","","","","","","","","","","5231","5074","3948","3719","4220","3498","3392","4355.7911","4734.5646","3358.2043","",
"계","합계","기타배추","","","","","","","","","","","","","1606","2514","2816","3010","2101","3721.6355","2887.3627","2631.8419","2992.258",
"계","합계","시금치","","4598","3483","3411","3933","3715","3888","3126","3507","3541","2951","3756","3469","4067","3436","3375","2885","2355.0491","2777.3979","2666.9556","2303.5016",
"계","합계","상추","","1316","1544","1611","1625","1329","1443","1079","1062","1074","709","804","733","619","788","939","760","795.5946","732.4891","713.236","859.0538",
"계","합계","양배추","","5992","5173","5401","5214","4921","5780","5786","5859","5773","4524","6767","5867","6016","7342","6425","6765","6853.944","7906.0816","6979.9024","7091.456",
