"시도별","종류별","항목","단위","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"계","합계","합계","","1332845","1298815","1234288","1230941","1231757","1178481","1161105","1143497","1124952","1092843","1054296","1050355","1038312","1011067","981824","960327.1","918262.5445","922829.9801","921846.0234","903920.7154",
"계","합계","벼계","","1083125","1053186","1016030","1001159","979717","955229","950250","935766","924471","892074","853823","849172","832625","815506","799344","778734.1","754712.8022","737672.8019","729813.8784","726432.3282",
"계","합계","논벼","","1055750","1038577","1001519","983560","966838","945403","942223","927995","917990","886516","850798","846870","831355","814334","797957","777872.1","754338.9193","737408.0451","729584.7102","726179.7204",
"계","합계","밭벼","","27375","14609","14511","17599","12879","9826","8027","7771","6481","5558","3025","2302","1270","1172","1387","862","373.8829","264.7568","229.1682","252.6078",
"계","합계","보리계(맥류)","","91564","80911","64541","63239","60849","58282","55664","56320","53683","51081","42098","30667","33064","37669","44292","47071","38378.5736","53837.1544","47455.9877","40201.9571",
"계","합계","겉보리","","13624","12433","8966","8559","7760","7601","7548","8082","6557","5197","4591","4750","7540","7974","8258","8806","8523.0873","11999.3903","9985.0118","7309.9795",
"계","합계","쌀보리","","48006","36340","23828","26552","28362","25423","24374","26327","25169","21341","17469","12702","13654","16783","17928","18592","12417.8854","24538.3009","23100.217","19497.6275",
"계","합계","맥주보리","","29011","30323","28463","24336","22332","23520","21814","19362","16890","11995","6994","3748","4497","5732","8030","9233","8154.8631","10699.5613","10634.3569","8170.4559",
"계","합계","밀","","915","1808","3281","3792","2395","1738","1928","2549","5067","12548","13044","9467","7373","7180","10076","10440","9282.7378","6599.9019","3736.402","5223.8942",
"계","합계","호밀","","8","7","3","0","0","0","0","0","","0","0","0","0","","","","","","","",
"계","합계","잡곡계","","23415","27654","25402","27047","26006","24775","27233","26375","23682","24644","26896","30638","28195","28224","30388","29738","25800.4005","25783.987","26571.8865","26875.0426",
"계","합계","조","","1275","1704","1727","2339","1928","1935","1150","1051","1101","0","0","0","","","","","","","","",
"계","합계","수수","","1021","1721","1304","1629","2293","2197","1515","1054","1547","0","0","0","","","","","","","","",
"계","합계","옥수수","","14208","17344","16966","18218","15176","13661","16981","18366","15326","15528","15823","17001","15905","15839","15356","15183","15073.7496","15472.0822","14839.8739","15633.0707",
"계","합계","메밀","","3868","3466","2667","2063","2257","2786","2410","2233","2176","2106","2446","3089","2392","2095","2710","3177","2271.9735","2927.9025","2330.3281","1600.295",
"계","합계","기타잡곡","","3043","3419","2738","2798","4352","4196","5177","3671","3532","7010","8627","10548","9898","10290","12322","11378","8454.6774","7384.0023","9401.6845","9641.6769",
"계","합계","두류계","","98514","99214","95201","99737","117552","101103","88120","86763","82501","83129","88186","93272","96144","89166","69227","61098","58043.6109","62825.9445","71678.7491","66735.0954",
"계","합계","콩","","78415","80804","80447","85270","105421","90248","76267","75242","70265","71422","77849","80842","80031","74652","56666","49014","45556.2566","50638.492","58537.1548","55007.7162",
"계","합계","팥","","10751","7661","6876","6863","5077","4242","4775","5193","4894","4238","3650","4585","7110","6004","4883","3505","4385.6142","4774.9448","5892.5389","4930.707",
"계","합계","녹두","","2762","2780","1557","1268","1365","1297","2072","1491","1468","1514","1604","2290","2588","2191","1668","1821","1983.5489","1693.6237","1541.3249","1156.7409",
"계","합계","땅콩","","","","","","","","","","","","","","","","","","","","","",
"계","합계","기타두류","","6586","7969","6321","6336","5689","5316","5006","4837","5874","5955","5083","5555","6415","6319","6010","6758","6118.1912","5718.884","5707.7305","5639.9313",
"계","합계","서류계","","36227","37850","33114","39759","47633","39092","39838","38273","40615","41915","43293","46606","48284","40502","38573","43686","41327.1573","42710.0923","46325.5217","43676.2921",
"계","합계","고구마","","12718","14727","14161","16570","17178","16668","21093","19451","20918","19200","18040","22997","22207","20515","19357","23151","21683.9272","20948.3331","21941.2031","22262.0766",
"계","합계","감자계","","23509","23122","18953","23189","30455","22424","18745","18822","19697","22715","25253","23609","26077","19987","19216","20535","19643.2301","21761.7592","24384.3186","21414.2155",
"계","합계","봄감자","","19841","15072","12428","14937","20035","14960","13033","13048","14198","16302","19126","17424","20977","15596","14545","15259","14942.9965","15819.044","18150.0893","16338.9113",
"계","합계","고랭지감자","","","4516","3848","4073","4385","3971","3202","3364","3322","3801","3784","3793","3751","2975","3403","3579","3244.0682","3462.1572","3843.835","3389.7954",
"계","합계","가을감자","","3668","3534","2677","4179","6035","3493","2510","2410","2177","2612","2343","2392","1349","1416","1268","1697","1456.1654","2480.558","2390.3943","1685.5088",
"계","논","합계","","1127618","1104627","1055236","1042829","1031526","994514","994009","980507","965678","934917","900943","881212","870720","865513","842802","798933.9","783050.6222","788975.213","775468.9351","763810.5089",
"계","논","벼계","","1045795","1032534","996686","979380","963694","926589","933166","920156","910587","879679","845192","838367","825503","814549","798043","750695.9","742537.7195","730055.1711","720037.508","715400.3788",
"계","논","논벼","","1045105","1032207","996385","978865","963053","925778","932708","919640","910278","879539","845032","838262","825459","814333","797957","750632.9","742509.7883","730042.935","720032.0293","715400.2614",
"계","논","밭벼","","690","327","301","515","641","811","458","516","309","140","160","105","44","216","86","63","27.9312","12.2361","5.4787",".1174",
"계","논","보리계(맥류)","","74437","63055","50568","52047","51866","50182","47980","48725","45855","43851","36729","26238","28359","32264","34529","37500","28283.3786","44777.1022","37873.2972","31553.3963",
"계","논","겉보리","","10675","10083","7326","6956","6372","6516","6571","7155","5588","4615","4164","4298","7074","7556","7562","8045","7566.0923","11377.1389","9159.3604","6546.6835",
"계","논","쌀보리","","43026","31413","20814","23978","25925","23385","22666","24429","23308","19867","16200","11777","12200","14902","15001","16223","9910.0647","21837.3961","19430.6298","16402.361",
"계","논","맥주보리","","20103","20469","20079","18540","17589","18753","17028","14785","12299","9175","5758","2600","3092","4151","4312","5528","4219.8135","6768.8956","6444.7353","4467.1048",
"계","논","밀","","631","1089","2349","2573","1980","1528","1715","2356","4660","10194","10607","7563","5993","5655","7654","7704","6587.4081","4793.6716","2838.5717","4137.247",
"계","논","호밀","","2","1","0","0","0","0","0","0","","0","0","0","0","","","","","","","",
"계","논","잡곡계","","712","1158","846","1369","1359","1894","1987","1726","1044","1276","1927","2108","1623","2806","2114","2669","2343.4146","2089.3398","2536.2866","3025.2315",
"계","논","조","","24","30","43","45","44","64","36","10","11","0","0","0","","","","","","","","",
"계","논","수수","","28","60","19","53","97","139","52","57","26","0","0","0","","","","","","","","",
"계","논","옥수수","","476","897","668","1087","1017","1329","1505","1443","847","808","1439","1251","1104","1826","1069","1189","1266.9378","1289.249","1063.5593","989.221",
"계","논","메밀","","114","102","78","108","93","203","161","121","77","90","118","90","99","158","60","340","348.5982","394.2394","307.8297","238.2432",
"계","논","기타잡곡","","70","69","38","76","108","159","233","95","83","378","370","767","420","822","985","1140","727.8786","405.8514","1164.8976","1797.7673",
"계","논","두류계","","4656","5479","5466","7832","11443","12792","8437","7781","5657","7456","13615","11813","11886","11956","6014","5064","7033.3591","9524.149","12032.0516","10725.8387",
"계","논","콩","","3973","4481","5042","7216","10867","11944","7829","7042","4833","6819","12809","10902","10406","10785","5244","4422","6334.982","8871.8481","11470.8676","10078.3872",
"계","논","팥","","377","298","222","311","271","334","252","359","226","182","325","330","644","489","233","211","209.4238","295.6637","194.6341","283.4909",
"계","논","녹두","","29","24","17","15","18","50","30","24","30","9","24","100","73","31","46","32","91.7801","28.0732","45.4776","14.2915",
"계","논","땅콩","","","","","","","","","","","","","","","","","","","","","",
"계","논","기타두류","","277","676","185","290","287","464","326","356","568","446","457","481","763","651","491","399","397.1732","328.564","321.0723","349.6691",
"계","논","서류계","","2018","2401","1670","2201","3164","3057","2439","2119","2535","2655","3480","2686","3349","3938","2102","3005","2852.7504","2529.4509","2989.7917","3105.6636",
"계","논","고구마","","222","306","219","361","342","729","719","704","938","895","895","878","787","1487","443","1082","819.6807","490.4457","766.8505","710.012",
"계","논","감자계","","1796","2095","1451","1840","2822","2328","1720","1415","1597","1760","2585","1808","2562","2451","1659","1923","2033.0697","2039.0052","2222.9412","2395.6516",
"계","논","봄감자","","1725","1968","1405","1748","2587","2151","1533","1318","1483","1548","2266","1744","2535","2361","1557","1809","1974.443","1925.5446","2044.7597","2273.0649",
"계","논","고랭지감자","","","5","3","14","14","58","84","13","19","54","51","15","6","61","29","41","6.403","4.7934","15.3782","0",
"계","논","가을감자","","71","122","43","78","221","119","103","84","95","158","268","49","21","29","73","73","52.2237","108.6672","162.8033","122.5867",
"계","밭","합계","","205227","194188","179052","188112","200231","183967","167096","162990","159274","157926","153353","169143","167592","145554","139022","161393.2","135211.9223","133854.7671","146377.0883","140110.2065",
"계","밭","벼계","","37330","20652","19344","21779","16023","28640","17084","15610","13884","12395","8631","10805","7122","957","1301","28038.2","12175.0827","7617.6308","9776.3704","11031.9494",
"계","밭","논벼","","10645","6370","5134","4695","3785","19625","9515","8355","7712","6977","5766","8608","5896","1","0","27239.2","11829.131","7365.1101","9552.6809","10779.459",
"계","밭","밭벼","","26685","14282","14210","17084","12238","9015","7569","7255","6172","5418","2865","2197","1226","956","1301","799","345.9517","252.5207","223.6895","252.4904",
"계","밭","보리계(맥류)","","17127","17856","13973","11192","8983","8100","7684","7595","7828","7230","5369","4429","4705","5405","9763","9571","10095.195","9060.0522","9582.6905","8648.5608",
"계","밭","겉보리","","2949","2350","1640","1603","1388","1085","977","927","969","582","427","452","466","418","696","761","956.995","622.2514","825.6514","763.296",
"계","밭","쌀보리","","4980","4927","3014","2574","2437","2038","1708","1898","1861","1474","1269","925","1454","1881","2927","2369","2507.8207","2700.9048","3669.5872","3095.2665",
"계","밭","맥주보리","","8908","9854","8384","5796","4743","4767","4786","4577","4591","2820","1236","1148","1405","1581","3718","3705","3935.0496","3930.6657","4189.6216","3703.3511",
"계","밭","밀","","284","719","932","1219","415","210","213","193","407","2354","2437","1904","1380","1525","2422","2736","2695.3297","1806.2303","897.8303","1086.6472",
"계","밭","호밀","","6","6","3","0","0","0","0","0","","0","0","0","0","","","","","","","",
"계","밭","잡곡계","","22703","26496","24556","25678","24647","22881","25246","24649","22638","23368","24969","28530","26572","25418","28274","27069","23456.9859","23694.6472","24035.5999","23849.8111",
"계","밭","조","","1251","1674","1684","2294","1884","1871","1114","1041","1090","0","0","0","","","","","","","","",
"계","밭","수수","","993","1661","1285","1576","2196","2058","1463","997","1521","0","0","0","","","","","","","","",
"계","밭","옥수수","","13732","16447","16298","17131","14159","12332","15476","16923","14479","14720","14384","15750","14801","14013","14287","13994","13806.8118","14182.8332","13776.3146","14643.8497",
"계","밭","메밀","","3754","3364","2589","1955","2164","2583","2249","2112","2099","2016","2328","2999","2293","1937","2650","2837","1923.3753","2533.6631","2022.4984","1362.0518",
"계","밭","기타잡곡","","2973","3350","2700","2722","4244","4037","4944","3576","3449","6632","8257","9781","9478","9468","11337","10238","7726.7988","6978.1509","8236.7869","7843.9096",
"계","밭","두류계","","93858","93735","89735","91905","106109","88311","79683","78982","76844","75673","74571","81459","84258","77210","63213","56034","51010.2518","53301.7955","59646.6975","56009.2567",
"계","밭","콩","","74442","76323","75405","78054","94554","78304","68438","68200","65432","64603","65040","69940","69625","63867","51422","44592","39221.2746","41766.6439","47066.2872","44929.329",
"계","밭","팥","","10374","7363","6654","6552","4806","3908","4523","4834","4668","4056","3325","4255","6466","5515","4650","3294","4176.1904","4479.2811","5697.9048","4647.2161",
"계","밭","녹두","","2733","2756","1540","1253","1347","1247","2042","1467","1438","1505","1580","2190","2515","2160","1622","1789","1891.7688","1665.5505","1495.8473","1142.4494",
"계","밭","땅콩","","","","","","","","","","","","","","","","","","","","","",
"계","밭","기타두류","","6309","7293","6136","6046","5402","4852","4680","4481","5306","5509","4626","5074","5652","5668","5519","6359","5721.018","5390.32","5386.6582","5290.2622",
"계","밭","서류계","","34209","35449","31444","37558","44469","36035","37399","36154","38080","39260","39813","43920","44935","36564","36471","40681","38474.4069","40180.6414","43335.73","40570.6285",
"계","밭","고구마","","12496","14421","13942","16209","16836","15939","20374","18747","19980","18305","17145","22119","21420","19028","18914","22069","20864.2465","20457.8874","21174.3526","21552.0646",
"계","밭","감자계","","21713","21027","17502","21349","27633","20096","17025","17407","18100","20955","22668","21801","23515","17536","17557","18612","17610.1604","19722.754","22161.3774","19018.5639",
"계","밭","봄감자","","18116","13104","11023","13189","17448","12809","11500","11730","12715","14754","16860","15680","18442","13235","12988","13450","12968.5535","13893.4994","16105.3296","14065.8464",
"계","밭","고랭지감자","","","4511","3845","4059","4371","3913","3118","3351","3303","3747","3733","3778","3745","2914","3374","3538","3237.6652","3457.3638","3828.4568","3389.7954",
"계","밭","가을감자","","3597","3412","2634","4101","5814","3374","2407","2326","2082","2454","2075","2343","1328","1387","1195","1624","1403.9417","2371.8908","2227.591","1562.9221",
"서울특별시","합계","합계","","735","711","640","544","539","593","556","583","346","314","302","334","320","368","345","138","156.8457","147.8732","142.5442","140.9194",
"서울특별시","합계","벼계","","683","655","572","479","455","511","482","502","286","267","268","267","249","306","307","123","130.9971","126.7555","123.3821","121.4212",
"서울특별시","합계","논벼","","683","655","572","479","455","511","482","502","286","267","268","267","249","306","307","123","130.9971","126.7555","123.3821","121.4212",
"서울특별시","합계","밭벼","","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0",
"서울특별시","합계","보리계(맥류)","","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0",".0687",".0304",".007",".0474",
"서울특별시","합계","겉보리","","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0",".0426",".0304",".007",".0412",
"서울특별시","합계","쌀보리","","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0","0",
"서울특별시","합계","맥주보리","","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",".0062",
"서울특별시","합계","밀","","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0",".0261","0","0","0",
"서울특별시","합계","호밀","","0","0","0","0","0","0","0","0","","0","0","0","0","","","","","","","",
"서울특별시","합계","잡곡계","","8","9","9","10","9","11","10","14","11","13","7","10","3","2","5","1","2.3228","2.7767","2.2598","2.0493",
"서울특별시","합계","조","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"서울특별시","합계","수수","","0","1","0","0","0","0","0","0","2","0","0","0","","","","","","","","",
"서울특별시","합계","옥수수","","8","8","9","10","9","11","10","13","9","13","7","10","3","2","3","1","2.0826","2.4611","1.8994","1.961",
"서울특별시","합계","메밀","","0","0","0","0","0","0","0","1","0","0","0","0","0","","0","0","0",".0913","0","0",
"서울특별시","합계","기타잡곡","","0","0","0","0","0","0","0","0","0","0","0","0","0","","2","0",".2402",".2243",".3604",".0883",
"서울특별시","합계","두류계","","34","38","47","42","46","37","31","34","17","15","16","35","33","31","14","2","8.2864","6.3644","5.0205","4.517",
"서울특별시","합계","콩","","22","30","34","28","31","27","21","19","11","11","8","25","24","22","6","0","2.3495","1.5979","1.4569","1.2688",
"서울특별시","합계","팥","","0","3","3","4","2","1","1","0","1","0","5","7","3","1","0","0",".2617",".2821",".2238",".413",
"서울특별시","합계","녹두","","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0",".3675",".0608",".0452",".0575",
"서울특별시","합계","땅콩","","","","","","","","","","","","","","","","","","","","","",
"서울특별시","합계","기타두류","","12","5","10","10","13","9","9","15","5","4","3","3","6","8","8","2","5.3077","4.4236","3.2946","2.7777",
"서울특별시","합계","서류계","","10","9","12","13","29","34","33","33","32","19","11","22","35","29","19","12","15.1707","11.9462","11.8748","12.8845",
"서울특별시","합계","고구마","","5","6","8","9","19","19","24","21","18","7","7","15","27","22","13","6","9.1006","5.9107","7.3037","5.7636",
"서울특별시","합계","감자계","","5","3","4","4","10","15","9","12","14","12","4","7","8","7","6","6","6.0701","6.0355","4.5711","7.1209",
"서울특별시","합계","봄감자","","5","3","4","4","10","15","9","12","14","12","4","7","8","7","6","6","6.0701","6.0355","4.5634","7.1103",
"서울특별시","합계","고랭지감자","","","0","0","0","0","0","0","0","0","0","0","0","-","","","0","0","0","0","0",
"서울특별시","합계","가을감자","","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0",".0077",".0106",
