시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,23565,23314,21635,19214,18642,18289,18223,17889,17901,17573,17378,17146,16993,16439,16112,17049,16630.6223,16029.7769,15386.082,15514.4185
서울특별시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광주광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4291,0,0,0
대전광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
울산광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강원도,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
충청북도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
충청남도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라북도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라남도,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.2689,2.5058,2.5687
경상북도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경상남도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1503,0.1477
제주도,23561,23314,21635,19214,18642,18289,18223,17889,17901,17573,17378,17145,16992,16439,16112,17049,16624.1932,16025.508,15383.4259,15511.7021
