시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,19841.0,15072.0,12428.0,14937.0,20035.0,14960.0,13033.0,13048.0,14198.0,16302.0,19126.0,17424.0,20977,15596.0,14545,15259.0,14942.9965,15819.044,18150.0893,16338.9113
서울특별시,5.0,3.0,4.0,4.0,10.0,15.0,9.0,12.0,14.0,12.0,4.0,7.0,8,7.0,6,6.0,6.0701,6.0355,4.5634,7.1103
부산광역시,45.0,10.0,9.0,7.0,22.0,15.0,25.0,19.0,11.0,12.0,31.0,22.0,36,22.0,28,19.0,33.6944,38.2268,44.9616,43.513000000000005
대구광역시,136.0,103.0,81.0,69.0,115.0,118.0,72.0,101.0,90.0,104.0,99.0,106.0,148,74.0,63,118.0,94.8959,55.9023,93.5701,84.5422
인천광역시,165.0,181.0,145.0,150.0,247.0,197.0,182.0,182.0,216.0,218.0,233.0,232.0,230,207.0,198,166.0,144.2234,155.1515,179.5226,173.5304
광주광역시,11.0,20.0,13.0,25.0,30.0,48.0,14.0,10.0,32.0,54.0,28.0,20.0,70,52.0,14,61.0,81.8465,43.7938,41.0362,41.59
대전광역시,47.0,44.0,51.0,67.0,80.0,44.0,52.0,59.0,70.0,63.0,91.0,53.0,67,50.0,50,50.0,36.1908,41.446000000000005,52.1626,45.3194
울산광역시,41.0,48.0,34.0,43.0,59.0,69.0,73.0,76.0,78.0,66.0,101.0,92.0,108,92.0,57,64.0,63.092,94.4648,118.23100000000001,67.305
세종특별자치시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,51.0,46.6544,31.1699,49.3815,46.6726
경기도,955.0,879.0,812.0,914.0,1328.0,974.0,1026.0,1086.0,1170.0,1419.0,1727.0,1725.0,2140,1671.0,1722,1869.0,1764.9938,1764.4562,2004.5221,1640.5031
강원도,7689.0,2626.0,1994.0,2214.0,2573.0,2210.0,1872.0,1787.0,1678.0,1793.0,2071.0,1947.0,2548,1802.0,1781,1586.0,1639.4972,1665.9617,2103.2318,1827.7708
충청북도,1087.0,1062.0,888.0,1112.0,1640.0,1170.0,1030.0,1164.0,1308.0,1673.0,2102.0,1679.0,2080,1494.0,1024,1080.0,1145.9536,1272.6126,1346.1329999999998,1269.7298
충청남도,1260.0,1369.0,1328.0,1616.0,1970.0,1641.0,1611.0,1495.0,2104.0,2490.0,2870.0,3070.0,2772,2329.0,2135,1820.0,2132.5879,2210.4591,2596.3082,2001.2792
전라북도,1155.0,1212.0,797.0,1029.0,1530.0,959.0,818.0,1046.0,928.0,929.0,1115.0,962.0,1523,1071.0,867,933.0,954.6798,970.5618,1226.6409,1105.3773
전라남도,1623.0,1905.0,1731.0,2205.0,3193.0,2062.0,1518.0,1537.0,1613.0,2137.0,2042.0,2051.0,2293,2226.0,1942,1855.0,1845.0381,2061.6956,2272.846,2330.5154
경상북도,1982.0,1915.0,1459.0,1804.0,2936.0,2261.0,2140.0,2174.0,2523.0,2838.0,3668.0,3082.0,4161,2965.0,2818,3398.0,2796.3873,3257.9199,3317.8848,3068.5478
경상남도,1894.0,1886.0,1623.0,1758.0,2311.0,1729.0,1531.0,1398.0,1339.0,1472.0,1707.0,1577.0,1958,1253.0,1421,1573.0,1545.4646,1474.0724,1992.8437,1942.6264
제주도,1746.0,1809.0,1459.0,1920.0,1991.0,1448.0,1060.0,902.0,1024.0,1022.0,1237.0,799.0,835,281.0,419,610.0,611.7267,675.1141,706.2498,642.9786
