시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,4298.0,3760.0,3340.0,2166.0,3037.0,3266.0,2090.0,2558.0,2626.0,2711.0,2849.0,2214,2549,2397,3114.0,2230.0,2206.8884,2153.9285,2069.2463,2688.0668
서울특별시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.2193,0.0385,0.0212,0.0148
부산광역시,166.0,289.0,59.0,48.0,48.0,94.0,102.0,154.0,137.0,294.0,150.0,91,93,93,158.0,0.0,10.5153,10.4526,4.9486,12.0752
대구광역시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.2473,0.0,0.7201
인천광역시,5.0,4.0,2.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0,3,3.0,0.0,4.2064,1.544,2.1551,5.1397
광주광역시,2.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,0.0583,0.0727,0.4134,0.4754
대전광역시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,0,0,0.0,0.0,0.0,0.1698,0.0548,2.2971
울산광역시,46.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.2939,0.2391,1.4999,1.1992
세종특별자치시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.2355,1.2675,2.5245,4.9082
경기도,19.0,26.0,22.0,39.0,28.0,1.0,10.0,7.0,13.0,17.0,0.0,18,11,35,34.0,14.0,47.2054,23.4638,34.2728,84.3321
강원도,713.0,397.0,396.0,243.0,342.0,183.0,151.0,135.0,114.0,193.0,282.0,162,100,82,108.0,321.0,164.6086,133.8237,292.5795,481.5095
충청북도,39.0,50.0,12.0,14.0,20.0,14.0,22.0,30.0,44.0,63.0,27.0,51,32,28,35.0,53.0,72.5586,78.069,112.1945,46.4641
충청남도,196.0,118.0,85.0,143.0,95.0,93.0,109.0,145.0,52.0,50.0,37.0,46,30,40,30.0,12.0,43.5341,42.0252,32.2972,10.4375
전라북도,40.0,66.0,48.0,46.0,60.0,15.0,20.0,1.0,6.0,1.0,4.0,47,32,8,23.0,29.0,28.819000000000003,16.9605,23.3848,39.0455
전라남도,85.0,49.0,56.0,51.0,31.0,33.0,47.0,27.0,12.0,60.0,70.0,48,36,61,43.0,15.0,23.2408,23.5937,50.3887,52.5705
경상북도,196.0,190.0,154.0,87.0,139.0,130.0,126.0,132.0,135.0,102.0,173.0,230,320,369,278.0,221.0,230.1008,278.2137,171.4354,187.9863
경상남도,461.0,525.0,420.0,319.0,190.0,300.0,303.0,412.0,430.0,444.0,399.0,430,396,248,958.0,666.0,637.1533,679.1353,621.4427,845.0946
제주도,2330.0,1991.0,2032.0,1172.0,2074.0,2401.0,1200.0,1515.0,1681.0,1487.0,1706.0,1081,1499,1430,1444.0,899.0,944.1391,863.6121,719.6332,913.797
