시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,0.0,11693.0,11566.0,14312.0,10629.0,12107.0,11111.0,11385.0,9854.0,9737.0,11779.0,8566,9336,9935,8401.0,8646.0,10871.8591,10057.4563,10519.8846,9738.2677
서울특별시,0.0,158.0,63.0,74.0,67.0,165.0,85.0,91.0,72.0,12.0,4.0,1,6,2,1.0,23.0,29.5498,28.8644,28.5241,28.3045
부산광역시,0.0,839.0,882.0,964.0,873.0,936.0,776.0,727.0,951.0,496.0,667.0,410,419,447,554.0,402.0,424.9698,411.5232,401.5785,281.2179
대구광역시,0.0,318.0,283.0,269.0,236.0,132.0,111.0,150.0,75.0,112.0,137.0,66,58,59,33.0,227.0,222.0597,284.96299999999997,217.2746,278.6014
인천광역시,0.0,349.0,331.0,375.0,302.0,247.0,203.0,329.0,178.0,164.0,306.0,125,176,136,162.0,74.0,123.5319,95.8292,127.7674,117.2256
광주광역시,0.0,22.0,12.0,26.0,12.0,7.0,1.0,8.0,1.0,8.0,18.0,4,1,0,2.0,2.0,6.6204,6.3695,0.5037,2.8632
대전광역시,0.0,44.0,44.0,44.0,20.0,21.0,19.0,54.0,15.0,15.0,17.0,9,7,18,7.0,34.0,28.8965,19.0195,15.8792,25.933000000000003
울산광역시,0.0,30.0,35.0,66.0,26.0,41.0,33.0,24.0,12.0,13.0,25.0,8,17,15,11.0,17.0,32.6036,48.473,37.8052,31.8673
세종특별자치시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,13.0,3.9904,2.191,1.9728,7.2967
경기도,0.0,2580.0,2185.0,2931.0,2085.0,2324.0,2287.0,2333.0,1881.0,1875.0,2403.0,1423,1718,1954,1297.0,1363.0,1724.5465,2027.4439,1836.3945,1497.8866
강원도,0.0,509.0,438.0,510.0,432.0,573.0,621.0,627.0,410.0,742.0,786.0,564,949,1169,988.0,617.0,813.1084,804.18,853.2496,978.0337
충청북도,0.0,613.0,676.0,697.0,372.0,598.0,512.0,531.0,432.0,384.0,528.0,323,387,385,308.0,446.0,716.1971,431.9778,665.7241,677.6243
충청남도,0.0,688.0,722.0,731.0,540.0,502.0,334.0,375.0,388.0,539.0,590.0,282,326,277,200.0,492.0,564.3831,474.9121,529.1753,364.6209
전라북도,0.0,842.0,628.0,1014.0,797.0,808.0,823.0,863.0,655.0,843.0,935.0,868,525,929,641.0,811.0,659.6227,639.9036,681.7082,869.2646
전라남도,0.0,3041.0,3392.0,4568.0,3452.0,3994.0,3838.0,3542.0,3285.0,3129.0,3583.0,3352,3510,3400,3277.0,3174.0,3916.5643,3567.4405,3712.6493,3262.1314
경상북도,0.0,857.0,973.0,1113.0,749.0,930.0,828.0,982.0,720.0,714.0,913.0,788,724,708,638.0,501.0,745.1494,645.393,658.1360000000001,709.9529
경상남도,0.0,552.0,546.0,637.0,371.0,642.0,464.0,445.0,343.0,323.0,638.0,186,347,274,236.0,303.0,490.8029,407.6007,451.0126,358.23400000000004
제주도,0.0,251.0,356.0,293.0,295.0,187.0,176.0,304.0,436.0,368.0,229.0,157,166,162,46.0,147.0,369.2626,161.3719,300.5295,247.2097
