시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,4763,5483,4079,3454,3352,2970,3318,3366,4111,5381,4413,4072,4374,4565,4589,5632,5189.7556,4117.6633,3236.3081,3741.178
서울특별시,2,3,1,0,1,0,0,0,2,2,4,6,3,4,4,0,0.7697,0.5935,0.483,0.4412
부산광역시,1,3,1,1,2,2,1,6,2,1,0,3,4,4,4,2,5.3909,5.0263,5.4119,7.7317
대구광역시,58,55,48,42,36,55,41,46,58,63,66,46,38,37,40,37,30.5756,22.7232,19.6883,15.9143
인천광역시,24,32,24,19,24,25,23,11,30,34,45,39,48,64,79,67,67.2685,67.7251,47.3248,55.586
광주광역시,7,5,7,5,11,6,6,12,5,12,20,14,14,15,30,36,17.3582,15.3841,19.9729,19.4062
대전광역시,2,7,5,2,2,5,5,8,12,10,16,11,19,27,24,19,17.3853,6.0128,5.6082,4.7183
울산광역시,6,7,5,5,7,1,2,3,6,7,18,7,9,7,7,16,17.1444,16.6268,11.3617,17.071
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15.8204,11.7579,13.0618,7.8629
경기도,636,536,356,388,347,303,321,306,452,661,493,561,721,577,658,841,870.6469,746.9034,474.8527,659.1554
강원도,106,162,90,59,63,55,82,81,100,97,135,115,133,123,163,162,166.3725,143.0599,123.8932,119.5248
충청북도,340,424,277,207,172,206,252,243,275,504,430,335,317,345,308,515,447.3848,381.6575,259.8883,352.4921
충청남도,928,1105,718,482,494,303,388,550,678,771,537,505,623,625,602,750,640.4009,473.3961,403.4848,523.5196
전라북도,792,1124,711,618,753,562,664,560,807,1121,590,525,614,833,763,1121,1087.875,729.7825,670.6583,711.858
전라남도,161,218,133,129,128,107,149,143,197,311,225,231,295,328,385,426,397.5435,312.1667,209.8487,235.6352
경상북도,1151,1256,1174,997,954,1016,1014,1140,1176,1339,1434,1280,1049,1161,1144,1299,1124.9323,956.2221,775.3928,817.4215
경상남도,248,232,244,236,211,175,186,189,199,244,282,261,261,254,260,321,282.2646,227.2218,192.2567,191.6536
제주도,301,314,285,264,147,149,184,68,112,204,118,133,226,161,118,1,0.6221,1.4036,3.12,1.1862
