시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,37118.0,33153.0,33140.0,30237.0,31766.0,28594.0,26986.0,28416.0,26323.0,22414.0,24035.0,28278,29352,25062,20638.0,20758.0,24863.8398,28351.4319,27688.994,25372.0592
서울특별시,1.0,1.0,3.0,3.0,6.0,3.0,1.0,2.0,0.0,1.0,2.0,3,3,4,3.0,1.0,0.9766,0.415,0.6114,0.601
부산광역시,25.0,16.0,13.0,17.0,17.0,41.0,26.0,31.0,32.0,24.0,29.0,39,49,25,21.0,22.0,22.621,25.9222,26.5761,31.0132
대구광역시,329.0,320.0,290.0,271.0,254.0,186.0,180.0,248.0,242.0,229.0,212.0,263,242,180,143.0,405.0,468.2534,486.6965,504.0522,417.5002
인천광역시,162.0,134.0,108.0,111.0,118.0,93.0,94.0,85.0,58.0,58.0,77.0,83,97,87,105.0,75.0,66.0002,61.2397,66.2595,90.7465
광주광역시,48.0,47.0,40.0,45.0,41.0,42.0,35.0,41.0,28.0,33.0,25.0,41,37,47,33.0,36.0,44.4593,35.5368,44.1554,34.5857
대전광역시,21.0,12.0,13.0,14.0,11.0,6.0,11.0,16.0,12.0,7.0,15.0,21,20,29,23.0,22.0,27.6727,28.9384,31.2748,20.7848
울산광역시,36.0,36.0,38.0,29.0,33.0,44.0,40.0,46.0,45.0,42.0,66.0,67,43,62,50.0,45.0,68.78,96.8165,96.0744,81.0773
세종특별자치시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,23.0,32.7144,35.5402,37.4945,47.372
경기도,909.0,748.0,663.0,708.0,735.0,558.0,588.0,558.0,553.0,549.0,666.0,744,767,704,656.0,652.0,844.6974,876.9217,881.4741,1020.0488
강원도,564.0,445.0,357.0,345.0,368.0,304.0,312.0,396.0,389.0,364.0,440.0,449,395,377,307.0,180.0,262.5916,265.3409,239.1106,235.9922
충청북도,863.0,681.0,602.0,605.0,662.0,631.0,583.0,650.0,668.0,623.0,674.0,792,738,611,539.0,571.0,659.4432,707.5066,796.8425,779.7419
충청남도,3315.0,2764.0,2580.0,2631.0,2759.0,2181.0,2422.0,2583.0,2339.0,2072.0,2363.0,2806,2910,2505,2149.0,2139.0,2642.8912,3537.6273,3418.3349,2806.3179999999998
전라북도,739.0,621.0,589.0,614.0,685.0,592.0,628.0,705.0,672.0,581.0,673.0,733,725,676,601.0,862.0,1025.2571,1316.2529,1031.6369,976.2521
전라남도,15869.0,13963.0,14055.0,12276.0,12588.0,11211.0,10373.0,10486.0,9168.0,7484.0,7546.0,9115,8895,7374,5425.0,5099.0,6346.2051,6030.4528,5803.3213,5326.0413
경상북도,4578.0,3951.0,3937.0,3512.0,3868.0,3783.0,3408.0,3441.0,3492.0,3019.0,3518.0,4381,4495,3863,3402.0,3850.0,4733.91,6086.2665,5997.9933,5116.562
경상남도,6095.0,5801.0,5649.0,5036.0,5268.0,5105.0,4843.0,5403.0,5177.0,4354.0,4923.0,5725,6542,5538,5057.0,4651.0,5386.9742,6614.2838,6597.5369,6265.5183
제주도,3564.0,3613.0,4203.0,4020.0,4353.0,3814.0,3442.0,3725.0,3448.0,2974.0,2806.0,3016,3394,2980,2124.0,2125.0,2230.3924,2145.6741,2116.2452,2121.9039
