시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,0.0,2741.0,2926.0,2234.0,2072.0,2442.0,2596.0,2546.0,2042.0,2161.0,2713.0,2552,2195,2608,1981.0,2607.0,2954.1915,2900.0867,2344.9098,2525.9244
서울특별시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
부산광역시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
대구광역시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
인천광역시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
광주광역시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
대전광역시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
울산광역시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
세종특별자치시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
경기도,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
강원도,0.0,1967.0,2157.0,1650.0,1651.0,2019.0,2275.0,2359.0,1814.0,2030.0,2672.0,2454,2015,2478,1913.0,2380.0,2591.8014,2682.9733,2183.235,2345.5153
충청북도,0.0,16.0,15.0,20.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,26,0,0,0.0,0.0,0.0,0.0,0.0,0.0
충청남도,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
전라북도,0.0,473.0,376.0,266.0,197.0,166.0,139.0,61.0,118.0,24.0,3.0,43,79,63,22.0,108.0,139.4349,110.8922,110.2565,76.949
전라남도,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
경상북도,0.0,128.0,250.0,209.0,156.0,186.0,132.0,98.0,12.0,14.0,11.0,22,74,67,46.0,119.0,217.1978,81.9899,51.4183,103.4601
경상남도,0.0,157.0,128.0,89.0,68.0,62.0,50.0,28.0,98.0,93.0,27.0,7,27,0,0.0,0.0,5.7574,24.2313,0.0,0.0
제주도,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
