시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,18859.0,11338.0,14019.0,14906.0,11136.0,12529.0,11153.0,11499.0,9541.0,10782.0,8505.0,1093,1376,1438,877.0,975.0,1091.4243,919.2048,769.6468,864.0136
서울특별시,14.0,8.0,12.0,13.0,11.0,7.0,1.0,3.0,8.0,0.0,0.0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0
부산광역시,153.0,175.0,171.0,152.0,109.0,122.0,86.0,92.0,57.0,67.0,3.0,-,-,-,0.0,0.0,0.0,0.0,0.2179,0.0
대구광역시,108.0,93.0,60.0,95.0,79.0,30.0,55.0,41.0,50.0,4.0,11.0,-,-,-,0.0,1.0,0.0,0.0,0.0,0.0
인천광역시,182.0,116.0,125.0,79.0,87.0,83.0,79.0,99.0,47.0,8.0,8.0,-,-,-,0.0,0.0,0.3003,3.7434,0.257,0.3063
광주광역시,102.0,64.0,95.0,87.0,44.0,24.0,46.0,25.0,19.0,27.0,31.0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0
대전광역시,22.0,20.0,36.0,22.0,18.0,14.0,9.0,9.0,12.0,4.0,3.0,-,-,-,0.0,0.0,0.0,4.5224,0.0,0.0
울산광역시,42.0,39.0,46.0,68.0,29.0,37.0,24.0,12.0,9.0,5.0,10.0,1,-,-,0.0,0.0,0.0,0.0,0.0,0.0
세종특별자치시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
경기도,2436.0,1465.0,1171.0,1535.0,985.0,1207.0,626.0,769.0,500.0,398.0,689.0,35,104,157,11.0,5.0,16.7283,32.2868,101.1563,66.6086
강원도,4554.0,1299.0,1559.0,1333.0,774.0,1299.0,1055.0,1093.0,857.0,558.0,826.0,9,117,40,44.0,113.0,94.0138,64.9788,44.09,46.7722
충청북도,2021.0,1179.0,1515.0,1397.0,1061.0,1272.0,1044.0,1083.0,943.0,680.0,1014.0,48,91,91,37.0,51.0,75.5477,42.6815,3.9685,8.0203
충청남도,1525.0,1314.0,1691.0,1158.0,696.0,859.0,507.0,724.0,901.0,664.0,857.0,130,204,395,174.0,81.0,179.7556,101.662,37.8628,87.5761
전라북도,2123.0,1319.0,1296.0,1596.0,992.0,716.0,619.0,1111.0,639.0,676.0,1022.0,299,496,413,351.0,272.0,372.2405,297.3653,302.4272,370.6368
전라남도,1768.0,1402.0,1271.0,1504.0,806.0,1442.0,913.0,859.0,489.0,694.0,872.0,163,128,182,126.0,185.0,202.1885,271.4196,152.6062,178.0691
경상북도,2249.0,1503.0,2008.0,1714.0,1126.0,1551.0,1185.0,1506.0,1299.0,1158.0,1502.0,52,14,14,6.0,70.0,39.8031,18.6796,12.8065,15.1894
경상남도,1206.0,729.0,727.0,627.0,537.0,421.0,391.0,535.0,196.0,73.0,196.0,25,33,12,0.0,32.0,7.7776,8.3537,11.5012,4.1351
제주도,354.0,613.0,2236.0,3526.0,3782.0,3445.0,4513.0,3538.0,3515.0,5766.0,1461.0,331,189,134,128.0,165.0,103.0689,73.5117,102.7532,86.6997
