시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,14169.0,11293.0,12596.0,13858.0,11001.0,14368.0,12178.0,14693.0,14462.0,13540.0,17326.0,13408,15095,15233,12724.0,11429.0,13673.566,13313.0866,10968.112,13854.0851
서울특별시,22.0,16.0,25.0,36.0,26.0,30.0,21.0,53.0,17.0,8.0,15.0,16,11,10,7.0,3.0,4.678,5.1861,3.4651,2.6073
부산광역시,281.0,228.0,210.0,123.0,134.0,195.0,169.0,106.0,141.0,115.0,150.0,106,99,83,84.0,41.0,72.5287,59.2352,40.3705,47.917
대구광역시,139.0,51.0,48.0,95.0,71.0,87.0,91.0,112.0,136.0,129.0,125.0,60,81,82,51.0,47.0,83.916,65.2774,44.13399999999999,66.1706
인천광역시,176.0,128.0,142.0,177.0,147.0,208.0,175.0,204.0,223.0,170.0,211.0,159,199,186,197.0,119.0,130.4365,126.4018,111.8158,117.0507
광주광역시,181.0,183.0,155.0,186.0,142.0,128.0,113.0,126.0,101.0,58.0,95.0,71,125,102,78.0,84.0,87.3906,50.3219,40.7022,58.3793
대전광역시,78.0,83.0,91.0,96.0,53.0,90.0,63.0,119.0,102.0,59.0,91.0,76,79,63,58.0,45.0,66.3365,53.9436,36.0169,43.3674
울산광역시,110.0,102.0,74.0,86.0,70.0,109.0,141.0,143.0,129.0,148.0,172.0,92,175,106,101.0,53.0,87.97200000000001,100.197,58.4043,68.3026
세종특별자치시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,47.0,35.0389,34.8098,37.2959,35.9132
경기도,2199.0,1640.0,1798.0,1974.0,1831.0,2025.0,1631.0,1920.0,2007.0,1841.0,2228.0,1873,1831,1505,1383.0,1280.0,1437.3663,1282.5366,1214.7397,1210.5833
강원도,821.0,722.0,782.0,745.0,633.0,867.0,714.0,817.0,918.0,800.0,1150.0,991,1186,1170,960.0,897.0,1180.3564,1274.025,1188.6742,1520.1181
충청북도,1118.0,776.0,1113.0,1597.0,1180.0,1531.0,1090.0,2005.0,1629.0,1401.0,2075.0,1580,1950,1703,1402.0,1249.0,1820.5911,1920.0617,1394.4848,2002.1989999999998
충청남도,2852.0,2209.0,2205.0,2541.0,1712.0,2302.0,2008.0,2143.0,2114.0,2058.0,2401.0,1767,1763,1868,1426.0,1227.0,1547.8669,1194.4926,919.2708,1274.5354
전라북도,1435.0,1340.0,1449.0,1649.0,1212.0,1750.0,1380.0,1585.0,1531.0,1485.0,1805.0,1265,1420,1728,1586.0,1282.0,1551.2997,1433.4141,1085.737,1525.726
전라남도,1957.0,1576.0,1998.0,1802.0,1472.0,2070.0,1677.0,2184.0,2353.0,2552.0,3605.0,2937,3564,4003,3349.0,3021.0,2935.9436,3243.5141,2665.7308,3348.8147
경상북도,1352.0,1033.0,1294.0,1420.0,1097.0,1642.0,1542.0,1817.0,1821.0,1458.0,1725.0,1517,1598,1785,1431.0,1454.0,2002.9592,1868.9113,1660.2439,1946.1456
경상남도,1215.0,906.0,918.0,1168.0,1023.0,1247.0,1116.0,1066.0,1027.0,1082.0,1382.0,839,994,784,609.0,578.0,628.8856,545.6764,466.8845,586.2549
제주도,233.0,300.0,294.0,163.0,198.0,87.0,247.0,293.0,213.0,176.0,96.0,59,20,55,2.0,2.0,0.0,55.082,0.1416,0.0
