시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,0.0,8018.0,8796.0,7935.0,6502.0,7051.0,6311.0,6401.0,5553.0,4929.0,4691.0,5495,5498,5140,4721.0,4370.0,5384.5018,5727.4139,4979.9016,5055.8482
서울특별시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
부산광역시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
대구광역시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
인천광역시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
광주광역시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
대전광역시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
울산광역시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
세종특별자치시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
경기도,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
강원도,0.0,5645.0,6284.0,5964.0,5107.0,5428.0,5190.0,5177.0,4813.0,4447.0,4153.0,4794,5099,4579,4368.0,3940.0,4733.0816,4985.8363,4596.9614,4423.323
충청북도,0.0,5.0,31.0,20.0,30.0,7.0,0.0,0.0,4.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
충청남도,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
전라북도,0.0,1303.0,1424.0,1036.0,578.0,571.0,558.0,506.0,506.0,220.0,320.0,331,195,236,121.0,81.0,123.5278,65.2102,56.3448,29.3375
전라남도,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
경상북도,0.0,399.0,481.0,399.0,415.0,612.0,356.0,471.0,122.0,123.0,88.0,278,130,298,208.0,284.0,522.1137,676.3674,326.5954,599.5045
경상남도,0.0,666.0,576.0,516.0,372.0,433.0,207.0,247.0,108.0,139.0,130.0,92,74,27,24.0,65.0,5.7787,0.0,0.0,3.6832
제주도,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
