시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,8062,8880,9622,9857,9830,9645,9373,8823,8813,9923,9538,9584,9659,9809,10811,14485,15410.3629,15568.8993,15385.0368,15323.8331
서울특별시,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1259,0.1902,0.1269,0.126
부산광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.6764,3.6311,5.1185,4.4843
대구광역시,197,223,239,229,218,223,172,192,200,189,196,195,180,209,207,259,234.3963,205.3092,201.4734,187.623
인천광역시,14,11,16,16,13,9,13,1,1,12,11,12,13,11,9,11,5.0158,7.7076,12.5977,15.1732
광주광역시,5,12,11,11,16,3,6,12,12,12,10,14,14,6,12,38,47.0799,76.5146,66.7434,54.9559
대전광역시,29,35,33,40,28,38,32,14,14,5,7,6,4,4,6,46,45.2839,48.7653,38.9154,47.4091
울산광역시,5,4,2,2,4,0,0,0,0,0,0,0,1,3,4,19,13.2822,14.9182,13.6644,15.2785
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,417.4787,441.7966,386.0403,334.1102
경기도,411,452,602,723,769,820,824,783,672,775,683,610,568,533,639,834,906.865,882.518,775.6537,790.1077
강원도,385,433,488,527,522,566,462,483,386,434,417,353,384,363,383,391,375.4004,408.2159,464.218,472.1398
충청북도,1193,1357,1674,1853,1971,2437,2320,2268,2352,2641,2553,2551,2452,2339,2707,4066,4332.6866,4403.632,4251.1471,4025.4403
충청남도,355,453,516,490,625,402,544,462,529,560,406,399,376,350,343,335,347.7955,337.0719,319.1191,312.7285
전라북도,378,437,520,525,567,527,524,490,516,603,578,609,559,583,632,951,923.8907,895.9267,1006.4206,961.5522
전라남도,372,351,345,323,382,218,235,313,228,246,255,246,176,159,189,575,590.3616,573.2351,595.5951,598.3154
경상북도,4274,4701,4782,4797,4427,4121,3967,3548,3677,4225,4179,4357,4681,4996,5403,6343,6904.0998,6969.2984,6884.4469,7123.832
경상남도,444,411,394,321,288,281,274,257,226,221,242,231,251,253,277,237,261.1973,298.1026,363.0846,380.0082
제주도,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1.7269,2.0659,0.6717,0.5488
