시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,19186,18533,17933,16889,16379,17888,18796,18534,19179,20582,21395,21629,21602,21399,21965,23880,23355.0091,23600.1944,23910.511,23329.7119
서울특별시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261,0,0,0
부산광역시,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1,4,0.5632,0.7161,2.1259,1.5228
대구광역시,51,65,55,52,53,86,62,94,69,66,69,59,56,57,52,76,74.1567,43.0849,35.817,35.7948
인천광역시,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,7,2.0338,8.1255,10.8124,9.109
광주광역시,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7784,2.4821,2.6715
대전광역시,29,30,15,13,13,18,16,21,20,12,2,2,2,3,2,17,12.4399,10.9475,5.3641,0.6481
울산광역시,12,15,15,15,15,1,1,1,2,1,1,0,2,2,3,15,18.5347,21.3549,20.2107,20.6299
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8322,10.1797,9.3376,0
경기도,318,261,237,223,207,218,198,205,162,200,199,197,192,192,170,192,170.9985,161.923,211.0044,225.9837
강원도,224,203,157,124,104,97,71,91,95,104,118,128,212,177,218,440,391.2859,483.4545,541.9117,516.523
충청북도,2296,2278,2371,2165,2124,2248,2372,2544,2623,2752,2793,2862,2747,2730,2789,2995,2745.2835,2886.1024,2652.8075,2436.7439
충청남도,1648,1501,1396,1304,1317,1113,1105,1116,1135,1189,1288,1220,1042,1006,962,1226,1265.0868,1156.0571,1141.618,994.8621
전라북도,522,529,475,502,534,614,815,938,929,1133,1202,1363,1264,1244,1237,1565,1635.1059,1592.7454,1776.395,1734.0857
전라남도,60,200,205,199,171,181,166,198,240,174,174,198,241,250,235,453,356.9175,330.2548,390.1057,389.0888
경상북도,12319,11773,11391,10740,10234,11678,12204,11497,11939,12919,13391,13332,13518,13257,13759,14585,14354.9635,14473.0714,14722.5172,14322.7058
경상남도,1706,1678,1616,1552,1605,1634,1785,1829,1965,2031,2157,2267,2323,2480,2537,2305,2326.747,2420.3501,2387.9874,2639.3428
제주도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339,0.0487,0.0143,0
