시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,18995.0,15314.0,12352.0,15563.0,16737.0,15315.0,17751.0,15392.0,18514.0,22113.0,22976.0,20965,20036,23911,18015.0,19896.0,19538.4565,26425.427000000003,21777.3413,14673.2764
서울특별시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.4897,0.3634,0.4441,0.2103
부산광역시,6.0,5.0,3.0,6.0,5.0,6.0,16.0,5.0,12.0,16.0,6.0,13,23,16,17.0,21.0,10.2154,30.7583,16.2266,12.6805
대구광역시,102.0,112.0,141.0,186.0,233.0,84.0,76.0,99.0,156.0,147.0,137.0,129,81,120,63.0,217.0,236.2463,263.2642,311.4669,356.0005
인천광역시,11.0,16.0,7.0,15.0,26.0,22.0,27.0,16.0,17.0,24.0,25.0,35,25,33,25.0,35.0,32.3804,34.6974,52.4553,23.6962
광주광역시,4.0,17.0,3.0,15.0,29.0,26.0,23.0,66.0,45.0,76.0,167.0,126,58,83,93.0,43.0,48.1432,64.5758,33.1891,34.3553
대전광역시,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,4.0,3,3,4,1.0,2.0,4.8577,5.1935,3.5636,1.7986
울산광역시,20.0,12.0,13.0,18.0,32.0,35.0,32.0,47.0,38.0,46.0,55.0,46,37,62,36.0,19.0,18.0373,65.2858,52.1759,27.5801
세종특별자치시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,3.0,2.3139,3.3,4.2232,4.5804
경기도,45.0,29.0,17.0,30.0,63.0,21.0,51.0,39.0,33.0,41.0,74.0,158,90,217,177.0,217.0,279.789,509.4532,493.2426,345.3974
강원도,218.0,69.0,74.0,89.0,78.0,10.0,39.0,11.0,33.0,53.0,22.0,30,37,59,46.0,16.0,33.1944,60.1575,101.6228,75.9824
충청북도,30.0,38.0,29.0,73.0,85.0,48.0,43.0,70.0,58.0,89.0,56.0,102,114,81,117.0,65.0,85.042,88.1163,154.5898,68.3675
충청남도,264.0,218.0,203.0,254.0,291.0,159.0,312.0,294.0,362.0,390.0,467.0,615,448,724,430.0,453.0,784.6174,1233.2449,944.0423,693.1144
전라북도,502.0,497.0,343.0,505.0,736.0,565.0,708.0,996.0,961.0,1302.0,1306.0,1361,1393,1654,1352.0,912.0,1632.0732,2646.0553,2373.3533,1142.0974
전라남도,9353.0,7435.0,6658.0,9010.0,8653.0,8571.0,9731.0,8165.0,10152.0,11754.0,12166.0,10715,10124,12080,9171.0,9521.0,9230.2718,11327.4469,8467.1033,5743.305
경상북도,3401.0,2924.0,1835.0,2268.0,2688.0,2152.0,2460.0,1978.0,2368.0,2695.0,2397.0,2370,2373,2602,2080.0,2057.0,2087.3919,3368.5075,3309.3434,2364.9079
경상남도,3811.0,3094.0,2161.0,2243.0,3042.0,2706.0,2913.0,2812.0,3239.0,4282.0,4842.0,4493,4609,5294,3766.0,4749.0,3937.7933,5471.0149,4329.931,2824.692
제주도,1227.0,848.0,865.0,851.0,775.0,909.0,1319.0,792.0,1037.0,1196.0,1252.0,769,621,882,641.0,1566.0,1115.5996,1253.9921,1130.3681,954.5105
