시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,43541,44176,35036,31843,33971,31077,31321,28794,34875,27154,25649,25076,23184,28370,25139,27170,29682.2059,24759.7694,25159.2987,22929.5389
서울특별시,10,10,4,2,9,8,5,7,6,3,7,3,5,7,4,1,2.8459,2.3669,2.6098,1.9757
부산광역시,49,65,24,28,38,44,45,73,65,45,43,50,67,70,48,21,30.3755,32.6995,32.7651,30.403
대구광역시,341,330,273,237,290,280,237,243,273,239,261,217,173,212,194,144,162.1163,112.7404,148.4478,151.4744
인천광역시,271,210,184,131,138,124,126,77,105,78,99,78,69,94,119,116,131.8309,92.2985,126.8547,118.6578
광주광역시,369,413,314,286,263,263,265,277,260,200,223,208,178,234,157,197,233.9239,206.763,201.1358,171.8441
대전광역시,131,133,105,84,95,65,81,57,71,71,54,84,85,90,80,70,58.3096,43.7098,35.6901,57.4738
울산광역시,123,137,104,81,106,88,69,45,102,46,72,57,91,99,68,73,84.835,92.0657,84.9865,70.8225
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,83.6573,79.3056,98.5614,103.2382
경기도,2916,2684,2245,1825,1737,1854,1768,1581,1772,1471,1293,1290,1293,1357,1298,1649,1772.8699,1508.4706,1600.0705,1464.6718
강원도,962,1070,786,625,712,718,742,664,710,559,502,533,446,509,552,581,736.3257,606.9346,731.239,562.6367
충청북도,3666,3422,2946,2625,2719,2873,2675,2330,2789,2181,2104,2085,1960,2330,2291,2566,2562.96,2022.7134,2139.6808,1766.8243
충청남도,4134,3729,2980,2488,2504,2327,2189,2307,2391,2066,1859,1742,1814,2305,2422,2358,2532.7341,2090.223,2058.7798,2057.1184
전라북도,3675,3449,3036,2678,2715,2460,2541,2685,2876,2147,2093,2098,1935,2418,2083,3010,3467.1391,2598.4144,2853.5296,2462.1007
전라남도,12075,13751,9944,9655,10382,8602,10089,9141,12443,9318,8410,8204,7493,9295,8108,7045,7900.1956,6933.5699,6804.4955,6226.6422
경상북도,8864,9191,8283,6727,7148,7642,6459,5581,6294,5204,5304,4929,4599,5563,4821,5750,6088.6641,4970.7171,5007.0876,4717.062
경상남도,4197,3951,2966,2746,3133,2704,2505,2319,2999,2462,2681,2703,2283,2880,2383,2599,2895.2298,2812.3299,2637.7207,2510.6774
제주도,1758,1631,842,1625,1982,1025,1525,1407,1719,1064,644,795,693,907,511,890,938.1932,554.4471,595.644,455.9159
