지역 아이디,지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,작물 명,작물별 특성아이디,작물별 특성 이름,특보 코드,특보 발효 여부,연월일
4519000000,남원,72,7,1,14,48,1,0,6,복숭아,PA180101,백도,,0,2019-12-16 00:00:00
4782000000,청도,77,4,0,13,41,-3,0,0,복숭아,PA180101,백도,,0,2019-12-16 00:00:00
4782000000,청도,81,7,1,15,61,-1,0,0,복숭아,PA180101,백도,,0,2019-12-17 00:00:00
4519000000,남원,89,6,1,9,84,2,2,0,복숭아,PA180101,백도,,0,2019-12-17 00:00:00
4519000000,남원,75,4,1,7,50,0,0,5,복숭아,PA180101,백도,,0,2019-12-18 00:00:00
4782000000,청도,58,6,1,13,25,0,0,0,복숭아,PA180101,백도,,0,2019-12-18 00:00:00
4519000000,남원,65,0,1,6,26,-3,0,8,복숭아,PA180101,백도,,0,2019-12-19 00:00:00
4782000000,청도,45,2,2,8,13,-2,0,0,복숭아,PA180101,백도,,0,2019-12-19 00:00:00
4519000000,남원,72,0,1,5,35,-3,0,2,복숭아,PA180101,백도,,0,2019-12-20 00:00:00
4782000000,청도,58,0,1,7,38,-5,0,0,복숭아,PA180101,백도,,0,2019-12-20 00:00:00
4519000000,남원,82,-1,1,3,55,-4,0,0,복숭아,PA180101,백도,,0,2019-12-21 00:00:00
4782000000,청도,70,-1,0,5,35,-6,0,0,복숭아,PA180101,백도,,0,2019-12-21 00:00:00
4519000000,남원,77,1,1,10,43,-3,0,3,복숭아,PA180101,백도,,0,2019-12-22 00:00:00
4782000000,청도,74,0,0,9,41,-5,0,0,복숭아,PA180101,백도,,0,2019-12-22 00:00:00
4519000000,남원,77,2,1,9,49,-1,0,4,복숭아,PA180101,백도,,0,2019-12-23 00:00:00
4782000000,청도,72,1,1,10,39,-6,0,0,복숭아,PA180101,백도,,0,2019-12-23 00:00:00
4782000000,청도,75,1,0,11,36,-4,0,0,복숭아,PA180101,백도,,0,2019-12-24 00:00:00
4519000000,남원,73,1,1,9,33,-3,0,7,복숭아,PA180101,백도,,0,2019-12-24 00:00:00
4782000000,청도,67,3,0,14,22,-6,0,0,복숭아,PA180101,백도,,0,2019-12-25 00:00:00
4519000000,남원,57,3,1,13,17,-4,0,8,복숭아,PA180101,백도,,0,2019-12-25 00:00:00
4782000000,청도,72,4,1,8,45,0,1,0,복숭아,PA180101,백도,,0,2019-12-26 00:00:00
4519000000,남원,76,3,1,5,53,0,1,0,복숭아,PA180101,백도,,0,2019-12-26 00:00:00
4782000000,청도,47,0,2,6,17,-6,0,0,복숭아,PA180101,백도,,0,2019-12-27 00:00:00
4519000000,남원,70,0,1,5,21,-4,0,5,복숭아,PA180101,백도,,0,2019-12-27 00:00:00
4782000000,청도,64,-1,0,8,24,-8,0,0,복숭아,PA180101,백도,,0,2019-12-28 00:00:00
4519000000,남원,70,0,1,7,34,-6,0,8,복숭아,PA180101,백도,,0,2019-12-28 00:00:00
4782000000,청도,78,0,0,6,36,-6,5,0,복숭아,PA180101,백도,,0,2019-12-29 00:00:00
4519000000,남원,81,1,1,5,60,-3,5,0,복숭아,PA180101,백도,,0,2019-12-29 00:00:00
4782000000,청도,80,5,1,10,46,1,1,0,복숭아,PA180101,백도,C2,1,2019-12-30 00:00:00
4519000000,남원,89,5,1,9,65,0,0,0,복숭아,PA180101,백도,C2,1,2019-12-30 00:00:00
4519000000,남원,55,-4,1,0,32,-8,0,9,복숭아,PA180101,백도,C2,1,2019-12-31 00:00:00
4782000000,청도,32,-2,3,3,17,-5,0,0,복숭아,PA180101,백도,C2,1,2019-12-31 00:00:00
