지역 아이디,지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,작물 명,작물별 특성아이디,작물별 특성 이름,특보 코드,특보 발효 여부,연월일
4723000000,영천,49,-2,1,4,22,-9,0,6,복숭아,PA180201,유명,,0,2001-01-01 00:00:00
4729000000,경산,0,-1,1,4,0,-8,0,0,복숭아,PA180201,유명,,0,2001-01-01 00:00:00
4723000000,영천,49,1,3,6,34,-4,0,2,복숭아,PA180201,유명,,0,2001-01-02 00:00:00
4729000000,경산,0,3,3,7,0,0,0,0,복숭아,PA180201,유명,,0,2001-01-02 00:00:00
4729000000,경산,0,-2,2,1,0,-5,0,0,복숭아,PA180201,유명,,0,2001-01-03 00:00:00
4723000000,영천,46,-3,4,0,35,-7,0,6,복숭아,PA180201,유명,,0,2001-01-03 00:00:00
4729000000,경산,0,-3,3,-1,0,-5,0,0,복숭아,PA180201,유명,,0,2001-01-04 00:00:00
4723000000,영천,42,-5,4,-1,23,-7,0,6,복숭아,PA180201,유명,,0,2001-01-04 00:00:00
4729000000,경산,0,-2,3,1,0,-6,0,0,복숭아,PA180201,유명,,0,2001-01-05 00:00:00
4723000000,영천,43,-4,2,1,26,-8,0,7,복숭아,PA180201,유명,,0,2001-01-05 00:00:00
4723000000,영천,63,-2,0,4,30,-11,0,5,복숭아,PA180201,유명,,0,2001-01-06 00:00:00
4729000000,경산,0,0,0,4,0,-8,0,0,복숭아,PA180201,유명,,0,2001-01-06 00:00:00
4729000000,경산,0,3,1,6,0,0,16,0,복숭아,PA180201,유명,,0,2001-01-07 00:00:00
4723000000,영천,84,4,3,6,61,1,21,0,복숭아,PA180201,유명,,0,2001-01-07 00:00:00
4729000000,경산,0,4,1,9,0,2,0,0,복숭아,PA180201,유명,,0,2001-01-08 00:00:00
4723000000,영천,75,3,1,9,48,-1,0,4,복숭아,PA180201,유명,,0,2001-01-08 00:00:00
4729000000,경산,0,3,2,6,0,1,2,0,복숭아,PA180201,유명,,0,2001-01-09 00:00:00
4723000000,영천,82,2,1,5,60,0,2,0,복숭아,PA180201,유명,,0,2001-01-09 00:00:00
4729000000,경산,0,0,3,3,0,-3,0,0,복숭아,PA180201,유명,,0,2001-01-10 00:00:00
4723000000,영천,50,-2,2,3,25,-6,0,6,복숭아,PA180201,유명,,0,2001-01-10 00:00:00
4729000000,경산,0,0,2,3,0,-4,0,0,복숭아,PA180201,유명,,0,2001-01-11 00:00:00
4723000000,영천,51,-2,3,3,27,-7,0,6,복숭아,PA180201,유명,,0,2001-01-11 00:00:00
4729000000,경산,0,-4,2,-1,0,-7,0,0,복숭아,PA180201,유명,,0,2001-01-12 00:00:00
