지역 아이디,지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,작물 명,작물별 특성아이디,작물별 특성 이름,특보 코드,특보 발효 여부,연월일
4677000000,고흥,79,7,0,14,47,1,0,5,양파,PA250101,조생종,,0,2019-12-16 00:00:00
4684000000,무안,67,10,3,15,52,6,0,0,양파,PA250101,조생종,,0,2019-12-16 00:00:00
4684000000,무안,87,8,3,11,74,7,1,0,양파,PA250101,조생종,,0,2019-12-17 00:00:00
4677000000,고흥,88,8,1,12,72,2,0,0,양파,PA250101,조생종,,0,2019-12-17 00:00:00
4677000000,고흥,65,5,3,9,45,0,0,7,양파,PA250101,조생종,,0,2019-12-18 00:00:00
4684000000,무안,69,5,4,8,58,2,0,0,양파,PA250101,조생종,,0,2019-12-18 00:00:00
4677000000,고흥,50,3,2,8,28,0,0,6,양파,PA250101,조생종,,0,2019-12-19 00:00:00
4684000000,무안,66,3,3,6,50,0,0,0,양파,PA250101,조생종,,0,2019-12-19 00:00:00
4677000000,고흥,67,2,1,6,51,-3,0,3,양파,PA250101,조생종,,0,2019-12-20 00:00:00
4684000000,무안,79,2,2,6,55,-2,0,0,양파,PA250101,조생종,,0,2019-12-20 00:00:00
4677000000,고흥,66,1,0,5,43,-2,0,0,양파,PA250101,조생종,,0,2019-12-21 00:00:00
4684000000,무안,73,1,1,5,49,-2,0,0,양파,PA250101,조생종,,0,2019-12-21 00:00:00
4677000000,고흥,66,3,0,9,46,-2,0,2,양파,PA250101,조생종,,0,2019-12-22 00:00:00
4684000000,무안,70,4,2,10,46,1,0,0,양파,PA250101,조생종,,0,2019-12-22 00:00:00
4677000000,고흥,73,3,1,10,45,-3,0,6,양파,PA250101,조생종,,0,2019-12-23 00:00:00
4684000000,무안,77,5,2,9,55,0,1,0,양파,PA250101,조생종,,0,2019-12-23 00:00:00
4684000000,무안,70,4,1,10,39,0,0,0,양파,PA250101,조생종,,0,2019-12-24 00:00:00
4677000000,고흥,63,2,0,11,20,-2,0,7,양파,PA250101,조생종,,0,2019-12-24 00:00:00
4684000000,무안,60,5,2,13,20,-1,0,0,양파,PA250101,조생종,,0,2019-12-25 00:00:00
4677000000,고흥,65,5,0,14,42,-3,0,7,양파,PA250101,조생종,,0,2019-12-25 00:00:00
4684000000,무안,67,5,3,6,45,3,0,0,양파,PA250101,조생종,W2,1,2019-12-26 00:00:00
4677000000,고흥,69,5,1,8,42,3,0,0,양파,PA250101,조생종,,0,2019-12-26 00:00:00
4684000000,무안,59,3,4,5,49,1,0,0,양파,PA250101,조생종,W2,1,2019-12-27 00:00:00
4677000000,고흥,58,2,2,6,39,-3,0,7,양파,PA250101,조생종,,0,2019-12-27 00:00:00
4684000000,무안,65,2,1,9,37,-2,0,0,양파,PA250101,조생종,,0,2019-12-28 00:00:00
4677000000,고흥,70,0,0,8,33,-5,0,7,양파,PA250101,조생종,,0,2019-12-28 00:00:00
4684000000,무안,77,5,3,8,47,0,10,0,양파,PA250101,조생종,,0,2019-12-29 00:00:00
4677000000,고흥,84,3,1,5,57,-3,8,0,양파,PA250101,조생종,,0,2019-12-29 00:00:00
4684000000,무안,83,6,4,11,63,1,0,0,양파,PA250101,조생종,W2,1,2019-12-30 00:00:00
4677000000,고흥,82,6,2,11,61,1,0,0,양파,PA250101,조생종,,0,2019-12-30 00:00:00
4677000000,고흥,46,-1,3,1,24,-4,0,7,양파,PA250101,조생종,,0,2019-12-31 00:00:00
4684000000,무안,63,-1,6,1,50,-3,0,0,양파,PA250101,조생종,W2,1,2019-12-31 00:00:00
