,지역 아이디,지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,작물 명,작물별 특성아이디,작물별 특성 이름,특보 코드,특보 발효 여부,연월일
0,4211000000,춘천,72,-7,0,-3,45,-13,0,3,풋고추,PA350201,꽈리고추,,0,2001-01-01 00:00:00
0,4211000000,춘천,72,-7,0,-3,45,-13,0,3,풋고추,PA350301,청양고추,,0,2001-01-01 00:00:00
1,4617000000,나주,0,0,0,4,0,-7,12,0,풋고추,PA350101,풋고추,,0,2001-01-01 00:00:00
0,4211000000,춘천,72,-7,0,-3,45,-13,0,3,풋고추,PA350101,풋고추,,0,2001-01-01 00:00:00
1,4427000000,당진,0,-3,2,1,0,-10,5,0,풋고추,PA350201,꽈리고추,,0,2001-01-01 00:00:00
2,4211000000,춘천,53,-5,2,-1,31,-9,0,1,풋고추,PA350101,풋고추,,0,2001-01-02 00:00:00
1,4211000000,춘천,53,-5,2,-1,31,-9,0,1,풋고추,PA350301,청양고추,,0,2001-01-02 00:00:00
3,4617000000,나주,0,3,2,7,0,0,0,0,풋고추,PA350101,풋고추,,0,2001-01-02 00:00:00
2,4211000000,춘천,53,-5,2,-1,31,-9,0,1,풋고추,PA350201,꽈리고추,,0,2001-01-02 00:00:00
3,4427000000,당진,0,-2,3,2,0,-6,0,0,풋고추,PA350201,꽈리고추,,0,2001-01-02 00:00:00
4,4617000000,나주,0,0,1,3,0,-3,0,0,풋고추,PA350101,풋고추,,0,2001-01-03 00:00:00
5,4211000000,춘천,41,-8,2,-4,28,-12,0,8,풋고추,PA350101,풋고추,,0,2001-01-03 00:00:00
2,4211000000,춘천,41,-8,2,-4,28,-12,0,8,풋고추,PA350301,청양고추,,0,2001-01-03 00:00:00
4,4427000000,당진,0,-7,1,-2,0,-11,0,0,풋고추,PA350201,꽈리고추,,0,2001-01-03 00:00:00
5,4211000000,춘천,41,-8,2,-4,28,-12,0,8,풋고추,PA350201,꽈리고추,,0,2001-01-03 00:00:00
6,4617000000,나주,0,-2,2,0,0,-4,0,0,풋고추,PA350101,풋고추,,0,2001-01-04 00:00:00
7,4211000000,춘천,46,-10,1,-4,22,-16,0,8,풋고추,PA350101,풋고추,,0,2001-01-04 00:00:00
6,4427000000,당진,0,-7,3,-4,0,-11,0,0,풋고추,PA350201,꽈리고추,,0,2001-01-04 00:00:00
7,4211000000,춘천,46,-10,1,-4,22,-16,0,8,풋고추,PA350201,꽈리고추,,0,2001-01-04 00:00:00
3,4211000000,춘천,46,-10,1,-4,22,-16,0,8,풋고추,PA350301,청양고추,,0,2001-01-04 00:00:00
8,4617000000,나주,0,-2,1,2,0,-7,0,0,풋고추,PA350101,풋고추,,0,2001-01-05 00:00:00
9,4211000000,춘천,66,-9,0,-2,29,-16,0,7,풋고추,PA350101,풋고추,,0,2001-01-05 00:00:00
9,4211000000,춘천,66,-9,0,-2,29,-16,0,7,풋고추,PA350201,꽈리고추,,0,2001-01-05 00:00:00
8,4427000000,당진,0,-8,0,-2,0,-13,0,0,풋고추,PA350201,꽈리고추,,0,2001-01-05 00:00:00
4,4211000000,춘천,66,-9,0,-2,29,-16,0,7,풋고추,PA350301,청양고추,,0,2001-01-05 00:00:00
10,4211000000,춘천,64,-6,0,0,36,-14,0,6,풋고추,PA350101,풋고추,,0,2001-01-06 00:00:00
11,4617000000,나주,0,0,1,5,0,-6,12,0,풋고추,PA350101,풋고추,,0,2001-01-06 00:00:00
10,4211000000,춘천,64,-6,0,0,36,-14,0,6,풋고추,PA350201,꽈리고추,,0,2001-01-06 00:00:00
11,4427000000,당진,0,-4,2,0,0,-11,0,0,풋고추,PA350201,꽈리고추,,0,2001-01-06 00:00:00
