지역 아이디,지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,작물 명,작물별 특성아이디,작물별 특성 이름,특보 코드,특보 발효 여부,연월일
4719000000,구미,54,-2,1,3,26,-9,0,7,당근,PA080301,가을,,0,2001-01-01 00:00:00
4719000000,구미,47,2,3,6,36,-1,0,7,당근,PA080301,가을,,0,2001-01-02 00:00:00
4719000000,구미,48,-3,2,0,35,-8,0,7,당근,PA080301,가을,,0,2001-01-03 00:00:00
4719000000,구미,45,-4,2,-1,28,-7,0,7,당근,PA080301,가을,,0,2001-01-04 00:00:00
4719000000,구미,49,-3,2,1,34,-9,0,7,당근,PA080301,가을,,0,2001-01-05 00:00:00
4719000000,구미,51,-2,0,3,24,-9,0,6,당근,PA080301,가을,,0,2001-01-06 00:00:00
4719000000,구미,88,1,0,2,43,0,28,0,당근,PA080301,가을,,0,2001-01-07 00:00:00
4719000000,구미,74,3,0,9,45,0,1,6,당근,PA080301,가을,,0,2001-01-08 00:00:00
4719000000,구미,77,1,1,4,55,0,1,0,당근,PA080301,가을,,0,2001-01-09 00:00:00
4719000000,구미,52,-2,1,2,24,-6,0,7,당근,PA080301,가을,,0,2001-01-10 00:00:00
4719000000,구미,52,-2,1,2,30,-7,0,7,당근,PA080301,가을,,0,2001-01-11 00:00:00
4719000000,구미,53,-6,2,-2,41,-9,0,7,당근,PA080301,가을,,0,2001-01-12 00:00:00
4719000000,구미,62,-6,1,-1,41,-8,0,4,당근,PA080301,가을,,0,2001-01-13 00:00:00
4719000000,구미,54,-9,2,-5,37,-12,0,7,당근,PA080301,가을,,0,2001-01-14 00:00:00
4719000000,구미,56,-10,2,-6,36,-13,0,7,당근,PA080301,가을,,0,2001-01-15 00:00:00
4719000000,구미,50,-8,2,-3,31,-12,0,7,당근,PA080301,가을,,0,2001-01-16 00:00:00
4719000000,구미,50,-6,1,0,33,-12,0,7,당근,PA080301,가을,,0,2001-01-17 00:00:00
4719000000,구미,71,-2,0,3,52,-9,0,0,당근,PA080301,가을,,0,2001-01-18 00:00:00
4719000000,구미,80,-1,0,3,61,-6,0,0,당근,PA080301,가을,,0,2001-01-19 00:00:00
4719000000,구미,83,1,0,6,64,-2,9,1,당근,PA080301,가을,,0,2001-01-20 00:00:00
4719000000,구미,75,-1,1,4,51,-6,0,6,당근,PA080301,가을,,0,2001-01-21 00:00:00
4719000000,구미,74,-2,0,3,43,-6,0,0,당근,PA080301,가을,,0,2001-01-22 00:00:00
4719000000,구미,62,-2,0,6,22,-8,0,7,당근,PA080301,가을,,0,2001-01-23 00:00:00
4719000000,구미,70,-2,0,4,49,-9,0,2,당근,PA080301,가을,,0,2001-01-24 00:00:00
4719000000,구미,67,2,0,7,42,-2,0,1,당근,PA080301,가을,,0,2001-01-25 00:00:00
4719000000,구미,61,2,1,4,47,1,0,0,당근,PA080301,가을,,0,2001-01-26 00:00:00
4719000000,구미,74,1,1,5,58,0,0,2,당근,PA080301,가을,,0,2001-01-27 00:00:00
4719000000,구미,61,0,2,3,36,-3,0,2,당근,PA080301,가을,,0,2001-01-28 00:00:00
4719000000,구미,59,0,1,4,37,-6,0,5,당근,PA080301,가을,,0,2001-01-29 00:00:00
4719000000,구미,67,0,1,5,39,-6,0,7,당근,PA080301,가을,,0,2001-01-30 00:00:00
4719000000,구미,73,-1,0,3,51,-6,0,0,당근,PA080301,가을,,0,2001-01-31 00:00:00
4719000000,구미,43,-1,2,2,29,-6,0,8,당근,PA080301,가을,,0,2001-02-01 00:00:00
4719000000,구미,49,-2,1,2,24,-9,0,8,당근,PA080301,가을,,0,2001-02-02 00:00:00
4719000000,구미,67,0,0,7,47,-4,0,4,당근,PA080301,가을,,0,2001-02-03 00:00:00
4719000000,구미,72,1,0,8,43,-2,0,6,당근,PA080301,가을,,0,2001-02-04 00:00:00
4719000000,구미,67,2,0,10,30,-4,0,8,당근,PA080301,가을,,0,2001-02-05 00:00:00
4719000000,구미,66,4,0,10,51,1,0,3,당근,PA080301,가을,,0,2001-02-06 00:00:00
4719000000,구미,52,2,2,6,27,-3,0,5,당근,PA080301,가을,,0,2001-02-07 00:00:00
4719000000,구미,44,-2,2,1,26,-6,0,8,당근,PA080301,가을,,0,2001-02-08 00:00:00
4719000000,구미,57,0,1,6,37,-7,0,8,당근,PA080301,가을,,0,2001-02-09 00:00:00
4719000000,구미,49,0,1,6,25,-5,0,8,당근,PA080301,가을,,0,2001-02-10 00:00:00
4719000000,구미,51,0,1,5,22,-6,0,6,당근,PA080301,가을,,0,2001-02-11 00:00:00
4719000000,구미,32,0,1,3,21,-1,0,1,당근,PA080301,가을,,0,2001-02-12 00:00:00
4719000000,구미,35,0,2,3,24,-3,0,7,당근,PA080301,가을,,0,2001-02-13 00:00:00
4719000000,구미,45,-1,2,3,25,-5,0,8,당근,PA080301,가을,,0,2001-02-14 00:00:00
4719000000,구미,64,0,1,8,33,-7,0,5,당근,PA080301,가을,,0,2001-02-15 00:00:00
4719000000,구미,49,-1,2,2,34,-5,4,8,당근,PA080301,가을,,0,2001-02-16 00:00:00
4719000000,구미,58,-1,1,5,39,-7,0,7,당근,PA080301,가을,,0,2001-02-17 00:00:00
4719000000,구미,60,3,1,11,35,-2,0,8,당근,PA080301,가을,,0,2001-02-18 00:00:00
4719000000,구미,58,5,1,13,28,-1,0,7,당근,PA080301,가을,,0,2001-02-19 00:00:00
4719000000,구미,64,4,0,14,33,-2,0,8,당근,PA080301,가을,,0,2001-02-20 00:00:00
4719000000,구미,80,3,0,9,65,0,1,0,당근,PA080301,가을,,0,2001-02-21 00:00:00
4719000000,구미,67,5,0,17,21,-2,0,8,당근,PA080301,가을,,0,2001-02-22 00:00:00
