지역 아이디,지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,작물 명,작물별 특성아이디,작물별 특성 이름,특보 코드,특보 발효 여부,연월일
4122000000,평택,0,-4,1,0,0,-11,0,0,무,PA130201,봄,,0,2001-01-01 00:00:00
4482500000,태안,0,-1,1,4,0,-8,1,0,무,PA130201,봄,,0,2001-01-01 00:00:00
4427000000,당진,0,-3,2,1,0,-10,5,0,무,PA130201,봄,,0,2001-01-01 00:00:00
4617000000,나주,0,0,0,4,0,-7,12,0,무,PA130201,봄,,0,2001-01-01 00:00:00
4617000000,나주,0,3,2,7,0,0,0,0,무,PA130201,봄,,0,2001-01-02 00:00:00
4122000000,평택,0,-3,2,0,0,-8,0,0,무,PA130201,봄,,0,2001-01-02 00:00:00
4482500000,태안,0,-1,2,3,0,-5,0,0,무,PA130201,봄,,0,2001-01-02 00:00:00
4427000000,당진,0,-2,3,2,0,-6,0,0,무,PA130201,봄,,0,2001-01-02 00:00:00
4122000000,평택,0,-7,1,-3,0,-11,0,0,무,PA130201,봄,,0,2001-01-03 00:00:00
4482500000,태안,0,-5,1,-2,0,-8,0,0,무,PA130201,봄,,0,2001-01-03 00:00:00
4427000000,당진,0,-7,1,-2,0,-11,0,0,무,PA130201,봄,,0,2001-01-03 00:00:00
4617000000,나주,0,0,1,3,0,-3,0,0,무,PA130201,봄,,0,2001-01-03 00:00:00
4617000000,나주,0,-2,2,0,0,-4,0,0,무,PA130201,봄,,0,2001-01-04 00:00:00
4122000000,평택,0,-9,2,-4,0,-11,0,0,무,PA130201,봄,,0,2001-01-04 00:00:00
4482500000,태안,0,-6,2,-4,0,-8,0,0,무,PA130201,봄,,0,2001-01-04 00:00:00
4427000000,당진,0,-7,3,-4,0,-11,0,0,무,PA130201,봄,,0,2001-01-04 00:00:00
4122000000,평택,0,-7,0,-1,0,-14,0,0,무,PA130201,봄,,0,2001-01-05 00:00:00
4482500000,태안,0,-5,1,-1,0,-9,0,0,무,PA130201,봄,,0,2001-01-05 00:00:00
4427000000,당진,0,-8,0,-2,0,-13,0,0,무,PA130201,봄,,0,2001-01-05 00:00:00
4617000000,나주,0,-2,1,2,0,-7,0,0,무,PA130201,봄,,0,2001-01-05 00:00:00
4617000000,나주,0,0,1,5,0,-6,12,0,무,PA130201,봄,,0,2001-01-06 00:00:00
4482500000,태안,0,-2,2,1,0,-7,0,0,무,PA130201,봄,,0,2001-01-06 00:00:00
4427000000,당진,0,-4,2,0,0,-11,0,0,무,PA130201,봄,,0,2001-01-06 00:00:00
4122000000,평택,0,-3,1,1,0,-12,0,0,무,PA130201,봄,,0,2001-01-06 00:00:00
4427000000,당진,0,0,3,1,0,-1,12,0,무,PA130201,봄,,0,2001-01-07 00:00:00
4122000000,평택,0,0,2,2,0,0,12,0,무,PA130201,봄,,0,2001-01-07 00:00:00
4482500000,태안,0,0,4,1,0,-1,26,0,무,PA130201,봄,,0,2001-01-07 00:00:00
4617000000,나주,0,5,1,8,0,0,9,0,무,PA130201,봄,,0,2001-01-07 00:00:00
4617000000,나주,0,6,1,11,0,2,0,0,무,PA130201,봄,,0,2001-01-08 00:00:00
4427000000,당진,0,0,1,6,0,-3,23,0,무,PA130201,봄,,0,2001-01-08 00:00:00
4122000000,평택,0,2,1,5,0,0,19,0,무,PA130201,봄,,0,2001-01-08 00:00:00
4482500000,태안,0,2,3,4,0,0,5,0,무,PA130201,봄,,0,2001-01-08 00:00:00
4427000000,당진,0,0,3,1,0,-4,11,0,무,PA130201,봄,,0,2001-01-09 00:00:00
4122000000,평택,0,0,3,4,0,-4,10,0,무,PA130201,봄,,0,2001-01-09 00:00:00
4482500000,태안,0,0,3,3,0,-3,9,0,무,PA130201,봄,,0,2001-01-09 00:00:00
4617000000,나주,0,4,2,7,0,0,0,0,무,PA130201,봄,,0,2001-01-09 00:00:00
4617000000,나주,0,0,1,4,0,-3,0,0,무,PA130201,봄,,0,2001-01-10 00:00:00
4427000000,당진,0,-5,1,0,0,-11,0,0,무,PA130201,봄,,0,2001-01-10 00:00:00
4482500000,태안,0,-3,1,1,0,-7,1,0,무,PA130201,봄,,0,2001-01-10 00:00:00
4122000000,평택,0,-5,1,-1,0,-10,0,0,무,PA130201,봄,,0,2001-01-10 00:00:00
4482500000,태안,0,-5,2,2,0,-8,1,0,무,PA130201,봄,,0,2001-01-11 00:00:00
4427000000,당진,0,-6,3,0,0,-11,0,0,무,PA130201,봄,,0,2001-01-11 00:00:00
4122000000,평택,0,-6,2,-1,0,-12,0,0,무,PA130201,봄,,0,2001-01-11 00:00:00
4617000000,나주,0,0,1,4,0,-2,0,0,무,PA130201,봄,,0,2001-01-11 00:00:00
4617000000,나주,0,-2,2,1,0,-5,0,0,무,PA130201,봄,,0,2001-01-12 00:00:00
4482500000,태안,0,-9,2,-7,0,-13,0,0,무,PA130201,봄,,0,2001-01-12 00:00:00
4427000000,당진,0,-11,1,-7,0,-16,0,0,무,PA130201,봄,,0,2001-01-12 00:00:00
4122000000,평택,0,-11,1,-8,0,-16,0,0,무,PA130201,봄,,0,2001-01-12 00:00:00
4482500000,태안,0,-7,3,-4,0,-9,0,0,무,PA130201,봄,,0,2001-01-13 00:00:00
4427000000,당진,0,-8,3,-5,0,-12,0,0,무,PA130201,봄,,0,2001-01-13 00:00:00
4122000000,평택,0,-9,2,-4,0,-13,0,0,무,PA130201,봄,,0,2001-01-13 00:00:00
4617000000,나주,0,-2,2,2,0,-5,0,0,무,PA130201,봄,,0,2001-01-13 00:00:00
4617000000,나주,0,-7,1,-3,0,-10,0,0,무,PA130201,봄,,0,2001-01-14 00:00:00
4482500000,태안,0,-10,2,-7,0,-11,0,0,무,PA130201,봄,,0,2001-01-14 00:00:00
4427000000,당진,0,-11,5,-8,0,-13,0,0,무,PA130201,봄,,0,2001-01-14 00:00:00
4122000000,평택,0,-13,2,-8,0,-16,0,0,무,PA130201,봄,,0,2001-01-14 00:00:00
4427000000,당진,0,-13,2,-9,0,-18,0,0,무,PA130201,봄,,0,2001-01-15 00:00:00
4122000000,평택,0,-15,1,-10,0,-20,0,0,무,PA130201,봄,,0,2001-01-15 00:00:00
4482500000,태안,0,-10,2,-8,0,-12,0,0,무,PA130201,봄,,0,2001-01-15 00:00:00
4617000000,나주,0,-8,1,-5,0,-11,12,0,무,PA130201,봄,,0,2001-01-15 00:00:00
4617000000,나주,0,-7,1,-1,0,-12,12,0,무,PA130201,봄,,0,2001-01-16 00:00:00
4122000000,평택,0,-14,1,-8,0,-18,0,0,무,PA130201,봄,,0,2001-01-16 00:00:00
4482500000,태안,0,-9,1,-6,0,-12,0,0,무,PA130201,봄,,0,2001-01-16 00:00:00
4427000000,당진,0,-14,1,-7,0,-19,0,0,무,PA130201,봄,,0,2001-01-16 00:00:00
4122000000,평택,0,-8,1,-1,0,-17,0,0,무,PA130201,봄,,0,2001-01-17 00:00:00
4482500000,태안,0,-6,1,0,0,-14,0,0,무,PA130201,봄,,0,2001-01-17 00:00:00
4427000000,당진,0,-10,1,-3,0,-19,0,0,무,PA130201,봄,,0,2001-01-17 00:00:00
4617000000,나주,0,-5,0,2,0,-11,0,0,무,PA130201,봄,,0,2001-01-17 00:00:00
4617000000,나주,0,-1,0,7,0,-9,12,0,무,PA130201,봄,,0,2001-01-18 00:00:00
4122000000,평택,0,0,0,4,0,-4,0,0,무,PA130201,봄,,0,2001-01-18 00:00:00
4482500000,태안,0,0,0,5,0,-3,0,0,무,PA130201,봄,,0,2001-01-18 00:00:00
4427000000,당진,0,0,1,7,0,-6,0,0,무,PA130201,봄,,0,2001-01-18 00:00:00
4482500000,태안,0,0,0,4,0,-4,0,0,무,PA130201,봄,,0,2001-01-19 00:00:00
4427000000,당진,0,-2,0,3,0,-8,0,0,무,PA130201,봄,,0,2001-01-19 00:00:00
4122000000,평택,0,0,0,4,0,-7,0,0,무,PA130201,봄,,0,2001-01-19 00:00:00
4617000000,나주,0,1,1,4,0,-4,0,0,무,PA130201,봄,,0,2001-01-19 00:00:00
4617000000,나주,0,4,2,8,0,0,28,0,무,PA130201,봄,,0,2001-01-20 00:00:00
4427000000,당진,0,0,1,1,0,-3,2,0,무,PA130201,봄,,0,2001-01-20 00:00:00
4122000000,평택,0,0,1,4,0,-2,1,0,무,PA130201,봄,,0,2001-01-20 00:00:00
4482500000,태안,0,0,1,2,0,-2,2,0,무,PA130201,봄,,0,2001-01-20 00:00:00
4427000000,당진,0,-2,0,4,0,-7,0,0,무,PA130201,봄,,0,2001-01-21 00:00:00
4122000000,평택,0,-1,0,3,0,-6,0,0,무,PA130201,봄,,0,2001-01-21 00:00:00
4482500000,태안,0,-1,0,3,0,-4,0,0,무,PA130201,봄,,0,2001-01-21 00:00:00
4617000000,나주,0,2,1,6,0,-2,0,0,무,PA130201,봄,,0,2001-01-21 00:00:00
4617000000,나주,0,2,1,8,0,-1,12,0,무,PA130201,봄,,0,2001-01-22 00:00:00
4427000000,당진,0,-3,0,1,0,-7,0,0,무,PA130201,봄,,0,2001-01-22 00:00:00
4122000000,평택,0,-1,0,2,0,-5,0,0,무,PA130201,봄,,0,2001-01-22 00:00:00
4482500000,태안,0,0,1,2,0,-3,0,0,무,PA130201,봄,,0,2001-01-22 00:00:00
4122000000,평택,0,-4,1,0,0,-10,0,0,무,PA130201,봄,,0,2001-01-23 00:00:00
4482500000,태안,0,-2,2,0,0,-4,0,0,무,PA130201,봄,,0,2001-01-23 00:00:00
4427000000,당진,0,-6,0,-1,0,-11,0,0,무,PA130201,봄,,0,2001-01-23 00:00:00
4617000000,나주,0,1,1,6,0,-3,0,0,무,PA130201,봄,,0,2001-01-23 00:00:00
4617000000,나주,0,3,2,7,0,0,0,0,무,PA130201,봄,,0,2001-01-24 00:00:00
4482500000,태안,0,0,0,6,0,-6,0,0,무,PA130201,봄,,0,2001-01-24 00:00:00
4427000000,당진,0,-2,1,4,0,-10,0,0,무,PA130201,봄,,0,2001-01-24 00:00:00
4122000000,평택,0,0,1,5,0,-7,0,0,무,PA130201,봄,,0,2001-01-24 00:00:00
