지역 아이디,지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,작물 명,작물별 특성아이디,작물별 특성 이름,특보 코드,특보 발효 여부,연월일
4617000000,나주,0,0,0,4,0,-7,12,0,배추,PA170201,봄,,0,2001-01-01 00:00:00
4617000000,나주,0,3,2,7,0,0,0,0,배추,PA170201,봄,,0,2001-01-02 00:00:00
4617000000,나주,0,0,1,3,0,-3,0,0,배추,PA170201,봄,,0,2001-01-03 00:00:00
4617000000,나주,0,-2,2,0,0,-4,0,0,배추,PA170201,봄,,0,2001-01-04 00:00:00
4617000000,나주,0,-2,1,2,0,-7,0,0,배추,PA170201,봄,,0,2001-01-05 00:00:00
4617000000,나주,0,0,1,5,0,-6,12,0,배추,PA170201,봄,,0,2001-01-06 00:00:00
4617000000,나주,0,5,1,8,0,0,9,0,배추,PA170201,봄,,0,2001-01-07 00:00:00
4617000000,나주,0,6,1,11,0,2,0,0,배추,PA170201,봄,,0,2001-01-08 00:00:00
4617000000,나주,0,4,2,7,0,0,0,0,배추,PA170201,봄,,0,2001-01-09 00:00:00
4617000000,나주,0,0,1,4,0,-3,0,0,배추,PA170201,봄,,0,2001-01-10 00:00:00
4617000000,나주,0,0,1,4,0,-2,0,0,배추,PA170201,봄,,0,2001-01-11 00:00:00
4617000000,나주,0,-2,2,1,0,-5,0,0,배추,PA170201,봄,,0,2001-01-12 00:00:00
4617000000,나주,0,-2,2,2,0,-5,0,0,배추,PA170201,봄,,0,2001-01-13 00:00:00
4617000000,나주,0,-7,1,-3,0,-10,0,0,배추,PA170201,봄,,0,2001-01-14 00:00:00
4617000000,나주,0,-8,1,-5,0,-11,12,0,배추,PA170201,봄,,0,2001-01-15 00:00:00
4617000000,나주,0,-7,1,-1,0,-12,12,0,배추,PA170201,봄,,0,2001-01-16 00:00:00
4617000000,나주,0,-5,0,2,0,-11,0,0,배추,PA170201,봄,,0,2001-01-17 00:00:00
4617000000,나주,0,-1,0,7,0,-9,12,0,배추,PA170201,봄,,0,2001-01-18 00:00:00
4617000000,나주,0,1,1,4,0,-4,0,0,배추,PA170201,봄,,0,2001-01-19 00:00:00
4617000000,나주,0,4,2,8,0,0,28,0,배추,PA170201,봄,,0,2001-01-20 00:00:00
4617000000,나주,0,2,1,6,0,-2,0,0,배추,PA170201,봄,,0,2001-01-21 00:00:00
4617000000,나주,0,2,1,8,0,-1,12,0,배추,PA170201,봄,,0,2001-01-22 00:00:00
4617000000,나주,0,1,1,6,0,-3,0,0,배추,PA170201,봄,,0,2001-01-23 00:00:00
4617000000,나주,0,3,2,7,0,0,0,0,배추,PA170201,봄,,0,2001-01-24 00:00:00
4617000000,나주,0,5,1,8,0,2,0,0,배추,PA170201,봄,,0,2001-01-25 00:00:00
4617000000,나주,0,5,1,8,0,1,0,0,배추,PA170201,봄,,0,2001-01-26 00:00:00
4617000000,나주,0,2,1,6,0,0,4,0,배추,PA170201,봄,,0,2001-01-27 00:00:00
4617000000,나주,0,0,1,4,0,-1,4,0,배추,PA170201,봄,,0,2001-01-28 00:00:00
4617000000,나주,0,0,0,5,0,-4,0,0,배추,PA170201,봄,,0,2001-01-29 00:00:00
4617000000,나주,0,1,0,7,0,-2,0,0,배추,PA170201,봄,,0,2001-01-30 00:00:00
4617000000,나주,0,2,0,6,0,-2,0,0,배추,PA170201,봄,,0,2001-01-31 00:00:00
4617000000,나주,0,0,3,5,0,-3,0,0,배추,PA170201,봄,,0,2001-02-01 00:00:00
4617000000,나주,0,-2,1,4,0,-7,12,0,배추,PA170201,봄,,0,2001-02-02 00:00:00
4617000000,나주,0,1,0,7,0,-5,0,0,배추,PA170201,봄,,0,2001-02-03 00:00:00
4617000000,나주,0,4,0,10,0,0,0,0,배추,PA170201,봄,,0,2001-02-04 00:00:00
4617000000,나주,0,5,1,13,0,-1,0,0,배추,PA170201,봄,,0,2001-02-05 00:00:00
4617000000,나주,0,6,1,10,0,3,12,0,배추,PA170201,봄,,0,2001-02-06 00:00:00
4617000000,나주,0,1,2,5,0,-1,2,0,배추,PA170201,봄,,0,2001-02-07 00:00:00
4617000000,나주,0,-1,2,2,0,-4,12,0,배추,PA170201,봄,,0,2001-02-08 00:00:00
4617000000,나주,0,0,0,5,0,-6,0,0,배추,PA170201,봄,,0,2001-02-09 00:00:00
4617000000,나주,0,0,0,9,0,-4,0,0,배추,PA170201,봄,,0,2001-02-10 00:00:00
4617000000,나주,0,1,1,5,0,-4,0,0,배추,PA170201,봄,,0,2001-02-11 00:00:00
4617000000,나주,0,0,2,2,0,0,0,0,배추,PA170201,봄,,0,2001-02-12 00:00:00
4617000000,나주,0,0,2,4,0,-2,0,0,배추,PA170201,봄,,0,2001-02-13 00:00:00
4617000000,나주,0,0,1,4,0,-5,0,0,배추,PA170201,봄,,0,2001-02-14 00:00:00
4617000000,나주,0,1,2,9,0,-5,2,0,배추,PA170201,봄,,0,2001-02-15 00:00:00
4617000000,나주,0,0,2,2,0,-4,0,0,배추,PA170201,봄,,0,2001-02-16 00:00:00
4617000000,나주,0,0,1,6,0,-7,0,0,배추,PA170201,봄,,0,2001-02-17 00:00:00
4617000000,나주,0,3,1,10,0,0,0,0,배추,PA170201,봄,,0,2001-02-18 00:00:00
4617000000,나주,0,4,1,13,0,-2,0,0,배추,PA170201,봄,,0,2001-02-19 00:00:00
4617000000,나주,0,7,0,16,0,-2,0,0,배추,PA170201,봄,,0,2001-02-20 00:00:00
4617000000,나주,0,6,0,9,0,1,4,0,배추,PA170201,봄,,0,2001-02-21 00:00:00
4617000000,나주,0,6,1,17,0,0,0,0,배추,PA170201,봄,,0,2001-02-22 00:00:00
4617000000,나주,0,7,2,8,0,4,30,0,배추,PA170201,봄,,0,2001-02-23 00:00:00
4617000000,나주,0,3,2,7,0,0,9,0,배추,PA170201,봄,,0,2001-02-24 00:00:00
4617000000,나주,0,1,2,5,0,-1,0,0,배추,PA170201,봄,,0,2001-02-25 00:00:00
4617000000,나주,0,2,0,10,0,-2,12,0,배추,PA170201,봄,,0,2001-02-26 00:00:00
4617000000,나주,0,5,1,13,0,-1,32,0,배추,PA170201,봄,,0,2001-02-27 00:00:00
4617000000,나주,0,6,2,13,0,4,12,0,배추,PA170201,봄,,0,2001-02-28 00:00:00
4617000000,나주,0,6,1,10,0,3,4,0,배추,PA170201,봄,,0,2001-03-01 00:00:00
4617000000,나주,0,6,0,11,0,0,0,0,배추,PA170201,봄,,0,2001-03-02 00:00:00
4617000000,나주,0,6,1,13,0,0,1,0,배추,PA170201,봄,,0,2001-03-03 00:00:00
4617000000,나주,0,1,2,2,0,0,1,0,배추,PA170201,봄,,0,2001-03-04 00:00:00
4617000000,나주,0,4,1,9,0,0,0,0,배추,PA170201,봄,,0,2001-03-05 00:00:00
4617000000,나주,0,7,1,14,0,1,12,0,배추,PA170201,봄,,0,2001-03-06 00:00:00
4617000000,나주,0,1,3,5,0,-1,0,0,배추,PA170201,봄,,0,2001-03-07 00:00:00
4617000000,나주,0,-1,2,1,0,-2,1,0,배추,PA170201,봄,,0,2001-03-08 00:00:00
4617000000,나주,0,1,1,6,0,-3,1,0,배추,PA170201,봄,,0,2001-03-09 00:00:00
4617000000,나주,0,4,1,10,0,0,0,0,배추,PA170201,봄,,0,2001-03-10 00:00:00
4617000000,나주,0,2,1,8,0,-3,0,0,배추,PA170201,봄,,0,2001-03-11 00:00:00
4617000000,나주,0,2,1,7,0,-2,0,0,배추,PA170201,봄,,0,2001-03-12 00:00:00
4617000000,나주,0,5,1,14,0,-3,0,0,배추,PA170201,봄,,0,2001-03-13 00:00:00
4617000000,나주,0,11,2,15,0,5,0,0,배추,PA170201,봄,,0,2001-03-14 00:00:00
4617000000,나주,0,6,2,12,0,3,0,0,배추,PA170201,봄,,0,2001-03-15 00:00:00
4617000000,나주,0,6,1,14,0,-1,0,0,배추,PA170201,봄,,0,2001-03-16 00:00:00
4617000000,나주,0,8,1,10,0,6,14,0,배추,PA170201,봄,,0,2001-03-17 00:00:00
4617000000,나주,0,8,1,16,0,0,12,0,배추,PA170201,봄,,0,2001-03-18 00:00:00
4617000000,나주,0,10,1,17,0,4,12,0,배추,PA170201,봄,,0,2001-03-19 00:00:00
4617000000,나주,0,11,1,20,0,4,12,0,배추,PA170201,봄,,0,2001-03-20 00:00:00
4617000000,나주,0,12,1,23,0,2,0,0,배추,PA170201,봄,,0,2001-03-21 00:00:00
4617000000,나주,0,11,1,18,0,5,0,0,배추,PA170201,봄,,0,2001-03-22 00:00:00
4617000000,나주,0,12,1,21,0,4,0,0,배추,PA170201,봄,,0,2001-03-23 00:00:00
4617000000,나주,0,13,1,22,0,3,0,0,배추,PA170201,봄,,0,2001-03-24 00:00:00
4617000000,나주,0,11,1,20,0,6,12,0,배추,PA170201,봄,,0,2001-03-25 00:00:00
4617000000,나주,0,6,2,12,0,3,12,0,배추,PA170201,봄,,0,2001-03-26 00:00:00
4617000000,나주,0,8,1,15,0,0,0,0,배추,PA170201,봄,,0,2001-03-27 00:00:00
4617000000,나주,0,4,2,7,0,3,5,0,배추,PA170201,봄,,0,2001-03-28 00:00:00
4617000000,나주,0,4,1,9,0,0,0,0,배추,PA170201,봄,,0,2001-03-29 00:00:00
4617000000,나주,0,2,1,5,0,0,2,0,배추,PA170201,봄,,0,2001-03-30 00:00:00
4617000000,나주,0,5,2,9,0,0,0,0,배추,PA170201,봄,,0,2001-03-31 00:00:00
4617000000,나주,0,5,1,13,0,-1,0,0,배추,PA170201,봄,,0,2001-04-01 00:00:00
4617000000,나주,0,10,1,17,0,1,12,0,배추,PA170201,봄,,0,2001-04-02 00:00:00
4617000000,나주,0,10,2,15,0,3,0,0,배추,PA170201,봄,,0,2001-04-03 00:00:00
4617000000,나주,0,8,1,18,0,0,0,0,배추,PA170201,봄,,0,2001-04-04 00:00:00
4617000000,나주,0,9,1,19,0,1,12,0,배추,PA170201,봄,,0,2001-04-05 00:00:00
4617000000,나주,0,12,1,20,0,3,0,0,배추,PA170201,봄,,0,2001-04-06 00:00:00
4617000000,나주,0,15,0,23,0,7,0,0,배추,PA170201,봄,,0,2001-04-07 00:00:00
4617000000,나주,0,16,1,23,0,7,1,0,배추,PA170201,봄,,0,2001-04-08 00:00:00
4617000000,나주,0,19,1,27,0,14,15,0,배추,PA170201,봄,,0,2001-04-09 00:00:00
4617000000,나주,0,16,0,25,0,10,0,0,배추,PA170201,봄,,0,2001-04-10 00:00:00
4617000000,나주,0,8,1,12,0,4,0,0,배추,PA170201,봄,,0,2001-04-11 00:00:00
4617000000,나주,0,9,1,16,0,3,0,0,배추,PA170201,봄,,0,2001-04-12 00:00:00
4617000000,나주,0,12,1,20,0,3,0,0,배추,PA170201,봄,,0,2001-04-13 00:00:00
4617000000,나주,0,10,1,15,0,6,6,0,배추,PA170201,봄,,0,2001-04-14 00:00:00
4617000000,나주,0,12,1,20,0,3,0,0,배추,PA170201,봄,,0,2001-04-15 00:00:00
4617000000,나주,0,14,1,23,0,5,0,0,배추,PA170201,봄,,0,2001-04-16 00:00:00
4617000000,나주,0,15,1,25,0,6,0,0,배추,PA170201,봄,,0,2001-04-17 00:00:00
4617000000,나주,0,15,1,25,0,7,0,0,배추,PA170201,봄,,0,2001-04-18 00:00:00
4617000000,나주,0,14,1,23,0,7,0,0,배추,PA170201,봄,,0,2001-04-19 00:00:00
4617000000,나주,0,13,1,17,0,10,0,0,배추,PA170201,봄,,0,2001-04-20 00:00:00
4617000000,나주,0,15,2,22,0,10,0,0,배추,PA170201,봄,,0,2001-04-21 00:00:00
4617000000,나주,0,13,1,21,0,4,12,0,배추,PA170201,봄,,0,2001-04-22 00:00:00
4617000000,나주,0,14,1,23,0,5,0,0,배추,PA170201,봄,,0,2001-04-23 00:00:00
4617000000,나주,0,14,1,20,0,8,0,0,배추,PA170201,봄,,0,2001-04-24 00:00:00
4617000000,나주,0,11,1,20,0,4,0,0,배추,PA170201,봄,,0,2001-04-25 00:00:00
4617000000,나주,0,12,1,21,0,3,0,0,배추,PA170201,봄,,0,2001-04-26 00:00:00
4617000000,나주,0,14,1,25,0,5,0,0,배추,PA170201,봄,,0,2001-04-27 00:00:00
4617000000,나주,0,15,1,23,0,9,6,0,배추,PA170201,봄,,0,2001-04-28 00:00:00
4617000000,나주,0,16,2,18,0,14,20,0,배추,PA170201,봄,,0,2001-04-29 00:00:00
4617000000,나주,0,16,1,22,0,13,9,0,배추,PA170201,봄,,0,2001-04-30 00:00:00
4617000000,나주,0,16,1,22,0,12,2,0,배추,PA170201,봄,,0,2001-05-01 00:00:00
4617000000,나주,0,15,1,22,0,11,1,0,배추,PA170201,봄,,0,2001-05-02 00:00:00
4617000000,나주,0,15,0,21,0,10,0,0,배추,PA170201,봄,,0,2001-05-03 00:00:00
4617000000,나주,0,16,0,27,0,11,12,0,배추,PA170201,봄,,0,2001-05-04 00:00:00
4617000000,나주,0,16,0,22,0,11,0,0,배추,PA170201,봄,,0,2001-05-05 00:00:00
4617000000,나주,0,19,1,23,0,14,0,0,배추,PA170201,봄,,0,2001-05-06 00:00:00
4617000000,나주,0,18,1,19,0,17,8,0,배추,PA170201,봄,,0,2001-05-07 00:00:00
4617000000,나주,0,20,1,26,0,17,0,0,배추,PA170201,봄,,0,2001-05-08 00:00:00
4617000000,나주,0,16,0,23,0,12,0,0,배추,PA170201,봄,,0,2001-05-09 00:00:00
4617000000,나주,0,17,0,24,0,10,0,0,배추,PA170201,봄,,0,2001-05-10 00:00:00
4617000000,나주,0,16,1,22,0,10,0,0,배추,PA170201,봄,,0,2001-05-11 00:00:00
4617000000,나주,0,16,1,25,0,8,12,0,배추,PA170201,봄,,0,2001-05-12 00:00:00
4617000000,나주,0,18,0,29,0,8,0,0,배추,PA170201,봄,,0,2001-05-13 00:00:00
4617000000,나주,0,21,1,29,0,13,0,0,배추,PA170201,봄,,0,2001-05-14 00:00:00
4617000000,나주,0,19,1,24,0,15,0,0,배추,PA170201,봄,,0,2001-05-15 00:00:00
4617000000,나주,0,19,1,27,0,12,0,0,배추,PA170201,봄,,0,2001-05-16 00:00:00
4617000000,나주,0,20,1,28,0,13,0,0,배추,PA170201,봄,,0,2001-05-17 00:00:00
4617000000,나주,0,20,1,26,0,14,0,0,배추,PA170201,봄,,0,2001-05-18 00:00:00
4617000000,나주,0,21,1,29,0,17,0,0,배추,PA170201,봄,,0,2001-05-19 00:00:00
4617000000,나주,0,22,1,30,0,16,12,0,배추,PA170201,봄,,0,2001-05-20 00:00:00
4617000000,나주,0,22,1,26,0,20,1,0,배추,PA170201,봄,,0,2001-05-21 00:00:00
4617000000,나주,0,18,2,20,0,17,4,0,배추,PA170201,봄,,0,2001-05-22 00:00:00
4617000000,나주,0,20,1,23,0,18,0,0,배추,PA170201,봄,,0,2001-05-23 00:00:00
4617000000,나주,0,21,1,29,0,15,0,0,배추,PA170201,봄,,0,2001-05-24 00:00:00
4617000000,나주,0,22,1,28,0,17,0,0,배추,PA170201,봄,,0,2001-05-25 00:00:00
4617000000,나주,0,20,0,24,0,17,0,0,배추,PA170201,봄,,0,2001-05-26 00:00:00
4617000000,나주,0,21,1,29,0,16,0,0,배추,PA170201,봄,,0,2001-05-27 00:00:00
4617000000,나주,0,20,1,29,0,13,0,0,배추,PA170201,봄,,0,2001-05-28 00:00:00
4617000000,나주,0,22,1,31,0,14,0,0,배추,PA170201,봄,,0,2001-05-29 00:00:00
4617000000,나주,0,19,1,21,0,16,0,0,배추,PA170201,봄,,0,2001-05-30 00:00:00
4617000000,나주,0,19,1,25,0,13,0,0,배추,PA170201,봄,,0,2001-05-31 00:00:00
4617000000,나주,0,19,1,27,0,12,12,0,배추,PA170201,봄,,0,2001-06-01 00:00:00
4617000000,나주,0,21,1,30,0,13,0,0,배추,PA170201,봄,,0,2001-06-02 00:00:00
4617000000,나주,0,22,1,31,0,18,0,0,배추,PA170201,봄,,0,2001-06-03 00:00:00
4617000000,나주,0,21,1,27,0,17,0,0,배추,PA170201,봄,,0,2001-06-04 00:00:00
4617000000,나주,0,20,0,23,0,18,12,0,배추,PA170201,봄,,0,2001-06-05 00:00:00
4617000000,나주,0,22,1,29,0,18,0,0,배추,PA170201,봄,,0,2001-06-06 00:00:00
4617000000,나주,0,24,1,34,0,16,0,0,배추,PA170201,봄,,0,2001-06-07 00:00:00
4617000000,나주,0,22,0,29,0,19,0,0,배추,PA170201,봄,,0,2001-06-08 00:00:00
4617000000,나주,0,23,1,30,0,19,0,0,배추,PA170201,봄,,0,2001-06-09 00:00:00
4617000000,나주,0,23,1,30,0,18,12,0,배추,PA170201,봄,,0,2001-06-10 00:00:00
4617000000,나주,0,23,1,30,0,19,0,0,배추,PA170201,봄,,0,2001-06-11 00:00:00
4617000000,나주,0,24,0,29,0,19,0,0,배추,PA170201,봄,,0,2001-06-12 00:00:00
4617000000,나주,0,20,1,24,0,18,12,0,배추,PA170201,봄,,0,2001-06-13 00:00:00
4617000000,나주,0,20,0,25,0,17,11,0,배추,PA170201,봄,,0,2001-06-14 00:00:00
4617000000,나주,0,21,1,26,0,16,0,0,배추,PA170201,봄,,0,2001-06-15 00:00:00
4617000000,나주,0,22,0,28,0,16,0,0,배추,PA170201,봄,,0,2001-06-16 00:00:00
4617000000,나주,0,24,1,30,0,18,1,0,배추,PA170201,봄,,0,2001-06-17 00:00:00
4617000000,나주,0,22,1,23,0,21,27,0,배추,PA170201,봄,,0,2001-06-18 00:00:00
4617000000,나주,0,22,0,25,0,19,9,0,배추,PA170201,봄,,0,2001-06-19 00:00:00
4617000000,나주,0,22,1,28,0,17,0,0,배추,PA170201,봄,,0,2001-06-20 00:00:00
4617000000,나주,0,22,1,28,0,19,0,0,배추,PA170201,봄,,0,2001-06-21 00:00:00
4617000000,나주,0,0,0,26,0,19,0,0,배추,PA170201,봄,,0,2001-06-22 00:00:00
4617000000,나주,0,20,0,23,0,19,6,0,배추,PA170201,봄,,0,2001-06-23 00:00:00
4617000000,나주,0,20,1,21,0,19,163,0,배추,PA170201,봄,,0,2001-06-24 00:00:00
4617000000,나주,0,22,0,25,0,20,2,0,배추,PA170201,봄,,0,2001-06-25 00:00:00
4617000000,나주,0,22,0,25,0,20,1,0,배추,PA170201,봄,,0,2001-06-26 00:00:00
4617000000,나주,0,23,1,30,0,19,0,0,배추,PA170201,봄,,0,2001-06-27 00:00:00
4617000000,나주,0,25,1,31,0,21,0,0,배추,PA170201,봄,,0,2001-06-28 00:00:00
4617000000,나주,0,25,1,26,0,24,6,0,배추,PA170201,봄,,0,2001-06-29 00:00:00
4617000000,나주,0,24,1,27,0,23,26,0,배추,PA170201,봄,,0,2001-06-30 00:00:00
4617000000,나주,0,26,0,31,0,23,26,0,배추,PA170201,봄,,0,2001-07-01 00:00:00
4617000000,나주,0,27,1,29,0,25,0,0,배추,PA170201,봄,,0,2001-07-02 00:00:00
4617000000,나주,0,26,1,32,0,23,12,0,배추,PA170201,봄,,0,2001-07-03 00:00:00
4617000000,나주,0,26,1,32,0,22,0,0,배추,PA170201,봄,,0,2001-07-04 00:00:00
4617000000,나주,0,26,1,31,0,22,19,0,배추,PA170201,봄,,0,2001-07-05 00:00:00
4617000000,나주,0,23,0,26,0,21,16,0,배추,PA170201,봄,,0,2001-07-06 00:00:00
4617000000,나주,0,25,1,32,0,21,12,0,배추,PA170201,봄,,0,2001-07-07 00:00:00
4617000000,나주,0,25,1,33,0,21,12,0,배추,PA170201,봄,,0,2001-07-08 00:00:00
4617000000,나주,0,24,0,31,0,19,12,0,배추,PA170201,봄,,0,2001-07-09 00:00:00
4617000000,나주,0,23,0,29,0,19,20,0,배추,PA170201,봄,,0,2001-07-10 00:00:00
4617000000,나주,0,24,1,26,0,23,14,0,배추,PA170201,봄,,0,2001-07-11 00:00:00
4617000000,나주,0,24,0,27,0,23,59,0,배추,PA170201,봄,,0,2001-07-12 00:00:00
4617000000,나주,0,25,0,28,0,22,0,0,배추,PA170201,봄,,0,2001-07-13 00:00:00
4617000000,나주,0,26,1,31,0,23,9,0,배추,PA170201,봄,,0,2001-07-14 00:00:00
4617000000,나주,0,25,1,30,0,23,21,0,배추,PA170201,봄,,0,2001-07-15 00:00:00
4617000000,나주,0,23,1,27,0,22,12,0,배추,PA170201,봄,,0,2001-07-16 00:00:00
4617000000,나주,0,25,1,32,0,22,0,0,배추,PA170201,봄,,0,2001-07-17 00:00:00
4617000000,나주,0,25,0,32,0,21,12,0,배추,PA170201,봄,,0,2001-07-18 00:00:00
4617000000,나주,0,24,1,28,0,20,0,0,배추,PA170201,봄,,0,2001-07-19 00:00:00
4617000000,나주,0,27,1,32,0,23,12,0,배추,PA170201,봄,,0,2001-07-20 00:00:00
4617000000,나주,0,28,1,33,0,25,0,0,배추,PA170201,봄,,0,2001-07-21 00:00:00
4617000000,나주,0,29,1,33,0,26,0,0,배추,PA170201,봄,,0,2001-07-22 00:00:00
4617000000,나주,0,29,1,34,0,25,1,0,배추,PA170201,봄,,0,2001-07-23 00:00:00
4617000000,나주,0,29,0,36,0,24,1,0,배추,PA170201,봄,,0,2001-07-24 00:00:00
4617000000,나주,0,29,0,36,0,25,0,0,배추,PA170201,봄,,0,2001-07-25 00:00:00
4617000000,나주,0,29,0,35,0,24,0,0,배추,PA170201,봄,,0,2001-07-26 00:00:00
4617000000,나주,0,28,0,35,0,25,12,0,배추,PA170201,봄,,0,2001-07-27 00:00:00
4617000000,나주,0,29,1,33,0,25,0,0,배추,PA170201,봄,,0,2001-07-28 00:00:00
4617000000,나주,0,29,1,34,0,26,0,0,배추,PA170201,봄,,0,2001-07-29 00:00:00
4617000000,나주,0,29,1,33,0,26,1,0,배추,PA170201,봄,,0,2001-07-30 00:00:00
4617000000,나주,0,29,1,33,0,25,19,0,배추,PA170201,봄,,0,2001-07-31 00:00:00
4617000000,나주,0,29,1,34,0,25,16,0,배추,PA170201,봄,,0,2001-08-01 00:00:00
4617000000,나주,0,30,1,35,0,24,12,0,배추,PA170201,봄,,0,2001-08-02 00:00:00
4617000000,나주,0,30,0,36,0,25,0,0,배추,PA170201,봄,,0,2001-08-03 00:00:00
4617000000,나주,0,29,0,35,0,26,0,0,배추,PA170201,봄,,0,2001-08-04 00:00:00
4617000000,나주,0,26,1,29,0,24,12,0,배추,PA170201,봄,,0,2001-08-05 00:00:00
